
0	1267000	0 1 1 0 1 1 1 1 0 2 0 0 1 0 2 1 2 0 1 0 1 0 4 1 0 0 2 2 1 0 0 1 4 1 1 1 1 1 0 2 0 1 2 1 0 1 0 2 0 1 3 1 1 1 1 1 1 1 2 1 3 0 0 1 0 3 1 2 1 3 3 0 1 4 4 4 0 3 2 1 3 3 3 1 3 5 4 3 5 1      43500      28500      31500 
594	1112000	0 1 1 0 1 1 1 0 1 2 0 1 1 2 1 1 0 2 0 1 1 0 1 4 0 2 1 2 0 0 0 4 1 1 1 1 2 0 1 2 1 0 2 0 1 1 2 0 0 3 1 1 1 1 1 1 1 1 1 1 3 0 0 1 3 0 1 1 2 3 0 3 1 4 4 4 3 0 2 3 1 3 1 3 3 4 3 3 1 5      36000      36000      27000 
792	1107440	1 0 1 1 0 1 1 1 1 0 2 0 0 1 2 2 1 0 1 1 1 4 0 1 0 0 2 1 2 1 1 1 4 1 1 1 1 1 1 0 1 1 1 2 0 1 1 1 2 0 3 1 1 1 1 1 1 1 1 1 0 3 0 0 1 3 2 1 1 2 3 0 4 1 4 0 4 2 1 2 3 3 3 1 4 3 3 5 3 1      16715      43715      37285 
891	1031334	0 1 1 0 1 1 1 1 1 2 0 0 1 2 0 1 0 2 0 2 1 0 1 4 0 2 0 2 1 1 0 4 1 1 1 1 2 1 1 2 1 0 2 0 1 1 1 1 0 3 1 1 1 1 1 1 1 1 1 1 3 0 0 1 3 0 1 1 2 3 0 3 1 4 4 4 2 0 2 3 1 3 1 3 3 2 4 3 1 5      39381      36238      19524 
1089	1026282	1 1 0 1 0 3 1 1 1 0 2 1 1 1 0 0 1 1 1 1 0 1 1 0 2 1 1 1 1 1 4 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 1 1 1 0 3 2 3 1 2 1 1 2 0 3 2 4 1 3 2 3 3 3 3 0 1 2 6 3 3 1 1 3 4      25744      52535      17163 
1386	1024000	1 1 1 0 1 2 1 1 1 2 0 0 1 1 1 1 1 1 1 1 0 1 1 3 0 2 0 2 1 1 1 4 1 1 1 2 1 1 1 1 1 0 2 0 0 1 1 1 0 3 1 1 1 1 1 1 0 1 1 2 2 0 1 1 3 0 1 1 1 3 0 3 1 4 4 3 2 0 2 3 1 3 1 2 3 3 4 3 1 7      49500      31500      13500 
1485	1020000	1 1 1 0 1 2 1 1 1 2 0 0 1 0 1 1 2 1 1 1 0 1 1 2 0 2 0 2 1 1 1 4 1 1 1 2 1 1 1 1 1 0 2 0 0 1 1 1 0 3 1 1 1 1 1 1 1 1 1 2 2 0 1 1 3 0 1 1 1 3 0 3 1 4 4 3 2 0 2 3 1 3 1 2 3 3 4 3 1 7      49500      31500      13500 
1683	 996288	1 1 0 0 1 2 1 1 1 2 1 0 1 1 2 1 1 0 1 1 1 1 0 1 0 2 2 2 0 1 1 4 1 2 0 0 1 1 0 1 1 1 1 0 1 1 1 2 0 3 3 1 1 1 1 2 1 1 1 2 2 0 0 1 3 3 1 1 1 3 0 0 1 4 4 2 2 3 2 3 3 3 3 1 3 2 4 4 1 1      57857      14143      23143 
1881	 870000	0 0 1 1 2 0 0 1 1 1 0 2 0 2 1 1 0 1 1 0 1 1 1 1 0 2 1 1 1 1 2 1 1 1 0 1 0 1 1 1 1 1 2 1 1 0 2 1 1 3 2 1 1 1 1 1 1 0 2 1 2 0 2 2 3 1 1 1 1 2 0 2 5 4 1 3 3 3 4 3 2 2 1 3 3 3 3 3 2 3      18000      18000      54000 
2574	 834000	1 0 1 1 2 0 1 1 1 1 0 2 1 1 1 1 0 1 1 1 1 1 1 1 1 2 0 2 1 1 1 1 1 1 0 2 1 1 1 1 1 1 2 1 1 0 2 1 0 3 1 1 1 1 1 1 1 1 2 1 2 0 2 1 3 0 1 1 1 4 0 2 1 4 2 3 3 2 2 3 2 3 1 3 2 3 3 3 2 5      16000      27000      47000 
2871	 808000	1 0 1 0 2 1 1 1 1 1 0 1 1 2 2 1 0 1 2 0 1 1 1 1 0 2 2 2 1 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 1 2 1 0 3 2 1 1 1 1 1 1 1 1 1 2 0 1 0 3 1 1 1 1 2 1 1 2 4 4 2 3 3 2 3 3 4 1 1 3 3 3 4 2 1      54000      27000       9000 
2970	 802000	0 1 1 2 1 0 1 1 1 0 1 1 2 2 1 0 1 1 0 1 1 1 1 1 2 2 0 1 1 2 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 2 1 1 3 2 0 1 1 1 1 1 1 1 1 2 0 1 2 3 1 0 1 1 1 1 1 2 4 4 2 3 3 2 3 3 2 1 1 4 3 3 3 2 1 4      27000       9000      54000 
3168	 780000	0 0 1 1 2 0 1 1 1 1 0 2 1 2 1 1 0 1 1 0 1 1 1 1 2 2 0 1 1 2 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 2 1 2 3 0 1 1 1 1 1 1 1 1 1 1 0 2 2 3 0 2 1 1 1 1 2 4 4 2 3 3 2 3 3 2 1 1 4 3 3 3 1 2 4      10000      25000      55000 
3267	 756000	0 1 1 2 2 0 1 1 1 0 1 1 2 1 1 0 1 1 0 1 1 1 1 1 2 1 0 1 0 2 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 2 1 1 3 2 0 1 1 1 1 1 1 1 1 2 0 1 2 3 2 0 1 2 1 1 1 2 4 4 2 3 3 2 3 4 2 1 1 4 3 3 3 2 1 4      26000      11000      53000 
3366	 746000	0 1 0 2 0 2 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 2 0 2 1 2 1 1 1 1 1 2 0 2 1 1 1 1 1 1 1 1 1 1 2 2 0 3 1 1 1 1 1 1 1 2 1 1 2 0 1 0 4 2 1 1 1 2 1 4 2 4 3 2 3 3 2 3 1 4 1 3 3 3 1 4 2      12000      56000      22000 
3564	 707502	0 1 0 2 0 2 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 2 0 2 1 2 1 1 1 1 1 2 0 2 1 1 1 1 1 1 1 1 1 1 2 2 0 3 1 1 1 1 1 1 1 2 1 1 2 0 1 0 4 2 1 1 1 2 1 4 2 4 3 2 4 3 2 3 1 4 0 3 3 3 1 4 2      11668      54583      22083 
3861	 705556	0 1 0 2 0 2 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 2 0 3 1 2 1 1 1 1 1 2 0 2 1 0 1 1 1 1 1 1 1 1 2 2 0 3 1 1 1 1 1 1 1 2 1 1 2 0 1 0 4 2 1 1 1 2 1 4 2 4 3 2 4 3 2 3 1 4 0 3 3 3 1 4 2      12222      54445      21111 
3960	 690000	1 1 1 2 1 0 1 1 1 0 2 1 1 1 1 0 2 1 0 2 1 1 1 1 2 1 0 1 1 2 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 1 1 1 1 1 1 1 1 1 0 1 2 2 0 1 1 2 1 1 2 2 4 2 2 3 3 2 3 2 2 1 2 4 4 3 3 2 4 4      30000      20000      40000 
