
0	2580000	2 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 2 0 0 2 0 1 0 1 0 2 3 0 0 2 0 3 1 1 0 2 2 1 1 1 0 3 3 1 4 0 1 4 3 2 3 3 3 3 3 3 9 1      63000      72000 
99	2570000	2 1 0 1 1 2 1 0 0 1 0 1 1 0 0 2 1 0 1 1 3 2 0 3 0 3 1 2 2 1 2 0 1 1 0 2 0 2 0 2 2 0 2 0 3 0 1 1 2 2 2 3 3 2 3 4 2 3 6 0      70000      65000 
792	2526000	1 1 0 2 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 3 2 2 1 0 1 0 2 1 1 1 1 1 1 1 1 0 2 0 1 2 1 2 2 1 1 1 2 2 2 2 5 3 1 3 1 2 4 6 0      42000      90000 
1287	1402000	1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 2 2 0 0 2 1 1 1 1 1 1 2 1 1 1 2 1 2 3 2 2 3 2 1 4 3 2 6 2      42000      63000 
1683	1376000	1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 3 1 1 1 1 2 2 2 0 0 2 1 1 1 1 1 1 2 1 1 1 2 1 2 3 3 2 3 2 1 4 3 2 6 2      42000      63000 
2178	1350000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 1 2 0 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 2 3 2 3 3 2 2 3 3 6      63000      42000 
3168	1301000	1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 3 2 2 2 2 3 2 2 4 3 6      70000      33500 
3366	1289000	2 1 1 1 2 0 1 1 2 0 1 1 0 1 0 1 1 1 0 1 1 1 2 2 0 1 1 1 1 1 1 1 2 1 1 1 1 1 0 2 2 1 1 2 1 1 2 1 1 3 3 2 3 2 2 3 2 3 5 4      31500      72000 
3465	1275000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 5 2 2 3 2 2 3 3 2 3 3 3      33500      70000 
3564	1245000	1 2 1 1 1 2 1 1 1 2 2 1 1 0 1 0 1 1 1 0 1 1 2 2 2 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 2 3 2 3 3 2 3 2 2 5      72000      31500 
4257	 908400	1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 0 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 4 3 2 2 3 3 2 3 2 3 3      68400      23400 
5346	 885200	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 4 2 1 3 3 2 2 3 2 3 3 3      23400      68400 
6039	 868800	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 2 4 2 1 3 3 2 2 3 2 3 3 3      23400      68400 
6435	 862000	1 1 1 1 1 1 0 1 1 1 2 1 1 1 0 1 1 1 0 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 2 1 3 2 3 3 2 2 3 4 3 3 3      21000      72000 
8316	 808000	0 1 0 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 2 1 1 1 1 3 2 2 3 3 3 3 2 2 3 3 3 3 3      27000      63000 
8415	 750000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 2 3 3 2 4 3 2 3 3 3 3      65000      25000 
9306	 740000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 2 3 3 2 4 3 2 3 3 3 3      65000      25000 
11781	 730000	1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 3 3 3 4 2 2 3 3 3 3 3      30000      60000 
12078	 710000	1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 3 2 3 4 2 2 3 4 3 3 3      30000      60000 
0	2226000	2 0 0 1 1 0 1 0 1 0 1 0 0 1 0 2 1 0 1 1 1 1 2 1 2 2 1 1 1 2 0 2 2 0 0 3 0 2 2 0 1 2 0 2 1 1 2 2 6 0 3 2 2 3 4 3 1 5 3 3      63000      63000 
594	2212000	2 0 0 1 1 0 1 0 1 1 1 0 0 1 0 2 1 0 1 1 1 1 2 1 2 2 1 1 1 2 0 2 2 0 0 3 0 2 2 0 1 2 0 2 1 1 2 2 6 0 3 2 2 2 4 3 1 5 3 3      63000      63000 
1386	1852000	1 1 1 1 0 1 0 1 1 1 1 2 0 1 1 2 0 1 0 1 2 1 1 1 3 0 1 1 3 0 2 1 1 1 3 0 1 1 0 1 1 1 0 1 1 2 2 1 3 5 5 2 2 2 2 2 1 3 3 4      27000      90000 
1683	1826000	1 1 1 2 0 1 0 1 1 1 0 1 1 1 2 0 1 1 1 1 0 1 1 1 1 2 1 1 2 0 1 1 1 1 3 1 2 1 0 2 1 2 3 1 1 2 3 1 0 4 2 2 2 2 3 1 5 3 2 3      45000      72000 
2178	1680000	0 1 2 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 0 1 0 1 1 1 1 1 2 1 1 1 3 1 1 1 2 1 3 0 2 1 4 1 2 5 2 4 2 4 3 3 2 3      31500      81000 
2277	1624000	0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 0 1 2 1 1 1 2 1 1 1 1 1 1 1 3 0 2 1 5 2 2 5 1 4 3 3 3 2 4 3      30000      81000 
2871	1346000	1 0 1 1 1 0 1 0 1 2 2 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 3 1 1 0 3 1 3 1 2 2 3 2 2 2 2 3 2 3 3 4 2      72000      31500 
3465	1182000	1 1 2 0 1 0 1 2 1 0 1 0 1 3 1 1 1 0 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 2 3 2 2 3 2 3 1 4 3 3 3 2      63000      36000 
4950	1168000	1 1 2 0 1 0 1 2 1 0 1 0 1 3 1 1 1 0 1 2 1 1 2 0 0 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 2 1 3 2 2 3 2 3 1 4 3 3 3 2      63000      36000 
5049	1136000	1 1 1 0 1 0 0 2 1 0 1 0 1 3 1 1 1 0 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 2 3 2 2 3 2 3 2 4 3 3 3 2      63000      36000 
6732	1005000	1 1 0 1 0 1 2 0 0 1 0 1 3 0 1 1 0 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2 2 2 3 3 2 3 2 4 2 3 3 2 3      31500      63000 
7326	 908334	1 1 1 1 0 1 3 0 0 1 0 1 4 0 1 1 0 1 0 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 2 2 3 3 2 3 3 3 2 3 3 2 3      23334      68499 
9702	 905200	1 1 1 1 1 0 0 3 1 0 1 0 0 4 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 2 3 2 2 3 3 2 2 3 3 3 3 2      68400      23400 
11187	 899200	1 1 1 1 1 0 0 3 1 0 1 0 0 4 1 1 1 0 2 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 2 3 2 2 3 3 2 2 3 3 4 3 2      68400      23400 
11385	 830000	1 1 1 1 2 1 1 0 1 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 2 1 2 3 3 2 2 3 3 2 3 3 3 3      63000      27000 
