
0	1267000	0 1 1 0 1 1 1 1 0 2 0 0 1 0 2 1 2 0 1 0 1 0 4 1 0 0 2 2 1 0 0 1 4 1 1 1 1 1 0 2 0 1 2 1 0 1 0 2 0 1 3 1 1 1 1 1 1 1 2 1 3 0 0 1 0 3 1 2 1 3 3 0 1 4 4 4 0 3 2 1 3 3 3 1 3 5 4 3 5 1      43500      28500      31500 
198	1227000	0 1 1 0 1 1 1 1 0 2 0 0 1 0 2 1 2 0 1 0 1 0 4 1 0 0 2 2 0 0 0 1 4 1 1 1 1 1 0 2 0 1 2 1 0 1 0 2 0 1 3 1 1 1 1 1 1 1 2 1 4 0 0 1 0 3 1 2 1 3 3 0 1 4 4 4 0 3 2 2 3 3 3 1 2 5 4 3 5 1      40000      32000      31500 
14724	1002000	0 1 1 1 1 1 1 2 1 0 1 2 1 1 1 0 1 1 0 2 1 0 1 1 1 2 2 1 0 2 0 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 0 2 1 2 0 2 1 1 1 1 1 1 4 0 1 1 1 1 1 2 1 2 2 3 5 2 1 4 2 2 3 3 3 3 3 2 2 3 3      21500      46750      25250 
23634	 978000	1 1 1 1 1 1 1 0 1 0 2 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 2 1 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 3 3 2 3 2 2 2 3 2 2 2 3 3 3 3 2 3 4      43000      15000      38000 
23931	 909200	0 3 1 1 1 2 2 0 2 1 2 1 1 0 1 1 0 1 1 1 1 0 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 0 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 2 3 1 3 2 2 3 3 2 3 2 2 3 2 4 3 3 3      57600      28800       5400 
25119	 810000	1 3 0 1 0 1 1 0 2 1 2 1 1 0 1 2 0 1 1 1 1 1 2 0 1 2 1 1 1 1 2 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 3 3 2 2 2 3 2 3 3 2 2 3 3 2 3 3 3 3      27000      18000      45000 
25416	 805334	1 3 0 1 1 1 2 0 2 1 2 1 1 0 1 2 0 1 1 1 1 1 2 0 1 2 1 1 1 1 2 1 0 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 3 3 2 2 3 2 3 3 2 2 3 3 2 3 3 3 3      32334      15333      42333 
28089	 771334	1 3 0 1 1 1 2 0 2 0 2 1 1 0 1 2 0 1 1 1 1 1 2 0 1 2 1 2 1 1 2 1 0 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 3 3 2 2 3 2 3 3 2 2 3 4 2 3 3 3 3      29333      20333      40334 
35514	 750000	1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 1 2 1 3 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 3 2 3 2 2 3 2 2 3 3 3 2 3 3 3 2 4 3 3      30000      50000      10000 
36306	 730000	1 1 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 0 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 3 2 3 3 2 3 3 2 3 2 3 3 3 3 3 3 3 3      30000      40000      20000 
42642	 690000	1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 2 1 2 3 3 2 3 3 2 3 3 3 2 2 3 3 3 3 3 4      40000      40000      10000 
0	1964000	2 0 0 0 2 1 0 2 1 1 1 0 1 2 0 1 0 2 1 0 0 2 0 0 2 0 1 2 0 0 0 2 1 1 1 0 2 1 0 1 1 2 3 0 0 1 1 1 0 2 1 0 2 3 0 0 4 1 1 2 2 0 1 2 1 0 0 1 2 1 5 0 1 6 2 1 3 3 2 2 8 1 1 4 9 0 0 2 5 3      63000      24000      33000 
1287	1854000	2 3 1 0 1 0 2 0 0 1 1 1 1 1 0 0 1 1 0 1 0 0 2 0 2 1 0 0 1 1 2 0 0 2 0 3 0 2 0 5 0 0 0 1 1 1 1 1 0 3 3 2 1 0 1 2 3 1 1 2 1 1 0 1 1 0 2 1 2 0 2 2 1 2 3 2 2 1 3 3 6 3 2 3 4 3 3 3 2 5      36000      70000      11000 
1584	1677000	0 3 1 2 1 1 0 1 0 1 1 1 1 1 1 1 1 3 0 1 1 2 1 1 1 1 1 1 1 1 2 0 1 1 1 0 0 2 0 2 0 1 2 1 2 0 1 1 0 2 3 1 1 1 2 2 1 2 1 1 1 1 0 1 1 0 1 1 1 1 2 1 7 2 2 5 2 1 0 3 2 2 2 4 3 3 1 0 2 8      31500      63000      18000 
1881	1667000	0 3 1 2 1 1 0 1 0 1 1 1 1 1 1 1 1 3 0 1 1 2 1 0 1 1 1 1 1 1 2 0 1 1 1 0 0 2 0 2 0 1 2 1 2 0 1 1 0 2 3 1 1 1 2 2 1 2 1 1 1 1 0 1 1 0 1 1 1 1 2 1 7 2 2 5 2 1 0 3 3 2 2 4 3 3 1 0 2 8      31500      63000      18000 
2079	1538858	0 0 1 0 2 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 3 1 2 1 2 1 1 2 2 0 1 0 1 1 0 2 1 2 1 1 2 1 1 1 1 1 0 1 3 1 1 1 2 1 3 1 1 1 1 1 2 0 2 0 1 1 3 1 1 1 6 2 1 5 3 2 1 3 0 3 2 2 2 3 7 0 2      17739      26391      63913 
2277	1350000	2 1 0 1 1 2 1 0 0 1 1 1 1 1 1 1 3 1 1 1 0 1 0 2 1 1 1 1 1 1 0 2 2 1 0 1 2 0 0 1 1 2 1 2 2 2 1 0 1 3 0 1 1 1 2 1 2 1 1 2 1 0 1 1 0 1 1 1 1 2 1 1 2 1 7 2 1 5 3 3 0 2 4 2 3 1 3 2 8 0      68400      14400      21600 
3465	1325200	1 0 2 0 2 1 1 0 1 1 1 1 1 1 1 4 0 1 1 0 1 1 2 1 1 2 1 1 1 1 3 2 0 1 1 1 0 0 2 2 2 1 2 2 1 1 0 2 1 0 2 2 2 1 1 2 2 2 2 1 0 1 1 0 1 1 0 1 1 1 0 2 1 7 1 0 5 1 2 0 3 3 2 2 0 3 3 8 0 3       7500      28600      64000 
3564	1318000	2 3 1 1 0 2 1 1 2 2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 2 0 2 3 1 1 2 1 1 1 1 1 1 2 0 1 1 1 1 1 0 1 1 2 0 2 1 1 1 2 1 1 1 1 2 1 1 1 1 2 2 0 2 2 4 2 1 5 2 3 2 2 2 2 3 3 2 2 3 2      23500      57500      22500 
3762	1307000	0 2 2 2 1 1 0 1 1 1 2 1 1 1 1 0 1 1 0 1 1 2 1 1 2 1 0 1 1 1 2 2 0 1 3 1 0 2 2 2 1 1 2 1 1 0 1 2 0 1 2 2 1 1 2 0 2 2 0 1 1 1 1 1 1 1 1 1 1 0 1 2 7 2 1 5 1 1 0 3 3 2 2 2 3 4 3 0 2 4      27000      13000      63500 
3960	1300000	2 1 0 1 1 2 1 1 0 1 2 1 1 0 1 1 0 0 1 1 0 1 1 2 0 1 2 1 1 1 0 2 2 1 3 1 2 3 0 1 1 2 1 1 2 2 1 0 2 1 0 1 1 2 2 0 2 1 1 2 1 1 1 1 1 1 1 1 1 2 3 0 1 2 7 1 2 5 3 2 0 2 2 2 3 3 3 4 2 0      66250       7500      29750 
4059	1152000	2 1 0 1 1 2 1 1 0 1 2 1 1 0 1 1 0 0 1 1 0 1 1 2 0 1 2 1 0 1 0 2 2 1 3 1 2 4 0 1 1 2 1 1 2 2 1 0 2 1 0 1 1 2 1 0 2 1 1 2 1 1 1 1 1 1 1 1 1 2 3 0 1 2 7 1 2 5 3 2 0 3 2 2 3 3 3 4 2 0      63000       9000      27000 
5148	1146000	2 1 0 1 1 2 1 1 0 1 2 1 1 0 1 1 0 0 1 1 0 1 1 2 0 1 2 1 0 1 0 2 2 1 3 1 2 4 0 1 1 2 1 1 2 2 1 0 2 1 0 1 1 2 1 0 2 1 1 2 1 1 1 1 1 1 1 1 1 2 2 0 1 2 7 1 2 5 3 3 0 3 2 2 3 3 3 4 2 0      63000       9000      27000 
5841	1128500	0 2 2 2 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 0 1 1 1 1 2 0 1 1 1 1 0 2 2 3 1 1 2 1 1 0 2 1 0 2 2 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 0 2 2 7 1 2 6 1 2 0 3 3 1 3 2 2 3 2 1 4 2      24750      52500      22500 
6237	1107200	1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 2 1 0 1 1 2 1 1 2 1 2 1 2 1 0 1 1 3 1 1 2 1 1 1 1 2 0 1 0 1 2 1 1 1 1 1 1 1 1 1 2 2 2 3 1 3 2 3 2 3 3 2 3 2 2 2 2 3 3 5 2      21800      15400      59200 
6336	1044000	1 0 2 1 2 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 0 1 1 1 2 2 0 0 1 1 1 0 2 2 3 1 1 3 1 1 0 2 1 0 2 1 2 1 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 2 0 2 3 7 1 2 5 1 3 0 3 2 1 3 3 2 3 2 1 4      16307      23693      55921 
6435	1033000	1 0 2 1 2 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 0 2 1 1 2 2 0 1 1 1 1 0 2 2 3 1 1 1 1 1 0 2 1 0 2 1 2 1 0 2 1 2 2 1 1 1 1 1 1 1 1 1 1 2 0 2 3 7 1 2 6 1 2 0 3 2 1 3 3 2 3 2 2 4      25200      18900      52200 
7227	 924000	1 1 1 2 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 1 0 1 1 1 2 1 0 1 1 1 0 1 3 3 1 1 1 1 1 0 1 2 0 1 2 2 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 0 2 2 7 3 1 6 2 1 0 3 3 1 2 3 2 4 3 2 2 4      18000      36000      39000 
9306	 914000	1 1 1 1 2 1 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 3 2 2 2 3 3 2 2 2 2 3 3 2 2 2 2 4 3 4 2      41600      11000      41600 
10197	 895000	1 1 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 2 3 2 2 2 3 2 3 2 2 3 4 2 3 2 4      27000      40500      22500 
11484	 878000	1 1 1 1 2 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 2 0 1 1 1 1 1 1 2 1 1 1 0 1 0 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 2 2 1 3 2 2 2 3 3 3 2 3 2 2 3 4 2 3 2 4 4      42000      21000      30000 
11583	 822000	1 1 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 2 3 2 2 3 3 2 3 2 2 3 4 2 4 2 4      27000      40000      23000 
12177	 808000	1 0 1 1 2 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 2 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 2 1 3 1 1 1 1 2 0 2 1 1 1 1 1 1 1 1 1 2 5 1 3 2 2 2 2 3 3 2 2 2 1 4 4 2 3 2 4 4      50000      13000      27000 
13662	 750000	1 1 1 0 2 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 3 1 1 0 1 1 2 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 0 2 1 3 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 2 2 2 3 4 2 2 3 1 4 4 4 2      26999      17667      45334 
16038	 738000	1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 2 0 1 2 1 1 0 0 1 3 1 1 0 1 1 0 1 1 1 1 1 2 2 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 2 1 2 0 1 1 4 1 1 1 1 1 1 1 2 2 2 3 3 3 2 4 2 3 2 5 2 2 3 4 0 4 2 4      31000      50000       9000 
41931	 703334	1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 2 1 0 2 1 1 0 1 0 2 1 1 0 1 1 1 1 1 1 1 0 2 1 2 1 1 2 0 1 1 1 1 2 1 1 1 1 1 1 2 1 1 0 2 1 4 1 1 1 1 1 2 1 1 2 2 2 3 3 3 4 2 2 2 3 5 2 2 3 0 4 4 4 2      26668      13333      49999 
0	1315200	0 0 3 0 2 1 0 2 2 2 0 0 1 0 6 0 1 1 0 1 1 0 1 3 0 2 0 2 0 0 0 2 3 1 1 0 1 1 0 1 0 3 1 2 0 2 0 1 0 3 0 2 0 3 0 3 0 2 1 0 2 0 2 0 2 1 2 1 0 0 6 0 2 4 3 5 0 0 0 2 6 3 5 0 5 0 3 8 0 0      41400      37000      26000 
495	1308800	0 0 3 0 2 0 0 2 1 2 0 0 1 0 6 0 1 1 0 1 1 0 1 3 0 2 0 2 0 1 0 2 3 1 1 0 1 1 0 1 0 3 1 2 0 2 0 1 0 3 0 2 0 3 0 3 0 2 1 0 2 0 2 0 2 1 2 1 0 0 6 0 2 4 3 5 0 0 0 2 7 3 5 0 5 0 3 8 0 0      41400      38666      24334 
3663	1245282	1 1 2 1 1 0 1 0 1 1 0 2 1 0 2 1 1 1 1 1 0 0 1 2 1 0 1 1 1 1 2 2 1 0 3 1 2 0 1 2 0 0 0 2 1 1 1 1 2 0 0 1 1 1 1 3 0 1 2 0 1 2 1 2 2 0 1 0 2 3 0 0 3 1 1 2 2 3 3 5 2 1 4 5 3 3 3 2 3 7      52364      31091      18818 
3960	 982000	1 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 0 1 1 1 2 1 1 1 0 1 1 0 1 2 2 1 0 2 1 1 2 0 2 0 1 0 2 1 1 1 1 1 0 3 1 1 1 0 2 1 1 2 1 1 1 1 3 3 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 6      39000      24000      33000 
5148	 964000	1 0 1 1 1 0 0 1 1 0 1 1 0 2 1 1 0 1 0 1 1 1 1 2 0 1 1 0 1 1 2 1 2 2 1 0 2 0 1 0 1 2 2 1 0 1 1 1 0 3 1 1 1 1 2 1 1 2 1 1 1 1 1 4 0 2 1 1 1 0 2 2 1 3 3 3 3 2 5 1 3 4 3 1 2 2 5 3 6 2      24000      33000      39000 
9108	 852000	1 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 1 2 1 0 1 1 0 1 2 2 1 0 2 1 1 2 0 2 0 1 0 2 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      33000      21000      39000 
9702	 842000	1 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 1 2 1 0 1 1 0 1 2 1 1 0 2 1 1 3 0 2 0 1 0 2 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      33000      21000      39000 
25515	 775000	1 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 1 1 1 0 1 1 0 2 2 1 1 0 2 1 1 3 0 2 0 1 0 2 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      31500      22500      36000 
29079	 770000	1 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 1 1 0 0 2 1 0 2 2 1 1 0 2 1 1 3 0 3 0 0 0 2 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      31500      22500      36000 
33831	 740668	2 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 1 1 0 0 2 0 0 2 2 1 1 0 2 1 1 3 0 3 0 0 0 2 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      29334      20334      40332 
34722	 710000	2 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 0 1 0 0 2 0 0 2 2 1 1 0 2 1 1 3 0 3 0 0 0 3 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 1 2 4 0 1 1 1 2 0 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 5      30000      20000      40000 
41949	 670000	2 1 0 0 1 1 1 0 1 1 0 1 1 0 2 1 1 1 1 0 1 2 0 1 0 0 2 0 0 2 2 0 1 0 2 1 1 3 0 3 0 0 0 3 1 1 1 1 1 0 2 1 1 1 1 2 1 1 2 1 1 1 2 2 4 0 1 1 1 2 1 2 3 1 3 2 3 3 3 5 1 1 4 3 5 2 2 2 3 4      30000      20000      40000 
0	1014250	1 0 2 1 1 0 0 1 2 1 0 4 1 1 0 1 1 0 0 2 1 1 0 1 0 0 2 1 0 1 0 2 2 0 4 0 0 4 0 1 0 4 0 4 0 2 0 2 2 0 1 0 4 1 2 0 0 1 3 0 1 0 2 1 1 1 0 3 1 2 3 0 2 4 4 1 2 7 4 1 1 4 0 1 5 1 2 7 0 0      43875      20250      31500 
3465	1003250	1 0 2 1 1 0 0 1 2 1 0 3 1 1 0 1 1 0 0 2 1 1 0 1 0 0 2 1 0 1 0 2 2 1 4 0 0 4 0 0 0 5 0 4 0 2 0 2 2 0 0 0 4 1 2 0 0 1 3 0 1 0 2 1 1 1 0 3 2 2 3 0 2 4 4 1 2 7 4 1 1 4 0 1 5 1 2 7 0 0      43875      20250      31500 
6138	 997750	1 0 2 1 1 0 0 1 2 1 0 3 1 1 0 1 1 0 0 2 1 1 0 1 0 0 2 1 0 1 0 1 2 1 4 0 0 4 0 0 0 5 0 4 0 2 0 2 2 0 0 0 4 1 2 0 0 1 3 0 1 0 2 1 1 1 0 3 2 2 3 0 2 4 4 1 2 7 4 2 1 4 0 1 5 1 2 7 0 0      43875      20250      31500 
11871	 855250	0 1 2 1 1 0 1 0 2 0 1 3 1 1 0 1 1 0 2 0 1 0 1 1 0 1 2 0 1 1 1 0 2 4 1 0 4 0 0 0 0 5 4 0 0 0 1 2 0 2 0 4 0 1 0 2 0 3 1 0 0 1 2 1 1 1 3 0 2 3 2 0 4 2 4 2 1 7 2 4 1 0 4 1 1 5 2 0 7 0      20250      46125      25875 
24336	 821012	1 2 0 1 1 1 0 2 1 1 3 0 1 0 1 1 0 1 0 1 2 1 1 0 1 2 0 1 1 1 0 2 1 1 0 4 0 0 4 0 4 0 0 0 4 1 2 0 2 0 0 0 1 4 2 0 0 1 0 3 1 2 0 1 1 1 0 2 3 2 0 3 2 4 4 1 7 2 4 1 2 4 1 0 5 2 0 7 0 0      45282      25875      20250 
27306	 774000	1 2 0 1 1 1 0 2 1 1 2 0 1 0 1 1 0 1 0 2 2 1 1 0 1 1 0 1 1 1 0 2 1 1 0 4 0 0 4 0 4 0 0 1 4 1 2 0 2 0 0 0 1 4 2 0 0 1 0 3 1 2 0 1 1 1 0 2 3 2 0 3 2 4 4 1 7 2 4 1 2 4 1 0 5 2 0 7 0 0      45000      27000      18000 
0	1434000	0 5 0 0 1 1 1 1 0 2 0 0 0 0 2 0 3 0 2 0 0 0 1 4 0 0 4 1 0 1 1 2 0 0 2 0 0 2 0 0 2 1 3 0 0 1 4 0 1 0 2 3 0 0 2 1 0 0 1 2 3 0 0 0 1 5 0 0 3 0 1 4 2 4 2 4 2 1 4 2 5 2 4 1 3 2 3 7 1 1      37000      36000      35000 
