
0	4280250	0 4 0 0 0 6 1 0 0 1 5 3 1 0 0 1 0 0 5 0 0     720000      56250      42500 
99	2301500	0 5 0 0 1 7 1 0 0 0 3 0 1 0 1 3 0 0 4 0 1     435000     150000      15000 
198	1730250	0 4 0 1 4 5 1 0 1 2 0 0 1 0 2 2 0 0 2 1 1     463750      62500          0 
297	1164083	0 4 0 0 0 2 1 0 2 0 4 1 2 0 1 1 1 2 5 0 1     171612      64516     241935 
396	 820366	0 3 0 0 1 5 1 0 0 0 4 0 1 0 3 3 1 0 4 0 1     259090     112500      63636 
495	 729000	0 1 2 0 1 1 1 1 1 1 2 0 2 1 0 1 1 4 4 2 1     172500     155000     100000 
594	 715500	0 1 1 0 1 1 1 1 3 0 2 0 1 1 4 3 1 0 4 2 0     159000     243000      12000 
693	 666503	0 1 1 0 1 1 1 1 2 0 2 1 1 1 4 3 1 0 4 2 0     164000     228000      26999 
891	 591003	0 1 1 0 1 1 0 1 2 1 2 1 1 1 4 3 1 0 4 2 0     176000     198000      31499 
990	 554837	0 2 1 1 0 4 1 0 0 2 0 0 1 1 3 2 2 0 2 4 1     258333     141666      16666 
1089	 543500	0 1 1 0 1 1 0 1 1 1 2 0 2 2 0 2 1 3 4 1 3     154000     148000     112000 
1188	 184999	1 0 2 1 0 1 1 0 1 2 0 2 1 2 0 1 3 1 2 4 2     236666     156666      13333 
1287	 154999	0 1 1 0 1 1 0 1 1 2 2 0 2 2 0 1 1 3 4 1 3     131666     118333     156666 
1386	 135000	0 1 1 0 1 1 0 1 1 0 1 2 2 0 1 3 2 1 4 3 2     140000      40000     220000 
1485	 101673	0 1 0 0 1 1 0 1 1 0 2 1 2 1 0 3 1 3 4 2 3     133333     233333      33333 
1683	  24104	0 1 0 0 1 0 0 1 0 0 2 0 2 1 1 4 1 3 3 2 5      86363     250000      68181 
0	4597750	0 4 0 0 0 7 1 0 0 0 5 1 0 0 1 5 0 0 3 0 0     330000      56250     450000 
99	3315996	0 3 0 0 0 3 0 1 0 4 3 0 1 0 6 3 0 0 1 2 0     266666     361666      76500 
198	2003998	0 5 0 0 0 4 1 0 1 0 4 0 0 0 3 5 0 0 3 0 1     274444     112500     166666 
297	1448500	2 0 0 1 0 8 0 1 0 0 4 0 1 2 1 1 2 0 4 0 0     275000     234000          0 
396	 738500	1 0 0 0 0 6 1 1 0 1 5 1 1 0 2 2 1 0 3 2 0     365000      18500      42500 
792	 549754	0 0 3 0 2 0 1 1 0 1 1 2 1 2 1 3 1 0 3 2 3     206833     114750      83333 
1089	 467130	3 0 0 0 1 1 2 1 0 1 4 0 2 1 1 0 1 3 1 1 4      83333     104166     228125 
1386	 225000	1 0 1 0 1 1 0 1 1 0 4 0 1 2 1 3 0 2 4 1 3     170000     129000     105000 
