
0	10172274	22 0 0 0 0 30 0 1 0 0 0 4 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 5 0 0 0 1 0 0 1 0 26 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 6 0 0 0 0 1 0 1 0 0 1 0 3 0 0 0 1 0 1 0 0 0 0 1 9 0 0 0 0 0 0 0 1 0 1 0       2727       3076       2000 
297	8001000	0 19 0 0 0 30 1 0 0 0 0 6 1 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 2 0 1 1 0 1 0 1 1 0 0 1 1 0 19 1 2 1 1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 2 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0     152000     100000      10500 
396	7666000	0 18 0 0 0 21 1 0 0 1 1 5 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 6 1 0 0 17 1 0 1 1 0 1 1 3 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0     172000      80000       2857 
495	7546000	1 1 0 0 1 27 0 1 0 0 1 5 1 1 0 1 1 0 1 0 0 1 18 0 0 1 1 0 1 0 1 0 4 0 1 0 2 1 0 1 3 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 20 0 1 1 0 0 1 0 0 0 1 0 1 1 1 1 1 2 1 1 0 1 1 0 1 1 0 1 1 0     100000     152000          0 
594	7490000	1 0 1 0 1 28 1 1 1 0 2 0 1 0 1 1 1 1 1 2 1 14 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 3 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 5 1 0 1 1 0 1 17 0 1 1 0     162000      90000          0 
990	5636000	1 0 0 0 1 21 1 1 0 0 2 4 1 0 0 0 1 0 1 2 0 14 1 0 0 1 0 1 1 0 1 1 6 0 1 0 1 1 0 0 1 0 0 1 3 2 0 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 2 1 1 0 1 1 2 1 1 1 1 1 0 2 1 0 5 1 1 1 1 0 1 17 0 2 1 0     117000      90000          0 
1386	5590000	1 1 0 0 1 1 1 0 1 0 1 2 1 0 0 0 1 1 2 1 2 14 1 1 0 1 1 2 1 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 2 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 2 1 2 5 1 1 1 1 2 1 17 17 2 1 1     104000      80000      23000 
1584	5062964	1 1 0 0 1 1 1 0 1 0 1 2 1 0 0 1 1 1 1 0 2 12 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 13 1 2 1 1 0 2 1 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 2 1 1 1 1 1 0 1 3 2 1 1 1 2 4 1 1 1 2 1 1 0 16 1 2 1      93500      58499      41500 
1980	4568000	0 1 1 1 0 1 3 1 0 1 0 2 0 1 1 2 0 1 2 1 3 1 14 1 2 0 1 0 1 1 1 1 1 1 0 1 2 1 1 1 0 1 1 0 1 0 2 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 2 1 2 1 1 5 1 2 1 1 16 1 14 0 2 1      27000      99000      54000 
2178	4153968	0 1 1 1 1 1 1 1 0 2 1 1 0 1 0 2 1 1 2 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 12 13 1 0 1 1 1 2 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 0 1 1 2 2 1 1 1 2 1 1 1 2 16 1 0 1 2 2      58999      76000      36000 
2277	4111966	1 1 0 0 1 1 1 0 1 0 1 2 1 0 0 1 1 2 1 0 2 12 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 13 0 1 1 1 0 2 1 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 2 1 1 1 1 1 0 1 3 2 1 1 1 2 4 1 1 1 2 1 1 0 16 2 2 1      72999      36000      62000 
2376	4063000	0 1 1 1 0 1 1 1 0 0 0 2 1 1 1 1 0 1 3 1 3 1 14 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 2 0 0 1 0 1 0 1 0 1 0 2 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 5 1 2 1 1 17 1 14 1 2 1      40500      85500      40500 
2475	3944000	1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 3 0 3 1 13 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 2 0 1 1 0 1 1 1 0 1 0 1 0 2 0 1 1 1 1 0 1 1 1 1 1 1 2 2 1 1 2 1 1 4 1 1 1 2 14 1 17 1 2 1      17500      85500      63500 
2772	3468000	1 0 1 1 0 1 1 1 0 1 1 2 1 0 1 0 1 1 1 2 3 14 2 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 2 1 0 1 1 2 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 2 1 1 1 1 1 3 1 2 1 4 1 0 1 2 1 1 15 14 3 1 1      72000      54000      27000 
2970	3444000	0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 2 1 0 2 14 11 1 0 1 2 1 1 0 1 1 1 0 0 0 1 1 2 0 2 1 0 0 0 2 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 2 1 1 0 1 0 1 1 1 1 1 1 4 2 1 2 0 4 4 2 1 1 15 1 1 1 3 1      81000      54000      18000 
3267	3382000	0 1 1 1 2 0 1 0 1 1 1 0 1 1 1 1 0 1 2 0 1 1 12 11 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 2 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 2 3 2 2 1 1 4 4 2 1 1 14 2 0 1 2 2      54000      36000      63000 
3366	3380000	0 1 1 0 1 2 1 1 0 1 0 1 0 1 1 1 1 0 2 1 0 1 10 13 1 1 0 2 0 1 0 1 1 1 1 0 0 1 1 3 1 0 1 1 0 0 1 2 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 3 2 2 2 2 0 4 4 2 1 1 15 0 1 1 2 2      54000      63000      36000 
3465	3379972	1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 1 2 1 10 1 11 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 3 2 2 1 3 1 2 1 2 1 2 15 0 2 1 2      60500      54000      38499 
