
0	2580000	2 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 2 0 0 2 0 1 0 1 0 2 3 0 0 2 0 3 1 1 0 2 2 1 1 1 0 3 3 1 4 0 1 4 3 2 3 3 3 3 3 3 9 1      63000      72000 
396	2104000	1 1 1 2 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 0 1 2 1 0 1 0 2 1 1 1 0 2 0 2 1 0 1 1 3 0 1 1 1 2 1 2 2 1 2 2 2 2 2 2 1 3 2 3 6 6      81000      42000 
693	2092000	1 0 1 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 1 2 1 1 0 0 2 0 3 1 1 1 3 3 1 1 1 1 2 1 1 2 0 2 4 2 2 2 3 1 3 2 3 6 1      81000      42000 
1584	1718000	0 3 1 0 1 1 1 0 1 1 3 0 1 1 1 0 1 0 1 3 1 0 1 0 1 0 3 0 1 3 1 0 1 0 1 1 1 0 1 1 1 2 1 0 1 2 1 4 3 1 2 2 3 2 2 3 2 3 3 9      90000      24000 
2376	1632000	2 0 0 1 1 1 1 1 0 1 0 3 1 1 2 1 1 1 0 1 2 1 1 1 1 1 2 3 0 1 2 1 3 1 1 1 2 1 2 1 2 1 1 1 1 1 0 2 2 2 2 2 3 3 3 2 3 2 1 3      30000      81000 
2673	1618000	2 0 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 0 1 1 1 1 1 1 1 1 3 1 1 3 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 0 2 3 2 2 2 3 3 2 2 3 2 3 3      30000      81000 
2772	1602000	0 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 0 1 2 1 1 1 1 2 2 1 0 1 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2 0 3 3 2 2 3 2 2 3 2 3 3 2      81000      30000 
2871	1526000	0 2 1 1 1 1 1 1 1 1 2 1 1 1 1 0 1 1 1 0 1 2 2 1 1 1 2 2 1 1 1 2 2 3 1 1 1 1 1 1 1 1 1 1 1 1 2 0 2 3 2 2 2 2 2 3 2 3 4 2      72000      36000 
2970	1462000	1 0 1 0 1 0 1 2 1 1 2 2 1 2 1 1 1 3 1 0 1 0 1 0 1 1 3 0 1 2 1 0 1 0 1 1 1 2 1 2 1 0 1 3 1 2 2 3 2 3 2 3 3 1 2 3 2 4 3 1      90000      18000 
3663	1416000	2 1 1 1 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 2 3 2 3 3 2 3 3      42000      63000 
3762	1327000	1 2 1 1 1 0 1 0 1 0 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 2 3 2 2 4 3 3      67000      36500 
4059	1281000	2 1 1 1 0 1 0 1 0 1 0 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 1 2 3 2 2 2 3 3 2 4 2 3 3      36500      67000 
4158	1108000	0 2 1 0 1 0 1 0 1 0 2 0 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 3 2 2 3 3 2 2 3 2 4 4 3      63000      36000 
4851	1106000	2 0 0 1 0 1 0 1 0 1 0 2 1 1 1 1 0 2 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 2 1 2 3 3 2 2 3 3 2 4 2 3 4      36000      63000 
5940	1092000	2 0 0 1 0 1 0 1 1 1 0 2 1 1 1 1 0 2 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 2 3 3 2 2 3 3 2 4 2 3 4      36000      63000 
8910	 934000	0 1 0 1 1 1 0 1 1 1 1 1 2 1 0 1 0 1 1 1 2 1 2 1 0 1 3 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2 3 3 2 1 3 2 3 5 2 3 3      21600      72000 
11286	 888800	1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 2 2 3 4 2 3 3 2 3 3 3      23400      68400 
11682	 838000	1 1 1 1 0 1 1 1 0 1 0 1 1 1 2 1 0 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 2 2 3 4 2 3 3 2 3 3 3      21000      70000 
12672	 792000	1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 3 2 2 4 2 3 4 2 4 3      63000      27000 
12771	 770000	1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 2 1 0 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 3 2 2 4 3 3 3 3 3 3      70000      20000 
14850	 750000	1 1 1 1 0 1 0 1 0 1 0 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 2 2 4 2 2 3 4 2 3 3 3 3 3 3      20000      70000 
15543	 730000	1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 2 4 3 2 2 4 3 3 3 4 3 3      70000      20000 
18216	 710000	1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 2 4 3 1 2 4 3 3 3 4 3 4      70000      20000 
26316	 690000	0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 4 2 1 3 4 3 3 3 4 3 4 3      20000      70000 
0	2226000	2 0 0 1 1 0 1 0 1 0 1 0 0 1 0 2 1 0 1 1 1 1 2 1 2 2 1 1 1 2 0 2 2 0 0 3 0 2 2 0 1 2 0 2 1 1 2 2 6 0 3 2 2 3 4 3 1 5 3 3      63000      63000 
297	2212000	2 0 0 1 1 0 1 0 1 0 1 0 0 1 0 2 2 0 1 1 1 1 2 1 2 2 1 1 1 2 0 2 2 0 0 3 0 2 2 0 0 2 0 2 1 1 2 2 6 0 3 2 2 3 4 3 1 5 3 3      63000      63000 
495	1832000	1 0 0 1 2 0 1 0 1 0 1 0 1 1 0 2 1 0 1 1 1 1 1 1 2 2 1 1 1 2 0 2 2 0 1 3 0 2 2 0 0 2 0 2 2 1 1 2 6 0 3 2 2 3 4 3 1 5 3 3      63000      54000 
2178	1820000	1 0 0 2 2 0 1 0 1 0 1 0 1 1 0 2 1 0 1 0 1 1 1 1 2 2 1 1 1 2 0 2 2 0 0 3 1 2 2 0 0 2 0 2 2 1 1 2 6 0 3 2 2 3 4 3 1 5 3 3      72000      45000 
2277	1708800	0 1 1 1 0 2 1 1 0 2 0 1 1 1 2 0 0 1 1 1 0 2 1 1 2 1 1 1 2 1 2 1 0 2 3 1 2 0 0 2 2 0 3 0 1 2 2 1 0 6 2 2 3 2 2 4 5 0 3 2      50400      63000 
2376	1506000	0 1 1 1 0 3 1 1 0 1 0 1 1 1 2 0 0 1 1 1 1 1 1 1 2 1 1 1 2 1 2 0 0 2 3 0 2 1 0 2 2 0 2 0 1 2 2 1 0 6 2 3 3 2 2 4 5 1 3 2      45000      63000 
3960	1468000	0 1 1 1 1 2 1 1 0 1 0 1 1 1 2 0 0 1 1 1 1 1 1 1 3 1 1 1 2 1 2 0 0 2 2 0 2 1 0 3 2 0 2 0 1 2 2 1 0 6 1 3 3 2 1 4 5 1 4 2      45000      63000 
4455	1454000	0 1 0 1 1 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 3 1 1 1 2 1 2 0 0 2 2 0 1 1 0 3 2 0 2 0 0 2 3 1 0 6 2 3 3 2 0 4 5 1 5 2      45000      63000 
5445	1420000	1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 2 1 0 1 1 1 0 1 1 1 3 1 1 1 2 1 2 2 0 1 3 1 1 1 0 1 2 1 2 2 0 1 3 3 0 4 2 2 3 3 0 2 5 2 5      90000      15000 
5544	1385200	0 1 0 1 1 1 1 1 0 1 3 1 1 1 1 1 0 1 0 1 1 1 0 1 3 1 1 1 2 1 2 1 1 2 2 1 1 1 0 1 1 1 2 1 0 2 4 1 0 3 2 4 3 2 0 3 5 2 5 2      14400      90000 
5643	1371600	0 1 0 1 0 1 1 1 0 1 3 1 1 1 1 1 0 1 0 1 1 1 0 1 3 1 1 1 2 1 2 1 1 2 2 1 1 1 0 1 1 1 2 1 0 2 4 1 0 3 2 4 4 2 0 3 5 2 5 2      14400      90000 
5742	1350000	0 1 1 1 0 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 0 2 2 1 1 1 1 1 2 1 2 1 1 2 2 1 2 3 3 4 3 2 1 3 4 2 3 2      42000      63000 
6039	1329200	1 0 1 0 1 1 1 1 1 0 1 3 1 1 1 1 1 0 1 0 1 1 1 0 1 3 1 1 1 2 1 2 1 1 1 2 1 1 1 0 1 1 1 2 2 0 1 4 3 0 4 2 2 3 3 0 2 5 3 5      90000      14400 
6237	1238000	0 1 0 1 1 1 0 1 0 1 3 1 1 1 1 1 0 1 0 1 1 1 0 1 3 1 0 1 2 1 2 1 1 1 2 1 1 1 0 1 1 1 2 1 0 2 5 1 0 3 2 4 3 2 0 3 6 2 5 3      12000      90000 
7029	1142000	1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 3 1 1 1 2 1 2 1 0 1 2 1 1 1 1 1 2 1 2 2 0 1 3 3 0 4 2 2 3 3 0 2 5 3 4      81000      18000 
7524	1066000	1 1 1 1 1 1 1 1 0 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 3 1 0 1 2 1 2 1 0 1 2 1 1 1 0 2 2 1 2 1 0 2 2 2 0 3 3 2 3 2 1 3 6 2 3 3      15000      81000 
8415	1048000	1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 3 1 1 1 2 1 3 1 0 1 2 1 1 1 0 2 2 1 2 1 0 2 3 2 0 3 3 2 3 2 1 3 6 2 3 3      15000      81000 
8712	1044000	1 1 1 0 1 1 1 1 1 0 1 2 1 0 1 2 1 0 1 1 1 2 1 0 1 2 1 0 1 2 1 3 1 0 1 1 1 1 2 0 1 2 1 1 2 0 2 3 3 0 2 3 2 3 3 1 2 7 3 3      81000      15000 
10395	 988000	1 0 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 2 1 0 1 3 1 3 1 1 1 0 1 1 2 0 1 2 1 1 2 0 2 2 3 0 2 3 2 4 3 0 2 8 3 4      81000      15000 
11682	 962580	0 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 1 1 0 1 1 1 0 1 2 1 0 1 3 1 3 1 0 1 1 1 1 1 0 2 2 1 1 1 0 2 2 2 0 3 4 2 4 2 0 3 7 2 4 3      12858      81000 
11781	 942000	1 0 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 2 1 1 1 3 1 3 1 0 1 0 1 0 2 0 1 2 1 1 2 0 2 1 3 1 2 4 2 4 3 0 2 8 3 4      81000      11250 
12573	 919500	1 1 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 2 1 1 1 3 1 3 1 0 1 0 1 0 2 0 1 2 1 1 2 0 2 0 3 0 2 4 2 4 3 0 2 9 3 4      81000      11250 
12969	 897000	1 1 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 1 1 2 1 2 1 3 1 0 1 0 1 0 2 0 1 2 1 1 2 0 2 0 3 0 2 4 2 4 3 0 2 10 3 4      81000      11250 
13068	 892500	1 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 1 1 2 1 2 1 3 1 0 1 0 1 0 1 0 2 2 1 1 1 0 2 0 2 0 3 4 2 4 2 0 3 11 2 3 3      11250      81000 
13167	 879000	1 1 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 1 1 0 1 1 1 2 1 2 1 3 1 1 1 0 1 0 2 0 1 2 1 1 2 0 2 0 3 0 2 4 2 4 3 0 2 10 3 4      81000      11250 
13266	 874500	1 1 1 0 1 1 1 0 1 0 1 3 1 0 1 2 1 0 1 0 1 2 1 0 1 1 1 2 1 1 1 3 1 0 1 1 1 0 2 0 1 2 1 1 2 0 2 0 3 0 2 4 2 4 3 0 2 11 3 3      81000      11250 
17118	 872000	1 1 0 1 1 1 0 1 0 1 2 1 0 1 2 1 0 1 0 1 2 1 0 1 0 1 2 1 2 1 3 1 0 1 1 1 1 1 0 2 1 1 1 1 0 2 0 2 0 3 4 2 4 2 0 3 12 2 3 3      11250      81000 
19494	 852000	1 1 0 1 1 1 0 1 1 1 1 1 0 1 2 1 0 1 0 1 2 1 0 1 0 1 2 1 2 1 2 1 0 1 1 1 0 1 0 2 1 1 2 1 0 2 0 2 0 3 4 2 5 2 0 3 12 2 3 3      11250      81000 
20286	 750000	1 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 2 3 2 2 3 3 3 3 3 3 4      60000      30000 
21672	 740000	0 1 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 2 2 3 2 3 3 2 3 3 3 3 4 3      35000      55000 
21870	 713000	1 0 1 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 3 2 3 2 2 4 3 2 3 3 3 4      58500      31500 
22464	 710000	1 0 1 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 2 3 2 2 4 3 2 3 3 3 4      60000      30000 
27414	 690000	0 1 0 1 1 1 2 1 1 1 2 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 2 3 2 3 5 2 2 3 3 3 4 3      20000      70000 
0	2564000	0 2 0 2 0 1 0 1 3 0 1 2 1 1 1 0 1 1 2 1 2 0 1 0 1 1 2 0 1 3 2 1 0 2 2 0 1 1 0 2 1 1 1 1 2 0 0 3 2 3 4 1 1 4 2 3 3 4 5 1      72000      63000 
99	2550000	2 0 2 0 2 0 1 0 0 3 2 1 1 1 0 1 1 1 1 2 0 2 0 1 1 1 0 2 2 1 1 2 2 0 0 2 1 1 2 0 1 1 1 1 0 2 3 0 3 2 1 4 4 1 3 2 4 3 1 5      63000      72000 
297	2109500	0 2 0 2 0 2 1 1 3 0 1 2 1 1 1 0 1 1 2 1 2 0 1 0 1 1 2 0 1 2 2 1 0 2 2 0 1 1 0 2 1 1 1 1 2 0 0 3 2 3 4 1 0 4 2 3 3 4 5 1      72000      51750 
693	1594000	2 1 1 0 2 0 1 1 0 3 2 1 1 1 1 1 1 1 2 1 0 2 0 2 2 1 0 2 2 1 1 1 2 0 0 2 1 1 2 0 1 1 2 1 1 2 2 0 2 2 1 4 3 0 3 2 3 3 1 5      69000      40500 
1485	1576000	1 2 0 1 0 2 1 1 3 0 1 1 2 1 1 1 1 1 1 2 2 0 2 0 1 2 2 1 1 2 1 1 0 2 2 0 1 1 0 2 1 1 1 2 2 1 0 2 2 2 4 1 0 3 2 3 2 3 5 1      40500      69000 
2574	1505200	2 1 1 0 2 0 1 1 0 3 1 2 1 2 1 1 1 1 2 0 0 2 0 2 2 2 1 2 2 1 1 1 2 0 0 3 1 1 2 0 1 1 2 0 1 1 2 0 2 2 1 4 3 0 3 2 3 2 1 5      69000      36600 
