
0	2580000	2 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 2 0 0 2 0 1 0 1 0 2 3 0 0 2 0 3 1 1 0 2 2 1 1 1 0 3 3 1 4 0 1 4 3 2 3 3 3 3 3 3 9 1      63000      72000 
99	2007000	1 0 1 0 1 0 1 0 1 1 1 3 1 1 1 0 1 1 2 0 1 1 1 2 1 0 1 1 2 1 1 0 1 0 0 2 1 2 1 2 1 1 1 2 1 3 1 3 3 2 5 2 4 1 1 4 1 5 3 2      81000      40500 
198	1589200	1 0 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 2 1 1 2 1 1 0 1 0 2 0 1 1 1 0 2 2 1 2 2 0 1 0 1 3 2 1 2 3 2 3 2 1 4 4 2 9      97200      12600 
297	1492252	1 1 0 2 1 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 2 3 1 0 1 0 2 1 1 0 1 2 2 1 1 0 2 3 1 4 1 1 2 3 2 3 2 3 2 4 3 9 2       9126      98937 
396	1282000	1 1 2 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 2 0 1 2 1 0 2 0 1 1 1 0 2 2 1 1 2 0 1 3 1 4 2 2 2 3 2 3 2 3 3 4 2 9      81000      22500 
495	1180000	2 1 0 2 1 1 0 1 1 1 1 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 3 1 0 1 0 2 2 1 0 1 2 2 1 1 0 2 3 1 3 1 1 3 3 2 3 2 3 2 2 3 9 2      18000      81000 
693	1100000	1 1 2 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 2 1 0 2 0 1 1 1 0 2 2 1 1 2 0 1 3 1 4 3 2 2 3 2 3 2 3 3 4 2 9      81000      15000 
792	1080000	0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 0 1 0 2 1 1 1 1 1 3 1 1 1 1 1 1 4 1 3 2 3 2 3 2 3 3 3 3 8 2      15000      81000 
891	 996000	0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 1 1 1 1 1 0 2 1 1 1 2 1 1 4 1 3 2 2 3 1 3 4 2 3 3 8 2      15000      81000 
1287	 866000	0 1 0 1 1 1 0 1 1 1 0 1 0 1 3 0 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 0 2 1 1 1 1 0 2 1 1 1 2 1 1 4 1 3 2 2 3 1 3 4 2 3 3 8 2      21000      72000 
1386	 852000	0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 0 2 1 1 4 1 3 3 3 2 2 3 3 2 3 3 8 2      27000      63000 
1584	 830000	1 1 0 1 1 1 0 1 1 1 0 1 0 1 3 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 2 1 0 2 1 1 1 2 1 1 3 1 3 2 1 3 1 3 4 2 3 3 7 2      23000      69000 
1782	 826002	1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 4 3 3 2 3 3 2 3 3 3 3 2 8      69999      22334 
1881	 812000	1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 0 1 1 1 4 3 3 2 3 3 2 3 3 3 3 2 8      63000      27000 
2079	 754000	0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 0 2 1 1 4 1 3 3 2 3 2 3 3 3 3 3 8 1      27000      63000 
2772	 730000	2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 1 4 3 3 3 3 3 1 2 4 3 3 2 8      70000      20000 
3366	 710000	0 2 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 4 1 2 3 3 3 2 3 4 2 3 3 7 2      20000      70000 
3762	 690000	2 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 1 1 1 4 3 2 3 3 3 2 2 5 3 3 2 7      70000      20000 
3861	 670000	0 2 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 2 2 1 4 1 2 3 3 3 2 3 5 2 3 3 7 2      20000      70000 
4851	 656500	0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 0 2 2 1 4 1 2 3 2 3 3 3 5 2 3 3 7 3      15750      72000 
4950	 650000	0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 2 2 1 4 1 2 3 3 3 2 3 5 2 4 3 7 2      20000      70000 
11466	 640000	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 2 2 1 3 2 1 3 3 3 1 3 4 2 4 3 7 2      17500      70000 
12159	 626500	1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 2 3 1 3 3 3 1 2 4 3 4 3 7      72000      15750 
12951	 622000	0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 3 3 1 3 4 2 4 3 7 3      15750      72000 
13446	 617500	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 1 2 1 3 3 3 1 3 4 2 4 3 7 3      15750      72000 
13941	 591000	0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 3 1 1 2 1 3 3 3 1 3 4 2 4 3 7 3      16750      70000 
14139	 584500	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 3 2 1 3 1 3 3 3 1 2 4 3 4 3 7      70000      16750 
14634	 574000	1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 2 1 2 1 2 1 3 2 1 3 1 3 3 3 1 2 5 3 4 3 6      72000      14000 
15129	 562800	1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 2 1 2 1 2 1 2 2 1 3 0 3 3 3 1 2 5 3 5 3 6      72000      12800 
15525	 537200	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 4 1 2 1 2 1 2 1 2 1 1 2 0 3 3 3 1 3 6 2 5 3 5 3      12800      72000 
15723	 534000	1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 2 2 1 3 0 3 3 3 1 2 5 3 5 3 6      70000      14000 
16218	 530000	1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 3 1 2 2 1 3 0 3 3 3 1 2 5 3 5 3 5      70000      14000 
18198	 502000	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 3 1 2 2 1 3 1 3 3 3 1 2 5 3 5 3 5      70000      14000 
19386	 154400	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 2 1 1 2 1 3 3 3 2 3 6 2 4 3 5 3      16400      66000 
19485	 152800	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 2 1 1 2 1 3 3 3 1 3 6 2 5 3 5 3      16400      66000 
