
0	8269800	0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 2 0 0 1 0 0 0 0 3 0 1 1 0 1 0 1 0 1 3 0 0 0 2 1 1 0 1 1 1 1 1 1 1 0 1 0 2 1 0 2 0 1 0 2 1 1 2 1 0 2 0 0 0 2 1 0 2 0 1 1 2 0 0 0 1 1 1 1 0 1 1 2 0 4 1 1 1 1 3 1 2 1 2 0 0 0 2 0 3 0 0 3 1 1 0 2 0 0 2 1 1 1 4 0 0 0 3 1 3 0 1     135000     153000     126000 
495	7300800	0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 1 2 2 0 1 0 0 2 1 0 0 1 0 1 1 0 0 1 0 2 1 1 0 0 0 1 0 1 1 1 2 0 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 3 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 3 0 1 1 1 1 0 2 1 1 0 1 0 1 2 1 0 2 0 1 0 2 0 1 0 1 1 0 1 3 2 1 1 1 3 0 8 0     135000     119250     135000 
1485	6143800	0 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 2 1 1 0 1 0 2 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 3 1 0 1 1 1 0 2 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 4     130500     112500     112500 
3069	6107800	0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 1 0 1 1 2 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 2 2 0 1 1 0 1 2 0 1 1 0 1 1 1 1 1 0 2 0 1 1 0 0 1 1 1 1 1 1 1 1 3 1 1     112500     130500     112500 
4158	6093800	1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 2 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 1 0 1 1 2 0 1 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 2 1 0 1 2 0 1 1 0 1 2 0 1 1 1 1 0 0 2 0 1 1 1 0 1 1 1 1 1 1 1 1 3 1     112500     112500     130500 
4851	5954800	0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 2 1 0 0 1 0 3 1 1 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 2 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 2 1 0 2 1 1 2 0 1 1 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 2 1     175500      85500      94500 
5247	5517800	1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 1 0 2 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 2 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 2 0 1 2 2 0 2 2 1 1 1 1 1 1 1 0 1 1 2 1 1 1 2 2 0 1 1 2 1 1 1 1 1 1 1 1 2 1 1      63000     135000     144000 
5346	5325800	1 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 2 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 2 0 1 1 1 1 1 1 1 1 0 2 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 2 1 1 2 0 1 2 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 2 1 0 1 1 2 1 1 1 1 1 1 1 1 2 1     148500      90000      99000 
6336	5287800	0 1 0 0 2 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 2 1 1 0 0 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2     150000      82500     105000 
6930	5272800	1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1      87500     145000     105000 
