
0	5209800	0 0 0 2 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 0 1 0 1 0 2 1 0 1 1 0 0 0 1 1 0 1 2 0 0 0 0 1 0 1 1 1 0 0 0 1 2 2 0 0 0 0 1 2 1 1 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 2 1 1 0 0 3 0 1 0 1 1 0 1 2 1 1 1 0 2 2 0 0 1 1 0 0 3 0 1 1 0 0 0 1 3 1 2 0 0 0 2 1 0 1 0 2 0 2 0 0 2 1 0 0 2 1 2 2 0 2 1 0 0 0 1 1 1 0 2 3 1 1 1 2 0 0 2 1 0 3 0 0 0 0 1 2 1 2 1 0 1 2 0 1 1 2 0 0 1 2 2 0 0 3 1 1 0 1 4 1 4 3 1 0 4      98000      45500     135000      54500 
297	5113800	0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 2 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 0 1 1 2 1 2 0 1 1 1 0 1 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 2 1 1 1 1 0 0 1 2 1 0 2 0 2 0 1 0 1 0 3 0 0 3 0 1 0 0 3 1 1 1 0 0 0 1 0 1 1 1 0 1 2 0 2 0 1 0 2 0 1 1 0 2 2 1 0 0 0 1 1 1 0 1 1 3 1 3 0 2 0 1 1 1 3 1 0 0 0 0 1 2 1 1 1 0 2 1 1 1 2 1 1 0 2 3 0 0 3 1 0 1 1 0 4 1 2 0 4 0      81000     108000      63000      81000 
693	4899800	0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 0 1 1 0 1 2 1 1 1 2 0 2 0 1 0 1 1 5 1 0 1 0 1 1 0 1 0 1 1 1 1 0 2 1 1 1 0 0 1 2 0 0 1 1 1 0 1 1 1 1 1 2 1 0 1 0 1 1 2 0 2 0 2 1 1 0 1 0 1 1 1 3 0 0 2 0 1 1 0 1 1 2 1 2 0 1 0 2 0 1 0 2 1 0 1 2 1 4 1 1 2 0 1 2 1 0     114000      99000      66000      45000 
792	4779600	1 1 2 1 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 1 2 0 0 1 1 0 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 2 1 0 2 1 0 1 1 1 0 1 0 1 0 1 0 1 2 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 2 1 0 0 1 1 0 0 2 1 3 1 0 0 0 1 3 0 1 1 0 1 1 1 1 0 0 2 0 1 0 0 2 1 0 0 2 1 1 2 0 1 1 0 0 2 1 1 1 0 1 2 1 1 3 1 0 1 1 1 0 1 1 0 0 2 0 2 1 0 1 0 1 1 1 1 2 1 1 0 1 2 3 0 0 2 2 1 0 3 0 1 4 1 0 1 3 2      68600      82600      84800      90700 
891	4490800	0 2 1 1 0 1 0 0 0 1 2 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 2 0 0 1 0 1 2 0 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 0 0 2 0 1 1 1 0 0 1 1 0 1 2 1 2 2 1 0 1 1 3 1 0 0 0 2 0 0 2 1 0 1 0 0 2 0 1 0 2 1 0 1 1 2 2 0 0 1 2 0 1 1 0 1 1 2 0 0 1 0 1 2 0 0 1 3 1 1 0 2 0 0 0 1 2 3 0 0 0 0 1 2 2 2 1 0 2 2 1 1 3 2 1 0 0 2 1 0 1 3 0 1 0 1 4 1 2 3 2 0 0      99000      58500      94500      65250 
1089	4357800	1 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 2 2 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 2 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 2 0 1 1 1 1 0 1 2 1 1 0 0 1 2 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 2 1 2 1 0 2 0 0 1 1 0 1 1 1 2 1 0 2 0 1 1 0 2 1 0 0 3 2 0 1 1 1 1 0 2 1 1 3 0 1 0 0 2 2 2 2 0 0 2 2 1 1 1 2 0 0 1 2 0 0 0 3 1 1 2 1 1 1 1 3 0 0      65000     115000      60000      75000 
1188	4202300	1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 2 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 2 1 0 1 0 0 1 0 1 1 2 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 0 1 1 1 1 1 0 1 3 1 0 1 1 1 0 2 1 0 0 1 0 1 3 1 2 1 0 1 0 1 1 1 1 2 2 0 0 1 2 1 0 1 1 1 1 1 2 2 1 1 1 1 0 1 3      93375      52875      78750      82125 
1287	3451800	1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 2 0 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 0 1 0 2 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 1 1 1 1 1 1 1 1 1 0 2 1 1 1 0 1 1 1 1 2 1 1 1 1 1 1 0 1 2 2 3 0 1 0 0 2 1 2 2 0 1 0 2 1 1 2 2 0 0 1 2 0 1 2 3 1 1 1 1 1 2 3 3 0 1      81000      54000      99000      54000 
1386	3401800	0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 2 1 0 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0 0 2 0 0 1 1 1 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 2 0 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 2 1 0 1 0 1 1 1 1 1 1 1 3 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 2 2 0 1 0 0 2 1 2 2 0 1 2 0 1 1 2 2 0 0 3 1 0 1 3 3 1 1 1 1 1 2 3 3 0 1      54000      81000      99000      54000 
2277	3289800	0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 0 2 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 2 0 0 0 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 2 0 0 1 2 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 2 1 1 2 0 0 1 1 0 1 0 1 2 1 0 2 0 1 1 0 2 1 1 0 3 1 1 1 1 1 2 0 1 1 1 2 0 0 1 0 2 1 2 2 0 1 0 1 1 1 3 2 0 0 1 2 0 1 1 3 1 1 1 2 1 1 1 3 0 1      36000      94500      53500      99500 
