
0	1957000	0 5 0 0 0 5 0 0 1 0 4 1 0 0 2 5 0 0 4 0 0     247500      54000     234000 
99	1729900	0 4 0 0 0 6 0 1 0 0 3 0 0 1 2 4 0 0 5 0 1     198400     234000     108000 
198	1562000	0 4 0 0 0 6 0 1 0 0 3 0 1 1 2 3 0 0 5 0 1     240000     234000      42500 
297	 951500	0 1 0 0 1 3 1 1 2 1 1 0 1 1 2 6 1 1 0 3 1      70000     380000          0 
495	 784000	0 3 3 0 0 4 1 0 0 1 5 0 1 1 2 3 0 0 3 0 0     340625      31875      63750 
594	 626088	1 3 0 0 0 1 1 0 1 1 4 0 0 2 1 1 0 3 5 0 3      75000     106250     241666 
693	 601503	0 3 0 0 0 2 1 0 1 0 6 0 2 0 1 4 0 1 2 0 4     150000      83333     200000 
792	 568701	0 3 0 1 1 0 0 2 1 2 3 0 2 0 1 3 0 2 1 0 5     146166      83333     190766 
1188	 297500	0 2 1 1 0 0 1 1 0 1 1 2 1 1 2 3 1 1 2 3 3     229500      56500     120500 
1386	 173000	0 3 0 0 1 2 1 0 0 0 4 2 1 1 2 2 0 3 5 0 0     234000      78000      94000 
1881	 165000	1 0 2 1 0 0 1 0 2 2 0 1 1 2 1 2 2 1 1 5 2     250000     150000          0 
1980	 129000	1 0 1 1 0 1 1 1 0 1 0 3 2 1 1 1 2 3 2 5 0     110000     176000     130000 
3267	  80625	1 0 1 1 0 1 1 1 0 1 0 3 2 1 1 0 2 3 3 5 0      90625     165625     153125 
3366	  40599	1 0 1 1 0 1 1 1 0 1 0 3 3 1 0 1 1 4 1 6 0     111764     164705     130882 
8019	  38334	1 0 1 1 0 0 1 0 1 0 3 3 2 0 1 2 2 1 2 4 2     240000     146666      20000 
8415	  13340	1 0 1 1 0 1 1 0 1 0 3 3 2 0 1 2 2 1 2 4 1     241666     150000      16666 
11682	  11250	1 0 0 1 0 1 1 0 1 0 3 4 2 0 1 2 2 1 2 4 1     243750     150000      12500 
0	2096000	0 3 0 0 0 5 0 0 1 0 6 1 0 0 2 5 0 0 4 0 0     247500      75000     234000 
99	1661500	2 0 0 0 0 4 1 0 1 6 0 0 0 0 3 0 5 1 0 4 0     112500     247500     150000 
297	1492750	1 0 0 0 4 0 1 1 0 5 0 0 1 3 0 0 1 5 1 0 4     225000      75000     191250 
396	1336500	2 0 0 0 0 6 0 1 0 0 2 0 4 0 2 3 3 1 0 3 0     112500     330000      42500 
495	1176500	1 0 0 0 4 0 1 1 0 5 0 0 1 3 0 0 1 4 1 0 5     225000      75000     175000 
594	 991499	1 1 0 0 1 3 1 1 0 0 3 0 0 0 5 4 1 0 3 2 1     185555     166666     100000 
693	 913126	0 1 1 1 0 0 1 0 1 2 0 2 0 3 1 2 4 1 3 1 3     229500     136062      91812 
792	 693960	2 0 1 0 1 0 1 1 0 0 3 0 1 2 0 4 1 2 1 1 6      57227     229500     135545 
990	 661500	1 1 0 0 0 2 1 1 0 4 2 0 1 0 3 0 3 1 2 2 3      10000     239999     163333 
1089	 544833	1 0 2 1 1 0 2 1 0 2 2 0 1 2 0 1 1 3 1 2 4       6666     246666     155555 
1386	 521500	1 2 0 0 1 2 1 0 0 2 0 0 0 0 3 3 3 0 2 3 4     250000          0     150000 
1485	 151500	1 0 1 1 1 0 1 1 0 2 2 0 0 2 1 1 2 3 3 1 4     105500     149500     158500 
1683	 135000	1 0 1 1 0 1 2 1 0 1 0 2 3 0 2 0 5 0 1 3 3      50000     160000     200000 
1881	 117000	2 0 0 0 1 1 0 1 1 1 2 1 1 2 1 2 2 2 3 1 3     137500      77000     203500 
2970	 117000	0 2 0 1 0 1 1 0 1 2 1 1 2 1 1 2 2 2 1 3 3      77000     137500     203500 
4158	  65000	1 1 0 2 0 1 1 1 0 3 1 1 0 1 2 1 2 2 1 3 3      50000     200000     150000 
6930	  55000	0 1 2 1 0 0 1 0 0 1 1 2 1 3 1 2 3 1 3 1 3     255000      65000      90000 
9801	  29455	0 1 2 1 0 0 1 0 0 1 1 2 1 3 1 2 4 1 3 0 3     262962      42592     103703 
0	3009500	0 4 0 0 0 8 1 0 0 2 2 0 0 1 1 0 2 0 6 0 0     234000     418125      31875 
99	2489000	2 1 0 0 1 5 1 0 0 2 6 0 0 1 4 2 0 0 2 0 0     495000          0     112500 
198	1039557	0 4 0 0 1 3 1 0 1 2 4 0 1 0 3 2 0 1 3 0 1     345277      62500      64166 
297	1037125	0 4 0 0 1 3 1 0 1 2 4 0 1 0 2 2 0 1 3 0 2     326875      56250      66250 
396	 921500	0 4 0 1 0 0 1 0 1 2 2 1 1 1 2 2 2 1 2 0 4     255000      62500     147500 
594	 711500	0 2 0 2 0 0 1 0 1 0 3 2 3 1 0 1 1 3 2 2 3     127500     117500     185000 
