
0	10240964	27 0 0 19 0 5 1 0 0 1 0 1 0 1 1 0 1 0 0 7 1 0 0 1 1 0 0 2 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0       2222      11428 
99	7490000	0 1 1 23 14 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 3 0 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 1     152000     100000 
792	5775972	1 1 0 23 0 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 1 1 0 2 1 1 0 1 1 1 1 1 1 1 1 1 2 16 1     135000      71999 
891	5728000	1 1 1 21 14 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 2 1 0 1 0 1 1 1 0 1 0 1 0 1 2 1 1 1 1 1 1 1 1 1 2 1 2     117000      90000 
990	5684000	1 1 0 1 0 2 1 12 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 2 1 1 1 1 2 1 1 0 1 1 1 2 1 1 2 1 1 2 16 1     135000      72000 
1287	5668000	0 1 0 23 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 2 1 2 2 1 2 16 1     137000      70000 
1485	5636000	0 1 0 21 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 2 1 1 1 1 2 1 2 1 1 2 16 2     100000     107000 
1683	5616000	0 1 0 23 1 1 1 0 1 0 1 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 2 1 1 1 3 2 0 1 3 16 1     137000      70000 
1782	3926000	0 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 2 1 2 17 14      81000      85500 
1980	3917000	1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 2 1 2 15 14      81000      85500 
