
0	10181304	23 0 0 0 0 27 4 0 0 0 0 7 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 2 0 29 0 0 0 1 0 5 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 3 0 0 1 0 0 6 0 0 0 0 0 0 0 1 1 0 0 1 0 0       2608       2758       2222 
99	9410000	0 1 0 1 0 30 0 6 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 3 0 1 0 1 0 1 0 1 0 0 1 2 0 1 0 1 1 1 0 1 0 0 1 0 1 20 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 20 0 1 0 1 2 0 1 3 0 1     207000      90000          0 
297	5682000	0 0 1 0 0 16 1 1 1 0 4 1 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 2 1 1 1 1 1 0 0 1 0 1 16 1 1 1 0 1 1 0 1 1 1 1 0 28 1 1 0 1 1 0 1 1 0 1 1 0 1 2 1 0 2 1 1 1 0 1 1 0 1 1 0 1 1 0 2 2 0 1     117000          0      90000 
594	5636000	1 0 1 16 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 3 1 16 1 1 0 1 1 1 1 1 1 16 1 0 1 1 2 1 1 1 0 1 1 1 1 1 1 0 2 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 1 1 2 1      80000      80000      47000 
891	5590000	1 0 0 16 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1 3 1 16 1 1 0 1 1 1 1 1 1 16 1 0 1 1 2 1 1 1 0 1 1 1 1 1 1 0 2 1 1 2 1 1 1 2 1 1 1 1 1 2 2 2 2 1 2 1      80000      80000      47000 
1188	4345000	1 0 0 16 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1 3 1 16 1 1 0 1 0 1 1 1 1 16 1 0 1 1 2 1 1 1 0 1 1 1 1 1 1 0 1 2 1 2 1 2 1 1 1 1 2 1 2 2 2 2 2 2 2 1      72000      72000      31500 
1386	4156000	1 0 0 16 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 3 1 1 1 16 2 1 0 0 1 1 1 14 1 1 1 0 1 1 2 1 0 1 1 1 1 1 1 1 0 2 2 1 1 2 2 1 0 1 2 1 1 2 1 2 2 2 2 1 2      72000      63000      36000 
1584	3843974	1 0 0 16 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 3 1 16 0 2 0 1 0 1 1 1 1 15 1 0 1 1 2 1 1 2 0 1 1 1 1 1 1 0 2 2 1 2 1 2 1 1 1 1 2 1 1 2 2 1 2 2 2 1      72000      44999      45000 
1782	3810000	1 0 0 16 0 1 0 1 2 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 3 0 1 1 16 1 1 1 0 1 1 1 15 0 1 1 0 1 1 2 1 0 1 1 1 1 1 0 1 0 2 1 1 1 2 2 1 1 1 2 1 1 3 2 3 2 2 2 1 2      72000      45000      45000 
1881	3778400	1 0 1 15 1 16 1 1 0 1 0 2 0 1 0 1 0 1 1 1 1 0 1 0 2 1 1 1 0 1 0 2 1 1 0 1 1 1 0 0 1 1 1 15 1 1 0 1 1 1 0 0 1 1 1 0 1 1 2 1 1 0 1 1 1 1 1 1 1 0 2 0 1 2 1 2 1 2 2 1 1 2 1 0 1 2 2 1 2 2      68400      70200      21600 
2079	3748000	1 1 0 16 15 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 0 1 2 0 1 2 1 0 0 2 1 1 1 0 0 1 1 1 1 1 1 1 16 1 1 0 0 1 1 0 1 1 1 1 0 1 1 2 1 1 1 1 0 2 1 1 1 0 0 2 1 1 2 2 1 1 1 2 1 1 1 2 1 2 2 2 1 2      46000      46000      69000 
2376	3724000	1 1 0 15 15 0 0 1 0 1 1 0 0 0 1 2 1 0 1 1 0 0 0 1 1 0 1 1 1 0 1 2 1 1 1 0 1 1 1 1 1 1 0 1 16 1 1 0 0 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 0 2 1 1 1 0 0 2 1 1 2 3 1 1 1 2 1 0 1 2 2 2 2 2 1 2      24000      63000      72000 
2574	3625000	1 0 0 16 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 2 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 3 1 1 0 16 1 0 1 0 1 1 1 15 1 1 1 1 1 1 2 1 0 1 1 1 1 1 1 1 0 2 2 1 2 2 2 1 0 1 2 1 1 2 2 2 2 2 2 1 2      76500      63000      18000 
