
0	1701000	0 1 2 0 5 0 1 0 3 0 4 0 0 1 3 0 3 2 0 2 3 0 0 2 0 2 0 0 2 2 1 1 0 1 2 2 1 1 2 0 4 0 1 2 1 1 0 1 0 2 1 1 0 1 1 0 1 2 0 0 1 2 2 2 0 0 1 2 1 3 0 0 3 3 3 3 2 5 3 1 1 5 0 0 6 0 0 5 0 4      49500      31500      31500 
99	1446000	1 0 1 1 0 0 0 3 0 1 0 0 2 0 2 1 0 0 0 3 1 0 1 2 0 4 1 0 3 0 2 0 0 1 0 1 0 3 0 2 0 0 0 3 0 1 2 0 2 0 2 1 0 2 1 2 0 1 1 1 1 1 1 1 1 1 1 0 3 1 3 4 3 3 3 3 3 2 2 1 6 1 3 7 5 2 2 7 0 0      63000      27000      18000 
198	 751000	1 0 1 1 0 1 0 2 1 0 1 2 0 2 1 1 0 1 1 0 1 1 0 2 0 4 0 3 0 0 0 1 2 1 3 0 1 0 2 1 0 2 1 0 2 0 1 2 3 0 0 1 1 1 0 3 0 1 0 3 2 0 1 1 2 0 1 0 2 3 1 1 1 2 5 1 4 3 6 1 1 1 6 2 1 6 3 8 2 0      35000      27500      28000 
585	 108890	1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 3 1 0 3 1 0 3 2 0 2 3 5 0 3 9 0 3 2 2 3 3 2 4 2 1 1 19 6      63000       7111      13500 
981	  76528	0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 1 1 2 0 1 3 0 1 3 1 1 2 0 2 2 4 3 1 5 3 1 2 3 2 2 3 2 4 4 0 21 1 6       6522      63478      13261 
1179	  65720	0 0 1 0 0 1 1 0 1 1 0 1 2 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 2 1 1 2 1 0 2 1 0 2 2 6 5 2 2 2 3 4 1 3 3 2 3 0 2 4 18 3 2       6286      13143      63714 
1764	  49420	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 1 1 2 2 1 2 1 1 2 0 1 2 0 2 2 6 2 5 2 3 2 4 3 1 2 3 2 0 4 2 17 2 4       5883      64117      12942 
0	1140000	0 1 1 1 1 0 1 1 0 0 2 0 0 1 2 0 2 3 2 0 0 0 4 1 0 1 2 1 0 4 2 0 0 2 2 0 1 2 0 2 0 0 1 1 1 0 0 3 0 0 3 2 0 1 0 1 4 0 3 2 3 1 0 3 0 0 1 1 1 0 2 3 1 2 5 5 0 1 2 5 1 2 4 0 1 5 4 9 0 0      40500      31500      27000 
198	1009200	1 0 1 1 0 2 1 1 0 1 2 0 2 1 0 1 0 1 1 1 1 2 0 1 0 1 1 0 1 3 1 1 1 1 1 1 1 2 0 0 0 4 1 2 0 0 0 3 1 1 1 1 2 0 3 0 0 1 0 5 2 0 2 1 1 1 2 1 0 2 0 3 5 2 0 2 3 2 3 3 7 1 5 1 4 3 1 0 8 0      33400      33400      29600 
396	 984000	1 0 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 2 0 1 2 0 1 1 1 1 1 0 2 1 1 1 1 2 0 0 2 1 1 1 1 0 2 1 1 0 2 0 2 1 2 1 0 0 2 1 3 2 0 1 1 1 2 0 1 0 2 1 2 3 1 4 5 2 2 3 2 4 2 1 2 3 3 5 1 2 1 2 10      32000      34000      29000 
