
0	14362800	5 0 0 0 0 5 2 3 0 1 0 2 1 0 0 1 3 5 0 0 0 1 2 5 2 1 0 0 0 0 4 7 0 0 1 2 1 0 0 0 0 4 0 0 0 0 6 6 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 2 2 0 0 2 0 0 0 0 0 1 1 0 3 0 0 0 0 7 7 0 1 0 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 1 2 3 2 0 0 0 0 4 2 0 0 1 0 0 2 0 0 2 2 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 1 1 0 1 0 1 0 2 1 0 0 1 1 0 0 2 1 0 0     150000     187500     225000          0 
99	6863800	1 0 0 0 0 3 8 1 0 1 0 4 0 1 0 0 0 1 0 0 1 0 3 2 0 1 6 3 1 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 1 3 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 2 0 0 1 1 2 3 1 0 1 0 1 1 0 0 3 0 6 6 1 0 0 0 4 0 0 1 1 0 0 0 1 1 0 0 1 0 1 4 1 1 0 0 0 1 3 4 1 1 1 0 1 0 1 0 2 5 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 2 1 0 1 1 0 0 0 2 1 0 1 1 0 0 0 2 0 0 2 0 0 0 1 1 0 1 1 2 0 1 2 0 0 0     225000     123000      12000      12000 
495	6612984	1 0 0 0 0 3 8 0 0 1 0 2 0 1 0 5 0 1 0 0 1 0 3 0 0 1 6 3 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 1 3 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0 3 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 2 0 1 1 1 2 0 1 0 1 1 1 1 0 0 3 0 6 3 1 0 0 0 4 0 0 0 1 0 0 0 1 1 0 0 1 0 1 3 1 1 0 0 0 1 3 7 1 1 1 0 1 0 1 0 1 5 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 2 0 0 1 1 0 0 0 2 1 1 1 1 0 1 0 2 0 0 2 0 0 1 1 1 0 1 1 2 0 0 2 0 0 0     217800     135000       7200       7199 
594	6387800	1 0 0 0 0 3 8 0 0 1 0 2 0 1 0 5 0 1 0 0 1 0 3 0 0 1 6 3 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 1 3 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0 3 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 2 0 1 1 1 2 0 1 0 1 1 1 1 0 0 3 0 6 3 1 0 0 0 4 0 0 0 1 0 0 0 1 1 0 0 1 0 1 3 1 1 0 0 0 2 3 7 1 1 1 0 1 0 1 0 1 5 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 2 0 0 1 1 0 0 0 2 1 1 1 1 0 1 0 2 0 0 2 0 0 1 1 1 0 1 1 1 0 0 2 0 0 0     225000     135000          0          0 
693	5492050	1 0 0 0 0 2 0 7 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 3 0 1 0 6 1 0 1 0 1 0 0 0 0 1 1 0 0 2 0 0 0 1 1 3 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 2 0 0 1 1 1 2 1 0 0 1 1 1 1 0 3 0 1 5 1 0 1 0 3 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 3 1 1 1 1 1 0 1 1 2 5 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 2 1 1 1 1 1 0 1 2 2 1 1 1 1 0 0 2 1 0 2 0 1 0 1 1 1 0 1 2 1 1 2 0 1 0     147375      85000     105125       5625 
792	5479800	1 0 0 0 0 2 2 0 0 1 4 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 4 1 1 0 0 0 0 1 1 1 0 2 0 0 0 1 2 1 1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 0 1 0 2 1 0 1 1 4 1 1 0 1 0 1 1 0 1 2 0 3 1 1 0 0 1 2 0 0 1 1 0 1 1 1 1 2 1 1 0 6 1 1 1 1 1 0 1 4 1 1 1 1 1 1 0 0 1 2 5 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 1 2 1 1 1 1 0 1 0 2 0 2 1 1 0 1 0 2 0 1 2 0 0 1 1 1 0 1 1 2 0 1 2 0 0 1     148500      90000       4500      99000 
891	4605568	1 0 0 1 0 0 7 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 3 1 0 1 6 0 1 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 3 0 1 1 0 1 1 1 0 0 0 2 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 2 1 0 1 1 1 0 1 0 1 1 1 5 2 1 0 0 1 1 2 0 3 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 3 0 1 1 1 1 1 0 1 1 1 1 0 2 1 0 0 2 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 2 1 0 1 1 0 1 1 1 0 0 0 1 0 2 2 1 0 1 1 1 2 2 1 1 0 2     135000     108000       6814      67500 
1089	3793800	0 0 1 1 0 0 0 1 0 0 1 2 2 0 2 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 2 1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1 1 1 1 2 1 1 1 0 1 1 1 1 0 2 1 2 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 2 0 1 0 1 1 0 0 1 0 1 1 1 1 1 2 0 1 1 1 0 1 1 1 2 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0 2 0 0 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 2      75000     132000          0      93000 
1287	3568800	1 1 0 0 0 1 0 0 0 2 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 2 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 2 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 2 1 0 1 1 1 0 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 2 0 1 1 0 1 1 1 0 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 2 0 1 1 1 1 1 1 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 0 1 1 1 2 1 1 2 1 1 1 2 1 2 1 1      29000      85500     110500      67500 
1782	2882800	1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 2      77250      42250      87500      65250 
