
0	14362800	5 0 0 0 0 5 2 3 0 1 0 2 1 0 0 1 3 5 0 0 0 1 2 5 2 1 0 0 0 0 4 7 0 0 1 2 1 0 0 0 0 4 0 0 0 0 6 6 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 2 2 0 0 2 0 0 0 0 0 1 1 0 3 0 0 0 0 7 7 0 1 0 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 1 2 3 2 0 0 0 0 4 2 0 0 1 0 0 2 0 0 2 2 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 1 1 0 1 0 1 0 2 1 0 0 1 1 0 0 2 1 0 0     150000     187500     225000          0 
99	11004800	4 0 0 0 0 4 2 3 0 1 0 2 1 0 0 1 0 4 0 0 0 1 2 5 0 1 0 0 0 1 4 7 2 0 1 2 1 0 0 0 0 3 0 0 1 0 6 6 1 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 1 1 1 0 2 1 0 1 0 7 7 0 1 0 0 1 0 1 0 0 1 0 0 1 2 0 0 0 1 1 2 3 2 0 0 0 1 4 2 0 1 1 0 0 1 0 0 1 2 0 0 1 0 1 1 1 0 2 0 1 1 0 0 1 1 1 0 0 2 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0     238500     230000      13000          0 
396	10065800	4 1 0 0 0 3 3 4 1 1 2 1 0 1 1 0 0 3 0 0 2 2 5 6 0 2 0 0 2 0 7 1 1 0 2 0 0 2 0 0 0 4 0 0 1 0 6 3 0 0 0 1 0 2 0 0 1 1 0 1 1 0 0 4 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 2 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 7 1 0 0 1 2 1 0 0 0 1 1 0 0 0 3 0 0 0 1 2 1 1 1 0 0 1 0 1 1 1 1 0 3 1 1 0 1 0 3 0 0 1 1 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 1 0 0 0 0 0 3     243000      75600          0     135000 
495	8652770	4 0 0 1 0 0 7 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 6 0 0 1 0 1 2 0 2 1 1 0 0 1 0 1 4 1 1 1 0 0 1 0 4 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 5 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 2 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 4 1 0 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 2 0 1 0 0 0 1 1 0 3 1 1 0 0 1 1 2 0 1 1 1 0 1 1 5 0 0 1 1 0 2 1 0 1 1 1 1 0 1 0 0 1 1 1 2 0 1 1 2 0 1 1 0 0 1 1 0 0 1 1 2 0 1 1 1 0 1 1 2 0 1      13000     148250      31749     230000 
594	7066442	0 1 0 0 0 3 2 1 1 1 0 4 0 1 0 0 0 5 0 0 1 0 2 2 0 1 0 3 1 1 4 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 6 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 2 0 0 1 0 0 3 1 0 1 0 0 2 0 0 1 0 7 6 1 1 0 0 1 0 1 1 1 1 0 0 4 2 0 0 1 0 1 4 1 1 0 0 0 1 6 4 1 0 1 0 1 1 0 0 1 1 0 0 2 0 1 1 1 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 2 0 0     227166     135000      15833          0 
693	7040444	0 1 0 0 0 3 2 1 1 1 0 4 0 1 0 0 0 5 0 0 1 0 2 2 0 1 0 3 1 1 4 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 6 1 1 0 1 1 1 1 0 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 2 0 0 1 0 0 3 1 0 1 0 0 2 0 0 1 0 7 6 1 1 0 0 1 0 1 1 1 1 0 0 3 2 0 0 1 0 1 4 1 1 0 0 0 1 6 4 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 2 0 0     227166     135000      15833          0 
792	6857400	1 1 0 1 0 0 4 0 0 0 1 1 0 1 0 0 0 0 4 0 0 1 1 0 1 0 1 0 1 2 1 1 1 1 0 0 1 1 0 1 0 1 3 0 0 1 0 5 0 1 0 6 1 1 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 1 1 2 1 1 1 0 1 0 2 0 1 1 0 0 0 0 1 2 1 1 0 1 1 0 1 1 1 0 2 0 1 1 1 0 1 1 2 0 1 1 1 1 1 1 0 1 1 0 1 1 1 2 2 1 1 1 0 1 0 1 0 1 2 0 0 1 1 1 1 1 1 1 2 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 2 1 1 1 1 1 1 1 1 1 1 1     107400     150000      43800      75000 
891	4750316	0 1 1 1 0 3 0 0 0 0 0 1 0 1 1 1 0 4 0 0 0 0 1 1 1 1 0 0 1 0 2 1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 4 0 0 1 5 1 1 1 1 2 2 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 5 0 0 1 1 1 0 0 1 0 2 1 0 1 0 1 0 1 1 2 2 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 2 1 0 1 1 2 1 1 1 0 1 1 0 0 1 1 2 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 2 0 0 2 1 1 1 1 2      73285      23142     146571      78428 
1287	3989800	1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 0 2 1 1 1 5 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 2 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1      90000      76500      58500      76500 
1386	3067778	0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 1 1 2 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 0 3 0 0 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 2 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 0 4 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 2 1 1 1 0 1 1 1 1 1 2 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 2 0 1 2 1 0 1 2 1 0 1 1 2 1 1 1 2 1 2 1 1 1      99000      44999      90000      45000 
