
0	5732050	1 0 0 0 0 1 1 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 1 2 1 0 0 1 0 0 0 1 1 0 1 1 1 2 0 0 2 0 0 1 1 0 1 0 2 0 1 1 0 0 1 0 0 1 0 0 0 2 1 1 0 0 0 1 0 0 1 1 0 1 0 1 3 0 1 0 1 1 1 1 2 0 0 1 0 1 0 0 4 1 1 0 1 2 1 1 1 0 2 0 0 1 0 2 0 2 0 0 2 2 0 1 2 0 2 2 0 1 3 2 0 1 3 0 0 1 1 0 0 0 4 0 3 1 3 0 0 1 3 2 3 0 1 4 0 0     135000     153000      59625 
792	5702050	1 1 0 0 0 1 1 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 1 2 1 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 2 0 0 1 1 0 1 0 2 0 2 1 0 0 1 0 0 1 0 0 0 2 1 1 1 0 0 1 0 0 1 1 0 1 0 1 3 0 1 0 1 1 1 1 2 0 0 1 0 1 0 0 4 1 1 0 1 2 1 1 1 0 2 0 0 1 0 2 0 2 0 0 2 2 0 1 2 0 2 2 0 1 3 2 0 1 3 0 0 1 1 0 0 0 4 0 2 1 3 0 0 1 3 2 3 0 1 4 0 0     135000     153000      59625 
1485	5421800	0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 2 1 1 0 0 2 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 2 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 2 0 0 2 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 2 0 1 1 1 1 1 1 0 1 1 0 1 4 0 1 2 0 0 1 2 1 0 2 2 0 0 1 2 0 1 2 0 1 1 3 1 2 1 1 1 2 1 3 4     142000     135000      65000 
1782	4227800	0 0 1 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 1 0 2 0 0 0 1 1 0 0 2 1 1 0 0 2 0 0 0 1 0 1 1 1 1 0 0 2 0 2 1 2 0 1 1 0 1 1 0 1 1 2 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 1 1 1 2 1 1 0 1 2 1 0 1 3 0 0 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 1 1 1 0 0 3 0 1 1 4 0 0 2 2 0 0 0 2 2 1 1 0 1 2 0 1 4      72000      81000     153000 
2376	3907000	0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0 2 0 0 0 1 1 0 1 1 1 0 2 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 2 2 0 0 1 0 0 1 1 0 1 2 1 0 0 0 1 0 0 1 1 2 0 1 0 1 1 0 1 0 1 1 1 2 1 1 0 1 0 1 1 2 2 0 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 2 0 1 2 0 1 2 0 2 2 0 2 2 0 1 1 1 0 0 2 0 0 2 1 4 0 1 2 0 3 0 1 1 2 1 1 0 2 3 0 4      55800      93600     151200 
3564	3531800	0 1 0 1 0 0 0 1 0 0 0 1 0 0 2 0 1 1 1 1 0 2 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 1 2 2 0 0 1 0 0 1 0 0 1 1 0 0 2 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 2 1 1 2 0 1 1 1 0 2 0 2 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 2 0 1 2 0 1 2 0 1 2 0 2 1 0 2 1 1 1 0 2 0 0 2 0 4 0 1 2 1 0 0 0 4 2 1 1 1 2 1 0 4 3      78000     135000      75000 
5337	2476300	0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 2 0 0 2 0 0 2 0 0 2 0 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 2 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 1 3 1 0 2 1 0 4 1 0 7 1 0 3 2 0 3 2 0 3 0 0 10     153000      76500      36450 
5634	2415600	1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 2 0 0 2 0 0 2 0 0 2 0 0 2 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 1 1 1 0 1 3 0 1 4 0 1 4 0 1 2 0 2 3 0 1 3 0 1 9      54000     151200      62100 
9288	1566200	0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 2 0 0 2 0 0 2 0 0 2 0 0 2 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 1 1 1 0 3 1 0 4 1 0 4 1 0 4 2 0 3 2 0 3 0 0 9     151200      54000      40500 
9387	1417994	0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 0 2 0 0 2 0 0 2 0 0 2 0 1 2 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 2 1 0 2 1 0 2 1 0 2 1 0 2 1 2 1 1 4 0 1 3 0 1 3 0 1 4 0 2 2 0 2 1 0 0 13 0     153173      31154      54000 
14040	1412032	0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 2 0 0 2 0 0 2 0 0 2 0 0 2 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 2 1 1 2 0 1 2 0 1 2 0 1 2 0 1 1 2 1 0 3 1 0 3 1 0 3 1 0 4 2 0 3 2 0 1 0 0 13     153173      54000      31154 
0	7927800	0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 2 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 3 0 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 3 0 0 2 0 0 1 1 0 1 1 2 0 0 2 1 1 0 2 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 2 0 1 2 1 1 2 1 2 0 0 2 0 0 4 0 1 4 0 0 1 2 1 0 1 2 1 0 1 2 2 2 1 2 3 4 0 3 0 2 6 0 0     135000     135000     135000 
198	6211800	0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 1 1 2 0 0 1 0 0 0 1 0 1 1 2 0 0 0 1 2 0 1 1 2 0 0 0 3 1 0 1 0 0 2 0 1 1 0 2 0 1 0 2 1 1 1 0 0 1 1 2 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 2 1 1 3 1 1 0 1 0 2 0 1 0 2 0 0 3 0 0 2 2 0 1 1 0 1 1 1 0 1 0 1 1 0 1 2 1 0 0 2 0 0 1 2 0 0 3 3 0 0 0 1 1 0 2 1 2 1 2 7 0 0      90000     135000     135000 
792	6117800	0 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 1 1 0 2 0 0 0 1 1 2 1 0 2 1 1 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 2 0 0 1 1 0 1 0 1 2 2 0 1 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 2 2 1 1 0 1 1 1 2 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 1 4 1 0 2 1 0 1 0 1 1 0 1 2 0 1 2 0 2 1 0 2 1 2 0 2 2 0 2     115000     135000     110000 
1386	6067800	0 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 1 1 0 2 0 0 0 1 1 2 1 0 2 1 1 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 2 0 0 1 1 0 1 0 1 2 2 0 1 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 2 2 1 1 0 1 1 1 2 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 1 4 1 0 2 1 1 1 0 1 1 0 1 2 0 1 2 0 2 1 0 2 1 2 0 2 2 0 2     115000     135000     110000 
1782	4740800	1 1 1 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 2 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 2 0 1 0 1 0 2 0 1 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 2 1 0 0 1 1 2 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 1 2 2 0 3 2 0 1 1 0 1 1 2 0 2 2 0 1 1 1 1 1 1 1 2 4 2 2 1 3 1 0      91500      90000     135000 
3366	4101300	0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 1 0 2 0 1 0 1 1 2 1 0 1 0 1 0 2 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 2 0 0 1 1 0 2 0 2 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 2 1 1 0 1 0 2 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 2 0 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 0 2 1 1 1 2 1 1 2 2 0 1     150750      90000      63000 
3465	4068800	0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 1 0 2 0 1 0 1 1 2 1 0 1 0 1 0 2 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 2 0 0 1 1 0 2 0 2 0 0 1 0 1 1 1 0 1 0 1 1 1 1 0 2 1 1 0 1 0 2 1 1 0 1 1 0 1 1 0 2 1 1 1 1 1 1 1 2 0 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 0 2 1 1 1 2 1 1 2 2 0 1     150750      90000      63000 
4158	3683300	0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 2 0 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 2 0 0 1 1 0 0 1 0 2 1 0 1 1 1 1 1 1 0 0 2 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 2 1 1 0 1 1 2 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 0 2 1 1 1 0 1 1 0 1 1 1 1 2 0 1 3 2 1 1 1 1 2 2 1 1 2 1 1      69750     135000      90000 
5445	3550200	0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 1 0 1 0 1 0 0 2 1 1 0 1 0 1 0 1 2 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1 1 1 0 2 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 2 1 2 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 0 0 2 1 1 1 0 1 1 1 1 1 1 0 2 1 1 3 1 1 1 0 1 2 1 2 1 1 2 1 1     140400     102600      48600 
