
0	18947800	5 0 0 0 0 4 3 1 1 0 0 0 1 0 0 0 3 5 0 0 0 0 6 4 1 0 0 0 0 0 3 6 1 0 0 0 1 0 0 0 6 5 0 0 0 1 4 6 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 2 2 1 0 0 0 2 1 0 0 0 0 1 7 1 0 0 0 1 0 0 0 1 0 0 0 0 3 3 1 0 0 2 0 1 1 0 0 0 0 5 5 0 1 1 0 1 1 0 0 3 7 0 0 0 1 1 0 0 0 0 1 1 0 1 0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 2 0     180000     135000     135000     225000 
99	11804800	0 5 0 0 6 0 1 3 0 1 0 6 0 2 0 0 0 1 0 0 0 1 6 1 1 0 2 1 2 0 3 1 0 2 0 0 0 1 0 0 0 1 0 0 0 1 3 6 0 1 1 0 0 1 1 0 0 1 0 0 0 1 4 4 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 4 0 0 0 1 3 2 1 0 0 0 0 3 0 0 1 0 6 3 1 0 0 0 0 1 1 1 1 0 0 0 0 2 0 0 0 1 1 1 3 1 0 0 0 1 2 5 0 1 0 1 1 0 0 0 1 1 0 0 1 0 2 1 3 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 2 0 1 1 1 0 0 0 1 0 0 0 5 0 0 0 1 0 0 1 1 0 0 1     270000     135000          0      94500 
198	9989800	1 0 0 0 0 6 1 0 1 0 0 3 1 0 0 0 0 5 0 0 0 0 4 3 0 1 0 10 0 1 8 1 0 1 0 0 0 1 1 0 0 3 0 0 0 0 6 12 0 2 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1 1 0 2 0 0 4 0 3 1 1 1 0 0 4 0 0 0 1 0 2 4 1 1 0 0 1 0 1 1 0 0 2 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 3 0 0 1 1 0 0 2 1 0 0 1 2 0 0 1 0 2 0     225000      94500     135000          0 
297	7582600	0 5 0 0 5 0 0 7 0 1 1 0 0 2 0 0 0 1 0 3 0 1 1 0 1 0 3 2 1 0 3 1 0 2 0 0 0 1 1 0 0 1 0 0 0 0 6 4 0 1 2 3 0 1 0 0 0 1 0 0 0 1 2 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 3 1 0 0 0 0 5 1 0 1 0 0 2 0 0 1 0 0 3 1 0 0 2 0 1 3 0 1 0 0 0 0 2 0 0 0 1 4 1 3 1 0 0 0 1 5 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 1 2 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 2 0 0 0 1 1 0 0 2 0 0 0 1 1 0 1 1 1 0 1 5 0 0 0 2 0 0 3 1 1 0 1     207000     135000      18000      30600 
396	7534700	1 0 0 0 0 0 4 4 0 6 0 0 0 1 1 0 0 5 0 5 1 0 2 3 0 1 0 0 1 0 5 1 1 1 1 0 1 1 1 1 0 2 0 0 0 1 2 1 1 0 2 3 1 0 0 0 0 1 0 0 1 1 1 2 1 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 5 0 1 1 0 3 1 1 0 0 1 0 2 5 1 1 1 0 1 0 0 0 1 1 1 1 2 1 0 0 1 0 3 2 1 1 0 0 1 1 0 2 1 0 5 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0     226575     151200          0      11925 
495	7365576	1 0 0 0 0 1 3 0 0 1 0 6 0 1 1 1 0 3 0 5 1 1 2 0 0 0 0 1 1 0 5 0 1 1 1 1 1 0 2 1 0 3 0 2 0 0 2 1 1 0 2 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 4 0 1 1 0 5 0 1 0 0 1 1 5 0 1 1 0 2 0 1 1 1 1 1 0 0 0 1 1 1 1 2 1 0 1 1 0 3 0 1 1 0 1 1 1 0 1 1 0 5 0 1 0 0 1 1 5 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 4 0 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1     238500       8999      12900     126000 
594	7195800	0 1 0 0 0 10 6 0 0 1 0 5 0 1 0 1 0 5 0 0 1 0 0 9 1 1 1 0 1 0 2 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 2 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 5 0 1 1 0 0 3 1 0 1 0 2 0 0 0 1 0 1 6 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 3 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 3 0 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 2 0 1 1 1 0 1 0 1 0 0 1 5 1 1 1 1 0 1 1 1 0     207000     132000      40500       3000 
693	6828800	0 1 0 1 0 10 0 0 0 1 0 0 1 1 0 0 0 5 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 5 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 2 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 3 1 1 0 0 2 1 1 1 1 1 0 1 1 1 0 2 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1      36000      99000      99000     139500 
792	5559270	1 0 0 2 0 3 7 0 1 0 0 1 0 0 1 0 1 0 3 0 0 1 0 1 0 0 2 2 1 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 2 1 1 1 4 1 1 0 0 0 1 1 0 0 1 1 1 4 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 5 1 0 1 0 1 1 1 0 0 0 1 2 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 2 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 4 1 1 0 1 1 1 0 0 1 2 0 0 1 0 1 1 1 1 0 1 1 1 2 0 1 1 1 2 2 1 1 1     129375      95625      56250      57374 
891	4383746	0 0 1 1 0 0 5 0 0 1 0 1 0 0 3 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 3 1 0 1 0 4 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0 0 2 2 1 0 0 1 1 0 0 1 0 1 5 1 2 1 0 1 2 1 0 1 1 0 3 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 2 0 0 1 1 0 1 1 1 0 1 1 2 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 2 0 1 1 1 0 2 1 2 0 1     104999     120000      30000      59999 
