
0	18947800	5 0 0 0 0 4 3 1 1 0 0 0 1 0 0 0 3 5 0 0 0 0 6 4 1 0 0 0 0 0 3 6 1 0 0 0 1 0 0 0 6 5 0 0 0 1 4 6 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 2 2 1 0 0 0 2 1 0 0 0 0 1 7 1 0 0 0 1 0 0 0 1 0 0 0 0 3 3 1 0 0 2 0 1 1 0 0 0 0 5 5 0 1 1 0 1 1 0 0 3 7 0 0 0 1 1 0 0 0 0 1 1 0 1 0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 2 0     180000     135000     135000     225000 
99	11077800	1 0 0 0 0 4 8 6 0 2 0 0 0 1 1 3 0 4 0 0 1 0 7 1 0 1 0 0 1 0 0 2 0 1 0 1 1 0 0 0 0 5 0 0 1 0 3 5 1 0 3 1 1 0 0 1 0 1 0 0 1 0 1 2 0 1 0 2 3 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 2 0 0 1 0 1 5 1 0 0 0 0 2 0 0 1 0 3 3 0 1 1 0 1 0 0 1 1 0 0 0 0 3 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 4 1 0 1 0 1 1 4 0 0 1 0 1 0 5 0 1 0 0 1 0 0 2 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 3 0 1 0 1 1 0 0 1 1 0 0     243000     238500          0          0 
297	10339800	1 0 0 1 0 6 2 0 1 0 3 1 0 1 1 0 0 6 0 0 2 0 2 1 0 0 3 0 1 0 1 1 0 1 0 0 0 1 0 0 1 3 0 0 0 1 1 0 0 0 4 1 1 0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 2 1 1 0 0 6 2 1 0 0 1 0 9 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 3 1 0 0 1 1 1 0 2 1 1 4 0 1 0 0 1 0 1 0 0 3 1 0 2 1 0 3 1 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 4 0 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1     132000     207000      30000      93000 
495	7474972	0 1 0 0 0 0 9 3 0 3 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 6 5 1 1 1 0 0 1 1 0 1 0 0 0 0 1 8 5 1 2 0 0 0 1 0 1 1 0 0 0 1 1 1 2 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 3 1 0 6 0 2 0 0 0 1 1 2 8 2 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 2 1 1 0 0 2 0 2 0 1 1 0 4 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 2 0 2 0 1 2 0 2 1 1 0 0 2 0 1 0 1 2 0 0 1 1 0 0 2 1 0 0 1 1 0 0     151200     225000      14499        600 
693	7378800	1 0 0 1 0 0 6 0 0 1 0 0 0 0 2 0 0 1 0 0 1 1 3 1 0 1 0 0 1 1 4 1 0 1 0 1 1 1 1 1 0 1 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 0 0 2 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 1 0 1 4 1 0 2 0 0 1 1 4 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 1 1 4 1 2 0 1 1 0 0 1 1 1 1 1 1 3 0 1 1 1 0 1 1 0 1 4 0 1 1 1 1 0 5 1 1 1 0 0 1 0 1 0 1 0 1 1 2 0 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 3 1 1 0 1 1 1 0 1     101500     150000      27000     113000 
792	6913736	1 0 1 0 0 6 0 0 1 0 0 1 1 1 0 0 0 6 0 1 0 0 1 1 1 0 0 1 1 0 2 1 1 0 1 0 1 1 1 1 1 3 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 2 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 2 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 2 5 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 2 1 0 0 1 1 1 1 0 0 1 1 1 1 0 3 1 1 1 1 1 1 1 1 1     130000      64999      47999     135000 
891	6266800	1 0 0 1 0 0 0 1 0 1 1 0 0 1 2 0 0 1 0 0 1 1 4 1 0 1 7 0 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 5 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 3 1 0 1 1 1 0 2 0 0 1 1 3 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 4 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 4 0 0 1 1 1 0 3 1 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 3 1 1 1 1 1 1 1 1     104500     154500      10000      95500 
990	4937202	0 0 1 0 0 1 0 3 1 0 0 3 1 0 1 0 1 0 0 0 0 1 1 4 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 0 8 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 2 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 4 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 2 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 2 1 1 0 1 1 1 0 1 1 1 0 2 1 1 1 2 1 1 1 2 1 1 0     121500      98285     103500       5214 
1386	2579500	0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 2 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 2 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 1 2      24350      70650     126850      45000 
2277	2393800	0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 2 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 2 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 2 1 0 1 0 1 1 1 2 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 2      27000      78750     108000      45000 
