
0	15367800	4 1 0 0 1 0 6 4 0 1 1 0 0 1 0 4 2 3 1 0 1 0 3 3 0 1 3 2 0 1 0 0 1 0 0 0 1 0 0 0 2 4 0 0 1 1 4 8 1 0 0 0 0 1 0 0 4 1 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 5 3 2 0 0 0 7 4 0 0 0 0 1 4 0 1 0 0 0 1 1 0 0 0 0 1 0 1 4 0 0 1 0 0 0 1 2 0 2 0 0 0 0 0 3 1 0 0 0 1 3 2 0 0 0 0 2 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 1 0 1 1 0 0 1 3 0 0 0 1 1 2 0 0 2 1 0     135000     225000          0     225000 
99	7068880	0 3 0 0 0 0 5 5 1 0 2 0 0 2 0 0 0 4 0 0 1 0 3 0 0 2 0 11 1 0 3 0 0 1 0 1 0 2 0 0 0 2 3 0 1 0 1 5 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 2 1 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 1 1 0 2 0 0 1 0 4 1 1 0 1 2 0 3 0 0 1 0 3 0 0 2 0 0 0 2 1 1 1 0 0 0 0 2 0 0 4 0 1 2 0 2 0 0 0 2 0 4 1 0 1 0 1 2 0 0 2 1 0 0 1 0 4 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0 0 3 0 1 0 1 0 0 1 2 0 0 0 1 1 1 0 1 1 0 0     233460     135000          0       9540 
198	6721800	0 2 0 0 1 0 3 14 0 1 0 0 1 1 0 0 0 1 0 0 0 0 2 0 1 1 0 1 4 0 1 1 1 1 0 1 0 2 0 0 0 2 1 3 0 1 4 5 0 0 2 0 1 0 1 0 0 2 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 4 0 0 0 1 6 6 1 1 0 0 1 0 0 0 0 0 3 3 1 0 0 0 1 0 1 0 1 1 2 1 1 0 0 1 1 1 3 0 1 3 0 0 1 0 0 0 1 0 2 2 1 0 1 0 1 3 0 0 1 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 2 0 0 1 1 1 0 0 2 3 0     225000      76500      70500          0 
297	6177800	0 1 0 0 1 0 4 5 1 0 1 0 1 0 0 0 0 1 0 0 0 1 2 0 0 2 0 11 1 0 2 0 1 0 0 1 0 1 0 0 1 3 3 0 1 0 0 5 2 0 0 0 1 0 0 1 1 0 0 0 1 0 0 2 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 3 0 0 1 0 4 1 4 0 0 2 0 1 0 0 0 1 3 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 2 2 0 2 0 0 3 0 0 4 0 1 2 0 1 1 1 0 0 3 0 0 1 0 4 0 1 1 0 0 1 1 0 1 1 0 3 0 0 2 0 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 2 0 0 2 0 1 2 1 0 0 1 1 1 0 1 2 0 0     150000     180000      30000          0 
396	5562800	0 1 0 0 0 1 4 7 2 1 1 1 0 1 1 0 0 4 0 0 1 0 1 6 0 1 0 0 0 0 4 5 0 2 0 0 0 1 1 0 0 3 0 1 0 0 7 3 1 1 0 1 1 1 0 0 0 1 2 0 1 0 0 2 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 2 0 1 1 1 0 0 3 1 0 0 0 1 3 4 1 1 0 0 1 0 0 0 0 2 1 0 1 1 0 0 1 0 0 0 1 1 3 0 1 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 3 2 1 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 2 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 2 0 1 0 1 1 1 0 1 2 1 0     225000      90000      22500       4500 
495	4323800	0 2 0 0 1 0 3 14 1 0 0 0 1 1 0 0 0 2 0 0 0 0 2 0 1 1 0 1 3 0 1 1 1 1 0 1 0 3 0 0 0 2 1 3 0 0 2 4 0 0 2 0 1 0 0 1 0 2 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 4 0 0 0 0 6 6 1 0 0 0 1 0 0 0 0 0 3 3 1 0 0 0 1 0 1 0 1 1 2 1 1 0 0 1 0 0 3 0 1 2 0 0 1 0 0 0 1 0 2 2 1 0 1 0 1 2 0 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 2 2 0 0 1 1 2 0 0 5 3 0     207000      42000      63000          0 
594	3070300	0 2 7 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 1 0 1 1 0 1 0 0 1 0 0 0 0 3 0 0 1 0 3 0 1 0 1 4 0 1 0 1 0 2 1 0 2 0 1 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 2 1 1 0 3 2 0 1 0 3 1 1 0 0 1 1 0 0 1 0 2 0 1 1 0 0 2 0 2 1 0 0 2 0 1 1 1 0 0 1 0 4 2 1 1 1 1 0 4 0 0 1 1 2 0 2 0 1 1 2 0 1 0 2 0 1 1 2 0 0 0 1 0 0 2 2 0 0 1 0 2 0 1 1 2 2 0 1 1 0 1 1 1 0 3 2 0 0 2 1 2 2 1     126000      94500       2250      54000 
990	2872800	0 1 2 0 1 0 0 8 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 2 1 0 0 0 3 0 0 4 1 0 1 0 0 1 3 0 0 0 3 0 0 1 1 3 0 1 2 1 1 0 0 0 0 1 2 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 2 2 0 3 0 6 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 0 1 0 2 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 3 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 3 1 1 1 3 1 1 1 3 0     148500      76500      49500          0 
1089	2230300	0 1 7 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 1 0 1 0 0 2 0 0 1 0 0 0 0 2 0 0 1 1 3 0 1 0 1 3 0 1 0 1 0 2 0 0 2 0 1 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 2 1 1 0 3 2 0 1 0 3 1 1 0 0 1 1 0 0 2 0 2 0 1 1 0 0 2 0 2 1 1 0 2 0 1 1 1 0 1 1 0 4 2 1 1 1 1 0 3 0 0 1 1 2 1 2 0 1 1 2 0 1 0 2 0 1 0 2 0 0 0 1 0 0 2 2 0 0 0 0 3 0 1 1 2 2 0 1 1 0 1 1 1 0 3 2 0 0 2 1 2 2 2     120750      76500          0      59250 
1188	2228800	0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 2 0 0 2 1 0 1 0 1 0 0 2 0 0 1 1 1 0 1 0 1 3 0 1 1 1 0 2 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 2 0 1 0 3 0 0 1 0 1 1 1 0 1 1 1 0 1 2 0 2 1 1 1 0 1 2 0 2 1 1 0 2 0 1 1 1 1 1 1 0 2 2 1 1 1 1 0 3 0 0 1 1 1 1 2 0 1 1 2 0 1 0 2 0 1 0 2 0 1 0 1 0 1 2 2 0 1 0 0 3 0 1 1 2 1 0 1 1 1 1 1 1 1 3 2 0 1 2 1 2 1 2     121500      76500          0      58500 
