
0	5244000	1 3 0 0 0 0 0 6 0 1 0 0 1 1 0 0 0 2 0 0 0 0 3 5 2 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 2 4 0 0 0 1 0 1 0 0 0 2 0 2 0 0 0 1 4 3 0 0 2 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 3 0 0 0 0 2 1 4 1 0 0 0 0 3 1 0 1 3 0 0 2 1 0 0 0 3 1 1 0 0 1 0 1 0 2 1 0 1 0 2 0 0 0 0 0 0 3 3 5 0 0 0 0 2 2 1 0 0 1 1 0 2 0 2 2 0 0 1 0 1 1 1 0 1 1 1 0 2 0 1 1 0 0 1 0 0 1 1 0 0 1 0 2 3 0 1 1 0 1 1 1 0 1 2 0 0 0 2 0 2 0 2 0 0 1 2 1 0 0     155800      69200      37100      69200 
99	3510800	0 1 0 0 0 0 8 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 0 2 8 0 1 0 0 0 0 3 1 0 2 0 0 0 2 3 0 1 0 1 1 1 0 0 0 1 1 0 0 6 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 3 1 0 1 0 0 2 1 0 1 0 5 4 1 1 0 1 1 0 1 1 1 0 0 2 1 1 0 0 0 1 0 3 0 2 1 0 1 1 0 0 0 1 1 3 1 0 0 2 1 1 0 0 0 1 4 2 1 0 1 2 2 0 0 0 2 0 0 0 1 1 1 0 1 1 0 1 1 2 1 0 1 2 0 0 1 1 0 1 1 1 0 1 1 2 0 2 1 2 2 0 2 2 2 0     135000      94500      21000      36000 
198	2337780	0 2 0 0 2 0 0 11 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 2 0 2 1 0 1 0 0 1 1 0 1 0 0 1 2 0 1 0 1 0 0 2 1 0 0 1 1 2 0 0 2 2 1 0 1 0 0 4 0 0 0 2 0 4 1 0 1 0 1 0 1 1 1 1 0 1 1 0 2 0 1 1 0 1 1 1 1 0 0 2 1 3 0 1 3 1 1 1 1 0 0 2 2 0 1 0 1 4 1 0 2 0 2 0 0 0 1 0 2 0 1 1 2 0 1 2 0 1 2 0 1 0 1 1 2 0 1 2 1 0 2 0 1 0 3 0 0 0 1 2 2 0 1 3 1 2     117000      62999      63000      18000 
495	1669122	1 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 2 0 1 0 1 1 0 1 2 0 2 0 1 0 0 0 2 1 1 1 0 1 0 2 1 0 0 1 0 2 3 0 1 0 1 0 1 2 0 2 0 1 1 0 0 3 1 1 0 1 1 1 1 1 0 0 1 3 0 1 3 0 1 1 1 1 1 0 2 2 1 2 1 0 1 1 2 0 2 1 0 1 1 0 3 1 0 1 3 0 1 1 0 2 1 1 0 2 1 1 2 1 1 1 0 2 2 1 1 1 1 2 1 2 3 1 2 1 0 2 2 2      50933      85666      49333      54333 
594	1654200	0 1 0 0 0 0 1 3 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 2 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 2 0 1 1 0 0 1 0 4 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 2 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 2 0 0 1 2 1 0 1 2 2 1 1 0 0 2 0 0 0 1 0 2 0 0 2 0 2 0 1 2 0 0 1 2 2 1 1 1 1 2 0 0 1 0 2 1 0 1 1 0 3 2 0 0 2 2 0 1 1 0 3 0 0 2 1 0 1 0 1 3 3 2 1 0 0 0 3 0 0 1 1 1 1 1 1 1 1 2 1 0 1 2 0 1 0 1 2 0 0 1 2 0 0 2 1 2 0 2 1 2 0 1 3 1 0      97500      86250      48750      12900 
693	1636060	0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 1 0 1 0 3 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 2 1 1 0 1 0 0 1 1 2 1 0 1 0 0 1 2 1 1 1 0 0 0 0 0 4 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 0 1 0 0 2 1 1 0 1 1 0 1 2 0 2 1 2 0 2 3 0 1 1 2 0 0 2 2 2 1 2 1 0 1 1 2 0 1 2 0 1 1 0 2 1 1 1 2 0 1 1 1 1 2 0 0 1 1 1 1 2 1 1 1 2 1 1 1 2 3 2 0 0 1 3 2 0 1 2 3 2     105920      47080      45280      43875 
891	1524800	0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 3 0 0 0 1 1 0 0 0 1 1 0 2 1 0 0 0 1 0 1 0 0 2 0 2 0 1 0 0 1 0 1 0 1 1 0 1 0 0 2 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 2 0 0 0 2 0 0 0 2 1 0 1 0 2 2 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 2 1 1 0 2 1 1 0 0 1 2 0 1 0 1 2 0 1 1 2 0 2 0 2 0 1 1 2 3 1 1 0 0 1 1 2 1 2 0 1 1 2 1 0 2 1 0 2 2 1 0 2 1 2 0 1 2 1 1 1 0 1 1 2 1 2 1 0 3 3 0 1 1 1 1 3 2 1 2 2      30000      75000      76500      60000 
1584	1517700	0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 2 0 1 0 1 0 1 0 0 1 0 0 1 1 2 1 0 0 0 1 0 1 1 0 2 0 1 0 0 1 2 1 0 0 2 1 0 0 1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 2 0 0 1 0 0 2 1 0 0 2 1 0 0 0 2 1 1 0 1 0 0 0 2 0 1 1 1 0 1 1 1 1 0 1 1 3 1 1 0 1 1 1 1 1 0 2 1 0 1 2 1 1 1 1 1 1 2 0 1 2 2 1 0 1 2 0 1 1 1 1 1 1 2 0 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 2 1 1 1 0 2 1 2 1 1 1 3 2 1 1 2 1 2 2 2 3 1      45000      56150      47700      90000 
0	5532400	1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 6 0 0 0 0 0 3 0 0 1 2 2 0 0 0 2 0 1 0 1 0 2 1 0 0 6 2 0 0 0 0 6 0 0 0 3 0 2 0 0 1 2 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 2 1 0 0 0 0 0 1 1 0 2 0 0 1 4 1 0 0 0 1 3 1 1 0 0 7 6 0 0 0 0 3 2 1 0 1 0 0 0 2 0 2 0 0 0 1 2 0 0 0 0 2 1 2 0 0 0 0 1 0 3 1 0 0 2 0 2 1 0 2 0 0 0 0 0 3 0 0 1 2 1 0 0 2 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 2 0 0 1 2 1 1 0 1 1 2 0 0 1 1 1 2 0 1 0 1 3 2 0 2 0     135000      67500      90000      47700 
99	2873400	0 3 0 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 4 1 0 0 0 0 0 0 2 1 0 1 0 0 1 1 0 2 3 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 2 0 1 0 0 1 2 1 1 0 0 2 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 3 0 0 0 0 4 2 0 1 1 1 3 0 0 0 0 0 2 1 1 2 0 0 0 1 2 0 0 2 1 1 0 2 1 1 2 0 1 0 2 0 1 0 0 0 1 3 1 0 1 1 1 1 1 1 1 2 0 1 0 1 3 0 1 0 1 1 1 2 0 2 0 2 2 0 1 1 0 2 3 0 0 0 0 2 0 3 1 2 0 1 0 1 1 2 2 0 1 0 3 1 1 0 1 1 2 2 1 0 3 2      91400      50400      74600      59000 
