
0	11114800	8 1 0 0 0 0 4 7 1 1 0 0 2 1 0 0 3 2 1 0 1 0 3 7 2 2 0 0 0 0 1 4 0 1 0 0 1 1 0 0 3 1 0 0 0 1 4 9 2 1 0 0 0 1 0 0 2 3 0 0 0 0 2 3 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 2 3 2 0 0 0 1 1 0 0 1 0 3 2 1 0 0 0 1 2 0 0 1 0 0 1 0 0 0 1 0 1 2 1 0 0 0 0 4 0 2 1 0 0 1 0 2 1 0 0 1 0 0 0 1 0 3 3 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 2 0 1 1 0 2 0 0 2 0 0          0     238500     243000          0 
99	6801800	0 6 0 0 0 0 3 3 0 0 1 3 0 1 0 0 0 1 0 0 0 1 1 1 0 3 0 0 5 0 2 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 8 8 1 0 0 0 1 1 0 1 1 1 0 0 0 0 3 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 1 1 4 4 0 1 0 2 0 1 1 3 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 2 0 1 1 0 1 1 0 1 4 2 0 0 0 1 1 1 0 0 1 3 1 1 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 0 2 0 0 0 1 1 0 0 1 1 0 1 0 2 1 0 5 0 0 0 1 1 1 1     135000     135000      90000       9000 
198	6332764	0 4 0 0 1 0 1 3 1 0 0 2 0 1 0 0 0 1 0 0 0 0 2 5 0 1 5 0 1 0 1 2 0 1 0 0 1 0 1 0 0 7 0 0 0 1 2 4 1 0 0 4 1 0 0 0 0 1 0 2 1 0 4 1 0 2 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 4 0 0 1 0 2 0 1 0 2 2 1 5 0 0 0 1 3 7 1 0 0 0 1 0 3 1 1 0 1 0 1 2 0 0 1 0 2 1 1 0 0 1 1 1 4 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 0 2 1 1 0 2 0 2 0     225000     112499          0      22500 
396	5580800	0 5 0 0 0 0 2 4 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2 2 0 2 0 0 0 0 4 4 0 1 0 0 1 0 2 0 0 5 0 3 0 0 5 4 1 0 1 0 1 0 0 0 0 3 2 0 1 0 0 1 0 1 1 1 1 1 0 0 0 2 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 1 1 1 0 1 2 4 0 2 2 1 0 1 1 2 4 1 1 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 1 5 6 1 0 0 0 1 1 0 0 1 2 0 0 1 0 1 2 2 0 0 0 1 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 0 2 0 1 0 1 0 0 1 1 0 0 1 2 0 0 0 1 1 0 1 2 0 1 0     207000      94500          0      40500 
495	4826800	0 4 0 0 0 0 2 3 0 0 1 2 0 1 0 0 0 1 0 0 0 0 2 5 0 2 0 0 0 1 4 2 0 2 0 0 1 0 2 0 0 5 0 0 1 0 5 4 1 0 1 4 1 0 0 0 0 3 1 1 1 0 0 1 0 2 2 0 1 0 0 1 0 2 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 1 1 1 0 0 2 4 2 2 2 1 0 0 1 2 7 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 2 1 1 0 0 1 1 1 5 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 2 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 2 0 1 1 1 0 0 1 2 0 0 0 2 0 0 0 1 2 0 0 2 0 1 0     225000      76500          0      24750 
594	4292608	0 2 1 0 0 0 4 1 0 1 0 0 0 1 0 1 0 1 3 0 0 1 0 1 1 2 1 0 0 0 1 1 0 1 0 1 0 0 1 1 0 8 3 0 0 2 3 0 1 0 1 1 1 0 1 1 1 0 0 1 0 0 2 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 1 2 1 0 0 1 0 3 0 1 0 0 1 0 4 0 0 1 0 3 1 1 0 0 1 2 1 1 0 1 0 0 1 1 0 0 1 6 0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 0 2 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 0 2 1 1 0 1 1 0 1 1 1 0 1 1 1 2 1 1 2 1 1 1 4 0 0 2      79714      55285      24428     145285 
693	4147800	0 1 0 0 0 0 1 7 1 0 0 1 0 1 0 0 0 4 0 0 0 0 2 9 0 1 6 0 1 0 1 0 1 0 0 0 1 0 1 1 0 3 0 1 0 1 2 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 4 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 2 1 1 0 2 1 1 4 0 1 0 1 3 3 1 1 0 0 1 0 3 0 1 1 1 1 1 0 0 1 1 0 2 1 1 1 0 0 1 0 4 1 1 1 0 0 1 0 0 1 0 3 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 2 1 0 0 1 3 1 0 2 1 2 0     165000      75000       5000      60000 
792	3938800	0 3 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 4 0 0 2 0 0 1 6 1 1 0 0 0 1 1 0 0 1 0 1 0 0 7 0 3 0 1 3 0 1 0 0 0 1 0 0 0 1 2 0 1 1 0 3 0 0 2 0 2 0 1 0 2 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 4 0 0 1 1 2 0 1 0 2 0 1 4 0 4 0 2 3 1 1 0 0 0 1 0 3 0 1 0 0 0 1 2 0 0 1 0 2 0 1 1 0 1 1 1 4 0 2 0 0 0 1 0 0 1 0 0 0 4 1 0 1 0 0 0 2 2 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 2 2 0 1 1 0 1 3 2 0 2 1     180000       4500      45000      67500 
891	3120284	0 5 0 0 0 0 1 3 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 3 0 0 0 0 1 2 1 1 1 1 0 1 1 0 1 1 0 0 0 0 0 8 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 3 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 2 0 0 0 1 0 1 0 0 1 2 0 0 1 0 4 1 1 0 0 1 1 0 1 0 1 2 1 1 2 1 0 1 1 0 1 1 0 1 0 1 0 1 0 2 0 0 1 1 0 1 2 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 0 1 0 2 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 2 1 1 1 1 0 1 1 1 0 1 1 1 0 1 2 1 1 3 0 1 0 2 1 1 1     116250      56249      83750      25000 
1188	2672794	0 6 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 2 1 0 0 0 0 1 1 2 0 0 1 1 1 0 0 1 0 1 1 0 1 0 0 6 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 2 0 3 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 2 1 0 1 2 0 1 1 2 1 0 1 1 1 0 1 2 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 2 2 0 1 0 1 1 1 0 1 1 1 0 2 0 0 2 1 1 1 0 1 2 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 1 0 2 1 0 1 1 1 0 1 1 1 0 1 1 1 0 2 1 1 0 2 1 1 0 2 2      50999      19500     106500      85500 
