
0	25407972	3 0 0 0 0 9 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 9 9 0 3 0 0 0 0 1 10 3 0 0 1 12 0 1 0 0 2 0 0 0 0 1 5 0 0 0 1 8 0 0 0 2 2 0 0 0 0 1 3 0 0 0 1 3 0 0 0 2 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 3 0 0 0 1 0 0 0 0 4 0 0 2 0 0 0 0 8 1 3 1 0 0 0 0 0 1 5 1 0 0 0 4 0 0 0 0 1 0 0 3 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0      75000      17569       3110      17111 
99	16110800	2 0 0 0 1 0 0 0 0 5 0 0 0 1 0 7 1 0 0 0 1 0 0 0 1 0 0 0 0 2 3 0 0 1 7 0 1 0 0 0 5 0 0 0 0 7 1 0 1 0 0 1 1 0 16 5 0 1 0 10 0 1 0 0 1 0 2 5 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 7 0 0 0 1 0 0 0 0 3 0 6 1 0 0 0 0 7 2 0 0 1 1 0 1 0 3 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0     364500     243000          0          0 
198	15430800	1 0 0 0 1 0 0 0 0 5 0 0 0 1 0 7 1 0 0 0 1 0 0 0 1 0 6 0 0 2 1 0 0 1 9 0 1 0 0 0 5 0 0 0 0 7 0 0 1 0 1 1 1 0 8 5 0 1 0 10 0 1 0 0 1 0 0 5 1 0 2 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 6 0 0 0 1 0 1 0 0 3 0 6 1 0 0 0 0 7 2 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0     319500     225000      45000          0 
297	15023800	1 0 0 0 1 0 0 0 0 0 5 3 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 3 2 0 0 7 1 0 1 0 0 0 4 0 0 0 0 1 7 2 1 0 0 21 1 16 0 2 0 0 1 0 0 0 1 0 1 2 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 5 0 0 0 1 0 0 0 0 0 3 1 1 0 0 0 0 2 7 0 0 1 1 1 1 3 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 1     337500          0     205500      37500 
396	14732800	1 0 0 0 1 1 6 0 0 0 0 5 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 7 0 2 0 0 0 1 1 0 1 0 5 0 0 0 0 7 12 7 1 1 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 1 1 6 0 0 0 1 0 3 0 0 4 0 3 1 0 0 0 0 1 5 7 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 1 0 1 1 3 0     292500      45000       9000     225000 
495	11720800	1 0 3 0 1 4 0 0 0 0 1 0 1 0 1 7 1 0 1 0 1 1 1 0 1 0 1 1 0 10 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 5 0 0 0 0 1 1 1 0 1 5 1 1 1 9 1 1 0 0 1 1 0 5 0 1 0 0 1 0 1 1 1 0 1 0 2 0 1 1 0 1 0 0 1 0 2 0 1 2 0 0 0 0 1 6 1 0 1 0 0 6 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 0 2 0 1 0 1 0     115000     135000     249500          0 
594	10503800	1 1 0 1 0 0 8 0 0 0 0 1 1 1 1 0 1 2 0 1 1 1 5 0 1 2 0 1 0 0 1 0 1 0 0 1 1 1 2 0 1 1 0 1 0 0 1 1 1 0 2 0 1 1 0 1 1 1 0 0 0 0 6 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 2 4 1 0 3 1 1 0 0 0 0 0 1 1 1 0 5 0 0 5 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 2 1 0 1 2 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 2 1 0 1 1 0 1     128000      97000      90000     153000 
693	9677800	0 0 3 0 0 4 0 7 1 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 7 0 10 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 5 0 0 0 0 1 7 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 2 0 1 1 0 1 3 1 0 1 0 0 6 0 3 1 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0     180000      45000     225000          0 
792	9103800	0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 7 0 10 0 5 1 0 1 1 1 0 4 0 1 0 0 0 1 3 1 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 2 0 1 1 0 1 1 0 1 1 0 0 0 1 1 4 0 1 0 1 0 0 2 0 1 1 0 1 0 1 0 0 3 0 3 1 2 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1 2 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 7     207000      75000     150000          0 
891	9017800	1 0 0 3 0 0 6 0 1 0 1 0 0 0 2 1 0 1 0 1 0 1 1 1 1 1 0 1 0 0 3 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 0 0 8 0 1 1 0 0 1 1 1 2 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 3 1 0 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 3 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1     225000     104000      46000      57000 
