
0	25476000	7 0 0 0 0 7 2 0 0 1 4 1 0 0 1 6 3 0 0 0 1 0 0 0 0 10 0 0 0 0 8 1 0 2 0 8 2 0 0 0 3 0 0 0 0 0 0 0 0 6 2 0 0 0 5 3 3 0 0 0 0 3 0 5 0 0 2 0 0 0 0 3 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 0 0 6 0 0 0 0 7 0 3 0 0 0 0 2 4 1 1 0 0 0 0 0 0 7 1 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0      65000      10000      24285      24000 
99	15398800	3 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 3 0 3 1 0 0 0 0 1 0 1 1 0 15 0 0 1 2 3 1 0 0 0 0 10 0 0 1 0 2 0 1 0 2 18 1 0 0 0 0 2 5 0 1 0 0 1 0 1 0 2 0 1 0 0 1 0 0 1 1 0 0 0 0 1 1 0 3 0 0 0 0 4 1 0 1 0 4 0 1 0 0 0 0 6 1 0 1 0 1 0 0 1 2 0 1 0 1 6 1 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0     364500     225000          0          0 
198	14740386	2 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 13 0 1 0 0 0 1 0 0 14 1 0 0 0 1 0 0 0 0 9 7 3 0 1 4 0 1 1 0 0 0 1 2 2 1 0 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 4 1 0 1 0 2 6 2 0 0 0 0 1 0 0 1 0 0 6 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 10 0 1 1 0 0 0 0 9 1 0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1     337500     189000       7693      40007 
297	13560800	1 0 0 0 0 6 0 0 0 0 2 7 1 1 15 0 1 0 0 0 1 0 0 0 0 0 0 7 1 0 1 0 1 2 0 0 0 1 1 1 1 0 0 0 1 4 0 3 1 0 5 0 1 1 0 0 1 0 0 0 0 2 1 2 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0 1 4 1 5 6 0 1 0 0 0 0 5 0 6 1 1 0 0 0 0 3 1 0 0 0 1 3 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 6 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 0     279500      85000          0     180000 
396	11638800	2 3 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 0 1 3 1 1 1 0 0 1 0 1 15 1 2 0 0 0 1 1 1 1 1 0 0 0 0 10 6 1 1 0 0 1 1 0 0 1 3 0 0 0 0 2 1 1 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 3 1 0 0 0 0 4 2 1 0 0 0 1 2 0 0 0 0 6 3 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 0 2 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 2 0 0     180000      92250     195000      30000 
495	7746300	0 1 0 5 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 0 0 2 1 1 0 0 1 0 7 1 0 1 0 0 1 0 1 1 0 1 0 0 2 0 1 9 0 1 0 0 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 0 8 3 0 1 1 0 1 1 0 0 2 0 5 6 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 0 0 2 1 0 0 1 1 1 1 0 1 0 1 1 2 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1     243000      33750     101250      20250 
594	7302800	0 0 0 1 1 0 1 0 0 11 0 1 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 1 0 9 0 1 0 0 0 0 5 1 1 1 0 0 0 0 0 0 10 1 1 7 0 1 10 4 0 1 0 0 0 0 1 1 1 0 1 3 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 3 0 4 1 0 0 0 1 0 0 0 0 1 3 6 1 1 2 0 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 1 1 2 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 1 1     247500          0      45000      90000 
693	7049800	1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 1 2 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 9 1 9 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 2 1 1 1 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 4 0 0 3 1 3 1 0 1 0 1 0 3 0 0 6 0 6 1 0 1 0 1 1 0 1 1 0 0 0 1 0 2 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1     243000      60000          0      75000 
792	7013800	0 1 0 0 1 0 0 0 0 1 11 0 1 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 9 1 0 0 0 0 1 5 2 1 0 0 0 0 10 0 0 1 0 1 7 1 0 10 4 1 0 0 0 0 1 1 1 1 0 1 3 1 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 4 3 0 1 0 0 0 1 0 0 0 0 6 1 3 1 0 1 2 1 1 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 2 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 1     243000     132000          0       3000 
891	6351800	0 0 0 1 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 3 2 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 0 5 0 10 9 0 1 0 0 1 1 0 0 1 1 0 0 1 1 2 1 0 0 0 1 1 1 0 1 2 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 4 4 0 1 0 0 0 1 0 0 0 1 6 6 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 2 0 0 0 1 0 0 1 1 1 1 2 1 1 1 1 1 0 1 1     225000          0      86500      53000 
