
0	 620000	0 0 3 0 2 1 0 3 0 2 0 0 0 1 2 2 0 0 0 3 1 0 2 1 2 0 0 0 2 1 1 0 2 0 2 1 2 0 0 1 2 0 1 0 2 2 0 1 1 1 1 2 0 1 1 2 0 3 0 0 1 1 2 2 1 0 0 2 3 0 7 0 1 0 10 3 2 2 2 4 2 4 0 3 4 2 3 5 3 0      40476      25869      20262 
387	  72692	1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 2 1 1 3 0 1 2 2 2 2 0 3 0 4 3 2 3 2 4 7 3 2 2 4 2 0 2 3 16      63000      13500       7094 
585	  51038	0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 2 1 1 3 1 0 2 1 1 2 2 0 0 3 6 2 3 2 4 2 6 2 3 2 2 4 0 3 2 15      13793      62414       7586 
1944	  50860	0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 1 1 2 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 3 1 0 3 1 0 3 1 0 1 2 1 6 2 4 2 3 2 2 3 1 1 3 4 0 4 4 3 2 18      13140      63716       6286 
0	 745400	1 0 2 1 1 0 1 1 1 0 2 4 2 0 1 2 1 0 1 1 0 0 0 3 1 1 0 0 2 1 2 0 0 2 0 0 1 1 1 1 1 1 1 0 2 0 2 1 3 0 0 0 3 0 0 2 1 1 2 2 2 1 0 0 0 4 2 0 1 1 3 1 1 5 2 3 2 2 3 3 3 2 1 6 6 2 0 2 5 3      36000      29800      22500 
99	 556000	0 2 0 1 0 2 0 1 1 1 1 1 0 2 0 0 1 1 0 1 1 0 2 0 0 2 0 1 0 2 2 0 1 1 0 2 1 2 0 0 1 2 0 2 1 0 1 2 0 1 2 1 1 1 2 1 1 1 0 3 0 2 1 1 1 2 2 1 1 2 2 1 6 2 1 4 4 1 5 1 3 3 3 2 5 2 3 3 3 4      22000      35000      28000 
486	  63444	1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0 2 2 0 3 2 2 3 1 4 3 1 4 3 0 6 4 0 4 1 7 19      63549      13124       6557 
0	 575000	0 2 1 1 1 0 0 3 0 1 1 1 2 0 0 0 2 1 2 0 0 0 2 1 2 0 0 1 0 2 0 0 4 1 1 1 2 0 0 1 3 0 2 1 0 2 1 0 0 3 1 1 2 0 0 0 4 3 0 0 1 1 2 0 2 2 0 1 3 3 1 0 3 0 5 2 2 5 4 1 2 4 2 1 0 5 6 4 5 0      39166      23750      22500 
99	 545002	0 2 0 2 0 0 0 1 2 1 1 0 1 1 1 0 2 1 1 1 0 0 2 0 3 0 0 1 1 1 0 2 1 2 0 1 1 0 2 2 1 0 1 1 2 1 1 1 3 0 0 2 1 0 2 1 0 2 0 2 0 3 0 2 1 0 0 1 3 4 0 1 2 2 5 2 1 6 3 1 5 1 1 7 3 6 0 0 8 1      30643      32357      21144 
486	 119784	0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 1 2 1 0 2 1 0 3 1 1 2 1 0 2 2 5 1 3 5 1 3 3 2 3 1 2 3 2 1 4 23 4 1       7087      13500      63000 
