
0	 620000	0 0 3 0 2 1 0 3 0 2 0 0 0 1 2 2 0 0 0 3 1 0 2 1 2 0 0 0 2 1 1 0 2 0 2 1 2 0 0 1 2 0 1 0 2 2 0 1 1 1 1 2 0 1 1 2 0 3 0 0 1 1 2 2 1 0 0 2 3 0 7 0 1 0 10 3 2 2 2 4 2 4 0 3 4 2 3 5 3 0      40476      25869      20262 
99	 541894	1 0 1 0 2 1 0 3 0 2 0 0 0 1 2 2 0 0 0 2 1 0 2 1 2 0 0 0 2 1 1 0 2 0 4 0 2 0 1 1 2 0 1 0 2 2 0 1 1 1 1 2 0 1 1 2 0 3 0 0 1 1 2 2 0 1 0 1 3 0 7 0 0 0 9 2 3 4 2 4 2 4 0 3 4 2 3 6 3 0      35055      23222      25556 
198	 526000	1 0 1 0 2 1 0 3 0 2 0 0 0 1 2 2 0 0 0 2 1 0 2 1 2 0 0 0 3 1 1 0 2 0 3 0 2 0 0 1 2 0 1 0 2 2 0 1 1 1 1 2 0 1 1 2 0 3 0 0 1 1 2 2 0 1 0 1 3 0 6 0 0 0 10 2 3 4 2 4 2 4 0 3 4 3 3 6 3 0      36000      24000      23000 
585	  74000	1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 1 1 3 0 1 3 0 1 2 0 2 2 0 3 1 5 3 2 2 3 2 2 3 2 2 3 4 5 2 2 21      64000      13000       6000 
684	  69316	0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 1 1 2 0 1 3 0 1 3 0 2 2 6 3 0 1 3 2 9 2 4 2 3 2 3 4 0 16 2 5       5496      65878      12061 
1269	  66706	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 2 0 1 2 1 1 2 0 1 2 0 1 2 0 1 2 1 1 2 1 1 2 0 1 3 1 1 2 0 2 2 4 3 1 1 3 2 9 2 3 0 3 3 0 4 2 17 2 3       6666      63333      13333 
1368	  66678	1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 2 0 1 2 0 1 2 1 1 2 0 1 2 0 1 2 0 1 2 1 1 2 1 1 3 0 1 2 1 2 2 0 3 1 4 3 2 2 2 3 8 3 3 0 4 2 0 2 3 17      63333      13334       6667 
0	 745400	1 0 2 1 1 0 1 1 1 0 2 4 2 0 1 2 1 0 1 1 0 0 0 3 1 1 0 0 2 1 2 0 0 2 0 0 1 1 1 1 1 1 1 0 2 0 2 1 3 0 0 0 3 0 0 2 1 1 2 2 2 1 0 0 0 4 2 0 1 1 3 1 1 5 2 3 2 2 3 3 3 2 1 6 6 2 0 2 5 3      36000      29800      22500 
288	 125368	1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 1 2 1 0 3 1 1 2 2 0 2 3 9 0 3 6 0 3 2 2 3 2 3 4 3 0 1 18 7      63170       6829      13415 
387	  72000	1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 2 2 1 0 2 1 0 3 1 0 3 2 0 2 2 10 3 3 2 2 3 2 2 3 1 2 4 4 0 2 17 4      64000       6000      13000 
