
0	  24092	1 0 0 1 0 0 1 0 0 2 0 0 1 3 0 1 5 2 2 1 7     250001      80303      74242 
1179	  15004	1 0 0 1 0 0 1 0 0 2 0 0 2 0 0 1 2 9 1 7 0     250000     121429      34127 
1476	  13335	1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 2 2 3 7 0      16662     150002     241669 
1872	  12500	1 1 0 1 1 0 2 1 0 1 2 0 2 2 0 0 2 2 2 0 7       7500     245000     155000 
1971	   6540	0 1 1 0 1 1 0 2 1 0 1 2 0 1 2 2 0 2 7 3 0     153847       7690     246155 
3546	   5001	1 0 0 1 0 1 1 0 1 2 0 0 2 0 0 0 5 7 2 4 0     250000     150000       7143 
0	  17072	1 0 0 0 2 0 1 0 0 2 0 0 2 0 0 1 4 1 2 3 8     250000     131034      25862 
297	  15004	0 1 0 0 1 0 0 1 0 0 2 0 0 2 0 5 1 1 4 1 8      98612     250000      56944 
594	   5001	1 0 0 1 0 1 1 0 1 2 0 0 2 0 0 2 2 0 0 7 7     250000     150000       7143 
0	  15004	1 0 0 1 0 0 1 0 0 2 0 0 2 0 0 1 2 9 1 7 0     250000     121429      34127 
594	   5001	1 0 1 1 0 2 1 0 2 2 0 2 2 0 2 2 2 0 0 7 0     242857     157143       7143 
0	  25001	1 0 0 1 0 0 1 0 0 1 2 0 2 0 0 1 3 6 2 4 3     250001     129999      26667 
882	  15004	0 1 0 0 1 0 0 1 0 0 2 0 0 2 0 5 0 9 4 2 0     150001     250000       5555 
2070	  14092	1 1 0 1 1 0 2 1 0 1 2 0 1 2 0 3 0 5 0 2 4      11363     243637     153182 
