
0	2797000	0 1 0 1 1 0 1 1 1 0 2 0 2 0 0 1 1 0 2 0 1 0 2 1 2 2 1 3 1 1 0 2 3 0 2 0 0 3 2 1 1 1 0 3 2 0 1 1 1 2 1 5 1 9 3 3 4 1 4 0      72000      67500 
99	 919600	1 1 1 1 0 1 1 1 0 1 2 1 1 1 2 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 2 3 2 3 1 3 0 3 3 4 15 1      11400      81000 
198	 886400	1 1 1 1 0 1 1 1 0 1 1 1 1 1 2 1 0 1 0 1 0 1 1 1 2 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 3 2 3 1 3 0 3 3 4 15 1      11400      81000 
297	 865600	1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 3 1 3 0 3 3 4 15 1      11400      81000 
396	 766000	1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 2 0 3 3 3 5 3 2 3 0 3 7 2 11      81000       9000 
495	 670002	0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1 1 0 2 2 3 5 2 1 3 1 3 6 4 8 2      16667      73333 
1089	 523334	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 2 3 3 3 1 3 2 3 6 3 8 2      16667      66666 
1584	 500000	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 2 6 3 1 3 1 3 5 3 7      70000      15000 
1683	 494548	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 0 3 1 2 8 3 1 3 1 3 6 3 6      73182      10454 
1782	 105884	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 3 5 2 9      65881      16471 
0	2787000	2 0 1 1 0 2 1 1 1 1 0 2 0 1 0 3 0 1 0 1 2 1 0 1 0 2 0 2 1 2 0 2 2 0 0 2 1 1 2 0 2 0 2 0 1 2 1 2 3 2 4 1 1 4 2 1 3 4 10 0      67500      72000 
99	1124000	0 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 3 1 1 1 3 2 1 3 4 3 1 3 1 3 2 4 9 1      19000      81000 
198	1017644	0 1 0 1 1 1 1 1 0 1 0 1 0 1 2 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 2 1 1 1 1 1 1 1 3 1 1 1 1 2 5 3 0 3 3 3 3 3 2 4 11 1      15546      81000 
297	 834000	1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1 3 2 1 3 2 3 1 3 1 3 2 4 9 1      20000      72000 
495	 818000	1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 3 3 3 1 3 2 3 1 4 9 1      20000      72000 
594	 624000	1 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 0 2 1 3 3 3 1 3 1 3 3 4 12 1      15000      72000 
693	 594000	1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 1 3 1 4 1 1 13      72000      14000 
891	 575858	0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 2 3 2 3 2 3 0 4 10 1      18787      64142 
990	 495000	1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 11      65000      17500 
1485	 121500	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 12      65500      16750 
2277	 105888	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 2 3 2 3 2 3 2 3 1 4 13 1      16471      65882 
0	2578000	0 1 1 0 2 0 0 1 0 2 1 0 0 5 0 1 0 1 2 0 2 0 1 0 0 2 0 2 1 1 2 0 1 2 1 2 1 1 1 1 0 3 0 2 1 1 2 2 4 3 3 2 1 3 3 1 5 2 7 1      72000      63000 
99	 962500	1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 1 3 2 3 1 3 3 4 12 1      14250      81000 
198	 850000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 3 3 4 3 1 3 1 4 9 1      20000      72000 
495	 746000	1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 1 3 2 3 1 3 3 4 11 1      18000      72000 
594	 710000	1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 3 2 3 1 3 2 4 12 1      17273      72727 
792	 683334	0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2 1 3 3 3 5 2 1 3 1 4 9 2      16667      73333 
1188	 650000	1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1 2 1 3 1 3 1 3 2 3 1 4 1 1 12      72727      17273 
1485	 519096	0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 1 3 2 3 1 3 1 4 13 1      16364      67272 
1584	 498000	1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 2 1 3 1 3 2 2 6 3 1 4 1 2 9      68000      16000 
1782	 490000	0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 2 1 1 2 2 3 1 3 2 3 2 3 1 4 12 1      17143      65714 
2673	 121500	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 1 2 2 3 2 3 2 3 2 3 1 4 12 1      16750      65500 
3069	 105888	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 13      65882      16471 
0	2025000	0 2 0 3 1 0 1 0 0 4 1 1 1 0 1 1 1 0 2 0 1 0 1 1 0 3 1 0 1 0 2 0 0 2 1 0 1 1 1 2 1 2 2 1 2 1 2 0 3 3 3 1 1 6 1 5 3 3 7 0      81000      40500 
99	 897720	0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 2 1 0 1 1 1 0 1 1 1 2 1 0 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 0 2 2 3 1 3 3 3 1 3 3 4 14 1      12215      81000 
198	 768000	0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 2 3 3 3 2 3 1 3 3 4 7 1      27000      63000 
396	 560334	0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 1 3 3 3 1 3 0 4 12 1      15167      70000 
495	 537694	0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 1 3 3 3 1 3 0 4 13 1      16153      70000 
792	 137544	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 2 1 3 2 3 2 3 2 3 2 4 13 1      16462      66000 
1089	 122360	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 2 1 1 2 2 3 2 3 2 3 1 3 1 4 13 1      16471      65882 
1683	 105888	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 13      65882      16471 
0	2550000	0 1 1 0 0 5 0 2 1 0 2 1 0 3 1 0 0 2 1 0 1 0 0 4 2 0 1 2 1 1 2 1 1 1 1 0 1 1 1 1 1 2 2 0 2 0 1 3 3 0 4 1 2 3 3 2 1 6 6 0      81000      54000 
99	1206000	1 1 1 1 0 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 3 3 4 3 1 3 3 3 1 4 6 1      30000      72000 
297	 960000	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 3 1 3 1 3 2 3 5 4 6 1      31500      63000 
396	 816000	0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 3 2 2 3 1 3 3 3 1 3 2 4 7 1      27000      63000 
495	 690000	1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 3 2 3 2 4 1 3 2 3 4 1 8      60000      30000 
792	 685556	0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 3 2 2 3 1 3 3 3 1 3 2 4 10 1      21111      68889 
1584	 497100	1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 11      63550      19675 
2277	 121500	1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 2 2 1 3 2 3 2 3 2 3 2 4 1 1 12      65500      16750 
2574	 105888	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 2 1 1 2 2 3 2 3 2 3 2 3 1 4 13 1      16471      65882 
