
0	 615960	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 6 3 3 1 3 3 2 3 3 6 4 2 4 1 2 23      63000      13500       8260 
495	 534000	0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 2 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 3 1 1 2 0 2 3 0 3 3 2 3 3 5 2 4 4 2 1 4 4 2 6 3      15000      13000      57000 
1188	 516668	1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 3 1 2 2 0 3 3 0 3 3 2 2 3 5 2 4 4 4 1 4 3 2 6      56667      15000      13333 
1485	 117542	0 1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 3 1 1 2 2 0 3 3 1 3 3 1 4 2 6 3 2 7 1 4 2 1 3 9      10693      63000       8923 
1881	 105260	1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 0 3 2 0 2 3 0 3 3 1 3 2 5 5 2 6 4 4 4 0 3 9 2      63000       7074      13667 
2574	  64168	1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 2 0 1 1 1 1 2 0 1 2 1 1 2 1 1 2 1 1 2 1 1 3 0 2 2 0 3 3 0 3 3 0 2 5 5 2 4 7 4 0 4 3 2 9      62916      13748       7084 
0	 649000	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 4 3 3 6 3 3 6 3 3 4 4 2 1 1 2 21      63000      13500       7715 
792	 584000	0 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 3 1 0 1 1 2 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 3 1 1 1 1 2 1 1 2 1 1 2 0 2 1 4 3 2 5 3 2 3 3 1 0 3 3 2 4 1 3 1 10       3000      63000      18000 
891	 568000	0 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 3 2 1 1 2 1 1 2 1 1 1 2 0 2 3 4 2 3 5 2 3 3 3 3 0 1 4 2 10 1 3      18000      63000       3000 
1287	 558772	1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 2 1 2 1 1 1 2 1 1 2 1 1 2 1 2 2 1 1 2 1 1 2 1 2 3 2 1 2 3 1 3 3 1 3 3 2 3 3 2 3 4 1 2 1 13 3      63000      12462       9000 
