
0	 615960	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 6 3 3 1 3 3 2 3 3 6 4 2 4 1 2 23      63000      13500       8260 
297	 602004	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 2 2 0 2 2 6 3 3 1 3 3 2 3 3 6 3 4 4 2 2 23 2      69996       5666      11004 
495	 227000	0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 1 2 1 0 2 2 0 3 3 1 4 2 5 3 3 4 4 2 7 2 4 5 2 3 18      16250      64750       2500 
990	 122002	0 1 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 2 1 1 2 1 1 2 1 1 2 1 1 2 0 4 2 1 1 1 2 2 2 4 0 3 3 1 4 3 1 4 3 1 3 4 2 3 1 11      16333      49500      16500 
2961	 116000	0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 4 1 2 2 1 2 2 1 1 2 2 2 1 3 2 3 3 2 3 3 2 3 3 1 3 4 14 3 1      16000          0      66000 
3456	 109336	1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 1 2 2 1 2 2 2 1 1 3 3 2 3 5 2 3 2 2 3 5 2 4 2 1 1 2 14      65996        840      15166 
4050	 108000	1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1 2 2 1 2 2 1 2 2 2 1 1 3 2 1 3 2 2 3 2 1 3 2 2 4 1 1 1 14 13      66000      12000       4000 
4446	 105000	0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 2 2 1 2 2 1 2 1 2 1 2 3 2 5 3 2 2 3 2 5 3 2 2 4 1 2 1 14       2500      65000      15000 
4743	 100000	0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 1 2 2 1 1 2 1 1 1 2 1 2 3 1 2 3 2 2 3 2 2 3 1 1 4 12 14 1       4000      12000      66000 
5535	  94158	0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 2 2 1 2 2 1 1 2 1 1 1 2 1 2 3 1 2 3 2 2 3 2 2 3 1 1 4 12 13 1       4000      12769      66000 
6030	  92572	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 1 1 2 2 1 2 1 2 1 1 3 2 1 3 2 2 3 2 2 3 2 1 4 1 11 1 14       4000      66000      12143 
6228	  82860	1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 2 1 1 2 1 2 2 2 1 1 3 1 2 3 1 2 3 2 2 3 2 2 4 1 1 1 11 13      65718       4282      12860 
6624	  58750	0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 2 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 2 1 2 3 1 0 2 1 2 2 1 2 1 2 1 2 3 1 2 3 1 2 3 2 2 3 2 1 4 1 13 1 10      13125      65625       4375 
7119	  57500	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 2 1 1 2 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 2 0 1 3 2 1 2 2 1 2 1 2 1 1 3 2 1 3 2 2 3 2 2 3 2 1 4 1 10 1 13       4375      65625      13125 
7614	  48320	1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 1 1 3 1 1 2 1 1 2 1 1 2 1 1 1 2 1 0 3 1 2 2 1 2 2 2 1 1 3 1 2 3 1 2 3 1 2 3 2 2 4 1 1 1 10 13      66000       4000      13384 
7911	  47080	1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 2 1 0 3 1 2 2 1 2 2 2 1 1 3 1 2 3 1 2 3 1 2 3 2 2 4 1 1 1 10 13      66000       4000      13385 
8604	  45544	1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 1 1 2 1 1 3 1 1 2 1 1 2 1 2 2 1 2 2 1 2 2 1 2 2 2 2 0 3 2 1 3 2 1 3 2 1 3 2 1 4 1 1 1 13 9      66000      13692       4000 
10782	  44310	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 2 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 2 1 1 2 1 1 2 1 1 0 1 2 2 1 1 2 1 1 2 1 2 2 1 2 2 1 2 2 1 2 1 2 1 1 3 2 1 3 2 1 3 2 1 3 2 1 4 1 10 1 13       4000      66000      13385 
