
0	 615960	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 6 3 3 1 3 3 2 3 3 6 4 2 4 1 2 23      63000      13500       8260 
1773	 155224	1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 2 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0 2 2 0 3 2 3 3 1 6 3 2 4 3 2 3 4 1 3 1 2 23      63000      12333       8362 
4536	  93916	0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0 1 2 0 2 1 3 3 0 6 3 1 4 3 1 3 3 5 3 3 2 23 2      11500       5479      65500 
6813	  91340	0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 3 1 0 3 1 0 3 1 0 2 2 0 1 3 2 0 3 6 1 3 4 1 3 3 5 3 3 2 2 22      11787      65213       5727 
0	 649000	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 4 3 3 6 3 3 6 3 3 4 4 2 1 1 2 21      63000      13500       7715 
594	 642790	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 3 4 3 3 6 3 3 6 3 3 4 3 1 1 4 2 21 1      12721       9047      64558 
1872	 605160	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 2 1 0 1 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 3 1 0 2 1 0 2 1 0 3 2 0 2 3 3 2 3 7 2 2 4 4 3 3 2 4 6 1 2 19 2      70000       6210      11000 
1971	 597200	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 2 0 2 3 1 3 3 4 3 3 7 2 3 6 3 2 4 4 2 20 2      11000       5900      70000 
3060	 572576	1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 1 0 1 2 0 1 2 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 2 3 3 2 5 3 3 1 3 2 4 3 2 6 2 3 21      62000      19000       4714 
3456	 567650	1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 0 2 1 1 1 1 1 1 1 1 2 1 0 2 1 0 2 1 0 2 1 2 2 1 2 2 1 2 2 2 0 2 3 7 3 3 0 3 3 2 3 3 2 2 3 5 2 2 17      10001      69998       7059 
4248	 535178	0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 2 1 1 2 1 0 2 1 0 1 1 0 2 1 0 1 1 0 2 1 1 2 1 0 2 1 0 2 1 0 2 2 5 1 3 1 2 3 4 2 3 3 3 3 6 4 3 19 4 2       3589      15472      65528 
4941	 511256	0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 1 1 1 1 1 1 2 0 1 2 1 1 2 0 1 2 0 1 2 0 1 3 0 1 2 0 2 2 1 3 3 4 3 3 1 3 3 3 3 3 6 3 3 16 2      13500       7094      63000 
5535	 178000	1 0 0 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 3 1 1 2 2 1 2 2 2 2 1 3 2 2 3 3 2 3 3 3 3 3 2 3 3 4 2 3 8      63000       6500      14000 
7119	 134478	1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 2 1 1 2 2 2 2 3 3 2 3 3 5 2 3 5 2 3 1 4 4 5 3 2      16381      49619      16286 
10377	 104000	0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 2 1 1 2 1 1 2 2 1 1 1 2 3 0 3 2 2 3 7 4 2 5 7 2 1 0 4 4 6 3      10500       6500      66000 
