
0	 615960	1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 2 2 0 3 3 6 3 3 1 3 3 2 3 3 6 4 2 4 1 2 23      63000      13500       8260 
198	 589144	0 1 0 1 1 0 2 1 1 5 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 3 1 1 1 1 1 1 1 1 1 1 2 2 1 0 0 1 2 0 1 2 0 1 2 1 1 1 1 1 2 1 1 2 1 1 2 2 1 2 1 2 2 2 3 3 2 3 3 1 3 3 1 3 3 2 4 2 10 2 2      12071      63000       9643 
396	 512916	1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 0 2 1 1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 0 3 1 1 2 2 1 3 3 1 2 3 1 2 3 2 3 3 1 3 4 17 1 1      12318      14702      55894 
495	 470774	0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 0 3 1 1 2 2 1 3 3 4 3 3 1 3 3 1 3 3 1 2 4 17 2 1      11346      14231      58654 
990	 159000	0 0 1 1 0 1 0 1 1 4 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 2 0 1 1 1 1 1 1 1 1 2 1 1 1 1 0 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 2 1 1 0 3 1 1 2 2 2 3 3 1 3 3 1 3 3 1 3 3 2 2 4 10 2 2      12000      16500      54000 
1683	 139000	0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 0 2 1 1 2 1 1 2 1 1 2 1 0 3 1 1 3 2 1 3 3 4 1 3 1 3 3 1 3 3 1 2 4 17 3 1       9500      11500      60500 
2178	 128216	1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 2 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 0 2 1 1 2 1 1 2 1 1 2 1 0 3 2 0 3 3 1 3 3 4 1 3 2 3 3 1 3 4 1 3 1 15 3      54054      11473      17946 
2277	 101668	0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 2 0 1 1 2 1 1 1 1 1 2 1 0 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 0 3 1 0 3 2 1 3 3 3 1 3 2 3 3 1 3 3 1 2 4 16 3 1      11250      13542      59374 
3762	  93000	1 0 0 1 0 0 1 0 0 0 5 2 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 2 1 1 0 1 1 2 1 1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 2 2 1 2 2 1 2 2 1 2 2 2 1 2 3 1 3 3 2 1 3 1 3 3 1 3 4 0 2 2 11 3      66000      11000       6500 
4554	  89336	0 0 1 0 0 1 0 1 1 1 5 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 2 2 1 2 2 1 2 2 1 4 1 1 2 1 2 4 1 3 2 2 3 4 1 3 2 2 3 3 0 4 3 11 2       5750      12083      64917 
8694	  71414	0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 2 1 1 0 1 2 2 1 1 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 1 1 2 2 1 2 1 2 1 2 3 2 2 3 2 2 3 2 2 3 2 1 4 1 12 1 12       5647      64706      12294 
9486	  70000	0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 1 2 1 1 2 0 2 2 2 3 2 2 3 2 2 3 2 1 3 2 1 4 1 10 1 12       6000      64000      13000 
