
0	1816000	0 1 3 0 1 3 2 5 4 2 5 7 2 6 8 3 7 8 4 9 12 6 9 14 8 10 14 10 10 14 11 11 16 12 11 16 15 12 16 17 13 16 18 13 16 20 13 16 22 14 16 24 15 17 24 15 17 24 18 17 24 19 18 25 20 19 25 21 20 25 22 20 25 23 20 26 23 20 26 24 21 26 25 22 27 25 22 27 25 22 27 26 22 28 26 23 28 27 23 29 27 24 29 27 24 29 28 24 29 28 26 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      47000      43000 
396	1694000	1 2 0 4 11 1 5 5 2 6 16 3 8 8 1 7 8 4 7 0 9 9 10 11 9 12 12 9 12 13 10 12 14 11 12 14 13 13 16 13 14 16 14 15 16 17 15 16 17 15 18 17 18 20 18 19 20 18 19 22 3 20 22 23 20 22 23 20 23 24 21 24 24 21 24 24 21 24 24 23 24 24 24 25 25 25 25 25 26 25 25 26 27 25 6 27 25 27 28 26 27 28 26 27 28 26 27 28 26 27 29 26 27 29 28 27 29 28 28 29 29 29 29 29 29 29      31500      45000      36000 
693	1682000	2 0 1 11 1 4 5 2 5 16 3 6 8 1 8 8 4 7 0 9 7 10 11 9 12 12 9 12 13 23 12 14 10 12 14 11 13 16 13 14 16 13 15 16 14 15 16 17 15 18 17 18 20 17 19 20 18 19 22 18 20 22 3 20 22 23 20 23 23 21 24 24 21 24 24 21 24 24 23 24 24 24 25 24 25 25 25 26 25 25 26 27 25 6 27 25 27 28 25 27 28 26 27 28 26 27 28 26 27 29 26 27 29 26 27 29 28 28 29 28 29 29 29 29 29 29      45000      36000      31500 
891	1631500	0 1 16 0 3 6 1 4 0 2 15 7 5 6 7 6 7 9 8 11 9 0 12 10 12 12 10 24 8 14 11 13 11 13 13 13 13 14 16 15 5 16 15 16 17 15 16 17 15 16 18 16 17 12 16 18 20 18 19 23 18 20 23 19 21 23 19 2 23 19 22 24 19 22 24 21 22 25 21 23 26 21 24 26 24 24 26 25 25 26 25 25 27 25 26 28 25 26 28 25 26 28 28 26 28 28 26 8 28 27 29 28 27 29 10 27 29 29 27 29 29 28 29 29 29 29      11250      63000      36000 
1188	1528000	16 1 0 6 3 0 0 4 8 7 15 2 7 6 5 9 18 6 9 11 8 10 28 0 10 12 12 14 8 24 11 13 11 13 13 13 16 14 13 16 5 15 17 16 15 17 16 15 18 16 15 12 17 16 20 18 16 23 19 18 23 20 18 23 21 19 23 2 19 24 22 19 24 22 19 25 22 21 26 23 21 26 24 21 26 24 24 26 25 25 27 25 25 28 26 25 28 26 25 28 26 25 28 26 28 8 26 28 29 27 28 29 27 28 29 27 10 29 27 29 29 28 29 29 29 29      36000      63000       9000 
1683	1444500	1 0 16 3 0 20 4 1 0 15 2 7 6 5 7 18 6 9 11 8 9 28 9 10 12 12 10 8 24 14 13 11 11 13 13 13 14 13 16 5 15 16 16 15 17 16 15 17 16 15 18 17 16 12 18 16 20 19 18 23 20 18 23 21 19 23 2 19 23 22 19 24 22 19 24 22 21 25 23 21 26 24 21 26 24 24 26 25 25 26 25 25 27 26 25 28 26 25 28 26 25 28 26 28 28 26 28 8 27 28 29 27 28 29 27 10 29 27 29 29 28 29 29 29 29 29      63000      11250      31500 
1782	1430000	17 0 3 1 21 3 24 8 3 2 27 18 4 28 17 27 6 8 5 8 2 17 0 26 6 12 13 7 24 5 9 11 14 9 13 14 10 13 16 11 15 16 11 15 17 12 15 18 12 15 18 13 16 19 14 16 19 15 18 5 18 18 21 19 19 0 20 19 23 20 19 24 22 19 24 22 21 6 22 21 26 22 21 26 23 24 27 23 25 10 24 25 28 25 25 28 25 25 28 25 25 28 26 28 29 26 28 29 26 28 29 27 28 29 27 10 29 28 29 29 29 29 29 29 29 29      63000      21000      21000 
3069	1210000	8 13 17 7 1 1 3 3 24 2 6 25 6 8 2 8 28 4 20 21 27 14 25 5 16 13 13 5 5 15 4 7 9 15 14 9 16 16 10 17 16 11 17 17 11 0 10 12 18 18 12 18 19 13 19 19 14 21 20 15 21 21 18 22 0 19 23 23 20 24 24 20 24 24 22 24 25 22 24 22 22 24 26 22 26 27 23 26 28 23 26 28 24 26 28 25 26 28 25 27 28 25 27 29 26 27 29 26 28 29 26 28 29 27 28 29 27 28 29 28 28 29 29 29 29 29      27000      36000      36000 
3366	1196000	8 13 17 7 1 1 3 3 24 2 6 25 6 8 2 8 4 4 20 21 27 14 25 5 16 13 13 5 5 15 4 7 9 15 14 9 16 16 10 17 16 11 17 17 11 0 10 12 18 18 12 18 19 13 19 19 14 21 20 15 21 21 18 22 0 19 23 23 20 24 24 20 24 24 22 24 25 22 24 22 22 24 26 22 26 27 23 26 28 23 26 28 24 26 28 25 26 28 25 27 28 25 27 29 26 27 29 26 28 29 26 28 29 27 28 29 27 28 29 28 28 29 29 29 29 29      27000      36000      36000 
3465	1175000	8 13 17 7 1 1 3 3 10 2 6 25 6 8 2 8 4 4 20 21 27 14 25 5 16 13 13 5 5 15 4 7 9 15 14 9 16 16 10 17 16 11 17 17 11 0 10 12 18 18 12 18 19 13 19 19 14 21 20 15 21 21 18 22 0 19 23 23 20 24 24 20 24 24 22 24 25 22 24 22 22 24 26 22 26 27 23 26 28 23 26 28 24 26 28 25 26 28 25 27 28 25 27 29 26 27 29 26 28 29 26 28 29 27 28 29 27 28 29 28 28 29 29 29 29 29      29500      33500      36000 
3762	1152000	13 17 6 1 1 7 3 4 3 6 2 2 8 4 6 15 27 8 21 25 25 25 17 14 13 6 16 5 7 5 7 9 4 14 9 15 9 10 16 16 11 17 17 11 17 10 12 0 18 12 18 19 13 18 19 14 19 20 15 21 21 18 21 0 19 22 23 20 23 24 20 24 24 22 24 25 22 24 22 22 24 26 22 24 27 23 26 28 23 26 28 24 26 28 25 26 28 25 26 28 25 27 29 26 27 29 26 27 29 26 28 29 27 28 29 27 28 29 28 28 29 29 28 29 29 29      36000      36000      27000 
4356	1148000	13 6 17 1 7 12 3 3 4 23 2 2 8 24 4 15 8 27 21 1 25 25 14 17 13 16 6 5 5 7 7 4 9 14 15 9 9 16 10 16 17 11 17 17 11 10 0 12 18 18 12 19 18 13 19 19 14 20 21 15 21 21 18 0 22 19 23 23 20 24 24 20 24 24 22 25 24 22 22 24 22 26 24 22 27 26 23 28 26 23 28 26 24 28 26 25 28 26 25 28 27 25 29 27 26 29 27 26 29 28 26 29 28 27 29 28 27 29 28 28 29 28 29 29 29 29      36000      27000      36000 
4455	1122000	13 17 6 1 1 7 3 4 3 23 2 2 8 4 6 15 27 8 21 25 25 25 25 14 13 6 16 5 7 5 7 9 4 14 9 15 9 10 16 16 11 17 17 11 17 10 12 0 18 12 18 19 13 18 19 14 19 20 15 21 21 18 21 0 19 22 23 20 23 24 20 24 24 22 24 25 22 24 22 22 24 26 22 24 27 23 26 28 23 26 28 24 26 28 25 26 28 25 26 28 25 27 29 26 27 29 26 27 29 26 28 29 27 28 29 27 28 29 28 28 29 29 28 29 29 29      36000      36000      27000 
