
0	1816000	0 1 3 0 1 3 2 5 4 2 5 7 2 6 8 3 7 8 4 9 12 6 9 14 8 10 14 10 10 14 11 11 16 12 11 16 15 12 16 17 13 16 18 13 16 20 13 16 22 14 16 24 15 17 24 15 17 24 18 17 24 19 18 25 20 19 25 21 20 25 22 20 25 23 20 26 23 20 26 24 21 26 25 22 27 25 22 27 25 22 27 26 22 28 26 23 28 27 23 29 27 24 29 27 24 29 28 24 29 28 26 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      47000      43000 
198	1657000	0 1 0 4 1 0 4 2 2 5 16 2 21 4 2 8 4 3 8 3 6 10 5 7 11 6 8 14 7 9 14 9 12 16 9 12 16 10 13 16 11 13 17 11 13 17 8 15 18 12 15 19 13 20 19 14 23 19 15 23 20 18 24 20 19 24 21 20 24 21 20 24 22 22 24 22 22 24 23 22 26 24 22 26 25 23 26 25 23 26 25 24 1 25 25 27 25 25 27 28 25 27 28 26 27 28 26 28 28 26 28 29 27 28 29 27 29 29 28 29 29 29 29 29 29 29      40500      40500      31500 
297	1538000	1 2 0 7 3 1 9 20 2 9 3 2 10 5 2 10 5 3 11 8 3 14 8 5 11 9 5 6 9 7 16 12 7 16 12 9 16 13 11 17 13 13 19 13 13 20 13 14 21 14 15 0 15 15 22 15 18 22 15 18 23 15 18 23 17 19 23 18 22 24 18 23 24 19 23 25 20 23 4 21 23 26 21 23 26 23 23 27 24 24 27 25 24 27 25 24 27 25 24 27 25 24 27 26 25 28 26 25 28 26 26 28 27 27 29 28 27 29 28 28 29 28 28 29 28 29      63000      36000       9000 
396	1533500	0 2 1 1 3 7 2 20 9 22 3 9 4 5 10 4 5 10 5 8 11 6 8 14 7 9 11 13 9 6 8 12 16 10 12 16 11 13 16 12 13 17 12 13 19 13 13 20 15 14 21 16 15 0 17 15 22 19 15 22 20 15 23 20 17 23 23 18 23 23 18 24 24 19 24 24 20 25 24 21 4 24 21 26 24 23 26 24 24 27 25 25 27 25 25 27 25 25 27 26 25 27 26 26 27 27 26 28 27 26 28 28 27 28 28 28 29 29 28 29 29 28 29 29 28 29      22500      40500      46125 
495	1246000	25 2 1 0 26 3 1 4 5 2 10 6 3 12 6 4 13 7 5 8 11 7 14 12 17 11 12 8 9 2 9 11 13 10 17 13 11 18 14 14 6 15 14 19 16 18 20 16 19 1 16 20 22 17 21 23 18 21 23 19 21 24 20 22 25 21 23 25 0 23 25 22 23 26 22 24 26 22 24 7 23 24 27 24 24 27 24 25 27 25 25 28 25 25 28 26 26 28 26 26 28 26 26 28 26 27 5 26 28 29 27 28 29 27 28 29 27 15 29 27 29 29 28 29 29 29      51000      21000      30000 
594	1124000	1 4 6 3 3 0 5 5 1 6 10 2 6 12 3 0 13 4 11 8 5 12 14 7 12 14 17 2 9 8 13 17 9 13 17 10 14 18 11 15 19 14 16 19 14 16 20 18 16 1 19 17 21 20 18 23 21 19 23 21 20 24 21 21 25 22 0 25 23 22 25 23 22 16 23 22 26 24 23 7 24 24 2 24 24 27 24 25 27 25 25 28 25 26 28 25 26 28 26 26 28 26 26 28 26 26 15 27 27 29 28 27 29 28 27 29 28 27 29 15 28 29 29 29 29 29      27000      27000      45000 
792	1013060	1 0 6 3 0 3 5 1 5 6 2 10 6 3 12 0 4 13 11 5 8 12 7 14 12 8 14 2 8 9 13 9 17 13 10 17 14 11 18 15 14 11 16 14 19 16 18 20 16 19 1 17 20 21 18 21 23 19 21 23 20 21 24 21 22 25 0 23 25 22 23 25 22 23 16 22 24 4 23 24 7 24 24 2 24 24 27 4 25 27 25 25 28 26 25 28 26 26 28 26 26 28 26 26 28 26 27 15 27 28 29 27 28 29 27 28 29 27 15 29 28 29 29 29 29 29      24647      35588      36412 
1584	1008130	22 6 10 0 3 3 1 5 5 2 10 6 3 12 2 4 13 0 5 8 8 7 14 12 23 14 12 8 9 24 9 17 13 10 17 13 11 18 14 14 11 15 14 19 16 18 20 16 19 1 16 20 21 17 21 23 18 21 23 19 21 24 20 22 25 21 23 25 0 23 25 22 23 16 22 24 4 22 24 7 23 24 2 24 24 27 24 25 27 25 25 28 25 25 28 26 26 28 26 26 28 26 26 28 26 27 15 26 28 29 27 28 29 27 28 29 27 15 29 27 29 29 28 29 29 29      30175      41825      23295 
1980	 977000	6 22 10 3 0 3 5 1 5 10 2 6 12 27 2 13 4 0 8 5 8 14 7 12 14 23 12 9 8 9 17 9 13 17 10 13 18 11 14 11 14 15 19 14 16 20 18 16 1 19 16 21 20 17 23 21 18 23 21 19 24 21 20 25 22 21 25 23 0 25 23 22 16 23 22 4 24 22 7 24 23 2 24 24 27 24 24 27 25 25 28 25 25 28 25 26 28 26 26 28 26 26 28 26 26 15 27 26 29 28 27 29 28 27 29 28 27 29 15 27 29 29 28 29 29 29      40500      31500      22500 
2178	 949000	22 6 10 0 3 3 4 5 5 2 10 6 11 12 2 4 13 0 1 28 8 7 14 12 23 25 12 8 9 9 9 17 13 10 17 13 11 18 14 14 11 15 14 19 16 18 20 16 19 1 16 20 21 17 21 23 18 21 23 19 21 24 20 22 25 21 23 25 0 23 25 22 23 16 22 24 4 22 24 7 23 24 2 24 24 27 24 25 27 25 25 28 25 25 28 26 26 28 26 26 28 26 26 28 26 27 15 26 28 29 27 28 29 27 28 29 27 15 29 27 29 29 28 29 29 29      31500      31500      31500 
