
0	2568000	2 0 2 0 3 1 6 3 6 4 9 4 9 7 10 7 11 8 11 8 12 11 12 13 15 13 16 14 16 14 17 20 17 20 18 21 19 21 19 22 20 22 22 23 23 23 23 24 24 24 25 24 25 24 25 24 25 25 26 25 26 26 26 27 26 27 27 27 27 27 28 28 28 28 5 28 29 28 29 28 29 29 29 29      81000      54000 
495	2478800	8 3 0 13 7 6 4 2 5 9 13 6 12 7 9 3 21 14 10 8 2 9 12 17 15 7 1 12 23 14 14 14 19 19 22 21 18 19 23 21 17 21 21 20 24 21 20 22 24 24 25 25 24 24 26 25 26 24 26 25 27 25 26 26 27 25 27 28 11 27 16 27 29 27 29 28 29 28 29 28 29 28 29 29      81000      50400 
990	2152000	4 0 4 1 25 1 5 3 4 6 9 4 9 21 20 28 18 8 11 19 13 6 22 0 15 25 10 16 16 14 19 14 18 22 18 21 7 20 21 8 24 22 24 24 23 23 2 22 24 24 3 23 18 26 0 24 26 4 25 24 26 26 17 28 27 27 28 26 27 26 28 27 28 27 5 28 12 28 29 28 29 29 29 28      83250      40500 
2376	2092000	11 0 4 5 25 25 5 3 4 0 9 4 9 21 20 3 6 8 17 13 3 6 3 17 15 19 7 16 16 14 19 14 18 19 22 21 18 19 21 8 20 22 10 24 23 23 2 21 24 24 25 23 25 23 25 25 26 4 25 24 27 26 26 26 13 27 1 27 27 26 28 27 28 27 29 28 12 28 29 28 29 28 29 28      81000      42000 
3663	1826000	6 12 5 1 21 25 2 3 26 0 9 4 10 5 2 3 20 8 17 13 14 0 29 14 15 14 3 12 16 14 19 14 20 8 22 21 18 19 21 8 17 22 8 24 23 23 24 22 24 24 25 23 25 23 7 25 11 4 25 24 26 26 26 26 12 27 1 27 27 27 13 27 28 28 29 28 12 28 29 28 29 29 29 28      81000      34200 
5049	1790000	6 0 5 1 21 1 13 3 20 0 9 24 10 11 2 11 7 15 17 9 4 0 29 14 15 4 3 12 16 14 19 14 20 8 22 21 18 19 21 8 20 22 23 24 23 23 24 22 24 24 25 23 25 23 7 24 11 4 25 18 26 26 26 26 16 27 1 27 27 27 13 27 28 28 2 28 12 28 29 28 29 29 29 28      81000      34200 
5148	1780750	6 26 2 13 3 15 13 16 18 0 9 4 10 3 27 0 27 10 28 9 4 0 28 15 15 13 28 7 3 21 19 14 20 8 22 21 11 19 21 8 20 22 23 19 25 23 24 22 24 24 17 23 25 23 16 25 11 4 25 24 18 26 26 17 14 7 1 27 27 26 5 27 28 28 12 27 12 28 29 28 29 29 29 28      68625      46125 
5742	1460004	6 10 0 1 3 25 11 3 6 24 9 4 10 7 15 13 17 5 2 13 25 21 8 14 15 14 28 12 11 14 19 14 17 8 22 21 7 19 20 21 5 22 23 20 25 21 24 22 24 24 17 23 18 23 16 24 26 4 25 18 26 26 26 26 13 27 1 27 27 26 16 27 28 28 12 27 12 28 29 28 29 29 29 28      72818      33546 
7920	1384000	6 10 0 1 3 25 11 3 6 24 9 4 10 7 15 13 21 5 2 13 25 27 8 14 15 14 28 14 11 14 19 14 17 8 22 21 7 19 20 21 5 22 23 20 25 21 24 22 24 24 17 23 18 23 16 24 26 4 25 18 26 26 26 26 13 27 1 27 27 26 16 27 28 28 12 27 12 28 29 28 29 29 29 28      73500      31500 
14940	1371000	11 0 0 20 3 5 11 3 6 24 9 4 10 7 15 9 21 21 2 13 25 27 8 13 15 14 28 14 11 25 19 14 17 8 22 21 7 19 20 5 23 22 23 20 25 21 24 22 24 24 17 23 18 23 16 24 26 4 25 18 26 26 26 23 13 27 1 27 27 26 16 27 28 28 12 27 12 28 29 28 29 29 29 28      73500      31500 
