
0	1816000	0 1 3 0 1 3 2 5 4 2 5 7 2 6 8 3 7 8 4 9 12 6 9 14 8 10 14 10 10 14 11 11 16 12 11 16 15 12 16 17 13 16 18 13 16 20 13 16 22 14 16 24 15 17 24 15 17 24 18 17 24 19 18 25 20 19 25 21 20 25 22 20 25 23 20 26 23 20 26 24 21 26 25 22 27 25 22 27 25 22 27 26 22 28 26 23 28 27 23 29 27 24 29 27 24 29 28 24 29 28 26 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      47000      43000 
2079	1743000	0 1 3 1 3 16 23 7 8 8 5 7 4 6 9 14 3 8 4 7 20 6 9 8 16 25 14 10 10 13 1 11 5 12 13 11 2 12 15 17 13 15 13 13 16 16 16 16 22 20 2 20 22 19 21 15 17 21 21 19 24 19 18 24 20 19 25 22 23 25 22 23 25 23 20 26 25 20 26 24 24 10 22 26 28 23 26 26 25 26 27 27 26 0 24 23 28 27 27 29 27 26 18 26 28 29 28 24 28 28 27 29 28 26 29 28 26 29 28 29 29 28 29 29 29 28      40500      31500      40500 
4356	1326000	0 1 12 25 3 15 11 7 0 5 8 8 4 6 1 14 3 0 26 7 9 4 4 6 3 23 28 20 10 9 1 11 21 12 13 11 2 12 9 17 13 15 19 13 16 16 5 16 17 14 2 24 15 17 18 15 17 24 18 19 24 19 18 20 21 19 25 21 23 21 22 20 25 23 20 26 25 20 2 24 21 10 22 24 28 23 25 26 25 24 27 26 22 29 26 26 4 27 27 29 27 24 21 27 27 29 28 27 29 28 28 29 27 26 29 28 26 29 28 27 29 28 28 29 28 28      38500      42500      24000 
4851	1213000	0 20 15 0 6 22 8 7 16 12 3 15 4 6 1 14 5 4 4 7 17 6 9 11 3 13 10 20 17 9 10 11 21 14 13 11 2 12 9 12 13 15 18 13 4 16 5 16 17 13 2 9 22 17 18 15 17 24 18 19 24 19 18 20 21 19 24 21 23 25 19 20 25 23 20 26 25 23 8 24 21 10 22 24 1 25 25 25 25 26 27 26 26 29 26 23 28 27 23 29 25 24 21 26 27 29 28 27 29 27 27 29 28 28 29 28 26 29 28 27 29 28 28 29 29 28      40500      31500      27000 
6930	1130000	0 7 15 8 3 12 27 9 16 0 9 8 17 6 0 3 5 4 4 7 17 14 9 29 24 12 10 28 28 26 10 11 21 14 13 11 2 12 15 12 13 14 18 13 1 16 5 16 17 20 2 24 22 17 21 15 17 24 21 17 24 19 18 20 20 19 7 21 23 25 19 20 25 23 20 22 25 20 25 24 21 10 22 26 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 29 25 24 18 26 28 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      36000      36000 
11286	1102000	0 7 15 8 3 12 24 9 16 0 9 8 17 6 0 3 5 4 4 7 17 14 9 29 24 12 10 28 28 26 10 11 21 14 13 11 2 12 15 12 13 14 18 13 1 16 5 16 17 20 2 24 22 17 21 15 17 24 21 17 24 19 18 20 20 19 7 21 23 25 19 20 25 23 20 22 25 20 25 24 21 10 22 26 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 29 25 24 18 26 28 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      36000      36000 
11880	 991240	0 3 9 8 3 4 12 0 11 5 9 8 7 6 11 13 5 10 4 7 14 21 14 8 7 15 10 20 28 23 1 11 16 14 13 11 2 12 9 12 13 15 7 13 4 16 5 16 17 14 2 24 22 17 21 15 17 24 18 8 24 19 18 20 18 19 7 21 23 25 19 20 25 23 20 26 25 20 25 24 21 10 22 24 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 0 25 24 18 26 28 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      34714      32524      28286 
12276	 980000	0 27 15 8 3 22 24 9 14 4 9 23 15 11 0 3 5 10 4 19 17 14 5 29 29 12 10 3 28 26 1 11 16 14 13 11 2 12 9 12 13 15 7 13 4 16 5 16 17 14 2 24 22 17 21 15 17 24 18 8 24 19 18 20 18 19 7 21 23 25 19 20 25 23 20 22 25 20 25 24 21 10 22 24 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 0 25 24 18 26 6 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      31500      31500      31500 
12870	 969500	2 15 28 8 3 0 12 9 11 0 9 8 7 6 23 0 5 24 4 7 27 14 9 3 25 15 10 20 28 26 10 11 16 14 13 11 2 12 9 12 13 14 7 13 1 16 5 16 17 14 2 9 22 17 21 15 17 24 18 8 24 19 18 20 18 19 7 21 23 25 19 20 25 23 20 26 25 20 25 24 21 10 22 24 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 0 25 24 18 26 27 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      31500      33750      29250 
13068	 890000	0 24 1 13 3 22 12 9 11 5 9 15 15 6 19 3 20 10 4 7 18 17 2 6 6 12 10 28 23 25 6 11 16 14 13 11 2 12 9 12 13 14 7 1 1 16 5 16 17 14 2 24 22 17 21 15 17 24 21 8 24 19 18 20 20 19 7 21 23 25 19 20 25 23 20 26 25 20 8 24 21 10 22 26 1 23 25 27 25 22 27 26 24 29 26 26 4 27 23 0 25 24 18 26 28 6 28 27 29 27 27 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      36000      28000      27000 
