
0	4031518	2 1 6 1 0 1 4 1 5 1 3 1 3 1 3 3 3 3     990000      36428 
99	3908875	2 2 6 1 4 1 0 1 6 4 5 1 3 3 3 3 3 3     720000      57375 
198	2491500	6 2 5 3 0 1 4 1 0 3 6 2 5 3 3 1 3 3     495000     117000 
297	1821500	2 1 6 5 0 5 6 5 6 1 4 1 5 1 3 3 3 3     450000      90000 
396	1252500	5 6 6 6 0 4 4 6 6 1 0 1 5 2 3 5 3 3     243000     234000 
693	1058500	6 5 6 6 5 1 4 5 4 3 6 0 5 2 3 6 3 3     225000     234000 
1089	 976500	1 5 6 6 0 0 6 4 6 5 6 1 5 2 6 4 3 3     162500     287500 
1188	 871500	6 5 4 6 5 4 6 6 3 0 5 1 5 2 6 3 3 3     190000     260000 
1386	 861500	5 5 6 2 4 6 2 1 6 4 5 0 5 3 6 6 3 3     195000     255000 
1881	 684000	6 6 0 6 0 5 2 4 2 5 6 1 5 4 3 6 3 3     125000     297500 
3366	 666500	4 3 6 1 4 5 0 5 5 2 6 1 5 2 6 6 3 3     287500     127500 
4455	 599000	5 4 0 6 5 6 3 5 0 4 6 1 5 2 6 6 3 3     167500     255000 
5544	 165000	5 2 5 6 5 6 3 0 5 4 6 1 5 4 6 6 3 3     150000     250000 
0	4031518	6 0 1 0 2 0 4 0 5 0 3 0 3 3 3 3 3 3     990000      41666 
99	3341500	4 3 1 0 0 1 5 0 6 0 3 3 2 3 6 3 3 3     720000          0 
198	2633500	5 4 5 6 0 0 2 6 2 5 1 1 0 3 3 3 3 3     117000     495000 
297	1976250	4 2 5 6 6 0 5 3 2 0 6 1 6 1 3 3 3 3     450000     114750 
495	1265250	5 6 6 6 2 4 5 5 0 0 4 6 6 1 3 3 3 3     245250     229500 
792	1219000	1 4 2 6 6 0 5 6 6 6 4 0 5 3 6 3 3 3     360000     112500 
891	 811500	1 5 0 5 6 6 5 4 4 6 0 6 4 2 1 3 3 3     125000     325000 
3366	 680000	6 3 1 5 6 2 5 4 4 6 0 6 5 4 6 2 3 3     301500     117000 
3663	 165000	5 5 4 6 4 6 5 5 3 0 6 6 4 1 6 2 3 3     150000     250000 
0	5831500	1 0 0 0 2 0 4 0 5 0 6 0 3 3 3 3 3 3     990000          0 
99	3421500	1 2 0 6 6 5 4 0 5 0 6 3 3 3 3 3 3 3     486000     234000 
198	2041500	1 5 4 5 5 5 6 0 6 0 2 6 3 0 3 3 3 3     450000      90000 
297	1396500	5 0 6 0 2 2 0 0 4 0 5 0 6 0 1 5 3 3     495000          0 
495	1235750	4 1 5 5 2 4 6 6 5 0 6 0 6 6 2 3 3 3     245250     229500 
792	 976500	2 4 4 6 5 5 6 6 5 6 1 0 4 6 3 5 3 3     234000     225000 
990	 929000	4 0 6 6 3 2 4 5 5 1 6 6 6 4 3 5 3 3     135000     292500 
1089	 901500	1 4 4 6 4 6 6 0 5 6 5 0 6 6 2 5 3 3     325000     125000 
1287	 851500	1 0 4 6 5 2 6 5 5 6 6 5 6 4 1 3 2 3     200000     250000 
2772	 586500	4 3 6 2 4 2 0 5 5 6 6 5 6 6 1 5 3 3     250000     175000 
12474	 165000	6 3 2 5 4 5 4 5 0 6 6 5 6 6 1 5 3 3     250000     150000 
0	5831500	6 0 0 0 2 0 1 0 4 0 5 0 3 0 3 3 3 3     990000          0 
99	3644000	5 1 6 5 0 0 0 0 2 4 4 0 6 3 3 3 3 3     495000     229500 
198	1396500	6 1 5 1 2 1 4 0 0 0 6 3 1 3 3 3 5 3     495000          0 
396	1016250	2 4 6 2 6 0 6 1 5 0 4 1 5 4 5 3 3 3     330000     114750 
792	 861500	5 0 5 3 6 6 2 0 6 1 4 1 6 4 5 0 3 3     325000     125000 
891	 821500	6 6 4 0 1 0 6 2 5 1 4 2 6 5 5 3 3 3     325000     125000 
1782	 811500	6 1 2 5 5 0 5 1 6 0 4 6 6 4 4 3 3 3     325000     125000 
2376	 599000	0 4 6 1 5 6 3 4 5 6 0 6 6 5 5 2 3 3     167500     255000 
0	5831500	1 0 0 0 2 0 4 0 5 0 6 0 3 3 3 3 3 3     990000          0 
99	3640500	1 6 4 5 4 5 5 6 2 0 3 0 5 3 3 3 3 3     234000     495000 
198	2968000	4 0 0 6 6 0 2 0 5 0 6 1 5 3 3 3 3 3     450000     229500 
297	1739000	4 5 1 5 1 2 6 4 6 0 3 6 6 3 6 3 3 3     157500     360000 
495	1082750	6 5 1 1 2 0 5 2 5 0 4 4 6 1 6 3 3 3     343750     112500 
693	 996500	4 4 5 4 1 0 6 0 5 0 5 2 6 2 6 3 3 3     330000     117000 
792	 891500	2 4 1 0 5 0 5 4 5 0 6 6 6 3 6 4 3 3     280000     150000 
1188	 821500	4 2 4 1 1 0 6 5 5 0 5 6 6 2 6 3 3 3     325000     125000 
2673	 732500	4 0 5 1 4 6 5 4 5 6 5 6 6 2 6 3 3 3     199000     234000 
3960	 666500	2 3 5 5 1 5 6 6 0 6 5 6 6 4 4 4 3 3     255000     160000 
10890	 657750	6 1 3 5 0 2 4 6 0 6 5 6 6 5 4 4 3 3     112500     303750 
10989	 599000	4 0 3 2 6 1 5 6 5 6 5 6 6 5 4 4 3 3     167500     255000 
0	5831500	1 0 0 0 0 0 2 0 4 0 5 0 6 0 3 3 3 3     990000          0 
99	3009500	1 4 5 5 0 0 2 6 5 6 6 3 3 1 3 3 3 3     234000     450000 
396	1506500	2 4 1 5 6 6 2 4 5 6 5 0 6 3 3 3 3 3     255000     250000 
693	1262500	2 5 5 5 0 6 6 4 6 4 6 4 6 1 3 3 3 3     234000     243000 
792	1256500	4 3 5 5 4 1 6 0 6 6 6 5 6 2 3 3 3 3     225000     250000 
891	1246500	1 4 5 4 6 6 5 5 6 0 6 2 6 3 1 3 3 3     235000     250000 
