
0	10995027	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0          0      27777          0 
99	10673574	0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
198	8183500	6 2 3 4 5 6 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     540000     234000     450000 
495	8106500	6 2 3 4 5 5 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     495000     255000     465000 
594	7001500	1 4 6 6 3 6 5 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     270000     450000     360000 
891	5786500	1 5 1 4 6 5 4 6 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     225000     495000     225000 
1287	4736500	6 5 5 1 6 6 4 6 4 2 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     234000     153000     450000 
1683	4466500	2 5 4 4 6 6 1 6 4 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0     260000     460000      95000 
2079	3571500	2 3 6 6 5 6 5 6 4 6 5 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0     229500     450000      40500 
2277	3341500	6 6 4 1 6 5 3 6 4 5 5 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0     279999     273334     166667 
2772	3151500	5 4 1 2 6 5 5 6 1 6 5 3 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0     234000     450000          0 
2970	3070000	6 4 2 2 6 6 1 6 4 5 5 3 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0     229500     419500      30500 
3267	2589500	5 5 2 1 5 5 6 6 4 6 5 1 4 2 2 3 0 0 0 0 0 0 0 0 0 0 0     450000      93200      70400 
3465	2530835	5 5 2 1 5 6 6 6 4 6 5 1 4 2 2 3 0 0 0 0 0 0 0 0 0 0 0     450000     116666      58667 
3564	2501500	4 5 2 1 5 3 6 6 4 6 5 4 5 2 2 3 0 0 0 0 0 0 0 0 0 0 0     434000     122000      56000 
3861	2488500	4 5 2 1 5 5 6 6 2 6 5 1 5 2 2 3 0 0 0 0 0 0 0 0 0 0 0     500000      83250      50250 
4356	2161501	4 5 5 6 6 6 1 6 2 6 5 3 5 3 3 4 2 0 0 0 0 0 0 0 0 0 0     250000     216666     116667 
