
0	5831500	6 0 0 0 0 0 0 0 1 0 2 0 4 0 5 3 3 3     990000          0 
99	3421500	2 5 6 0 0 0 0 6 0 4 0 6 1 0 5 3 3 3     255000     465000 
198	3341500	4 6 0 0 6 5 6 0 4 4 5 1 2 3 3 3 3 3     465000     255000 
297	2968000	4 6 5 0 6 0 6 0 2 0 5 1 5 3 3 3 3 3     450000     229500 
396	2101500	2 2 5 1 2 2 4 0 1 0 6 4 6 3 5 0 3 3     495000      75000 
495	1932750	2 2 5 1 6 2 4 6 1 0 6 4 4 3 5 0 3 3     438750     112500 
594	1511500	1 6 2 5 6 0 0 6 2 5 6 4 5 3 4 3 3 3     229500     270500 
693	1360000	5 6 5 6 6 0 1 6 3 4 5 3 5 2 4 3 3 3     229500     260000 
792	1219000	2 2 5 0 6 4 4 6 1 0 6 1 6 3 5 3 3 3     360000     112500 
1089	 657750	5 6 4 0 6 4 6 5 1 6 6 4 2 3 5 0 3 3     303750     112500 
1980	 586500	5 5 0 2 6 6 4 5 1 6 6 5 6 2 4 3 3 3     250000     175000 
3861	 165000	4 6 4 1 3 6 4 5 5 6 6 5 6 2 5 0 3 3     150000     250000 
0	4031518	6 0 1 0 2 0 4 0 5 0 3 0 3 3 3 3 3 3     990000      41666 
99	3341500	1 4 5 5 0 6 0 0 0 0 1 2 3 6 3 3 3 3     127500     592500 
297	1959000	4 4 6 0 1 2 5 6 5 0 6 5 3 2 3 3 3 3     432500     125000 
396	1284000	1 6 5 5 0 6 6 0 4 4 6 6 2 5 3 0 3 3     255000     232500 
594	1266500	6 1 6 0 2 5 4 6 5 4 5 6 6 2 2 3 3 3     235000     250000 
693	1174000	0 4 1 2 2 5 5 5 6 4 6 6 6 6 3 1 3 3     225000     247500 
891	1076500	5 6 1 5 0 6 6 0 1 4 6 5 6 2 4 0 3 3     150000     325000 
990	1058500	0 4 1 4 2 5 5 5 6 5 6 6 6 6 3 3 3 3     234000     225000 
1089	1005500	4 4 2 6 5 6 5 6 5 5 1 6 0 6 3 3 3 3     234000     220000 
1188	 811500	1 5 5 6 0 5 4 6 0 2 6 6 4 4 1 3 3 3     125000     325000 
2277	 666500	4 4 0 4 1 6 5 6 5 5 6 5 6 6 2 3 3 3     255000     160000 
4950	  65000	4 3 0 6 4 6 5 6 5 5 6 5 6 6 2 3 1 3     250000     150000 
0	5831500	1 0 0 0 2 0 4 0 5 0 6 0 3 3 3 3 3 3     990000          0 
99	3644000	4 1 6 4 0 0 2 5 5 0 6 3 3 3 3 3 3 3     495000     229500 
198	3156500	5 6 6 0 1 0 0 4 5 4 0 6 2 4 3 3 3 3     360000     315000 
297	3009500	2 4 1 5 0 0 5 6 0 0 6 5 1 6 3 3 3 3     234000     450000 
396	2439000	4 5 6 2 1 0 5 4 5 0 6 3 2 3 3 3 3 3     495000     112500 
495	1998500	4 2 0 2 6 0 5 1 5 6 6 0 3 1 6 3 3 3     450000     117000 
594	1521500	1 5 6 6 0 4 6 5 4 6 5 3 2 3 3 3 3 3     260000     240000 
693	1496500	2 6 4 2 4 6 5 2 5 5 6 0 1 3 6 3 3 3     270000     225000 
891	1344000	1 6 5 6 5 5 0 1 0 6 4 4 2 6 2 3 3 3     222500     275000 
990	 851500	5 5 1 5 0 6 6 4 4 6 6 0 2 3 6 5 3 3     260000     190000 
1683	 684000	4 0 5 2 4 2 6 6 1 6 6 0 5 5 6 3 3 3     297500     125000 
1881	 666500	5 6 1 4 6 5 0 4 4 6 6 5 5 6 2 3 3 3     255000     160000 
6831	 657750	0 2 3 4 0 1 4 6 4 6 6 5 5 6 6 5 3 3     112500     303750 
7722	 586500	0 5 1 2 4 3 4 2 6 6 6 5 5 6 6 5 3 3     250000     175000 
0	5831500	6 0 0 0 2 0 1 0 4 0 5 0 3 0 3 3 3 3     990000          0 
99	5499500	1 6 4 2 5 6 1 0 6 0 3 3 3 3 3 3 3 3     720000     234000 
198	3341500	1 0 5 0 0 0 6 0 6 6 4 5 2 3 3 3 3 3     720000          0 
297	1943875	5 1 2 0 0 4 6 1 6 4 0 5 5 6 4 3 3 3     437625     114750 
495	1939000	1 6 5 2 0 3 0 4 6 0 4 0 6 3 2 3 5 3     432500     125000 
594	1366500	6 0 6 4 6 0 1 0 5 0 4 2 5 0 6 5 3 3     275000     234000 
693	1308500	1 6 6 4 3 2 5 3 6 0 4 5 6 6 3 3 5 3     243000     234000 
792	 851500	6 5 2 4 6 6 1 0 4 0 5 6 5 3 6 5 3 3     325000     125000 
2772	 721500	2 1 2 6 4 0 5 4 4 6 5 6 5 6 6 3 5 3     180000     230000 
5742	 593500	0 3 2 6 4 6 1 3 4 6 5 6 5 6 6 3 5 3     260000     168000 
9603	 165000	0 4 2 6 6 6 1 3 4 4 5 6 5 6 6 3 5 3     250000     150000 
0	5831500	1 0 0 0 2 0 4 0 5 0 6 0 3 3 3 3 3 3     990000          0 
