
0	4031527	0 2 6 0 1 1 0 1 1 0 1 1 0 1 1 0 5 1 3 3 1 3 3 1 3 3 4      41666     720000     990000 
99	3661500	6 1 1 0 1 1 2 1 1 5 1 1 6 1 1 3 3 1 3 1 4 3 3 5 3 3 4     495000          0     225000 
198	2826500	5 0 1 5 4 2 0 1 1 0 1 1 0 1 2 6 1 2 6 1 4 3 3 4 3 3 4     495000          0     150000 
297	2211500	6 5 6 5 1 2 0 1 6 5 6 1 0 1 1 3 3 2 3 1 4 3 3 5 3 3 4     150000          0     420000 
396	2186500	5 0 1 5 0 6 0 1 4 0 1 4 0 1 2 6 1 2 6 1 4 3 3 4 3 3 4     430000      25000     130000 
495	1376500	6 1 6 3 4 5 0 1 5 0 1 4 5 1 1 6 1 3 3 3 2 3 3 6 3 3 4     125000          0     370000 
792	1276500	5 1 6 6 0 1 3 4 5 0 1 1 5 1 4 6 3 2 3 3 1 6 3 6 3 3 4     235000          0     250000 
1089	1026500	4 1 6 6 0 6 0 1 5 5 2 1 5 1 1 6 2 2 3 3 2 3 3 6 3 3 4     325000          0     150000 
1584	 911500	5 1 6 5 0 5 0 4 5 0 2 1 6 1 1 6 3 2 6 3 4 3 3 6 3 3 4     207500      21250     238750 
1683	 836500	2 5 4 5 1 3 5 6 5 0 1 5 6 1 1 6 1 4 3 3 4 6 3 6 3 3 4     277500      32500     125000 
2079	 666500	5 2 5 6 6 6 0 4 5 0 2 1 5 1 4 6 1 3 6 3 2 3 3 6 3 3 4     160000          0     255000 
2277	 521500	2 6 6 0 1 6 5 5 4 5 1 1 5 1 1 6 1 4 3 3 6 6 3 6 3 3 4     250000          0     150000 
3069	 240500	2 3 6 0 1 5 6 4 5 5 1 1 5 1 4 6 0 4 6 3 6 3 3 6 3 3 4     234000      20500     168000 
5247	 135625	0 2 5 6 5 2 4 4 5 5 1 1 5 1 4 6 3 2 6 3 6 6 3 6 3 3 4     225000      68750     103125 
5841	 128750	0 6 2 5 1 1 4 2 4 5 2 1 5 1 4 6 3 2 6 3 6 6 3 6 3 3 4     275000      56250      75000 
