
0	25098000	0 43 1 2 0 1 1 2 0 1 1 2 0 1 1 2 0 1 1 18 1 1 1 5 3 1 1 5 17 1 2 5 35 1 2 40 4 1 5 41 4 2 5 49 4 3 5 6 8 4 5 6 9 4 5 6 9 5 6 6 13 5 6 11 10 5 6 11 10 5 11 11 48 5 11 11 14 10 11 11 14 10 11 11 7 10 11 11 22 10 11 15 22 10 15 15 25 10 15 16 20 14 19 23 30 22 23 23 38 25 23 23 32 25 23 23 12 25 25 46 39 25 26 26 42 29 26 26 36 30 26 28 44 30 26 28 44 32 28 28 45 32 28 31 45 32 33 34 21 32 24 34 47 33 37 34 47 36 37 34     132500          0          0      42500 
198	23914800	0 24 1 47 20 1 1 1 0 1 49 48 0 1 1 19 16 1 1 2 3 3 1 3 4 3 1 45 4 3 1 5 21 4 1 5 8 4 5 5 6 5 5 2 6 4 29 5 10 6 42 5 10 6 5 6 14 4 12 40 14 7 40 7 16 10 12 15 38 10 27 5 46 10 11 37 14 14 11 12 25 10 46 7 13 11 11 49 22 14 14 11 30 10 20 26 30 22 12 9 12 22 23 15 41 22 15 26 43 25 15 11 21 25 24 26 32 30 24 24 32 30 26 24 33 32 26 24 36 32 26 26 49 16 26 27 36 32 26 28 17 36 39 28 35 36 34 28 44 36 31 31 18 36 34 33 47 36 34 34     238500          0     225000     337500 
297	23361800	0 43 1 47 20 1 1 1 0 1 49 48 0 1 1 19 16 1 1 2 3 1 1 3 3 33 1 45 33 3 1 5 21 1 2 5 4 1 5 41 4 2 5 2 4 4 29 6 8 4 42 5 10 6 5 6 14 4 6 6 14 7 40 11 16 5 6 15 38 5 11 5 48 5 11 37 14 14 11 11 25 10 11 7 7 10 11 49 12 10 14 11 22 10 15 26 30 10 15 9 20 14 19 23 30 22 15 26 43 25 23 23 21 25 24 26 27 25 25 24 46 25 26 26 42 32 26 24 13 30 26 26 49 16 26 18 44 32 26 28 17 32 39 31 35 36 34 34 21 32 31 31 47 36 34 34 47 36 34 34     243000      75000     225000     243000 
396	21773800	35 19 1 5 0 1 1 43 0 1 43 1 0 1 1 1 20 34 1 15 39 4 41 2 18 4 21 2 4 21 16 5 13 43 1 45 46 4 5 7 4 3 5 6 10 4 5 5 10 5 42 5 6 10 9 7 10 4 49 7 22 10 11 11 22 9 11 11 38 5 11 5 43 22 11 11 25 10 49 18 49 22 12 7 22 22 40 14 17 22 14 23 30 25 15 11 25 25 37 19 23 25 23 23 25 25 23 21 32 25 15 8 46 25 23 35 32 27 24 15 25 25 24 26 29 32 26 26 36 32 26 28 47 32 28 28 48 32 27 31 44 33 48 32 44 36 31 33 36 36 31 33 18 36 34 34 47 36 37 34     225000      54000     225000     243000 
495	18921400	39 3 6 1 24 1 1 0 0 1 1 2 0 1 2 0 0 1 1 38 43 14 2 46 3 13 48 45 4 1 41 5 4 3 5 5 18 4 5 7 4 4 5 5 48 3 7 5 8 20 5 6 17 6 5 7 9 22 7 19 14 8 6 7 14 10 12 5 10 10 12 5 16 10 38 5 10 10 12 12 40 10 13 12 10 22 12 42 11 22 12 23 25 22 20 15 42 22 37 23 21 22 21 23 30 22 27 23 25 48 23 26 32 25 23 15 49 25 25 26 42 25 43 49 16 15 20 28 36 25 26 26 41 32 35 34 44 32 31 17 44 32 47 28 44 32 33 39 21 36 29 28 47 36 45 40 47 36 36 34     189000      21600     225000     243000 
594	16241800	39 49 1 46 0 1 44 2 0 1 49 42 1 1 1 19 41 1 1 39 43 14 2 2 39 3 48 2 3 21 5 5 21 43 1 7 8 4 5 7 6 3 5 2 40 4 5 20 5 20 35 7 10 10 9 6 9 6 7 49 22 8 35 7 18 10 20 15 10 6 27 11 10 6 11 11 38 10 11 12 41 10 42 7 13 10 11 12 28 11 14 29 19 10 49 14 30 25 37 8 25 11 24 23 27 22 31 23 25 25 24 26 36 25 23 48 49 22 24 26 32 25 24 23 16 25 20 24 32 25 35 26 49 16 8 31 45 32 35 17 44 36 34 32 44 27 30 33 44 32 7 33 47 36 45 33 47 36 34 37     225000      38250     103500     243000 
792	10293960	8 12 39 40 17 1 1 21 0 2 49 1 38 1 1 0 23 1 2 1 1 4 1 3 27 40 3 43 48 29 45 5 48 3 49 5 46 1 5 16 6 3 6 18 10 3 6 5 4 5 43 3 9 6 9 7 9 6 17 6 10 10 11 13 10 6 29 20 9 10 11 10 16 16 11 11 10 10 11 12 14 22 41 10 22 10 11 11 22 11 11 15 11 14 14 14 14 25 37 14 42 25 23 15 30 22 27 23 25 25 26 44 18 27 23 38 32 25 26 24 39 25 43 15 25 32 26 24 30 30 35 28 27 30 31 39 36 32 33 26 19 33 31 31 44 33 33 33 44 36 38 34 47 36 34 33 47 36 49 33     243000       2333     243000     222666 
3762	9257800	39 49 39 40 33 1 44 3 29 31 49 39 20 43 12 18 34 23 36 14 38 5 48 0 13 24 36 43 42 2 8 47 21 38 1 45 46 1 45 29 16 20 37 5 48 4 6 41 4 5 35 5 9 6 34 6 9 10 21 6 20 8 43 8 4 16 29 12 9 10 11 11 48 10 11 11 28 19 11 12 49 22 31 7 40 22 16 46 27 11 14 14 0 25 49 14 25 25 37 19 12 22 19 42 41 25 3 23 49 48 15 24 12 25 23 20 32 43 23 24 32 30 43 27 29 32 28 28 30 32 26 26 27 32 31 31 48 32 26 17 16 15 31 13 44 33 30 35 45 36 34 33 47 32 45 34 47 36 37 33     165000      60000      75000     135000 
3960	9048800	39 20 39 13 33 41 10 3 29 31 49 46 1 43 12 18 27 14 36 17 40 5 48 0 13 24 36 43 38 2 8 47 4 38 1 45 42 1 14 29 16 20 37 6 48 4 6 41 4 4 35 5 9 3 34 6 9 10 21 6 20 8 11 28 4 16 29 12 9 10 34 11 43 5 11 12 28 10 49 12 49 22 31 7 40 22 16 46 27 11 14 23 0 25 49 14 25 22 13 19 12 22 23 42 41 25 15 24 49 48 15 44 36 25 23 38 32 43 23 13 39 30 46 27 29 32 28 28 30 32 26 26 47 32 26 27 48 32 27 17 39 36 31 13 44 33 30 35 45 36 34 9 47 36 45 34 47 36 37 33     112500      49500     135000     135000 
4059	8199800	28 49 10 40 2 18 20 0 29 6 49 39 20 43 48 42 27 7 44 14 31 19 48 18 13 24 30 43 18 21 8 35 18 38 1 33 18 4 42 32 4 3 37 6 48 4 6 41 10 4 35 5 9 6 34 6 9 10 39 6 20 8 11 8 4 16 29 12 10 10 11 21 48 22 49 12 28 10 49 12 17 22 41 7 40 22 16 46 27 11 45 23 34 25 14 14 18 22 13 19 12 25 19 42 38 25 15 24 49 48 21 24 36 25 23 38 32 43 23 24 39 25 46 27 29 32 28 24 30 32 35 26 47 32 26 39 48 32 26 17 44 15 31 31 44 33 30 33 45 36 31 33 47 36 45 34 47 36 37 33     112500      54000     125000     118000 
