
0	7881800	0 1 5 2 8 7 13 10 7 16 3 9 20 12 12 20 13 13 21 14 14 21 18 14 22 18 15 24 24 15 24 11 17 25 29 21 26 29 22 26 29 23 4 30 23 27 31 23 27 31 25 27 19 28 28 34 30 28 35 31 30 35 34 32 37 36 32 38 36 33 38 37 33 38 39 35 39 40 36 39 41 38 40 41 41 41 42 43 41 43 43 42 43 44 42 43 44 45 44 45 45 45 46 46 46 6 46 47 49 47 48 49 47 48 49 48 48 49 49 48     135000     135000     135000 
1683	7791800	8 3 11 17 3 19 11 4 7 17 29 9 46 12 12 13 2 0 13 18 29 15 15 26 20 18 15 22 27 15 10 0 36 46 21 1 21 26 24 30 22 27 25 25 23 27 16 17 27 31 32 34 27 28 28 34 30 37 5 29 30 35 34 32 39 31 35 10 36 33 33 11 37 38 16 6 39 38 36 39 37 43 37 43 39 41 36 43 41 43 24 42 10 5 40 40 14 35 44 47 42 45 17 43 45 49 45 47 48 47 44 49 47 48 49 48 47 49 48 47     135000     112500     153000 
2079	7771800	8 3 11 17 3 19 11 4 7 17 29 9 46 12 12 13 2 0 13 18 29 15 15 26 20 18 15 22 27 15 10 0 36 46 21 1 21 26 23 30 22 27 25 25 23 27 16 17 27 31 32 34 27 28 28 34 30 37 5 29 30 35 34 32 39 31 35 10 36 33 33 11 37 38 16 6 39 38 36 39 37 43 37 43 39 41 36 43 41 43 24 42 10 5 40 40 14 35 44 47 42 45 17 43 45 49 45 47 48 47 44 49 47 48 49 48 47 49 48 47     153000     112500     135000 
2871	7203200	0 3 11 17 8 19 11 5 7 4 29 9 46 12 15 29 0 39 13 8 12 3 10 26 20 23 15 18 6 25 26 11 36 46 2 16 21 26 22 49 27 27 25 30 23 23 46 3 27 29 32 24 19 28 28 34 30 37 5 33 36 8 34 32 0 31 32 10 36 33 30 11 33 38 35 6 39 38 36 39 37 1 37 41 44 41 24 43 41 43 22 42 45 42 40 40 14 35 44 47 42 45 17 43 45 6 45 47 48 0 44 49 47 48 49 48 48 49 48 47     135000      61650     189000 
3168	7173200	0 3 11 17 8 19 11 5 7 4 29 9 46 12 15 29 0 39 13 8 12 3 10 26 20 23 15 18 6 25 18 11 36 46 2 16 21 26 22 49 27 27 25 30 42 23 46 34 27 29 32 24 19 28 28 34 30 37 5 33 36 8 34 32 0 31 32 10 36 33 30 11 33 38 35 6 39 38 36 39 37 1 37 41 44 41 24 43 41 43 22 42 45 42 40 40 14 35 44 47 42 45 17 43 45 6 45 47 48 0 44 49 47 48 49 48 48 49 48 47     135000      61650     189000 
3366	7053800	8 6 22 7 3 19 2 3 11 16 25 9 46 12 11 29 32 13 13 14 32 15 3 26 20 1 0 14 27 15 23 7 17 45 18 1 12 26 15 1 22 27 25 4 23 23 31 17 10 31 25 34 27 28 28 34 30 37 2 29 36 35 34 4 21 30 35 38 16 33 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 41 38 40 41 43 24 9 10 43 42 40 44 35 23 47 42 45 17 46 46 2 45 46 49 47 44 49 48 47 49 48 48 49 48 47     153000     135000      94500 
5445	6751400	14 6 9 7 3 22 2 3 45 16 25 12 46 39 11 29 18 25 21 14 32 15 15 26 20 1 9 2 31 34 23 7 17 45 18 26 13 26 24 1 32 12 9 25 23 27 31 17 4 31 32 31 27 28 28 8 30 37 2 29 36 35 34 0 21 30 35 38 16 33 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 8 24 40 41 43 41 42 10 42 42 40 6 35 44 47 42 45 17 46 46 2 45 46 16 47 44 49 48 47 49 48 48 49 48 47     144000      81000     151200 
6138	6271800	14 26 9 7 40 3 28 4 11 8 25 12 36 9 11 29 18 23 13 14 32 15 15 26 20 1 9 2 31 16 23 7 21 45 18 0 21 26 22 1 22 22 48 4 23 27 5 4 27 41 25 31 27 9 28 8 30 37 32 29 36 4 34 0 21 30 35 38 16 12 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 14 36 40 41 43 41 42 10 43 42 40 6 35 44 24 42 45 17 46 46 2 45 46 18 47 44 49 11 47 49 48 48 49 48 47     153000      76500     130500 
7128	5836800	14 26 9 7 40 3 28 4 11 8 25 12 46 9 11 29 18 13 13 14 32 15 15 26 20 1 0 2 31 16 23 24 38 45 18 0 21 26 22 1 22 7 48 4 23 23 5 4 27 41 25 31 27 9 28 8 30 37 32 29 36 4 34 32 21 30 3 38 16 12 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 14 36 40 41 43 41 42 10 43 42 40 6 35 44 24 42 45 17 46 46 2 45 46 18 47 44 49 11 47 49 48 48 49 48 47     135000      90000     123750 
7821	5722200	14 26 9 7 40 3 28 4 11 8 25 12 46 9 11 29 18 13 13 14 32 15 15 26 20 1 0 2 31 16 23 24 38 45 18 0 21 26 22 1 22 7 48 4 47 23 5 4 27 41 25 31 27 9 28 8 30 37 32 29 36 4 34 32 21 30 3 38 16 12 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 14 36 40 41 43 41 42 10 43 42 40 6 35 44 24 42 45 17 46 46 2 45 46 18 47 44 49 11 47 49 48 48 49 48 47     141300      83700     123300 
10494	5501800	14 20 22 7 40 3 28 34 48 6 25 44 27 9 11 29 9 0 13 14 32 15 15 26 20 1 0 2 31 39 23 7 21 45 18 0 21 26 22 1 22 37 26 1 47 23 24 4 27 41 25 31 27 9 28 8 30 37 32 29 14 4 34 0 21 30 8 38 16 12 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 14 36 40 41 43 41 42 10 43 42 40 6 35 44 24 42 45 17 46 46 2 45 46 18 47 44 49 16 47 49 48 48 49 48 47     135000      81000     126000 
11088	5427800	13 26 9 7 44 22 28 4 11 16 25 12 17 2 19 29 18 13 48 9 22 15 15 26 20 1 0 42 31 39 23 24 21 45 18 3 21 44 47 14 22 7 48 4 47 23 24 4 27 21 25 31 27 9 28 8 30 37 32 29 14 8 34 32 21 30 3 38 16 12 33 34 19 38 35 35 5 38 36 39 37 43 37 33 39 41 36 40 41 43 41 42 10 43 42 40 6 35 44 24 42 45 17 24 46 2 45 46 18 47 44 49 11 47 49 48 48 49 48 47     135000      81000     126000 
