
0	24374000	39 12 35 0 1 1 0 1 1 2 1 1 4 1 1 4 4 1 4 4 3 28 4 5 37 4 5 20 4 5 42 4 5 40 6 7 10 9 7 10 10 7 17 10 9 24 10 9 14 10 19 16 14 21 48 14 11 49 22 11 22 22 11 25 22 11 25 25 15 25 25 41 13 25 23 31 25 23 43 25 23 32 34 23 32 38 23 29 30 23 36 32 23 36 32 26 36 33 26 44 33 26 44 36 46 44 36 33 45 36 33 18 36 33 47 36 33 47 36 33     150000          0      35000 
99	21491800	24 18 1 43 1 1 35 1 1 0 1 5 16 1 41 4 1 2 3 5 19 28 1 30 4 4 5 17 4 38 6 4 6 9 5 6 8 6 8 9 7 42 13 6 34 14 6 11 10 10 6 29 10 11 14 10 13 11 11 11 29 14 11 25 14 12 22 14 40 39 22 15 25 22 46 25 25 23 25 25 23 32 25 49 32 25 23 7 25 23 20 25 23 36 25 31 36 25 33 36 32 33 44 32 26 44 33 27 45 33 37 21 36 34 47 42 33 47 44 48     243000     135000     364500 
198	19593800	19 17 3 48 1 1 0 1 1 18 1 18 26 4 1 6 16 1 2 1 2 4 40 41 38 4 17 4 4 5 42 4 5 6 4 6 48 4 7 5 10 5 10 10 21 46 5 12 10 6 12 10 9 11 9 9 12 8 9 35 10 10 14 11 10 37 45 14 43 35 22 19 42 22 23 25 22 15 15 25 23 49 22 11 41 25 27 32 22 26 16 22 24 32 30 26 33 32 28 49 32 33 39 32 27 44 36 29 20 33 7 44 36 13 47 36 31 47 36 34     243000     225000     225000 
297	19386800	17 41 21 0 1 41 19 1 1 3 1 1 28 1 1 8 1 1 4 1 9 4 4 2 4 6 2 24 4 19 42 35 19 49 6 1 8 4 48 20 46 5 44 45 9 10 6 7 14 6 12 3 8 6 14 14 16 14 10 11 21 14 29 25 22 11 30 14 15 2 14 12 42 2 40 13 14 11 43 25 24 39 48 23 25 38 26 31 27 21 25 49 26 32 30 20 31 41 25 32 32 12 33 32 46 45 32 33 30 36 31 18 36 37 47 36 33 47 36 34     238500     225000     225000 
396	17791800	41 42 49 16 1 1 41 1 1 0 1 18 41 1 1 23 1 1 3 27 29 48 48 8 4 4 16 4 4 6 2 5 5 19 4 7 28 4 8 38 42 6 10 6 9 10 13 7 10 8 13 16 10 21 6 6 21 43 10 11 49 10 23 20 10 14 25 22 24 40 22 43 25 22 12 25 25 48 48 22 7 30 25 23 39 25 42 25 30 37 35 25 26 36 25 26 33 30 13 33 15 21 35 32 17 45 32 31 47 36 33 44 36 33 46 36 34 47 36 49     243000     180000     225000 
495	15901800	39 24 3 48 29 35 0 1 1 0 1 8 1 1 1 7 4 19 0 1 2 4 4 1 1 4 17 4 46 6 4 4 18 27 5 48 48 38 37 38 46 44 21 16 9 10 13 6 10 10 11 47 2 43 20 14 37 48 10 28 22 14 23 43 15 11 22 12 29 10 10 11 42 25 38 17 25 23 49 22 23 30 22 11 25 38 27 41 22 26 32 29 31 36 25 21 17 32 26 49 31 26 39 30 40 36 36 30 45 36 33 44 33 13 45 36 31 47 36 34     225000     153000     225000 
891	14533800	17 24 19 46 4 12 0 1 1 0 1 1 40 1 35 37 2 41 48 6 5 4 8 34 1 30 1 38 3 16 7 21 45 3 9 42 16 4 5 31 10 28 9 29 23 10 4 6 42 5 49 2 10 13 48 46 31 49 22 11 14 10 23 25 22 11 29 18 24 43 14 41 25 14 27 25 14 29 25 25 23 46 20 23 47 11 27 41 25 49 16 22 26 44 30 49 49 20 29 39 31 34 36 9 8 44 33 30 15 32 34 18 33 32 38 36 45 47 44 34     225000     135000     207000 
990	14085800	39 44 8 43 18 14 48 0 1 2 1 1 42 1 1 49 27 35 0 30 1 48 29 28 1 5 5 23 46 38 41 1 18 3 4 39 4 4 27 5 38 19 9 16 33 15 6 6 48 10 13 17 9 43 42 40 37 48 10 38 46 10 11 35 22 12 41 21 39 16 22 49 7 14 35 2 25 31 48 22 24 35 25 11 25 11 27 46 47 12 30 30 26 32 25 20 2 30 31 43 32 40 31 32 31 47 36 34 44 32 33 47 33 28 45 36 45 47 36 33     153000     180000     225000 
1188	12779800	30 20 24 42 18 24 29 18 18 0 2 21 0 47 1 49 29 41 4 23 8 43 8 24 44 35 5 17 4 38 19 20 33 46 4 42 39 8 16 48 19 40 18 6 33 15 10 6 41 10 6 42 10 31 20 17 43 3 10 38 48 14 9 43 22 11 7 21 12 49 25 43 34 10 46 40 25 23 49 22 39 35 22 11 28 38 27 41 47 28 46 32 26 32 25 15 46 20 26 19 31 19 13 9 31 44 27 14 20 17 34 45 35 13 45 36 33 47 36 37     189000     112500     225000 
1683	11812800	30 33 23 13 0 32 35 1 46 35 20 39 19 1 39 49 7 40 0 1 3 43 8 28 4 24 5 20 4 40 41 20 45 27 4 42 34 16 47 48 40 21 2 4 33 15 10 11 35 10 6 10 9 31 22 17 37 48 10 38 48 14 24 40 41 37 24 10 11 16 10 43 34 25 40 2 22 31 43 25 23 2 22 49 28 11 27 42 22 18 31 24 25 32 30 31 46 25 26 43 32 12 31 32 40 44 21 29 3 36 34 8 36 41 45 36 44 47 44 37     139500     135000     225000 
