
0	10673574	1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 2 4 1 1 6 0 4 0 0 0 5 0 3 0 5 0 6          0     495000 
198	 959834	0 5 4 4 1 6 0 5 5 3 3 6 2 6 6 5 6 2     254998     196668 
297	 951500	6 5 6 6 3 0 6 2 6 4 5 5 1 6 1 1 4 3     100000     350000 
495	 861500	2 5 6 6 0 2 4 5 4 3 5 6 6 6 1 5 3 2     250000     200000 
594	 851500	0 1 4 4 6 6 4 5 0 3 5 6 3 6 5 5 6 2     125000     325000 
990	 599000	2 5 6 4 0 4 6 5 4 3 5 6 6 6 1 5 3 3     255000     167500 
3249	 596500	6 5 0 6 1 6 3 4 3 1 6 4 6 4 5 5 2 5     250000     175000 
3348	 586500	5 6 2 0 6 1 4 3 6 3 4 6 4 6 5 5 5 2     175000     250000 
4140	 551501	6 4 6 0 5 1 5 4 3 3 6 6 6 6 5 5 3 2     156667     250000 
4338	 531501	5 4 6 3 5 0 2 6 2 4 6 5 6 6 5 1 6 3     156667     250000 
6219	 165000	6 0 6 2 5 4 6 5 3 1 6 4 6 6 5 5 3 3     150000     250000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1636502	0 1 0 2 0 3 0 5 0 4 0 5 0 6 0 4 0 6      27778     495000 
198	1235750	2 4 3 6 3 2 0 3 5 0 4 5 1 6 6 6 6 5     229500     245250 
297	1008167	6 4 2 6 2 2 5 3 1 0 4 5 2 6 3 6 1 5     127500     324167 
396	 851500	3 1 6 2 6 0 6 5 5 3 0 5 4 6 6 4 4 6     100000     350000 
693	 681501	6 4 1 6 0 3 3 5 5 4 6 5 5 6 3 4 2 6     250000     166667 
891	 666500	0 3 3 6 5 3 5 5 1 4 4 5 6 6 2 4 6 6     255000     160000 
1089	  65000	4 6 6 1 6 0 5 3 4 5 5 6 6 5 4 3 6 2     150000     250000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1636502	0 3 0 6 0 5 0 1 0 6 0 4 0 4 0 5 0 2      27778     495000 
198	1396500	0 4 0 5 0 5 5 2 0 1 0 6 0 0 0 3 0 6          0     495000 
297	1016500	2 3 3 5 6 3 4 5 1 4 5 0 6 6 6 1 6 5     234000     225000 
396	 911500	2 5 6 4 5 6 3 0 3 5 6 1 2 6 4 3 1 6     130000     320000 
495	 871500	6 3 1 5 1 3 6 6 5 6 5 2 5 4 6 0 4 1     200000     250000 
594	 671502	3 2 5 3 3 6 5 4 4 1 0 5 4 6 0 6 5 6     148334     275000 
792	 666500	4 0 6 3 5 5 4 5 4 6 5 6 6 3 4 2 6 1     160000     255000 
891	 599000	6 1 0 6 3 3 0 2 5 4 5 5 5 6 6 4 3 6     167500     255000 
2070	 509834	6 1 0 6 3 5 0 2 3 4 5 5 5 6 6 4 3 6     166666     255000 
3357	 153750	1 3 0 6 6 3 2 5 4 5 5 5 6 5 4 6 6 3     255000     156250 
6597	  95000	1 5 0 3 6 3 2 5 4 5 6 5 6 5 4 6 6 3     250000     160000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1646502	0 2 0 1 0 4 0 2 0 3 0 5 0 5 0 6 0 6      27778     495000 
198	1170250	6 4 5 0 1 0 6 0 3 0 2 0 5 0 6 0 4 0     450000      31250 
297	 951500	6 5 5 0 4 5 6 2 6 4 3 3 5 0 2 6 1 1     325000     125000 
396	 851500	4 6 4 5 5 1 5 6 0 3 0 2 5 5 6 6 3 4     125000     325000 
594	 616500	6 4 5 3 1 4 6 5 3 0 2 0 5 5 6 6 4 3     292500     112500 
990	 579278	4 6 3 5 4 4 0 6 0 6 0 3 5 5 6 2 3 1      83333     338889 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1232750	1 6 0 1 0 6 0 6 0 3 0 5 0 2 0 5 0 4      31250     450000 
198	 951500	6 5 6 5 0 3 4 1 6 5 3 6 5 6 2 4 1 2     250000     200000 
297	 871500	5 6 5 2 6 6 3 5 0 1 5 4 6 3 5 4 6 0     190000     260000 
396	 851500	5 4 6 2 6 5 0 1 6 1 4 5 5 2 6 4 3 3     320000     130000 
594	 784834	1 0 5 4 6 3 6 6 2 3 4 0 5 2 6 5 3 4     329166     112500 
792	 657750	5 1 0 5 3 6 4 6 0 2 3 4 6 5 6 6 4 3     112500     303750 
2070	 165000	6 0 5 1 6 4 6 6 6 3 3 5 5 2 6 5 3 4     150000     250000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 5 0 4 0 2 0 3 0 6 0 1 0 5 0 0 0 6          0     495000 
198	 951500	4 6 3 4 0 6 0 6 0 3 0 5 0 2 0 5 0 1      50000     400000 
297	 861500	6 4 5 2 3 2 4 3 6 6 5 1 5 5 6 0 4 6     200000     250000 
396	 851500	3 6 5 4 3 6 3 6 6 0 5 5 2 2 6 5 4 1     166667     283333 
495	 666500	4 6 6 3 0 3 6 4 3 6 5 5 2 5 5 6 1 4     255000     160000 
693	 599000	5 2 0 4 4 1 5 6 6 5 4 6 5 6 0 3 6 3     167500     255000 
2070	 504834	1 2 5 0 1 6 3 4 5 6 6 5 6 5 3 6 3 4     166666     250000 
4725	  65000	3 0 5 1 6 2 6 6 5 6 6 4 6 4 3 5 3 5     150000     250000 
0	10673574	3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 5 0 0 0 2 2 1 0 3 0 6 0 4 0 5 0 6          0     495000 
198	 911500	5 6 6 6 1 5 0 2 0 3 3 4 4 5 1 6 2 3     127499     324167 
396	 668875	3 6 6 6 1 0 4 2 5 5 6 4 4 5 3 6 1 3     114750     302625 
594	 651502	6 6 5 6 1 5 4 2 0 3 1 4 0 5 4 6 5 3     125001     288333 
792	 645500	5 4 0 2 6 5 1 2 3 3 6 4 4 5 5 6 6 3     291000     117000 
1089	 588167	6 3 0 1 5 1 2 4 6 5 4 6 5 4 6 3 3 1     338333      85000 
0	10673574	2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 0 0 3 0 5 0 1 0 6 0 4 0 6 0 2 0 5          0     495000 
198	 891500	0 3 6 3 6 4 5 6 1 0 5 2 6 3 4 4 5 2     274445     166665 
396	 861500	0 5 3 3 5 5 6 1 6 3 4 4 6 1 2 3 5 6     322500     127500 
495	 797834	0 5 3 3 5 4 6 1 6 3 4 4 6 1 2 3 5 6     328416     114750 
594	 784834	6 4 5 0 5 2 6 6 4 0 3 4 1 5 6 3 2 3     329166     112500 
792	 616500	3 5 5 0 5 4 2 6 4 0 6 4 6 5 1 3 6 3     292500     112500 
891	 579278	4 2 0 6 0 6 6 3 0 1 4 5 5 6 3 4 3 5      83333     338889 
3933	 551501	2 0 6 6 5 3 6 6 1 0 5 4 6 4 4 3 5 3     266666     150001 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 3 0 4 2 5 0 5 0 2 0 1 0 6 0 6 0 0          0     495000 
198	1376500	5 1 4 6 3 2 4 4 6 0 3 5 2 6 1 3 6 5     190000     305000 
297	 810834	5 5 5 4 6 6 3 1 1 3 6 4 4 2 0 3 6 2     327666     117000 
693	 711501	3 6 4 2 5 5 4 6 3 2 1 6 6 3 6 5 0 5     250000     183333 
1188	 680000	5 5 4 5 6 3 6 6 3 1 4 6 2 4 3 0 2 6     117000     301500 
1287	 599000	6 6 5 5 3 0 4 4 4 6 5 3 6 2 3 1 5 6     167500     255000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	0 4 0 0 3 6 5 2 0 1 0 5 0 6 0 3 0 5          0     495000 
198	1386500	6 5 3 0 5 2 6 6 2 6 5 4 5 1 4 0 4 3     240000     255000 
297	 951500	4 4 6 6 3 6 5 2 0 1 0 5 0 6 0 3 0 5      50000     400000 
396	 599000	3 4 0 5 6 4 6 6 5 3 6 5 2 6 4 5 1 3     255000     167500 
891	 586500	6 6 4 0 5 6 6 2 2 1 5 3 5 6 4 3 4 5     175000     250000 
1584	 551501	6 0 6 2 5 1 6 3 3 5 5 4 6 4 5 6 3 6     156667     250000 
3348	 165000	0 6 1 6 2 6 6 6 3 3 4 5 4 6 5 5 5 3     250000     150000 
3546	  65000	5 2 6 1 4 0 6 6 5 3 4 5 4 6 6 5 6 3     150000     250000 
0	10673574	1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	2 6 0 5 0 2 0 4 0 3 0 5 0 1 0 0 0 6          0     495000 
198	1375500	3 6 5 5 1 5 5 3 4 6 1 1 3 4 2 6 6 0     234000     252000 
297	1080500	6 3 5 5 5 1 6 5 6 4 1 1 4 3 6 2 0 6     225000     234000 
396	 851500	3 4 5 6 4 6 6 6 2 1 0 5 6 2 3 5 1 5     250000     200000 
990	 666500	4 2 6 6 6 4 4 3 3 6 6 5 3 0 5 1 5 5     160000     255000 
1872	 165000	2 4 6 6 6 4 3 4 6 3 5 6 0 3 1 5 5 5     250000     150000 
0	10673574	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0 
99	1396500	2 1 0 0 1 3 2 2 0 5 0 5 0 4 0 6 0 6          0     495000 
198	1190072	5 6 6 6 4 2 0 4 2 6 1 1 0 3 5 5 3 6     254288     211428 
297	1052930	4 6 3 2 3 2 0 6 5 5 1 6 4 1 5 6 6 0     254286     211428 
396	 851500	4 6 6 4 5 3 3 5 3 2 5 6 5 6 2 1 6 0     195000     255000 
792	 668875	4 3 3 0 1 6 5 2 3 5 6 5 4 4 6 6 1 6     114750     302625 
1773	 666500	0 5 0 2 6 3 4 5 5 3 5 6 4 4 6 6 6 1     160000     255000 
1971	 616500	0 2 0 3 4 6 3 1 3 5 6 5 4 4 5 6 5 6     112500     292500 
