
0	3341500	6 0 0 4 0 0 6 0 0 5 0 0 2 0 0 3 0 0 1 0 0 0 0 0 0 0 0     720000          0          0 
99	1391501	0 0 2 1 4 4 0 1 6 0 4 5 0 3 0 0 1 5 0 6 1 0 3 6 0 1 3          0       3333     493334 
198	 968167	0 6 3 0 0 0 0 2 4 0 1 6 0 4 5 0 5 5 0 6 6 0 5 6 0 3 0          0     260000     193333 
297	 835073	6 6 0 2 3 5 5 5 6 4 5 0 4 6 3 2 5 0 6 1 2 6 4 0 3 3 1     186786     183571      62500 
495	 691501	4 5 4 6 2 4 5 0 6 6 4 6 5 3 1 3 1 6 3 6 2 5 6 2 0 5 1     266666          1     152222 
594	 285001	2 6 3 4 5 6 6 5 4 5 2 6 0 4 0 5 6 1 1 3 3 6 5 4 3 6 5     113335     163334     136664 
693	 172500	4 2 3 5 3 1 4 5 4 4 2 6 6 4 5 4 6 5 1 3 6 0 5 6 3 6 0      29166     137500     245834 
792	 155000	6 3 2 6 1 3 5 4 5 4 6 2 4 5 4 2 5 6 6 6 3 6 6 5 3 0 6      43334     254999     108333 
990	  61000	4 3 2 6 1 3 5 4 5 4 6 2 4 5 4 2 5 6 6 6 3 6 6 5 3 0 6      48000     250000     106000 
1584	  52502	5 6 3 3 5 1 3 5 4 3 4 6 2 4 5 2 2 5 5 6 6 2 6 6 2 3 0      35833     116667     250000 
2763	  29287	5 1 0 5 0 4 5 3 5 5 4 5 5 4 5 6 2 5 6 6 5 6 6 5 6 3 5     150001     249998       7142 
3258	  13335	5 1 3 5 0 5 5 3 5 5 4 2 5 4 4 6 2 1 6 6 0 6 6 5 6 3 6     150000     241667      16666 
5229	   8750	5 2 1 5 5 0 5 5 3 5 5 4 5 5 4 6 5 2 6 5 6 6 5 6 6 5 3     150000       6250     250000 
5922	   5001	1 2 5 0 1 5 3 5 5 4 5 5 4 5 5 2 5 6 6 5 6 6 5 6 3 5 6     250000       7143     150000 
0	3341500	5 0 0 6 0 0 4 0 0 3 0 0 6 0 0 1 0 0 2 0 0 0 0 0 0 0 0     720000          0          0 
99	1411500	0 6 6 0 6 1 0 2 3 0 4 3 0 5 1 0 5 0 0 5 4 0 5 1 0 6 1       1112     260000     239992 
198	1011500	3 5 5 0 6 0 1 6 1 5 1 4 6 3 4 6 0 2 6 3 2 4 0 2 5 2 0     338000      56000      68000 
297	 569945	3 6 0 5 6 5 6 4 4 5 0 2 4 6 3 5 5 0 1 6 6 4 3 1 6 2 3     188665     162890      71110 
396	 208000	2 1 1 6 0 4 4 1 2 3 5 5 3 6 4 5 6 0 5 6 0 6 4 4 6 5 5     229500     112000      56500 
594	 130667	5 1 3 1 5 4 3 4 3 6 5 5 2 6 6 5 4 6 0 6 6 6 6 4 2 0 5     143000      92833     178500 
1089	  60001	6 3 6 4 5 1 3 5 4 5 5 0 6 5 6 6 4 5 6 5 6 4 3 3 5 5 2      83750      62917     255000 
1782	  11667	6 5 3 1 6 4 4 5 3 0 5 5 6 5 6 5 4 6 6 5 6 3 3 4 2 5 5     253334      60000      93333 
9639	   9287	6 2 0 6 0 1 6 1 2 5 3 3 5 3 3 6 4 4 6 4 4 6 2 5 6 5 5     157143      14286     235714 
0	5831500	4 0 0 5 0 0 3 0 0 6 0 0 4 0 0 2 0 0 1 0 0 0 0 0 0 0 0     990000          0          0 
99	1511500	0 2 0 0 5 6 4 0 3 0 0 4 0 4 2 0 1 2 0 6 5 0 6 5 0 3 6          0     229500     270500 
