
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	 911500	0 0 1 0 3 5 0 6 6 0 3 4 0 6 2 0 4 1 0 6 6 0 5 2 0 5 3          0     320000     130000 
198	 554835	3 5 5 6 0 0 4 2 6 6 4 4 3 6 5 4 2 6 1 5 3 2 5 6 6 3 1      73334      93333     260000 
297	  24375	4 6 2 6 5 6 6 4 2 5 4 5 0 6 1 6 5 0 3 6 5 5 3 1 0 3 6      61250     219375     127500 
684	  15004	0 5 6 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     148149       7407 
783	   6306	6 5 3 2 5 0 5 5 3 5 5 4 5 5 1 5 6 6 5 6 2 5 6 6 5 6 4       8696     147826     250000 
1179	   5001	5 1 0 5 2 1 5 5 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 6     150000       7143     250000 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	1284000	5 2 5 0 5 6 3 6 6 0 3 5 0 4 0 0 6 3 0 1 4 0 3 6 0 0 0          0     255000     232500 
198	 668168	6 0 3 5 2 6 5 4 3 4 0 0 6 4 4 1 2 2 5 4 1 3 0 2 6 2 6     266667      38889     116666 
297	  26540	5 3 6 1 3 4 6 6 5 3 5 4 4 5 6 2 3 3 5 3 0 6 6 0 6 6 5     253847      30769     123076 
495	  13623	4 1 3 4 6 5 4 2 3 5 6 5 6 6 5 6 0 6 6 5 6 4 4 4 5 3 5      31034     255172     120691 
1269	   9287	0 1 5 1 6 5 2 2 5 3 4 5 3 6 5 4 0 6 4 3 6 2 4 6 5 3 6      14286     235714     157143 
1368	   5001	2 0 5 1 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6       7143     250000     150000 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	 735250	0 3 4 6 3 6 0 4 5 0 3 2 0 4 5 0 6 6 0 3 6 0 2 5 0 0 1      15625     125000     283125 
198	  66430	6 4 3 6 4 6 0 6 6 6 6 3 3 2 4 4 5 5 5 3 5 1 4 2 5 4 2     270000      28572     115714 
297	  58168	2 1 6 4 3 5 4 6 5 0 6 2 1 4 4 0 0 5 4 6 3 1 5 6 1 3 6      43500     149999     216667 
396	  26540	4 6 5 5 5 2 6 6 3 6 5 0 1 6 6 6 4 3 1 4 4 5 4 6 6 4 5     126923      30769     250000 
594	  25715	6 5 0 6 4 0 0 3 5 6 6 4 5 2 4 6 6 5 5 1 3 4 5 3 3 6 6      60714     255000      92143 
981	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1080	   8750	2 5 2 4 5 5 0 5 5 3 5 5 6 5 5 3 6 5 1 6 5 6 6 5 4 6 5     250000     150000       6250 
2151	   5001	1 2 5 5 4 5 5 0 5 2 3 5 5 6 5 5 3 6 5 1 6 5 6 6 5 4 6       7143     250000     150000 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	 871500	1 4 5 1 2 4 0 2 0 0 3 3 0 3 1 0 5 5 0 3 6 0 2 6 0 1 6          0      83334     366666 
198	 545250	5 3 4 6 5 2 0 2 2 3 4 3 1 5 3 5 4 5 6 0 3 6 4 2 6 6 1     236250     155000      35000 
297	 111667	6 6 6 4 4 3 4 5 5 4 5 4 6 2 6 6 6 5 3 3 1 6 6 1 5 0 3      24167     250000     127500 
396	  50000	5 5 6 1 6 6 0 6 5 2 2 3 1 0 4 5 4 4 6 6 5 6 3 3 6 5 1      54000     206000     147000 
783	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1080	   8750	0 2 5 1 5 5 2 5 5 3 5 5 3 5 5 4 5 6 4 5 6 6 5 6 6 5 6     250000       6250     150000 
1278	   6306	2 0 5 6 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6       8696     250000     147826 
1962	   5001	2 0 5 1 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6       7143     250000     150000 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	 934838	0 0 6 0 3 6 0 2 5 0 1 4 0 1 6 0 3 4 0 3 2 0 1 6 0 5 5       9259     166666     276667 
198	 161001	5 5 6 3 5 5 6 6 4 6 3 6 3 4 0 6 4 1 2 5 4 1 6 1 2 0 6     143000     200333      56000 
297	 152375	6 0 6 6 6 3 5 5 5 4 4 5 6 6 1 4 3 0 2 5 2 6 6 1 5 3 3     157375     135250     114750 
396	  93000	6 2 0 3 3 6 6 2 5 5 6 4 6 3 0 6 6 5 5 2 5 1 1 4 4 2 3     211000      65000     126000 
495	  55000	6 6 5 6 3 1 5 3 6 5 6 3 6 5 4 3 2 4 2 6 5 6 2 6 5 6 0      70000      90000     250000 
594	  49286	5 1 0 4 5 0 3 6 5 0 2 5 6 6 0 3 6 5 6 5 5 4 3 4 6 4 3      97144     260000      45714 
981	   8750	0 5 5 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	1347930	1 4 4 1 5 3 0 3 5 0 6 3 0 5 1 0 2 6 0 2 6 0 5 3 0 3 6      35714     162500     312500 
198	 641502	4 6 5 5 6 4 3 5 6 3 1 0 6 6 3 1 2 3 2 1 4 5 2 6 0 5 5          0     163334     250000 
297	 137000	5 5 2 4 3 1 6 5 5 0 3 6 6 1 2 3 6 5 4 6 2 6 3 4 5 6 1     227000      91000      82000 
396	  71924	2 2 6 3 6 5 6 4 6 3 4 0 6 3 1 4 5 6 5 1 0 5 1 5 6 5 4     218076      63848     127304 
495	  55000	4 5 5 1 4 2 0 6 5 6 0 3 2 6 1 5 3 6 2 4 6 4 6 3 1 5 6      53750     196250     152500 
882	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
981	  11250	0 1 5 1 5 5 2 5 5 3 5 5 3 5 5 4 5 6 4 5 6 6 5 6 6 5 6     250000       6250     150000 
1278	  10628	6 0 2 6 1 5 5 2 5 5 3 5 5 3 5 6 4 5 6 4 5 6 6 5 6 5 5     141667     250000      15625 
2250	   8750	0 5 5 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
0	10673574	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0      35714          0          0 
99	 691501	0 6 5 0 3 5 0 1 2 0 4 4 0 1 6 0 6 3 0 4 6 0 3 0 0 6 5          0     152222     266667 
198	 220572	6 0 6 6 6 4 1 1 5 5 3 0 3 0 5 2 2 6 6 3 4 6 3 3 4 2 5     183643      45857     178786 
297	  84286	6 1 5 3 1 6 3 3 0 5 5 6 4 6 6 6 5 4 6 5 5 6 4 2 1 4 3      67858      93571     244999 
396	  45000	0 3 6 4 0 6 4 5 2 4 3 3 6 6 4 6 0 6 6 6 1 4 5 5 5 4 5      30000     120000     260000 
882	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1080	  11250	0 1 5 1 5 5 2 5 5 3 5 5 3 5 5 4 5 6 4 5 6 6 5 6 6 5 6     250000       6250     150000 
1962	   5001	0 1 5 1 2 5 2 5 5 3 5 5 3 5 5 4 5 6 4 5 6 6 5 6 6 5 6     250000       7143     150000 
