
0	4031527	0 1 1 0 1 1 0 2 1 0 5 1 0 3 1 0 3 6 3 3 4 3 3 4 3 3 4      41666     720000     990000 
99	3341500	2 1 1 6 1 1 0 1 1 0 1 1 0 1 1 5 3 4 3 3 5 6 1 6 3 3 4     470000          0     250000 
198	2386500	5 6 1 3 1 1 0 5 6 0 1 1 0 1 5 3 6 4 3 2 2 0 3 5 3 3 6      90000      45000     450000 
297	1415875	5 4 5 0 4 2 3 1 6 1 1 1 0 1 6 3 3 5 3 2 6 3 3 6 3 3 4     112500      73125     303750 
594	1406500	6 3 5 5 5 2 0 1 5 1 1 1 6 1 6 3 1 4 3 3 5 3 3 6 3 3 4     235000          0     260000 
693	1221500	5 3 4 3 0 0 4 1 2 1 1 6 5 1 6 3 1 1 5 2 5 3 5 6 3 3 4     125000          0     345000 
792	 729000	2 6 6 5 1 0 5 1 5 6 5 6 0 1 2 3 3 4 3 3 5 3 3 6 3 3 4      40000      85000     317500 
2178	 652375	2 4 0 3 4 0 4 6 5 0 6 6 5 1 2 5 5 5 3 3 6 2 5 6 3 3 6      36875     229500     160250 
2376	 201750	6 6 5 1 2 6 0 5 6 0 6 5 5 1 2 5 1 4 3 3 6 3 3 6 3 3 4     125000      52250     225000 
0	4031527	0 0 0 0 0 0 0 0 6 3 0 1 3 0 1 3 0 1 3 0 2 3 3 5 3 3 4      83333          0     990000 
99	1826500	6 0 6 0 0 2 0 0 5 0 0 1 3 0 6 3 3 1 3 0 4 3 3 5 3 3 4     100000          0     445000 
396	1407750	3 5 2 0 5 6 0 0 6 3 0 1 0 0 3 0 3 5 3 3 6 3 3 5 3 3 4      56250          0     450000 
495	 901500	4 2 6 0 3 2 5 2 5 6 0 1 0 0 6 3 0 1 3 3 4 3 3 5 3 3 6     125000          0     325000 
1386	 851500	4 2 2 0 0 1 5 1 6 6 0 5 0 0 6 3 0 5 3 0 4 3 3 6 3 3 5     125000          0     325000 
1485	 851500	4 4 6 0 0 5 0 2 5 6 0 2 0 3 6 3 0 1 3 3 4 3 3 5 3 3 6     125000          0     325000 
1782	 801500	5 2 4 4 4 5 0 0 6 6 0 2 0 3 1 3 3 5 3 0 4 3 3 6 3 3 6     125000          0     325000 
2277	 736500	5 5 4 6 6 5 0 5 4 2 0 1 6 0 6 2 2 5 3 3 4 3 3 6 3 3 6      90000      80000     275000 
2376	 664000	2 3 6 1 6 5 5 5 1 6 0 2 6 6 6 0 0 5 3 3 4 3 3 6 3 3 4          0     125000     297500 
2574	 571500	5 0 1 1 6 5 5 3 4 6 0 2 6 0 6 0 0 5 3 3 4 3 3 6 3 3 6     130000      30000     270000 
0	4031527	0 0 4 0 0 5 0 0 6 0 0 1 0 0 1 0 3 1 0 3 2 3 3 3 3 3 3      35714          0     990000 
99	3661500	2 5 0 0 0 1 5 0 4 6 0 1 6 0 1 3 0 1 3 3 6 3 3 1 3 3 5     270000          0     450000 
297	3009500	0 0 1 2 6 6 0 3 6 0 0 1 3 0 5 3 3 1 3 0 6 3 3 5 3 3 4     234000          0     450000 
396	1751500	6 3 2 6 0 5 0 0 1 0 0 1 3 3 5 3 0 0 3 3 6 3 3 6 3 3 4     100000          0     450000 
495	1501500	6 0 5 5 0 2 6 0 4 6 0 1 3 3 1 0 5 5 2 3 6 3 3 1 3 3 4     250000          0     250000 
594	1251500	6 0 6 2 6 6 0 1 5 0 0 1 5 0 5 3 0 4 3 3 6 3 3 6 3 3 4     234000          0     250000 
693	1219500	6 0 6 0 0 6 0 2 4 6 0 4 3 0 1 2 3 5 3 3 6 3 3 5 3 3 5     234000          0     250000 
792	1131500	1 4 6 5 0 2 5 0 4 6 0 1 3 0 1 5 3 6 3 3 6 3 3 5 3 3 5      30000      95000     355000 
891	 851500	6 4 2 3 6 6 0 3 5 6 0 1 4 0 5 3 3 5 3 3 6 3 3 6 3 3 4          0     125000     325000 
1287	 820625	2 2 6 2 0 5 5 0 4 6 0 1 3 5 6 3 0 6 3 3 6 3 3 5 3 3 4      85750      62500     285875 
1386	 804625	5 0 6 3 1 6 6 0 2 6 0 4 3 0 1 0 3 4 3 3 6 3 3 5 3 3 5      62500      46875     328750 
1683	 674000	1 2 6 1 6 2 0 0 4 0 0 4 5 0 6 3 0 5 3 3 6 3 3 6 3 3 5     125000          0     297500 
2178	 645500	5 2 5 6 6 6 5 2 4 6 0 4 3 0 1 2 0 6 3 3 6 3 3 5 3 3 5      59600      87200     261200 
2772	 157500	5 6 6 6 6 2 5 4 4 6 4 1 3 0 5 0 0 5 3 3 6 3 3 5 5 3 6      30000     122500     255000 
0	4031527	0 0 2 0 0 5 0 0 1 0 0 1 0 0 1 3 0 1 3 0 3 3 3 6 3 3 4          0      35714     990000 
99	3661500	6 0 6 0 1 5 0 1 1 0 0 1 5 0 1 6 0 1 2 3 3 3 3 1 3 3 4     270000          0     450000 
