
0	2958000	6 1 0 1 2 5 2 8 4 10 5 11 8 11 9 12 9 13 14 15 14 15 17 16 19 16 19 16 19 17 20 18 22 18 22 20 23 7 23 21 23 21 24 21 25 21 3 22 26 23 26 23 26 23 27 24 27 24 27 24 28 25 28 25 28 25 29 26 29 26 29 27 29 27 29 28 29 28 29 28 29 28 29 29      63000      81000 
99	2636000	0 2 3 2 5 2 5 3 12 4 13 7 14 5 10 5 10 6 11 7 17 9 12 7 19 13 20 16 8 16 18 17 22 13 18 14 18 15 11 15 19 1 20 21 21 19 22 23 25 20 25 24 25 25 24 25 25 23 27 26 27 24 28 25 28 27 28 26 28 26 28 27 29 27 29 28 29 28 29 27 29 29 29 29      63000      72000 
297	2616000	0 18 3 2 4 1 19 3 18 3 8 5 11 3 6 8 11 12 11 15 14 9 14 7 17 13 16 17 16 15 21 16 23 14 18 19 22 16 22 20 23 18 23 20 24 21 26 26 25 23 26 24 26 25 26 24 25 24 27 25 27 25 26 10 26 26 28 27 29 27 13 27 29 27 29 28 28 28 29 29 29 29 29 29      63000      72000 
396	2590000	7 2 3 1 1 2 4 3 7 10 0 6 4 8 10 23 16 13 12 9 11 13 15 27 12 14 15 13 16 17 4 14 18 14 20 17 20 15 11 21 23 18 5 20 25 22 24 19 5 22 25 0 26 24 26 25 24 24 27 24 27 25 26 25 26 26 29 26 28 28 27 27 27 26 28 27 28 28 29 27 29 29 29 29      45000      90000 
792	1854000	7 0 28 1 17 18 7 19 8 6 0 11 3 11 9 23 10 13 1 15 22 13 12 7 12 13 15 13 5 6 4 17 21 14 20 8 2 19 23 21 23 21 20 24 24 16 24 23 26 22 25 23 25 24 18 20 26 24 27 26 27 26 26 25 16 27 29 26 29 25 27 27 14 27 28 27 28 28 29 26 29 29 29 29      72000      45000 
2079	1661000	1 0 28 6 5 18 17 27 10 6 3 19 6 7 14 23 25 15 28 13 8 15 17 1 19 13 11 5 18 10 4 10 14 16 21 22 2 22 21 20 23 24 20 20 24 21 9 23 25 22 12 23 26 16 26 24 25 24 24 26 27 25 26 26 8 27 9 26 0 27 7 27 29 26 28 27 28 28 29 28 29 29 29 29      72000      40500 
2178	1502000	6 18 28 6 17 13 2 5 0 19 20 9 12 16 21 23 1 24 10 14 5 18 17 23 12 2 5 5 11 16 4 16 22 10 20 22 7 15 22 15 23 24 20 24 24 21 24 23 0 22 26 23 26 25 25 24 25 24 3 24 14 7 27 26 8 25 29 26 9 11 27 27 13 28 19 27 28 29 29 28 29 28 29 29      63000      42000 
2970	1476000	6 7 28 13 5 3 2 0 10 19 20 13 12 17 21 23 1 24 22 14 9 3 12 23 12 11 15 25 11 16 4 17 22 16 0 19 7 15 28 19 13 24 20 24 6 21 24 23 0 22 26 23 26 25 25 24 25 24 9 24 14 25 27 10 8 25 18 26 9 26 27 27 29 27 19 28 18 29 29 28 29 28 29 29      63000      42000 
3069	1446000	5 7 18 1 15 3 23 19 7 9 14 10 22 17 18 4 10 29 24 15 22 16 12 20 12 14 19 13 2 16 1 17 21 16 21 8 6 19 21 21 23 24 20 21 24 21 11 19 8 22 26 0 26 25 18 29 26 24 6 24 28 25 27 26 28 25 11 26 2 25 13 27 29 27 28 27 28 5 29 28 29 28 29 23      36000      72000 
3762	 946000	5 18 3 1 15 29 25 19 1 29 1 10 14 17 12 4 6 3 12 9 8 15 9 18 13 14 15 27 2 16 7 17 21 16 21 13 6 19 22 20 23 24 20 24 4 21 11 23 8 22 26 0 26 10 26 20 26 24 6 24 28 25 27 26 28 25 11 26 2 25 7 27 29 27 28 27 28 5 29 28 29 28 29 23      36000      57000 
6030	 728912	0 9 1 10 2 11 3 12 4 27 5 13 6 14 7 14 8 15 9 27 10 29 11 19 12 13 13 16 14 18 15 18 16 17 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 24 24 24 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 26 19 27 28 28 28 28 28 29 29 29      72728      16908 
6624	 689250	0 9 1 10 2 11 3 12 4 27 5 13 6 14 7 14 8 15 9 27 10 16 11 16 12 13 13 17 14 18 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 24 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 26 28 27 28 28 28 28 28 29 29 29      74250      14625 
8604	 679500	0 8 1 10 2 11 3 10 4 27 5 13 6 29 7 14 8 15 9 0 10 16 11 14 12 8 13 17 14 18 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 24 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 28 28 28 29 29 29      72000      15750 
8703	 675000	0 8 1 10 2 11 3 10 4 27 5 13 6 29 7 14 8 15 9 15 10 16 11 14 12 23 13 17 14 18 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 24 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 28 28 28 29 29 29      72000      15750 
8802	 668000	0 28 1 29 2 25 3 25 4 13 5 28 6 14 7 14 8 6 9 17 10 15 11 6 12 20 13 29 14 9 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 26 24 23 24 24 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 26 27 27 28 27 28 28 28 28 29 29 29 29      81000       9250 
8901	 659000	0 9 1 27 2 11 3 12 4 13 5 13 6 14 7 14 8 15 9 3 10 16 11 15 12 13 13 17 14 28 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 27 24 26 25 24 25 25 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 29 28 28 29 29 29      72000      15750 
9297	 648000	0 9 1 12 2 15 3 6 4 27 5 13 6 14 7 14 8 29 9 2 10 16 11 29 12 13 13 17 14 9 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 26 24 23 24 24 24 26 25 24 25 25 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 28 28 28 29 29 29      72000      15750 
9495	 580000	0 9 1 10 2 11 3 12 4 13 5 12 6 14 7 2 8 15 9 27 10 16 11 15 12 17 13 17 14 28 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 23 24 27 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 29 28 28 29 29 29      70000      15000 
10089	 538000	0 9 1 10 2 15 3 12 4 13 5 27 6 14 7 28 8 27 9 27 10 16 11 3 12 17 13 17 14 28 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 26 24 23 24 27 24 26 25 24 25 26 25 25 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 29 28 28 29 29 29      72000      14000 
10584	 500000	0 26 1 10 2 22 3 28 4 27 5 13 6 14 7 15 8 27 9 21 10 16 11 28 12 13 13 17 14 26 15 18 16 19 17 19 18 20 19 20 20 12 21 21 22 22 23 22 23 9 24 23 24 27 24 26 25 24 25 26 25 11 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 28 29 28 28 18 29 29      70000      15000 
12465	 491144	0 16 1 29 2 27 3 13 4 14 5 29 6 17 7 26 8 27 9 27 10 16 11 15 12 13 13 23 14 26 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 9 24 10 24 27 24 26 25 24 25 26 25 11 29 25 26 26 26 26 27 26 27 27 29 27 28 27 28 29 28 28 28 29 29 29      72000      12286 
12564	 137336	0 26 1 14 2 28 3 28 4 27 5 13 6 14 7 15 8 27 9 21 10 16 11 28 12 13 13 17 14 26 15 18 16 19 17 19 18 20 19 20 20 12 21 21 22 22 23 22 23 9 24 23 24 27 24 26 25 24 25 26 25 11 29 25 26 26 26 26 27 10 27 27 29 27 28 27 28 28 29 28 28 18 29 29      66000      16334 
12861	 121336	0 27 1 15 2 14 3 13 4 27 5 28 6 14 7 9 8 25 9 12 10 16 11 28 12 13 13 17 14 26 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 26 24 23 24 27 24 26 25 24 25 26 25 11 29 25 26 26 26 26 27 28 27 27 29 27 28 27 28 28 29 28 28 29 29 10      66000      16334 
