
0	2986000	0 1 5 1 6 2 6 3 8 3 8 4 8 4 12 5 12 7 13 9 14 10 14 10 16 11 20 11 20 13 21 15 21 16 23 17 23 18 24 18 24 19 24 22 24 22 25 23 25 23 25 23 26 24 26 24 26 24 27 25 27 25 27 25 28 25 28 26 28 26 29 27 29 27 29 27 29 27 29 28 29 29 29 29      54000      90000 
99	2838000	2 1 2 9 2 2 2 3 5 6 4 9 8 10 7 10 12 13 14 12 15 16 15 0 13 16 14 16 20 17 19 20 23 18 23 22 18 19 17 22 20 24 19 25 23 22 24 23 24 21 24 25 24 21 24 21 11 25 28 26 25 26 25 27 28 27 28 26 27 27 28 28 29 28 29 28 29 27 29 28 29 29 29 28      72000      69000 
594	2564000	2 1 2 9 2 2 2 3 5 6 4 9 8 10 7 10 12 13 14 12 15 16 15 0 13 16 14 16 26 17 19 20 23 18 23 22 18 19 17 22 20 24 19 25 23 22 24 23 24 21 24 25 24 21 24 21 11 25 28 26 25 26 25 27 28 27 28 26 27 27 28 28 29 28 29 28 29 27 29 28 29 29 29 28      72000      63000 
1287	2234000	9 0 11 7 1 13 4 11 22 29 25 9 6 8 12 10 17 7 21 6 10 21 14 0 13 16 16 1 26 15 19 15 8 18 15 14 18 14 3 19 20 19 14 16 2 21 24 3 24 23 24 24 25 24 5 25 23 23 26 26 27 25 27 21 28 25 6 27 29 27 29 26 28 27 29 28 29 26 29 28 29 29 29 29      91000      35000 
2376	2109500	3 0 5 27 20 2 12 6 6 29 0 20 18 10 0 1 9 13 4 5 10 23 17 0 13 11 2 1 11 15 24 16 15 17 15 14 10 14 19 22 12 24 19 16 23 24 25 23 8 22 25 24 25 24 21 21 8 23 18 26 27 25 27 25 7 27 28 26 28 27 12 26 2 27 13 28 29 26 29 28 29 29 29 28      72000      51750 
3960	2104000	3 0 5 27 20 7 22 11 11 29 0 20 18 10 0 1 9 13 4 5 10 23 17 0 1 11 13 23 11 1 24 16 19 18 15 14 28 14 19 19 12 17 19 16 23 24 25 23 8 22 25 24 25 24 21 25 8 23 18 26 27 25 21 26 7 27 6 26 28 27 12 28 2 27 13 28 29 26 29 28 26 29 29 28      81000      42000 
4455	1726000	4 11 5 27 0 20 28 6 9 17 3 5 18 10 26 1 1 2 2 5 10 13 8 0 13 0 15 21 11 1 24 15 27 17 14 14 22 14 29 19 20 17 19 19 23 14 24 23 3 22 25 24 25 24 21 21 15 23 16 26 26 25 15 25 7 27 6 26 9 27 12 24 28 27 12 28 29 26 29 28 29 29 29 28      81000      31500 
0	2580000	2 0 3 0 4 0 4 0 5 0 5 6 7 6 9 7 10 8 12 8 13 9 14 10 14 10 16 11 17 11 1 12 19 15 20 15 22 16 22 18 22 18 23 20 23 20 24 21 24 21 24 23 26 23 26 24 26 24 26 24 26 24 27 24 27 25 28 25 28 25 28 25 28 25 29 27 29 28 29 28 29 29 29 29      90000      45000 
693	2570000	2 0 3 0 4 0 4 0 25 0 5 6 7 6 9 7 10 8 12 8 13 9 14 10 14 10 16 11 17 11 1 12 19 15 20 15 22 16 22 18 22 18 23 20 23 20 24 21 24 21 24 23 26 23 26 24 26 24 26 24 26 24 27 24 27 25 28 25 28 25 28 25 28 25 29 27 29 28 29 28 29 29 29 29      90000      45000 
1881	2550000	15 2 5 7 22 21 11 1 5 0 16 6 1 15 9 4 9 10 18 3 14 11 20 2 10 13 16 27 4 16 9 12 18 18 14 15 28 17 15 20 21 22 23 24 4 19 5 22 24 17 24 25 26 23 19 24 25 8 27 25 27 24 26 25 27 26 28 28 28 27 27 25 19 26 29 25 29 25 29 29 29 28 29 28      45000      90000 
