
0	1172500	1 8 0 1 23 0 2 11 2 3 12 2 4 12 2 4 13 2 6 13 2 7 14 3 7 14 3 8 14 6 5 15 15 5 16 9 10 16 11 10 17 11 13 17 12 20 19 14 15 20 16 9 21 16 17 21 17 18 21 19 18 22 19 20 22 21 23 23 21 24 23 21 24 24 22 24 24 23 24 25 24 26 25 24 27 25 24 27 25 24 28 25 25 28 25 25 28 26 26 28 26 26 29 26 26 29 26 27 29 27 27 29 28 27 29 28 27 29 28 28 29 29 29 29 29 29      40500      29250      31500 
99	1092000	0 1 1 0 3 1 7 4 4 2 5 3 2 5 4 8 10 9 6 9 19 7 7 6 11 9 10 8 10 10 16 13 10 16 13 14 19 14 11 21 14 11 18 15 17 22 12 15 27 16 13 24 14 20 24 17 13 18 17 21 25 17 15 25 18 23 3 20 17 26 21 23 24 22 23 26 23 24 25 22 24 14 24 20 27 23 24 12 25 24 26 24 24 26 25 25 28 25 25 28 19 25 29 26 26 29 27 26 29 28 27 29 28 27 29 28 28 29 28 27 29 28 27 29 29 29      36000      36000      27000 
684	 174668	0 9 11 1 10 24 2 11 24 3 12 24 4 13 24 5 13 24 6 14 24 7 14 25 8 27 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 26 14 18 27 15 18 26 16 19 26 17 19 27 18 20 27 19 20 27 20 21 27 21 21 28 22 22 27 23 22 28 23 23 28 24 23 29 24 19 29 24 21 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 15 29 29 27 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6083 
783	 160002	0 9 8 1 10 24 2 11 24 3 12 24 4 13 25 5 13 24 6 14 25 7 14 25 8 15 25 9 15 25 10 16 25 11 16 25 12 17 26 13 17 26 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 19 29 25 24 29 25 25 29 29 25 29 26 25 29 26 26 29 26 25 29 27 26 29 27 27 29 27 6 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63328      13336       6667 
981	 143670	0 9 28 1 10 4 2 11 5 3 12 9 4 13 25 5 13 8 6 14 25 7 14 25 8 15 25 9 15 26 10 16 26 11 16 25 12 17 26 13 17 26 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 28 24 23 29 24 24 29 24 24 29 25 24 29 25 22 29 25 25 29 26 25 29 26 20 29 26 26 29 27 26 29 27 28 29 27 27 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29 29      63000      13500       7055 
1278	 136450	0 9 24 1 10 24 2 11 24 3 12 4 4 13 25 5 13 24 6 14 25 7 14 26 8 15 26 9 15 25 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 27 21 21 28 22 22 28 23 22 29 23 23 29 24 23 28 24 22 29 24 29 29 25 24 29 25 25 29 25 28 29 26 20 29 26 29 29 26 26 29 27 24 29 27 27 29 27 27 29 28 21 29 28 28 29 29 28 29 28 29 29 29 29 29      66000      12000       5555 
1377	  90668	0 9 13 1 10 19 2 11 19 3 12 4 4 13 28 5 13 25 6 14 9 7 14 25 8 15 10 9 15 25 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 28 16 19 24 17 19 28 18 20 28 19 20 28 20 21 27 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 21 29 24 29 29 25 24 29 25 25 29 25 25 29 26 20 29 26 28 29 26 26 29 27 24 29 27 27 29 27 22 29 28 27 29 28 28 29 29 28 29 28 29 29 29 29 29      65962      11346       6002 
2547	  85722	0 9 29 1 10 17 2 11 6 3 12 4 4 13 21 5 13 22 6 14 25 7 14 9 8 15 19 9 15 17 10 16 26 11 16 26 12 20 27 13 17 3 14 18 27 15 18 28 16 19 28 17 19 27 18 20 28 19 20 28 20 21 28 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 28 29 27 27 29 27 28 29 28 27 29 28 28 29 29 28 29 28 29 29 29 29 29      64286      12857       5714 
0	1100000	1 0 0 1 2 0 3 4 2 4 4 7 8 4 8 11 5 9 13 5 9 13 6 9 13 7 10 14 9 10 14 10 10 15 6 12 15 11 12 27 12 16 18 15 16 19 16 16 20 16 17 20 18 17 22 21 17 22 19 18 23 21 18 23 21 19 23 24 20 23 24 22 24 25 23 24 25 24 24 25 24 24 25 24 25 26 25 3 26 25 26 26 26 26 26 26 27 26 26 27 27 27 28 28 27 28 28 27 28 28 28 14 28 28 29 29 28 29 29 28 29 29 29 29 29 29      36000      36000      27000 
585	 137480	0 9 25 1 10 24 2 11 24 3 12 25 4 13 2 5 13 26 6 14 25 7 7 26 8 15 26 9 15 21 10 16 26 11 16 26 12 17 26 13 17 26 14 18 26 15 18 26 16 19 27 17 19 27 18 20 28 19 20 27 20 21 28 21 21 28 22 22 29 23 22 28 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 14 29 29 26 29 26 26 29 27 26 29 27 27 29 27 4 29 28 27 29 28 28 29 28 29 29 28 29 29 29 29 29      63000      13500       5974 
783	 120600	0 9 24 1 10 25 2 11 24 3 12 24 4 13 24 5 13 18 6 14 24 7 14 8 8 15 22 9 15 26 10 16 19 11 16 26 12 17 19 13 17 27 14 18 26 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 29 21 21 27 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 29 29 25 21 29 25 25 29 25 25 29 26 25 29 26 26 29 26 28 29 27 26 29 27 7 29 27 28 29 28 27 29 29 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5675 
882	 101988	0 9 25 1 10 24 2 11 25 3 12 25 4 13 24 5 19 26 6 14 11 7 14 26 8 15 25 9 15 26 10 16 26 11 16 26 12 17 27 13 17 27 14 18 27 15 18 28 16 19 27 17 19 28 18 20 28 19 20 28 20 21 28 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 13 29 25 25 29 25 25 29 26 29 29 26 21 29 26 26 29 27 28 29 27 20 29 27 27 29 28 28 29 29 28 29 28 28 29 28 29 29 29 29 29      65448      12276       5346 
