
0	1618000	1 0 3 1 4 4 2 5 5 2 5 6 3 7 6 3 8 6 4 9 7 6 10 8 8 10 9 14 10 12 14 11 13 16 11 13 17 12 15 17 12 16 17 13 19 19 13 19 20 14 19 20 15 21 20 16 21 22 16 22 22 18 23 22 18 23 23 18 23 24 19 24 24 21 25 24 23 25 24 24 26 24 25 26 25 25 26 25 25 26 26 26 26 27 26 27 27 26 27 27 27 27 28 27 27 28 28 28 29 28 28 29 29 28 29 29 28 29 29 28 29 29 28 29 29 28      31500      60000      21000 
387	 573800	0 9 24 1 10 24 2 11 25 3 12 25 4 13 25 5 13 25 6 14 25 7 14 26 8 15 27 9 15 25 10 16 27 11 16 26 12 17 27 13 17 28 14 18 25 15 18 26 16 19 27 17 19 27 18 20 28 19 20 28 20 21 29 21 21 28 22 22 29 23 22 28 23 23 29 24 23 29 24 24 29 24 24 29 29 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6350 
1755	 217750	0 9 24 1 10 24 2 11 24 3 12 25 4 13 25 5 13 24 6 14 25 7 14 25 8 15 25 9 15 19 10 16 25 11 16 25 12 17 25 13 17 27 14 18 27 15 18 26 16 19 27 17 19 28 18 20 27 19 20 26 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 29 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
2250	 194250	0 9 24 1 10 24 2 11 25 3 12 24 4 13 25 5 13 24 6 14 25 7 14 3 8 15 25 9 15 28 10 16 25 11 16 25 12 17 25 13 17 25 14 18 26 15 18 26 16 19 27 17 19 27 18 20 27 19 20 29 20 21 28 21 21 27 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 29 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
0	1454000	1 2 0 1 4 0 3 5 2 6 5 3 6 6 4 7 10 4 8 11 5 8 11 7 9 13 14 9 13 15 10 13 15 11 14 16 12 15 17 12 15 19 13 16 19 14 16 20 16 18 22 17 18 22 18 18 23 19 18 23 20 20 23 21 23 24 21 24 24 22 24 24 23 25 24 23 25 24 24 25 24 24 25 25 24 25 25 25 25 26 26 26 26 26 26 26 28 27 26 29 27 27 29 27 27 29 27 27 29 27 27 29 28 28 29 28 28 29 28 28 29 28 28 29 28 28      45000      27000      36000 
387	 576672	0 9 24 1 10 25 2 11 24 3 12 24 4 13 26 5 13 25 6 14 26 7 14 25 8 15 25 9 15 27 10 16 25 11 16 26 12 17 26 13 17 26 14 18 28 15 18 27 16 19 28 17 19 27 18 20 27 19 20 29 20 21 28 21 21 28 22 22 28 23 22 28 23 23 29 24 23 29 24 24 28 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 29 27 29 28 28 29 28 28 29 28 29 29 29 29 29      70000      10000       6666 
486	 572860	0 9 24 1 10 24 2 11 24 3 12 24 4 13 25 5 13 25 6 14 25 7 14 25 8 15 25 9 15 26 10 16 26 11 16 26 12 17 27 13 17 26 14 18 28 15 18 28 16 19 27 17 19 28 18 20 27 19 20 29 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29 29      70000      10000       5714 
585	 570000	0 9 24 1 10 20 2 11 24 3 12 24 4 13 25 5 13 24 6 14 24 7 14 25 8 15 26 9 15 25 10 16 27 11 16 27 12 17 27 13 17 27 14 18 27 15 18 26 16 19 27 17 19 29 18 20 28 19 20 28 20 21 29 21 21 28 22 22 28 23 22 28 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 29 28 29 28 29 29 29 29 29      70000      10000       6000 
684	 200000	0 9 5 1 10 24 2 11 19 3 12 24 4 13 25 5 13 25 6 14 15 7 14 24 8 15 10 9 15 25 10 16 27 11 16 27 12 17 27 13 17 26 14 18 28 15 18 27 16 19 28 17 19 28 18 20 28 19 20 28 20 21 29 21 21 28 22 22 28 23 22 28 23 23 29 24 23 29 24 24 28 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 29 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
2538	 188250	0 9 2 1 10 24 2 11 19 3 12 24 4 13 12 5 13 25 6 14 29 7 14 22 8 15 24 9 15 26 10 16 27 11 16 25 12 17 26 13 17 26 14 18 26 15 18 27 16 19 28 17 19 28 18 20 28 19 20 28 20 21 29 21 21 28 22 22 28 23 22 28 23 23 29 24 23 29 24 24 28 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 29 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
0	1438000	15 2 0 4 3 1 5 3 1 6 4 1 9 5 2 12 5 4 13 6 7 13 6 7 14 7 8 14 8 8 15 10 8 0 10 9 17 10 9 20 16 9 20 16 10 21 17 11 23 17 11 23 17 11 23 18 11 23 18 11 24 19 12 24 19 14 24 21 15 24 22 16 24 22 18 25 22 19 25 22 21 25 24 21 25 24 25 25 25 26 26 26 26 26 26 26 28 27 26 28 27 26 29 27 26 29 27 26 29 27 27 29 27 27 29 28 28 29 28 28 29 28 28 29 28 28      45000      36000      27000 
486	 242000	29 9 24 0 10 24 2 11 24 3 12 24 4 13 25 5 13 25 6 14 25 1 14 25 7 15 26 8 15 25 10 16 26 11 16 25 12 17 25 13 17 26 14 18 27 15 18 27 16 19 27 17 19 28 18 20 27 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 9 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5800 
1854	 206000	0 9 27 1 10 20 2 11 24 3 12 25 4 13 13 5 13 25 6 14 25 7 14 26 8 15 17 9 15 26 10 16 26 11 16 26 12 17 27 13 17 27 14 18 26 15 18 26 16 19 28 17 19 27 18 20 28 19 20 26 20 21 29 21 21 29 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 28 26 29 27 26 29 27 27 29 27 27 29 28 27 29 29 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
2250	 197750	0 9 27 1 10 20 2 11 24 3 12 20 4 13 13 5 13 25 6 14 25 7 14 26 8 15 17 9 15 26 10 16 26 11 16 26 12 17 27 13 17 27 14 18 26 15 18 26 16 19 28 17 19 27 18 20 28 19 20 26 20 21 29 21 21 29 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 28 26 29 27 26 29 27 27 29 27 27 29 28 27 29 29 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
2646	 187500	0 9 10 1 10 20 2 11 24 3 12 2 4 13 13 5 13 25 6 14 21 7 14 26 8 15 16 9 15 22 10 16 26 11 16 26 12 17 27 13 17 27 14 18 26 15 18 26 16 19 28 17 19 27 18 20 28 19 20 26 20 21 29 21 21 29 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 28 26 29 27 26 29 27 27 29 27 27 29 28 27 29 29 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6750 
0	1566000	1 3 0 1 3 0 2 3 0 2 3 6 4 5 8 4 5 9 6 5 11 7 8 11 7 8 11 9 8 12 10 10 12 13 10 13 13 14 14 14 14 15 15 14 15 17 14 16 17 16 16 18 18 19 19 18 20 21 20 20 22 21 20 23 22 20 23 24 21 24 24 21 25 24 22 26 25 22 26 25 22 26 25 23 27 25 24 27 25 24 28 26 24 28 26 25 28 26 25 28 27 25 29 27 26 29 27 26 29 27 26 29 27 26 29 27 26 29 29 27 29 29 28 29 29 28      50000      21000      40000 
387	 546528	0 9 24 1 10 24 2 11 24 3 12 24 4 13 25 5 13 25 6 14 25 7 14 26 8 15 26 9 15 26 10 16 26 11 16 27 12 17 27 13 17 28 14 18 28 15 18 28 16 19 28 17 19 28 18 20 28 19 20 29 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 29 27 29 28 28 29 28 28 29 28 29 29 29 29 29      70000      10000       5217 
486	 222500	0 9 24 1 10 10 2 11 24 3 12 24 4 13 25 5 13 25 6 14 24 7 14 25 8 15 26 9 15 25 10 16 26 11 16 27 12 17 27 13 17 27 14 18 26 15 18 27 16 19 28 17 19 27 18 20 27 19 20 27 20 21 29 21 21 29 22 22 28 23 22 29 23 23 29 24 23 28 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 29 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
