
0	2612800	18 2 3 5 9 4 30 13 8 6 42 10 46 19 11 18 21 11 17 26 12 19 23 13 22 23 9 33 23 14 24 25 1 24 26 43 25 37 15 17 27 16 15 30 20 28 20 21 35 32 26 43 33 27 31 33 28 12 33 22 32 34 36 32 47 29 34 35 29 10 35 30 37 47 45 7 38 31 39 38 36 39 14 37 44 41 38 44 41 39 45 25 40 0 42 41 47 42 16 48 42 46 45 44 47 49 38 40 49 46 48 49 47 48 49 48 34 49 43 49      90000      62500     117500 
891	2541800	29 18 13 17 5 4 44 30 32 6 2 33 14 46 27 18 8 11 38 17 12 21 19 42 30 22 9 32 33 14 41 24 1 23 24 43 24 25 15 18 42 16 5 15 20 28 47 21 28 35 26 25 43 7 10 31 28 34 12 22 33 47 36 8 25 29 35 23 34 36 10 35 30 6 45 37 31 31 38 26 36 39 39 37 3 44 38 41 44 39 47 37 40 43 0 41 44 47 48 45 48 46 46 45 47 27 49 40 19 49 48 11 49 48 49 49 34 42 23 49      75000      60000     135000 
1089	2229400	39 18 13 41 5 4 44 30 32 42 38 33 21 17 27 17 8 11 32 28 48 2 19 42 8 22 9 49 33 14 30 24 1 37 24 43 25 25 15 35 42 16 38 15 20 3 47 21 46 35 26 31 43 7 43 31 28 23 12 22 31 47 36 32 25 12 30 23 34 46 10 35 41 6 45 0 31 29 40 26 36 39 5 37 44 44 38 27 44 39 45 37 40 10 24 41 47 47 48 47 48 46 47 45 18 6 29 40 33 49 19 7 49 48 17 49 34 49 23 49      65700      57600     135000 
2673	2141000	13 8 2 4 41 37 32 44 39 33 42 38 29 23 17 11 17 8 48 45 28 42 2 30 27 7 22 14 41 33 1 30 24 43 46 30 9 47 25 16 35 42 20 27 15 21 38 3 26 46 23 7 14 47 28 17 31 22 23 21 36 31 47 12 32 25 0 18 15 35 46 10 45 41 6 29 5 31 36 35 26 37 39 5 38 44 44 39 27 44 40 45 37 41 10 24 43 32 47 46 35 48 18 46 45 40 6 47 19 44 49 48 48 49 34 32 49 49 23 34     135000      33750      89550 
2772	2000800	39 13 18 41 4 1 44 32 30 42 5 38 21 27 23 17 25 35 30 11 2 29 42 19 11 7 22 28 14 33 24 8 0 37 43 24 25 15 49 35 16 42 38 20 15 3 33 47 46 26 31 21 9 43 43 28 31 16 22 10 31 36 47 32 12 48 30 34 23 46 35 10 41 45 6 32 29 31 30 36 26 39 37 44 44 38 44 27 39 44 45 40 37 10 41 24 47 48 47 47 46 48 47 18 45 6 40 29 33 19 49 7 48 49 17 34 49 49 49 23      67500     135000      51000 
2871	1889800	0 13 18 3 4 5 32 32 30 32 33 27 13 27 17 11 11 18 48 42 30 3 42 47 35 9 22 14 14 33 1 1 38 43 43 24 15 8 25 16 16 42 20 20 15 21 21 47 26 26 35 44 7 43 28 28 31 30 22 12 32 36 47 12 41 25 34 34 23 40 35 10 2 45 6 15 29 31 26 36 17 37 37 5 38 38 44 44 39 44 40 40 37 2 41 24 0 48 47 46 46 48 18 46 45 40 39 29 19 19 49 10 48 49 45 34 49 28 49 23      36000     117000      94500 
3564	1880800	13 39 18 41 49 38 32 4 39 33 26 2 27 44 17 11 8 25 48 32 28 42 24 0 9 5 22 14 38 33 1 30 8 43 37 24 15 25 25 16 35 42 20 45 10 21 43 47 26 49 42 7 31 43 28 3 31 22 27 42 36 31 47 12 32 25 34 19 23 35 46 10 45 23 6 29 20 4 36 46 31 37 30 5 38 44 44 39 29 44 40 30 37 41 10 24 48 47 47 46 47 35 18 47 45 40 6 14 19 33 49 48 44 49 34 17 49 49 17 23     135000      63000      49500 
4356	1849800	40 13 9 17 27 44 32 32 44 26 33 31 45 23 49 30 43 9 16 12 2 37 42 28 10 41 29 26 14 4 1 1 0 43 17 6 15 15 5 40 16 18 20 11 41 21 21 34 26 32 43 7 7 25 40 28 10 49 22 29 24 36 33 12 19 30 25 49 35 22 35 36 45 45 30 48 31 23 48 26 38 46 37 20 38 38 3 36 39 18 40 47 47 41 8 37 48 48 44 10 46 45 18 47 46 40 40 27 19 24 49 48 48 25 42 34 49 20 39 42      23000     135000      90000 
4752	1625800	13 36 13 27 44 30 32 44 12 33 31 48 23 49 47 43 9 46 12 2 20 42 28 42 41 29 9 14 4 23 1 0 24 17 6 43 15 5 15 16 18 16 11 41 20 21 34 21 48 43 26 7 25 35 28 10 25 22 29 22 36 33 36 19 30 14 49 35 34 35 11 17 45 30 45 31 40 29 26 38 26 37 20 37 38 3 38 39 18 39 47 47 40 8 37 41 48 44 48 46 45 46 47 46 23 40 27 10 24 49 19 32 25 48 34 49 45 39 42 48     119700      90000      33300 
6327	1409300	4 0 11 5 1 12 10 2 13 32 3 14 33 4 15 34 5 16 35 6 17 42 6 18 42 7 19 43 7 20 43 8 21 43 8 22 44 9 23 44 9 24 44 10 25 44 10 26 44 25 27 44 26 28 45 27 29 45 28 30 45 29 31 46 30 32 46 31 33 46 32 34 47 33 35 47 34 36 48 35 37 48 36 38 49 36 39 49 37 40 49 37 41 49 38 42 49 38 43 49 39 44 49 39 45 49 40 46 49 40 47 49 41 47 49 41 48 49 42 48      33750      54000     153000 
