
0	6014800	10 5 2 0 11 7 4 0 11 12 4 1 13 12 6 1 16 13 3 8 16 14 14 8 18 15 14 9 18 15 17 9 21 17 20 10 22 19 21 11 22 19 22 14 24 20 24 21 26 23 25 24 31 23 25 25 31 25 29 27 31 26 29 27 32 26 30 28 34 26 32 28 35 27 32 28 35 27 33 29 36 28 33 29 38 29 34 30 38 30 34 31 41 30 36 32 41 33 36 39 42 33 38 40 42 33 38 41 42 34 39 41 43 34 40 41 46 37 40 41 47 37 43 41 47 39 43 42 48 39 44 42 49 39 45 43 49 44 45 43 49 45 45 44 49 46 45 46 49 46 47 46 49 48 48 47 49 48 48 47     103500     112500      90000      49500 
693	5601800	1 3 5 16 3 47 10 4 5 7 14 4 15 8 15 7 42 8 0 8 11 10 22 9 14 10 23 11 4 11 23 12 15 0 25 13 27 16 26 16 16 18 28 6 18 1 29 17 23 19 30 18 28 19 30 20 29 27 9 22 30 27 32 22 32 28 33 24 32 28 34 25 32 30 35 26 33 33 36 26 25 33 37 29 40 34 37 31 40 37 39 31 20 37 6 33 42 38 41 34 8 38 42 35 43 38 43 36 19 38 2 38 45 39 45 39 46 40 46 40 46 41 46 40 9 42 47 41 48 42 47 21 48 44 47 43 49 44 48 44 49 44 48 44 49 45 48 45 49 46 49 45 49 47 49 47 49 48 49 49      63000      58500      72000     153000 
990	4922800	19 5 16 5 0 11 4 10 2 12 38 14 32 11 7 15 1 13 8 44 10 14 9 22 44 15 11 7 9 15 12 23 49 17 13 25 11 19 16 26 14 19 16 28 21 20 17 29 24 23 18 30 25 23 20 30 27 25 22 9 27 26 22 32 28 26 24 33 28 26 25 34 28 27 26 35 29 27 26 36 29 28 29 37 30 29 31 37 31 30 31 39 32 30 33 6 39 33 34 41 40 33 35 42 41 33 36 43 41 34 38 45 41 34 39 45 41 37 40 46 41 37 40 46 42 39 41 47 42 39 21 47 3 39 43 47 43 44 44 48 44 45 44 48 46 46 45 48 46 46 45 49 47 48 47 49 47 48 49 49      67500      33750     135000      90000 
1089	4880800	5 16 0 8 10 4 3 19 14 4 2 4 15 7 18 6 0 8 13 3 22 10 13 5 23 11 15 14 23 12 19 17 25 13 19 20 26 16 22 21 28 6 23 22 29 17 25 24 30 18 26 25 30 20 27 25 9 22 27 29 32 22 28 29 1 24 28 30 34 25 28 32 35 26 31 32 36 26 31 33 37 29 32 33 37 31 33 34 27 31 33 34 6 33 1 36 41 34 38 36 42 35 38 38 43 36 39 38 2 38 39 39 7 39 40 12 46 40 41 40 46 40 41 43 47 41 42 43 47 21 42 44 47 43 42 45 48 44 43 45 48 44 43 45 48 45 43 45 49 45 47 47 49 47 47 48 49 49 47 48     121500     126000      54000      27000 
1188	4745800	27 3 5 5 3 47 10 10 4 7 14 14 7 8 15 15 8 8 0 0 9 10 22 22 11 24 23 7 12 11 23 23 13 0 25 25 16 16 2 13 6 18 28 28 17 1 29 29 18 19 7 30 20 19 30 30 2 27 32 9 22 27 32 32 24 28 33 1 25 28 34 34 26 30 35 35 26 33 11 36 29 33 37 37 31 12 37 37 31 37 19 39 33 37 6 6 34 38 41 41 35 38 42 2 36 38 43 43 38 38 45 45 39 39 45 45 40 40 46 27 40 41 46 46 41 42 47 47 21 42 47 47 43 44 47 47 44 44 48 42 44 44 48 48 45 45 48 48 45 46 49 49 47 47 49 49 49 48 49 49     135000      39000      57000      90000 
1386	4382800	47 0 16 5 39 3 4 10 4 2 4 14 21 20 7 15 19 13 8 0 49 13 10 22 14 15 11 23 2 19 12 23 20 19 13 25 43 22 16 26 28 23 6 28 24 25 17 29 25 26 18 30 25 27 20 30 29 27 22 9 29 28 22 32 30 28 24 1 32 28 25 34 32 31 26 35 8 31 26 36 33 32 29 37 34 33 31 37 34 33 31 27 13 1 33 6 36 38 34 41 46 38 35 42 38 39 36 19 39 39 38 2 40 40 39 7 40 41 40 46 43 41 40 46 43 42 41 47 3 42 21 47 1 42 43 47 45 43 44 48 45 43 44 48 45 43 45 48 47 47 45 49 48 47 47 49 48 47 49 49      26250      37500     135000     112500 
1485	4207800	9 0 5 4 9 3 10 4 10 12 14 4 1 2 15 3 43 21 30 8 14 13 20 36 16 15 19 11 18 19 23 12 17 19 36 13 21 22 2 2 2 35 28 16 23 25 29 17 24 9 7 18 25 27 30 20 26 27 27 22 27 28 32 22 28 28 33 24 29 28 34 25 29 31 35 26 29 31 11 26 30 32 37 29 31 33 37 31 31 33 39 31 31 1 6 33 32 38 41 34 34 38 42 35 35 39 9 36 37 39 45 38 37 40 45 39 37 41 46 40 38 41 46 40 39 42 47 41 41 42 47 21 41 42 47 43 19 43 48 44 44 43 48 44 46 43 48 45 47 47 49 45 47 47 49 47 49 47 49 49      48000      45000     112500     105000 
1782	4037800	3 0 16 5 8 3 4 10 14 12 4 14 15 17 7 15 0 21 8 30 22 13 10 20 24 15 11 19 23 19 12 23 25 19 13 36 18 22 16 2 12 23 6 28 29 3 17 29 24 9 18 7 30 27 20 30 38 27 22 27 32 28 22 32 4 28 24 33 34 28 25 34 35 31 26 35 36 31 26 11 37 32 29 37 37 33 31 37 16 33 31 39 3 1 33 6 41 38 34 41 43 38 35 42 26 39 36 9 45 39 38 45 45 40 39 45 7 41 40 46 46 41 40 46 44 42 41 47 42 42 21 47 47 42 43 47 17 43 44 48 48 43 44 48 48 43 45 48 19 47 45 49 49 47 47 49 49 47 49 49      81000      49500      94500      81000 
2178	3975800	5 16 0 11 10 4 3 10 14 4 12 14 15 7 2 15 0 8 21 3 22 10 13 39 23 11 15 23 23 12 19 23 25 13 19 25 26 16 22 24 9 6 35 20 29 17 25 29 30 18 18 30 30 20 27 30 9 22 27 9 32 22 28 32 1 24 28 1 34 25 28 34 35 26 31 35 36 26 31 36 37 29 32 17 37 31 33 37 27 31 33 27 6 33 1 6 41 34 38 41 42 35 38 4 19 36 39 44 2 38 39 2 7 39 40 45 46 40 41 46 46 40 41 46 47 41 42 47 47 21 42 47 47 43 42 47 48 44 43 48 48 44 43 48 48 45 43 48 49 45 47 49 49 47 47 49 49 49 47 49      85500      99000      63000      54000 
2376	3937600	44 24 15 5 10 3 2 10 14 8 4 14 11 12 7 15 0 13 8 0 22 13 9 22 16 4 11 18 23 19 12 23 25 19 13 43 26 22 16 26 28 23 28 28 29 25 17 29 30 9 18 30 30 45 20 30 9 27 2 9 32 28 22 32 15 28 24 1 34 28 25 34 35 31 26 35 36 31 26 36 40 32 29 37 37 33 31 37 27 33 31 27 17 1 33 6 41 38 34 41 42 38 35 42 19 39 36 19 2 39 38 2 7 21 39 7 46 41 40 46 46 41 40 46 20 42 41 47 47 42 21 47 47 42 43 47 48 43 44 48 48 43 44 48 48 43 45 48 49 47 45 49 49 47 47 49 49 47 49 49      47700      64800      95400      90000 
2475	3835800	16 11 0 5 4 10 3 10 4 14 12 14 7 15 2 15 8 3 21 0 10 39 13 22 11 23 15 23 12 23 19 15 13 25 19 25 16 24 22 26 37 20 35 9 17 29 25 29 18 30 18 30 20 30 27 30 22 9 27 9 22 32 28 32 24 1 28 1 25 34 28 34 26 35 31 35 26 36 31 36 29 17 32 37 31 37 33 37 31 27 33 27 33 6 1 6 34 41 38 41 35 4 38 42 36 44 39 19 38 2 39 2 39 45 40 7 40 46 41 46 40 46 41 46 41 47 42 47 21 47 42 47 43 47 42 47 44 48 43 48 44 48 43 48 45 48 43 48 45 49 47 49 47 49 47 49 49 49 47 49      96000      57000      64500      81000 
2574	3637800	5 16 13 0 10 4 10 3 14 9 14 12 11 7 15 2 0 8 0 21 11 10 44 13 23 11 47 15 23 12 46 19 25 13 25 19 26 16 26 22 28 6 14 35 29 17 19 25 30 18 5 18 30 20 30 27 9 22 32 27 32 22 32 28 15 24 20 28 34 25 8 28 35 26 35 31 36 26 36 31 37 29 37 32 37 31 37 33 27 31 24 33 6 33 6 1 41 34 41 38 42 35 42 38 19 36 43 39 2 38 45 39 7 39 45 40 46 40 46 41 46 40 46 41 17 41 47 42 47 21 47 42 47 43 47 42 48 44 48 43 48 44 48 43 48 45 48 43 49 45 49 47 49 47 49 47 49 49 49 47      86400     120600      32400      54000 
2673	3582800	0 16 4 5 15 18 10 10 12 4 14 14 17 7 15 11 21 8 0 0 13 10 44 22 15 11 23 23 19 12 46 23 19 13 25 25 22 0 26 8 23 6 28 28 3 17 29 29 9 18 5 30 27 20 30 30 27 22 32 9 28 22 32 32 28 24 20 15 28 25 34 34 18 26 35 35 31 26 36 36 32 29 37 37 33 31 37 37 33 31 24 27 1 33 6 6 38 34 41 41 38 35 2 42 39 36 43 19 39 38 16 2 40 39 45 7 41 40 46 46 41 40 46 46 42 41 47 47 42 21 47 47 42 43 47 47 43 44 48 48 43 44 48 48 43 45 48 48 47 45 49 49 47 47 49 49 47 49 49 49      67500      90000      81000      54000 
2772	3572800	16 5 0 4 18 10 15 10 45 14 12 14 7 11 17 15 8 0 21 0 10 22 13 44 11 23 15 23 12 23 19 46 13 25 19 25 0 8 22 26 6 28 23 28 17 29 3 29 18 30 9 5 20 30 27 30 22 9 27 32 22 32 28 32 24 15 28 20 25 34 28 34 26 35 18 35 26 36 31 36 29 37 32 37 31 37 33 37 31 27 33 24 33 6 1 6 34 41 38 41 35 42 38 1 36 19 39 43 38 2 39 16 39 7 40 45 40 46 41 46 40 46 41 46 41 47 42 47 21 47 42 47 43 47 42 47 44 48 43 48 44 48 43 48 45 48 43 48 45 49 47 9 47 49 47 49 49 49 47 49      90000      55000      67500      80000 
2871	3490800	13 5 0 16 18 10 3 4 14 14 12 4 15 11 17 14 0 0 21 3 44 22 9 10 23 23 15 11 46 23 45 12 25 25 19 13 26 8 11 16 28 28 23 24 16 29 40 17 5 30 47 18 30 30 27 20 32 9 27 22 32 32 28 22 20 15 28 24 34 34 28 25 35 35 31 26 36 36 31 26 37 37 32 29 37 37 33 31 24 27 33 31 6 6 1 33 41 41 38 34 42 42 38 35 43 19 39 36 45 2 39 38 45 7 40 39 46 46 41 40 46 46 41 40 47 47 2 41 47 47 42 21 47 47 42 43 48 48 43 44 48 48 43 44 48 48 43 45 49 49 47 45 49 49 47 47 49 49 47 49      27000      94500      58500     108000 
