
0	5408800	7 1 0 5 14 1 4 6 14 9 5 10 23 9 12 10 24 9 13 11 24 9 16 14 24 10 16 15 26 10 16 15 28 11 8 17 29 11 17 23 30 12 18 23 30 12 19 24 30 13 19 25 30 15 20 25 32 22 21 27 33 23 21 28 34 26 22 29 34 26 22 33 35 26 25 33 35 27 26 33 36 28 27 35 37 31 27 36 2 34 28 36 38 34 31 37 40 34 31 37 40 35 32 38 43 35 36 39 44 37 36 39 44 37 37 39 45 40 38 3 45 40 39 44 47 40 41 46 47 41 41 46 49 41 42 46 49 41 42 47 49 42 43 47 49 44 44 47 49 47 45 47 49 48 46 48 49 48 48 48      90000      24750     135000      90000 
594	4175050	1 14 0 4 3 6 4 35 10 29 5 9 13 47 12 10 12 10 13 11 20 12 16 0 23 13 45 16 23 13 16 16 48 15 8 22 25 17 17 8 7 18 33 18 15 7 19 20 27 21 19 23 16 25 20 24 21 27 21 2 31 28 21 26 9 30 9 26 32 35 22 27 33 31 25 29 33 32 26 29 34 33 27 30 35 37 27 30 36 38 28 30 36 47 31 17 14 39 31 34 37 40 32 34 47 40 36 34 40 41 36 34 40 42 37 39 42 11 38 39 43 24 39 40 44 23 41 40 45 44 41 43 45 44 42 43 46 45 42 44 46 3 43 45 47 46 1 46 47 49 45 48 48 49 46 48 48 49 48 48      28350     126225      98775      52425 
990	4117800	4 30 14 2 35 4 6 5 9 5 29 23 10 12 47 11 11 13 10 13 0 16 12 20 16 44 13 25 16 16 13 15 22 8 15 14 8 17 17 19 18 33 18 13 20 19 7 22 47 19 21 23 24 20 25 23 2 21 27 28 26 21 28 31 26 9 30 31 27 22 2 32 29 25 31 33 29 26 32 35 30 27 33 35 30 27 37 47 30 28 38 36 17 31 47 36 34 31 35 37 34 32 40 37 34 36 40 38 34 36 41 41 39 37 1 42 39 38 11 42 40 39 24 44 40 41 23 45 43 41 44 45 43 42 44 45 44 42 45 46 45 43 3 47 46 1 46 3 48 45 49 49 48 46 49 49 48 48 49 49      82500      90000     100000      35000 
1089	3664300	39 2 47 4 14 10 4 9 14 7 5 9 22 11 12 10 19 13 13 11 24 48 16 0 24 25 44 16 0 15 16 16 28 17 8 18 29 32 17 18 30 6 33 18 30 22 19 20 30 38 19 23 30 23 20 24 32 26 21 5 33 21 21 26 34 31 9 26 34 32 22 27 35 33 25 29 35 14 26 29 36 35 27 30 37 47 27 30 2 12 28 30 23 28 31 34 40 8 31 34 40 37 32 34 43 38 36 34 6 41 36 34 15 35 37 39 45 42 38 39 45 44 39 40 47 45 41 40 47 45 41 43 0 45 42 43 49 46 42 44 49 47 43 45 49 3 1 46 49 49 45 48 49 49 46 48 49 49 48 48      49500      90000      87750      65250 
1188	3547800	4 12 17 14 35 22 4 6 9 6 5 29 48 10 12 47 11 11 13 10 0 16 16 12 8 19 16 13 36 21 16 13 22 21 47 15 8 23 17 17 5 21 18 18 20 24 19 7 23 26 19 21 24 27 20 25 2 2 21 27 26 29 21 28 26 30 9 30 27 32 22 35 29 0 25 31 29 33 26 32 30 34 27 33 30 35 27 37 30 36 28 38 37 37 31 47 34 38 31 39 33 40 32 40 34 40 36 40 34 5 36 41 39 41 37 42 39 43 38 11 40 43 39 24 40 47 41 23 43 1 41 44 43 48 42 44 1 8 42 45 45 49 43 3 46 49 44 46 48 49 45 49 48 49 46 49 48 49 48 49      63000      18000      72000     135000 
1386	3442800	4 17 5 14 35 4 7 6 9 5 8 29 48 12 42 47 11 13 12 10 0 16 14 12 8 16 15 13 36 16 17 13 22 47 21 15 8 17 22 17 5 18 4 18 20 19 24 7 23 19 25 21 24 20 26 25 2 21 2 27 26 21 30 28 26 9 32 30 27 22 33 35 29 25 35 31 29 26 36 32 30 27 36 33 30 27 37 37 30 28 28 38 37 31 38 47 34 31 38 39 33 32 9 40 34 36 41 40 34 36 20 41 39 37 0 42 39 38 6 11 40 39 46 24 40 41 46 23 43 41 13 44 43 42 47 44 1 42 49 45 45 43 49 3 46 44 49 46 48 45 49 49 48 46 49 49 48 48 49 49      75000      75000      12500     125000 
1485	3329000	36 47 4 14 48 4 35 6 29 5 9 29 47 12 48 47 10 13 11 10 12 16 0 12 13 38 7 13 13 16 36 13 15 8 22 15 17 17 8 17 18 33 5 18 7 19 20 7 21 19 23 21 25 20 24 25 27 21 2 27 28 21 26 28 30 9 26 30 35 22 27 35 14 25 29 31 32 26 29 32 33 27 30 33 37 27 30 37 38 28 30 38 47 31 37 47 2 31 34 39 8 32 33 40 40 36 34 40 41 36 34 41 42 37 39 42 11 38 39 11 24 39 40 24 23 41 40 23 44 41 43 44 44 42 43 44 45 42 1 45 3 43 45 3 46 1 46 46 49 45 48 49 49 46 48 49 49 48 48 49      35000      75000      76200     100000 
1584	3062800	22 4 14 47 35 35 6 4 36 9 29 5 10 10 47 12 2 11 10 6 0 0 12 16 36 16 13 44 16 32 13 16 22 22 15 8 8 8 27 17 18 20 18 33 20 20 7 19 23 23 21 19 24 24 25 20 6 2 27 21 26 26 28 48 26 26 30 9 27 27 35 22 1 29 31 25 29 29 32 26 30 30 33 27 30 30 37 27 30 30 38 28 17 17 47 31 34 34 39 31 34 34 40 32 34 34 40 36 34 34 41 36 43 39 42 37 35 39 11 38 40 40 24 39 40 40 23 41 43 43 44 41 43 43 44 42 44 44 45 42 45 45 3 43 46 46 46 1 48 48 49 45 48 48 49 46 48 48 49 48      40000      12500     135000      90000 
1683	3007800	14 47 4 22 6 4 35 35 29 5 9 36 47 12 10 10 10 6 11 2 12 16 0 0 43 44 14 36 13 16 16 16 15 8 22 22 17 17 8 8 18 33 18 18 7 19 20 20 21 19 23 23 25 20 24 24 2 21 2 6 28 48 26 26 30 9 26 26 35 22 27 27 31 25 29 1 32 26 29 29 33 27 30 30 37 27 30 30 38 28 30 30 47 31 17 17 39 31 34 34 40 32 34 34 40 36 34 34 41 36 34 34 42 37 39 43 11 38 39 35 24 39 40 40 23 41 40 40 44 41 43 43 44 42 43 43 45 42 44 44 3 43 45 45 46 1 46 46 49 45 48 48 49 46 48 48 49 48 48 48     135000      90000      15000      37500 
1782	2523800	22 6 47 14 35 35 4 6 36 9 20 29 10 48 12 47 19 11 13 10 0 0 16 12 36 8 44 43 32 36 16 13 22 22 8 15 8 38 17 17 18 5 33 18 20 47 19 7 23 23 19 21 24 5 20 25 6 2 21 2 26 26 21 28 26 26 9 30 27 27 22 35 1 29 25 31 29 29 26 32 4 30 27 33 30 30 27 37 30 30 28 38 36 37 48 47 34 34 31 39 34 33 32 40 34 34 36 40 34 34 36 41 43 39 37 42 35 39 38 11 40 40 39 24 40 40 41 23 43 43 41 44 43 43 42 44 44 1 42 45 45 45 43 3 46 46 1 46 48 48 45 49 48 48 46 49 48 48 48 49      23250      40500      67500     135000 
