
0	6014800	10 5 2 0 11 7 4 0 11 12 4 1 13 12 6 1 16 13 3 8 16 14 14 8 18 15 14 9 18 15 17 9 21 17 20 10 22 19 21 11 22 19 22 14 24 20 24 21 26 23 25 24 31 23 25 25 31 25 29 27 31 26 29 27 32 26 30 28 34 26 32 28 35 27 32 28 35 27 33 29 36 28 33 29 38 29 34 30 38 30 34 31 41 30 36 32 41 33 36 39 42 33 38 40 42 33 38 41 42 34 39 41 43 34 40 41 46 37 40 41 47 37 43 41 47 39 43 42 48 39 44 42 49 39 45 43 49 44 45 43 49 45 45 44 49 46 45 46 49 46 47 46 49 48 48 47 49 48 48 47     103500     112500      90000      49500 
396	5695800	0 25 3 5 2 6 5 10 4 2 5 14 7 9 7 15 8 11 8 21 46 12 10 22 11 20 11 23 12 14 15 23 13 15 13 19 16 18 14 26 16 18 15 28 17 18 21 29 18 22 24 6 20 22 24 30 22 10 25 27 22 27 19 32 24 27 28 33 25 28 29 34 26 30 31 20 26 31 1 36 29 32 9 37 31 32 36 37 31 33 36 39 33 35 38 0 34 35 38 41 35 36 39 42 36 36 40 43 38 36 42 45 39 37 42 45 40 40 42 46 40 44 43 46 41 44 44 47 43 46 44 47 43 46 44 47 44 24 2 3 44 17 46 48 45 48 47 48 45 49 47 49 47 49 47 49 49 49 48 49      93000      57000      66000     132000 
594	5311800	25 11 0 5 6 11 2 10 5 2 4 14 9 16 19 15 11 1 8 42 12 17 46 22 20 21 11 23 14 21 12 23 15 24 13 32 18 24 16 19 46 25 16 9 18 27 17 29 22 27 18 30 22 28 20 30 10 28 22 32 27 30 22 32 27 18 24 33 28 33 25 34 30 33 26 35 31 7 26 36 32 36 29 37 32 37 31 37 33 38 31 39 38 40 33 41 35 3 34 41 36 6 35 42 36 41 36 43 36 41 38 45 37 42 39 45 40 13 40 4 44 44 40 46 44 45 41 1 23 0 43 47 46 47 43 47 24 48 44 48 17 48 44 48 48 49 45 48 49 49 45 49 49 49 47 49 49 49 49 49      22500      90000     112500     112500 
693	4889800	10 0 5 2 8 2 10 4 12 4 11 7 11 7 15 9 12 8 21 9 14 46 3 12 17 11 23 14 18 12 23 14 23 13 19 17 15 16 26 18 24 16 28 24 25 17 29 13 25 18 6 25 26 20 30 25 27 22 27 26 28 22 32 26 28 24 33 28 29 25 34 29 30 26 20 34 30 26 36 35 31 29 37 35 32 31 37 36 34 31 39 37 35 33 0 37 36 34 41 37 4 35 42 38 38 36 43 38 39 38 45 38 40 39 45 39 40 40 46 41 42 40 46 43 42 41 47 44 43 43 47 45 44 43 47 45 46 44 3 46 46 44 48 46 48 45 48 46 48 45 49 1 49 47 49 49 49 49 49 49      54500      76500     148000      49500 
891	4474800	8 7 3 19 35 7 43 8 10 9 6 9 10 10 11 12 11 16 12 15 5 6 14 22 12 16 17 24 13 17 18 0 2 20 23 32 7 21 24 27 15 0 24 28 18 22 25 4 19 23 25 31 20 25 26 33 24 25 5 35 26 29 28 7 26 1 28 36 28 30 29 38 28 31 30 14 29 32 30 11 30 33 31 39 31 34 32 13 33 36 34 40 34 37 35 41 37 38 36 3 38 27 4 42 40 39 38 42 41 40 39 43 41 40 40 44 42 43 40 44 43 44 42 44 7 45 42 45 44 45 37 21 45 46 44 46 47 47 46 37 47 19 46 47 16 49 48 48 48 49 48 48 48 49 49 48 49 49 49 49      78750      96750      56250      83250 
990	3985800	5 24 0 10 6 2 46 43 14 19 4 8 15 6 15 5 21 45 8 16 22 7 9 14 23 10 11 17 23 10 12 19 19 41 13 18 26 10 16 12 28 11 16 24 29 13 17 25 6 15 18 25 30 21 20 26 27 22 22 27 32 25 22 41 33 25 24 28 34 26 25 6 20 27 26 30 7 28 26 30 37 28 29 31 37 29 31 32 39 30 31 21 0 31 33 35 41 32 34 36 42 32 35 38 17 33 36 38 45 33 38 39 45 35 39 40 46 36 1 40 46 36 40 42 47 36 41 42 47 37 43 43 47 39 43 44 3 39 44 46 48 39 44 46 48 40 45 48 2 43 45 48 49 47 47 49 49 48 49 49      97000      31000     110000      66000 
1089	3705800	24 5 0 10 2 6 46 8 19 14 4 8 6 15 15 11 45 21 8 12 7 22 9 14 10 9 11 17 9 23 12 18 41 19 13 23 10 26 16 24 11 28 16 24 13 29 17 44 15 6 18 25 21 30 20 26 22 27 22 27 25 32 22 28 25 33 24 28 26 34 25 29 27 20 26 30 28 7 26 30 28 37 29 31 29 37 31 32 30 39 31 34 31 0 33 35 32 41 34 36 32 42 35 38 33 17 36 38 33 45 38 39 35 45 39 40 36 46 1 40 36 46 40 42 36 47 41 42 37 47 43 43 39 47 43 44 39 3 44 46 39 48 44 46 40 48 45 48 43 2 45 48 47 49 47 49 48 49 49 49      51000      87000      87000      69000 
1287	3337800	5 42 19 10 10 36 16 8 14 4 9 12 15 7 12 11 21 8 15 12 22 9 22 14 23 11 24 17 23 38 0 18 19 13 32 23 26 16 27 24 1 16 28 24 29 17 35 25 6 18 31 25 30 20 33 26 27 22 35 27 32 22 7 28 33 24 2 28 34 25 1 29 20 26 14 30 36 26 11 30 37 29 39 9 37 31 13 32 39 31 6 34 0 33 41 35 41 34 3 36 42 35 42 4 43 36 42 38 45 38 43 39 45 39 44 40 46 40 44 40 46 40 44 42 47 41 45 42 47 43 21 43 47 43 46 44 3 44 37 46 48 44 47 46 48 45 48 48 49 45 48 48 49 47 48 49 49 49 49 49      82500      82500      60000      60000 
1485	3135800	10 5 5 7 43 10 10 2 8 14 21 4 5 15 15 15 16 21 6 8 14 29 22 9 17 23 23 11 19 46 23 12 18 19 25 13 12 11 13 38 24 28 28 16 25 29 5 17 25 6 30 18 26 30 30 20 27 27 32 22 41 32 32 22 28 33 33 24 6 34 34 25 30 20 35 26 30 36 19 26 31 37 37 29 32 37 37 31 21 39 14 31 35 0 1 33 36 41 41 34 38 42 42 35 38 43 43 36 39 45 45 38 40 45 45 39 40 46 46 1 42 46 46 40 42 47 2 41 43 47 47 43 44 47 47 43 46 3 48 44 46 48 48 44 48 48 48 45 48 49 27 45 49 49 49 47 49 49 49 49      67000      60000      53000      99000 
1782	3131800	6 5 10 0 2 10 2 44 35 14 8 4 24 15 5 15 16 21 16 8 13 41 14 9 17 23 17 11 19 23 19 12 18 19 18 13 12 11 12 7 24 28 24 16 25 29 25 17 25 3 25 18 26 30 26 20 27 27 27 22 41 32 41 22 28 33 28 24 6 34 6 25 30 20 30 26 30 36 30 26 31 37 31 29 32 37 32 31 21 39 21 31 35 0 35 33 36 41 36 34 38 42 38 35 38 43 38 36 39 45 39 38 40 32 40 39 40 46 40 1 42 46 42 40 42 47 42 41 43 47 43 43 44 47 44 43 46 3 46 44 46 48 46 44 48 48 48 45 48 49 48 45 49 49 49 47 49 49 49 49      43000     112500      24500      99000 
