
0	4031527	4 6 1 0 0 1 0 0 1 0 0 1 0 0 1 2 5 1 3 3 1 3 3 3 3 3 3     450000     990000      36428 
99	3341500	0 0 1 0 5 6 0 0 4 0 2 1 3 2 5 3 3 6 3 3 4 3 3 4 3 3 4          0     130000     590000 
198	3341500	2 6 0 1 0 5 5 0 6 1 0 1 3 0 2 3 3 1 3 1 1 3 3 6 3 3 4     100000          0     620000 
297	1939000	2 6 5 1 0 5 0 0 6 0 0 1 0 0 1 0 3 2 3 3 6 3 3 4 3 3 4          0     125000     432500 
396	1657750	4 6 5 0 0 6 5 0 2 0 0 1 3 0 5 3 3 6 3 3 4 3 3 3 3 3 4          0      62500     463750 
495	1376500	6 6 5 0 5 6 5 0 4 0 0 1 6 0 5 3 3 6 3 3 2 3 3 3 3 3 4     125000          0     370000 
792	 751500	6 6 6 0 5 6 1 0 4 1 0 1 6 0 5 3 5 6 3 3 2 3 3 5 3 3 4      50000     100000     300000 
2376	 710000	2 4 5 5 2 6 2 4 5 1 0 1 6 0 5 3 5 6 3 3 6 3 3 6 3 3 4      54500     125000     250000 
2574	 149000	6 0 2 4 4 5 4 6 1 0 0 5 6 0 5 3 5 6 3 3 6 3 3 6 3 3 4      94000      52000     260000 
7722	 134000	1 6 6 1 4 5 1 4 2 2 0 5 6 0 5 1 5 6 3 3 6 3 3 6 3 3 4      57375     125000     228625 
8811	  87000	1 0 6 1 0 4 1 2 5 2 0 5 6 0 5 2 5 6 3 3 6 3 3 6 3 3 4      93500      62500     250000 
14949	  53500	6 2 6 5 5 4 6 0 1 1 0 5 6 2 5 3 5 6 3 3 6 3 3 6 3 3 4      27500     130000     253000 
0	4031527	0 0 0 0 0 0 0 0 6 3 0 1 3 0 1 3 0 1 3 0 2 3 3 5 3 3 4      83333          0     990000 
198	1661500	0 0 6 5 6 2 0 0 5 1 0 1 0 0 5 0 0 4 0 2 6 3 3 3 3 3 3          0      50000     470000 
792	1301500	6 0 6 2 0 2 1 1 5 0 0 4 0 0 1 3 0 5 3 3 6 3 3 6 3 3 3          0      50000     450000 
891	1266500	6 4 0 5 2 5 5 2 5 0 0 6 0 3 1 3 0 4 3 3 6 3 3 6 3 3 4       8000     117000     364000 
990	1121500	6 5 6 4 0 5 0 1 2 1 0 4 0 0 1 3 0 5 3 3 6 3 3 6 3 3 3      65000      30000     385000 
1089	 684000	6 5 5 6 2 6 4 2 6 0 0 5 0 3 1 0 0 4 3 3 6 3 3 6 3 3 4          0     125000     297500 
1782	 666500	0 1 5 5 1 6 4 2 6 0 0 5 0 6 3 5 3 4 0 2 6 3 0 5 3 3 4          0     127500     287500 
3564	 251125	2 5 2 1 6 6 2 6 1 6 0 6 0 6 5 3 4 5 3 3 6 3 4 5 3 3 4      48375     176625     181125 
5643	 106875	2 4 6 4 4 6 2 0 1 6 0 6 0 6 5 5 3 5 3 3 6 3 4 5 3 3 4     130000      47500     230625 
0	4031527	2 4 1 5 6 1 0 0 1 0 0 1 0 0 1 0 0 1 3 0 1 3 0 3 3 0 3     720000     990000      36428 
99	3676500	2 0 1 0 0 1 0 3 1 5 3 1 3 3 6 3 3 4 3 3 5 3 3 6 3 3 4     234000          0     495000 
198	3341500	0 1 0 0 6 6 0 0 5 3 0 1 3 3 1 3 3 3 3 3 6 3 3 2 3 3 4          0          0     720000 
297	1951500	6 0 5 0 0 6 0 0 6 0 0 0 3 0 1 3 3 1 3 3 5 3 3 2 3 3 4     100000          0     450000 
396	1376500	6 2 5 5 0 0 0 3 5 6 0 1 3 0 6 3 0 2 3 3 6 3 3 4 3 3 4     100000          0     395000 
792	 995250	2 2 1 3 0 5 0 5 6 0 0 2 5 3 6 3 3 4 3 3 5 3 3 6 3 3 4     112500          0     343750 
1188	 851500	2 4 5 6 0 6 4 6 5 0 0 1 3 0 6 3 3 2 0 3 5 3 3 6 3 3 4     125000          0     325000 
1485	 694000	4 5 6 4 0 6 0 4 5 5 0 2 6 3 6 3 0 1 3 3 5 3 3 6 3 3 4      62500      62500     297500 
4257	 675000	4 4 5 6 3 1 6 0 5 5 0 2 6 3 6 6 3 4 0 3 5 3 3 6 3 3 4     158000      33500     234000 
4851	 633000	4 1 5 6 3 1 6 0 5 5 0 2 6 3 6 6 3 4 0 3 5 3 3 6 3 3 4     158000      33500     234000 
6633	 586500	6 0 5 2 6 4 6 6 5 5 0 2 6 3 6 6 3 1 0 3 5 3 3 6 3 3 4     125000      50000     250000 
