
0	  29645	0 5 2 1 5 2 3 6 2 3 6 2 4 6 2 4 6 2 5 6 2 5 6 2 6 6 5     250000     121429      32500 
585	  15004	0 6 5 1 5 5 2 6 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      13889 
684	  10628	0 5 2 1 5 5 3 6 5 2 5 5 3 6 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      15625 
981	   5003	0 5 2 1 5 5 6 5 2 3 5 5 3 6 5 4 6 5 4 6 2 6 6 5 6 6 5     250000      70000      86667 
2637	   5001	0 5 1 1 5 5 2 5 2 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	   5001	0 3 1 1 3 2 2 3 3 4 5 3 4 5 3 5 6 3 5 6 3 6 6 3 6 6 3     250000     150000       7143 
0	  22145	0 1 5 3 1 5 3 1 6 4 2 6 4 2 6 5 2 6 5 5 6 6 5 6 6 6 6     250000      85000      73571 
387	  19287	0 5 1 1 6 5 2 5 5 3 5 6 3 5 5 4 6 5 4 5 6 6 6 5 6 6 5     250000     142857      14286 
585	  14234	0 5 2 1 6 6 2 6 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     138461      19231 
684	   8750	3 5 5 1 5 2 2 5 5 3 5 5 0 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1755	   6306	0 5 5 1 5 2 2 5 5 3 5 5 3 5 6 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
1854	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  37125	2 0 0 3 1 0 3 1 0 4 4 0 5 4 0 6 5 5 6 5 6 6 5 6 6 5 6     256625     127500      24500 
288	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1170	  15001	0 5 2 1 5 3 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
1269	  10628	0 6 2 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     141667      15625 
1467	   6306	0 5 6 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
2061	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  14698	0 4 2 1 4 4 2 4 4 3 6 4 3 6 4 5 6 4 5 6 5 5 6 5 6 6 5     251510     141415      15151 
675	   8750	0 5 2 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1269	   6306	0 5 6 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
1368	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  30625	0 1 4 2 1 4 3 4 4 3 4 4 5 4 5 5 5 5 6 5 6 6 6 6 6 6 6     250000     127500      29375 
288	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
972	   8750	0 5 5 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1467	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  18001	0 2 2 1 3 2 3 3 2 5 4 2 5 4 2 5 4 5 6 4 6 6 6 6 6 6 6     256333     125000      27000 
486	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
882	  14234	0 5 2 1 6 5 2 6 5 3 5 5 3 5 5 4 6 5 4 6 6 5 6 5 6 6 5     250000     138461      19231 
1179	   9287	0 5 2 1 6 6 2 5 5 3 5 5 3 5 5 4 5 5 4 6 6 6 6 5 6 6 5     250000     142857      14286 
1377	   6306	0 5 2 1 6 5 2 5 5 3 5 5 3 5 5 4 5 5 4 6 6 6 6 5 6 6 5     250000     147826       8696 
1872	   6055	0 5 2 1 6 1 2 5 5 3 5 5 3 5 5 4 5 5 4 6 6 6 6 5 6 6 5     250000     147370      10525 
0	  40000	1 0 0 2 3 0 3 3 0 4 4 0 5 4 5 6 5 6 6 5 6 6 5 6 6 5 6     245312     131248      29688 
585	  30628	0 6 0 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      15625 
684	  15004	0 6 5 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      13889 
1080	  10628	0 6 2 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      15625 
1764	   9287	0 5 2 1 5 5 2 5 5 3 5 5 3 5 2 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
1863	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  26112	0 2 3 1 2 5 3 2 5 4 3 6 4 3 6 5 5 6 5 5 6 6 6 6 6 6 6     250000      86667      71111 
387	  15004	0 5 5 1 5 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     148149       7407 
1170	   8750	0 5 2 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1665	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  12451	0 1 5 2 1 6 3 5 6 3 5 6 4 5 6 4 5 6 6 5 6 6 5 6 6 6 6     250000     128723      27660 
486	   6306	0 5 5 1 5 5 2 5 5 3 5 2 3 5 5 4 6 5 4 6 5 6 6 6 6 6 5     250000     147826       8696 
1458	   6055	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 6 6 6 5     250000     147370      10525 
