
0	10025000	4 5 23 7 26 1 15 1 1 17 1 1 28 1 1 29 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 20 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 18 1 1 21 2 1 22 2 1 27 9 1 9 9 1 9 9 1 16 9 1 25 9 1 13 9 1 6 9 1 8 9 1 14 9 1 19 9 1 19 13 11 19 13 12 19 13 24 19 13 10      20000       2500          0 
99	9784000	20 21 26 12 16 1 26 1 1 21 1 9 10 1 3 0 1 1 0 1 1 21 1 1 10 1 1 0 1 1 0 1 1 20 1 1 0 1 1 13 1 1 0 1 1 0 1 1 0 1 1 15 1 1 20 1 1 2 1 1 2 1 1 0 1 1 2 1 1 3 1 1 7 1 1 2 1 1 6 2 1 25 2 3 9 2 1 9 2 3 9 2 23 9 2 26 22 9 27 4 9 3 17 9 3 13 9 5 13 9 8 20 13 11 19 13 10 18 13 10 28 13 10 29 13 14      30000          0       2400 
594	9736000	6 29 22 7 23 27 16 29 1 23 1 1 26 1 1 0 1 15 14 13 1 21 1 1 5 1 20 0 1 1 0 25 1 22 1 1 0 1 1 7 1 1 0 1 1 0 1 1 0 1 1 15 1 1 12 1 1 0 1 1 4 1 1 0 1 1 2 1 1 15 2 1 2 1 1 14 1 1 6 2 1 25 2 1 16 3 1 2 9 1 9 25 1 2 2 4 9 2 27 13 9 1 9 9 1 13 9 3 13 9 11 6 9 1 19 13 28 8 13 18 19 13 24 19 9 10      30000          0       2000 
990	3850126	8 29 11 11 5 1 26 29 1 21 1 9 24 1 1 24 1 23 0 1 1 27 1 1 5 1 20 0 1 1 0 1 1 22 1 22 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 15 1 1 12 1 1 0 1 1 0 1 1 0 1 1 27 1 1 26 2 1 2 1 1 14 1 1 28 2 1 18 29 1 16 2 1 17 2 1 6 2 1 9 1 3 9 2 4 7 9 3 9 9 28 13 9 6 22 2 25 15 9 13 13 13 29 10 13 18 26 13 24 19 9 25     103500      34500     148500 
4257	3764000	21 6 14 23 6 19 0 24 8 12 24 7 26 18 23 2 21 22 14 1 10 11 1 6 4 1 0 27 1 10 0 10 23 0 25 1 0 1 20 0 26 24 0 1 1 0 1 1 5 1 1 0 1 1 12 1 1 29 1 1 12 1 1 11 1 1 19 1 1 28 15 1 2 1 1 27 1 1 28 18 1 29 2 1 16 1 1 15 2 27 29 7 23 9 2 26 26 2 11 24 9 3 9 9 3 20 9 22 13 28 25 17 9 11 26 5 28 24 9 18 25 13 24 25 13 25      90000       9000      63000 
4950	2644000	21 3 14 7 6 11 25 25 29 23 8 3 18 20 24 8 25 22 14 23 11 20 8 6 4 1 12 29 26 10 6 13 11 19 26 1 3 1 20 10 26 8 0 1 1 0 1 1 5 1 1 0 1 1 12 1 1 20 1 1 12 1 1 11 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 2 1 22 17 1 2 2 1 29 7 7 9 2 18 26 2 11 24 28 27 9 9 28 16 9 22 24 28 25 17 9 20 26 4 28 28 13 18 25 13 28 29 9 25     108000      27000          0 
7722	2290000	21 6 14 7 28 12 25 25 29 23 8 3 18 7 24 8 10 10 14 12 14 23 8 6 4 16 12 19 26 10 23 17 11 19 26 1 3 10 20 0 26 24 0 1 1 0 28 29 5 1 1 0 1 1 27 1 1 20 1 1 28 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 2 1 22 2 1 2 2 1 29 7 7 21 2 18 26 2 11 24 28 27 16 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      63000      27000      36000 
9603	2246000	28 6 14 7 14 25 18 25 29 6 6 9 18 11 4 8 11 10 10 23 21 23 8 21 4 11 12 29 26 12 10 13 11 19 29 25 3 14 17 0 26 26 0 1 1 0 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 17 1 2 2 27 29 7 23 21 2 18 26 2 23 24 28 27 16 9 28 16 9 22 24 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      63000      27000      36000 
10296	2210000	21 6 14 25 28 25 27 25 23 14 11 17 12 29 10 8 6 10 29 9 14 7 8 6 4 2 8 12 26 28 23 2 11 19 18 8 3 10 26 16 19 24 0 1 13 28 1 1 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 10 7 21 2 18 26 2 11 24 28 27 9 9 28 26 9 22 24 28 25 17 9 20 26 5 28 24 13 18 25 13 24 19 13 25      81000      18000      27000 
10395	1980500	12 6 16 7 28 11 25 25 25 6 11 21 18 11 24 8 25 21 14 24 9 2 8 6 4 23 12 19 26 12 10 17 11 11 5 1 3 21 15 28 26 24 0 1 1 0 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 17 1 2 2 1 29 7 23 21 2 18 26 2 23 24 28 27 10 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 13 25      84250      19250      15750 
10989	1971500	12 6 2 7 28 11 25 25 16 6 11 9 18 11 25 8 23 10 14 9 14 26 8 6 4 16 12 19 23 12 10 13 11 11 14 1 3 21 5 28 26 24 0 1 13 0 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 17 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 16 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25     103500      15750          0 
11682	1836000	23 6 2 7 12 11 8 25 1 22 6 9 18 11 25 8 27 6 14 24 14 15 23 6 4 11 12 25 26 26 20 2 11 19 5 1 3 21 24 10 21 24 0 1 13 28 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 12 1 1 28 18 1 29 29 1 22 17 1 2 2 27 29 7 23 21 2 18 26 2 11 24 28 27 16 9 28 26 9 22 24 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 13 25      81000      23400      10800 
11880	1814000	21 6 9 7 28 18 25 25 16 6 11 3 18 25 24 8 7 10 14 15 12 20 8 6 4 23 12 12 23 10 10 13 11 11 5 12 3 10 5 28 26 24 0 1 1 0 28 1 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 17 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 16 9 28 26 9 22 24 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      90000      27000          0 
11979	1813000	12 6 2 7 29 25 1 25 29 14 6 6 9 21 18 8 25 10 14 23 14 26 14 25 4 23 13 19 23 8 10 13 11 11 5 17 3 21 26 28 26 27 0 1 13 28 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 10 23 21 2 18 26 2 11 24 28 27 16 8 28 16 9 22 24 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      72000      19500      24000 
12969	1142000	23 10 14 7 29 11 25 26 29 6 11 8 10 11 29 8 25 3 14 28 9 26 4 6 4 23 13 12 23 24 9 2 10 11 5 10 3 21 14 28 26 24 0 1 25 28 28 29 5 1 1 0 1 1 27 1 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 22 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 18 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      90000          0       9000 
14949	1012500	12 6 2 7 28 10 25 25 29 6 6 6 10 12 13 8 25 10 14 28 9 18 14 25 4 23 28 26 26 12 9 13 13 11 28 11 3 23 26 28 13 13 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      90000          0       6750 
16038	1006000	12 6 2 7 28 10 25 25 29 6 6 6 10 12 13 8 25 10 14 28 20 18 14 25 4 23 28 26 26 12 9 13 13 11 28 11 3 23 26 28 13 13 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      90000          0       6750 
16929	 999000	12 6 2 7 10 10 25 1 29 6 4 29 10 12 27 8 25 10 14 28 17 18 14 25 4 23 21 26 26 12 9 13 13 11 26 11 3 23 26 28 13 24 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      90000          0       6750 
17028	 950400	12 6 6 7 28 10 25 25 29 6 25 25 10 12 14 8 7 10 14 28 2 18 19 25 4 16 21 26 26 12 9 13 13 11 28 10 3 10 26 28 26 13 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      90000          0       5400 
17226	 931000	12 10 10 7 23 10 25 25 29 6 5 6 10 12 14 8 25 25 14 28 2 18 19 25 4 23 12 26 26 4 9 13 13 11 5 11 3 10 27 28 26 25 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      90000          0       4500 
17325	 904000	12 21 8 7 28 20 25 21 29 6 25 6 10 21 14 8 12 10 14 28 2 18 14 25 4 23 21 1 26 22 9 13 13 11 26 11 3 6 17 28 2 25 26 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 25 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      90000          0       4500 
18117	 886000	12 1 19 7 28 0 25 21 29 6 25 6 10 21 4 8 21 25 14 13 17 18 27 25 4 23 21 26 8 12 9 13 13 11 26 10 3 16 17 28 2 13 0 9 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 9 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      81000          0       9000 
18315	 850000	12 13 19 7 2 23 25 21 29 6 25 22 10 12 21 8 25 25 14 28 1 18 2 25 4 18 5 26 8 12 9 13 13 11 3 20 3 6 17 28 2 13 0 1 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 24 29 9 25      81000          0       9000 
18909	 832000	12 27 19 7 2 10 25 25 29 6 17 13 10 12 27 8 25 25 14 24 19 18 27 25 4 16 21 26 8 23 9 1 18 11 3 20 3 16 17 28 2 13 0 9 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 10 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      81000          0       9000 
19305	 794000	12 27 19 7 2 28 25 4 29 6 25 16 10 12 25 8 7 16 14 24 20 18 27 25 4 13 21 26 26 23 9 21 13 11 3 20 3 16 17 28 2 13 0 9 25 28 28 29 5 1 1 0 1 1 27 23 1 20 1 1 19 1 9 23 1 1 27 1 1 15 15 1 23 1 25 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      81000          0       9000 
19503	 780000	12 25 19 7 26 10 25 21 29 6 25 26 10 21 27 8 19 25 14 28 1 18 27 1 4 18 21 26 8 23 9 21 13 11 3 24 3 6 17 28 13 13 0 1 25 28 28 29 5 1 1 25 1 1 27 23 1 20 1 1 19 1 1 23 1 1 27 1 1 15 15 1 23 1 1 27 1 1 28 18 1 29 29 1 22 2 1 2 2 1 29 7 23 21 2 18 26 2 11 24 28 27 24 9 28 16 9 22 13 28 25 17 9 20 26 4 28 24 13 18 25 13 28 29 9 25      86250          0       3750 
