
0	2208000	0 1 0 1 3 2 7 3 7 12 9 4 9 4 23 4 12 4 13 4 17 5 19 5 19 6 20 8 21 10 23 11 24 13 16 14 25 15 25 17 25 18 25 20 25 20 26 21 18 22 26 22 26 23 16 24 26 24 27 24 28 26 28 27 28 27 28 27 28 27 29 28 29 27 29 27 29 27 29 29 29 29 29 29      45000      81000 
99	2007000	0 1 2 2 0 3 3 7 3 10 5 1 4 10 25 11 7 12 9 13 18 13 8 14 9 14 11 15 12 15 17 17 15 17 18 19 21 22 19 21 20 22 16 23 21 24 23 22 23 24 6 24 24 24 25 24 25 20 27 26 26 26 28 26 28 27 27 26 28 27 28 27 28 28 28 27 29 28 29 29 29 29 29 29      81000      40500 
198	1392000	14 2 8 0 9 2 10 1 12 28 13 4 11 3 16 5 17 6 23 7 19 7 18 7 25 8 21 8 21 9 21 13 16 14 22 15 1 15 11 17 25 18 24 18 25 23 24 19 10 20 25 20 25 20 26 20 27 22 27 23 28 24 28 24 28 25 28 26 28 26 28 26 29 26 29 26 12 27 29 27 29 28 29 29      40500      63000 
585	 627000	0 9 1 10 2 11 3 12 4 13 5 13 6 24 7 14 8 15 9 15 10 16 11 16 12 17 13 22 14 18 15 18 16 19 17 19 18 20 19 20 20 21 21 21 22 29 23 22 23 23 29 23 24 24 24 24 25 24 25 25 25 25 26 27 26 26 26 26 27 26 29 27 27 27 28 27 28 28 28 28 28 29 29 29      64500      19500 
981	 606000	0 9 1 10 2 11 3 12 4 3 5 14 6 7 9 29 8 15 13 7 10 22 11 16 12 21 13 17 14 24 15 18 16 17 17 19 18 20 19 20 20 25 21 21 22 22 23 7 23 23 24 23 25 24 24 24 27 24 25 25 29 25 26 25 26 24 26 26 27 26 29 27 27 19 28 27 28 28 28 28 28 29 29 29      63000      21000 
1476	 590000	0 9 1 10 2 11 3 9 4 9 5 21 6 14 7 13 8 28 25 15 10 22 11 16 12 21 13 17 14 18 15 9 16 19 17 19 18 20 19 20 20 21 21 21 22 22 23 22 23 23 24 29 24 24 24 12 27 24 25 29 25 25 26 25 26 6 26 26 27 26 29 27 27 27 28 27 29 28 28 28 28 29 29 29      66000      18000 
0	2272000	2 0 12 0 7 0 8 0 8 1 8 1 9 2 10 3 10 3 11 4 11 5 11 5 13 10 15 12 14 13 27 16 19 16 22 16 22 17 24 17 24 17 25 17 25 18 26 18 27 18 6 19 24 20 28 20 28 20 28 20 28 21 28 21 23 22 29 23 29 25 29 25 23 25 4 25 29 26 29 26 29 26 29 27      81000      45000 
99	2058000	0 0 1 2 3 2 5 9 7 6 27 9 8 11 13 8 18 10 11 12 10 12 6 14 15 15 17 2 21 16 23 16 22 16 24 19 24 20 24 19 25 20 25 20 4 20 26 22 19 22 26 22 21 23 26 22 27 23 14 23 28 23 28 24 28 24 29 25 29 27 29 27 29 26 29 26 29 27 29 28 29 28 29 28      85500      36000 
198	1848000	2 0 2 2 11 4 7 0 8 9 4 5 8 12 10 3 10 16 9 13 7 18 26 11 24 6 15 14 14 13 15 22 15 17 15 23 18 8 19 17 9 1 22 17 20 21 26 22 24 21 24 19 24 20 25 25 25 26 24 26 14 27 27 25 27 28 29 23 29 28 27 28 28 28 4 28 29 16 29 29 29 29 29 29      45000      72000 
297	1253000	9 0 3 2 4 0 5 1 4 22 17 8 15 2 13 11 13 24 8 7 17 7 19 12 20 14 21 14 21 16 10 16 20 18 23 9 15 10 24 19 25 12 25 23 22 23 26 24 25 24 26 16 26 23 25 18 26 24 18 1 6 27 27 19 29 27 28 27 29 27 29 27 28 28 29 28 29 28 6 28 29 28 11 29      63000      40500 
