
0	1004000	0 1 0 5 2 1 18 2 1 6 2 7 7 3 7 8 3 8 9 3 10 9 4 14 10 4 14 10 4 14 11 5 15 12 6 15 12 8 16 12 11 16 13 11 17 13 17 17 13 17 17 14 18 17 15 20 17 16 21 18 19 22 19 20 23 19 20 23 19 21 24 20 23 25 21 24 25 21 24 25 22 24 26 22 24 26 23 25 26 24 25 26 24 25 26 26 25 27 26 28 27 27 22 27 27 29 27 28 29 27 28 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29      37000      38000      22000 
387	 201250	0 9 24 1 10 24 2 11 17 3 12 24 4 13 25 5 13 25 6 14 25 7 14 25 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 26 14 18 26 15 18 27 16 19 27 17 19 27 18 20 27 19 20 27 20 21 27 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 22 29 25 24 29 25 25 29 25 25 29 26 25 29 29 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 20 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5875 
486	 188000	0 9 24 1 10 24 2 11 24 3 12 24 4 13 9 5 13 25 6 14 25 7 14 25 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 22 29 25 25 29 25 25 29 29 26 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5800 
585	 124168	0 9 24 1 10 24 2 11 24 3 12 24 4 13 9 5 13 25 6 14 25 7 14 25 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 22 29 25 25 29 25 25 29 29 26 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 26 29 28 8 29 28 20 29 28 29 29 29 29 29      63000      13500       6084 
1269	  97850	0 9 2 1 10 7 2 11 24 3 12 24 4 13 9 5 13 25 6 14 25 7 14 25 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 22 29 25 25 29 25 25 29 29 26 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 26 29 28 29 29 28 20 29 28 29 29 29 29 29      63000      13500       5675 
0	1212000	6 1 1 0 5 1 2 7 2 19 7 3 3 8 3 4 10 4 4 10 5 9 10 5 10 12 5 11 14 7 12 14 8 13 14 9 13 15 11 15 15 12 15 16 13 18 16 14 19 16 14 20 17 16 22 17 17 23 19 17 24 20 17 24 22 18 24 23 18 24 23 20 25 23 20 25 24 21 26 24 21 26 25 22 21 25 23 8 25 24 27 25 25 27 25 26 27 26 26 28 26 26 28 26 27 29 27 27 29 28 27 29 28 27 29 28 27 29 28 27 29 28 28 29 29 28      63000      24000      15000 
387	 188400	0 9 15 1 10 4 2 11 24 3 20 19 4 13 25 5 13 25 6 14 25 7 14 26 8 15 26 9 15 26 10 16 26 11 16 27 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 21 29 26 26 29 26 12 29 27 26 29 27 29 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7400 
486	 188000	0 9 24 1 10 24 2 11 24 3 12 25 4 13 24 5 13 25 6 14 25 7 14 24 8 15 26 9 15 22 10 16 26 11 16 26 12 17 27 13 17 26 14 18 27 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 29 21 21 28 22 22 29 23 22 28 23 23 29 24 23 29 24 24 29 29 24 29 25 24 29 25 24 29 25 25 29 26 25 29 26 26 29 26 24 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5800 
585	 141342	0 9 26 1 10 24 2 11 24 3 12 24 4 13 25 5 13 24 6 14 15 7 14 7 8 15 26 9 15 26 10 16 27 11 16 26 12 17 26 13 17 25 14 18 27 15 18 28 16 19 26 17 19 27 18 20 27 19 20 28 20 21 29 21 21 27 22 22 29 23 22 29 23 23 29 24 23 29 24 26 29 24 24 29 25 24 29 25 25 29 25 25 29 29 25 29 26 26 29 26 26 29 27 26 29 27 26 29 27 22 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6047 
783	 129248	0 9 26 1 10 24 2 11 24 3 12 24 4 13 25 5 13 6 6 14 15 7 14 7 8 15 26 9 15 26 10 16 27 11 16 26 12 17 26 13 17 25 14 18 27 15 18 28 16 19 26 17 19 27 18 20 27 19 20 28 20 21 29 21 21 27 22 22 29 23 22 29 23 23 29 24 23 29 24 26 29 24 24 29 25 24 29 25 25 29 25 25 29 29 25 29 26 26 29 26 26 29 27 26 29 27 26 29 27 22 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6048 
