
0	10025000	4 5 23 7 26 1 15 1 1 17 1 1 28 1 1 29 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 20 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 18 1 1 21 2 1 22 2 1 27 9 1 9 9 1 9 9 1 16 9 1 25 9 1 13 9 1 6 9 1 8 9 1 14 9 1 19 9 1 19 13 11 19 13 12 19 13 24 19 13 10      20000       2500          0 
99	9717600	20 21 26 12 16 1 26 1 21 21 1 1 24 1 3 0 1 1 26 1 1 10 1 1 0 1 1 3 1 1 26 1 1 0 1 1 10 1 1 3 1 1 0 1 1 0 1 1 0 1 1 15 1 1 0 1 1 2 1 1 2 1 1 0 1 1 2 1 1 2 1 1 0 1 1 2 1 1 6 2 1 25 2 3 26 2 1 9 2 3 9 2 23 9 2 26 22 9 27 4 9 3 17 9 3 13 9 5 13 9 8 20 13 11 19 13 10 18 13 10 28 13 10 29 13 14      45000          0       2400 
495	8961000	27 22 11 14 23 12 28 1 21 23 1 1 24 1 1 5 1 3 24 1 1 26 1 1 0 1 1 3 1 1 26 1 1 10 1 1 23 24 3 0 1 1 24 1 1 0 1 1 0 1 1 6 1 1 0 1 1 19 1 1 28 1 1 29 1 1 28 1 1 24 26 1 2 1 1 0 2 1 28 1 1 2 1 3 26 17 1 9 2 3 25 2 23 21 2 1 9 9 3 9 9 3 4 9 18 28 9 8 13 9 3 20 9 3 19 13 10 15 13 10 23 13 16 21 13 10      56000          0       2500 
594	8893000	27 22 11 14 23 12 28 1 21 23 1 1 24 1 1 5 1 3 24 3 1 26 1 1 13 1 1 3 1 1 26 1 1 10 1 1 23 24 3 0 1 1 24 1 1 0 1 1 0 1 1 6 1 1 0 1 1 19 1 1 28 1 1 29 1 1 28 1 1 24 26 1 2 1 1 0 2 1 28 1 1 2 1 3 26 17 1 9 2 3 25 2 23 21 2 1 9 9 3 9 9 3 4 9 18 28 9 8 13 9 3 20 9 3 19 13 10 15 13 10 23 13 16 21 13 10      56000          0       2500 
792	3850126	8 16 22 29 1 28 24 1 21 20 1 17 23 1 1 5 1 1 4 23 1 8 16 1 0 1 1 0 1 1 26 1 18 0 1 1 0 24 0 3 1 1 0 1 1 0 1 1 0 1 1 15 1 1 0 1 1 0 1 1 0 1 1 7 1 1 14 1 1 0 1 1 2 1 1 2 2 1 27 1 1 12 1 1 26 2 1 18 2 11 2 2 23 21 2 3 29 2 3 6 9 3 15 9 17 13 9 3 27 9 12 28 9 24 18 9 10 8 13 25 19 9 16 19 13 26     126000      10285     207000 
4257	3430000	10 8 4 16 19 7 27 23 10 25 10 25 26 1 4 28 20 29 10 12 29 16 21 1 25 19 13 0 14 12 0 16 0 5 9 20 27 24 1 7 17 17 18 1 1 0 1 1 0 1 1 0 1 1 0 1 1 4 1 1 22 1 1 24 1 1 14 1 1 24 8 1 18 1 1 29 1 1 6 1 1 25 1 15 26 2 1 28 20 1 11 2 26 15 27 1 21 24 29 28 9 3 28 27 17 9 3 7 17 9 29 3 12 11 29 13 3 15 13 25 23 24 24 21 13 26      90000      45000      18000 
4653	2782000	8 4 4 20 5 27 18 24 22 25 19 25 26 5 24 28 4 29 10 29 29 23 10 1 25 19 22 20 14 1 28 18 5 16 21 20 27 24 1 7 28 17 18 1 1 0 1 1 0 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 15 26 2 1 28 20 1 11 8 26 24 2 26 11 24 29 28 9 3 16 27 17 6 2 7 17 9 29 3 9 11 29 13 3 15 13 25 23 13 16 21 13 26      72000      45000      21000 
5643	2658000	8 4 4 20 5 27 18 6 17 25 19 25 26 5 24 28 0 29 10 13 12 23 10 16 25 19 22 15 14 1 28 18 5 8 21 20 27 24 1 7 28 23 18 1 1 0 1 1 0 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 15 26 2 1 28 20 1 11 8 26 24 2 3 21 24 29 28 9 3 16 27 17 6 2 7 17 9 29 3 9 11 29 13 3 15 13 25 23 24 25 19 13 26      72000      24000      39000 
5841	2582000	12 27 7 17 19 27 18 28 17 25 10 25 26 5 24 28 0 29 10 13 29 23 6 16 25 0 22 15 14 1 28 25 5 5 21 5 27 24 1 7 28 23 24 1 1 0 1 1 0 1 1 0 1 1 0 1 1 4 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 2 1 25 1 1 26 2 1 28 1 20 11 8 26 15 2 3 21 24 29 28 9 3 16 27 17 6 3 8 17 9 29 3 9 11 29 13 3 15 13 25 23 13 25 19 13 26      72000      28000      35000 
6435	2505000	8 8 7 23 19 27 15 1 17 6 22 4 26 5 24 4 4 29 10 29 29 26 6 16 25 0 22 12 11 17 28 25 5 5 21 5 27 13 9 7 4 17 24 1 1 0 1 1 0 1 1 0 1 1 0 1 1 4 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 1 26 2 1 28 1 1 11 8 26 16 27 1 21 24 29 28 9 3 16 27 17 6 2 8 17 9 29 3 9 11 29 4 3 15 13 25 23 13 25 19 13 26      90000      31500      10125 
6633	2286000	8 27 4 8 19 27 12 28 17 25 26 25 26 22 15 28 4 3 10 29 29 23 6 21 19 19 13 20 14 17 28 18 5 8 21 5 27 24 1 7 4 5 24 1 1 6 1 1 0 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 1 26 2 1 28 1 1 11 8 26 24 2 7 11 24 29 28 9 3 16 27 17 6 2 7 17 9 29 3 9 11 29 13 3 15 13 25 23 24 25 21 13 26      81000      24000      22000 
6930	2180000	12 27 9 21 19 27 27 28 15 19 10 25 26 22 24 4 27 3 10 29 29 23 21 21 19 19 22 12 14 12 28 14 5 10 21 5 27 24 1 7 4 19 24 1 1 6 1 1 19 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 1 26 2 1 28 20 5 11 2 26 16 2 26 11 24 29 28 9 3 8 29 17 6 3 7 17 9 29 25 9 11 29 13 3 15 13 25 23 13 25 21 13 26      81000      21000      21000 
7029	2170000	12 27 9 27 24 27 27 28 15 7 10 25 26 22 24 4 27 3 10 29 29 23 21 21 19 19 22 12 14 12 28 14 5 10 21 5 27 24 1 7 4 19 24 1 1 6 1 1 19 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 1 26 2 1 28 20 5 11 2 26 16 2 26 11 24 29 28 9 3 8 29 17 6 3 7 17 9 29 25 9 11 29 13 3 15 13 25 23 13 25 21 13 26      81000      21000      21000 
7128	2168400	12 27 4 16 20 12 12 28 17 25 26 25 26 22 15 10 4 29 10 0 29 23 6 1 14 19 13 5 16 29 28 18 5 8 21 5 27 24 1 7 4 5 24 1 1 21 1 1 12 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 1 1 18 1 1 29 1 1 27 23 1 25 1 15 26 2 1 28 1 1 11 8 26 15 2 26 21 24 29 28 9 3 16 27 17 6 2 7 17 9 29 3 9 11 29 13 3 15 13 25 23 24 25 19 13 26      79500      24000      18600 
7623	2058800	8 27 9 19 5 29 15 28 21 4 19 25 26 22 23 19 4 29 10 29 13 23 6 5 25 19 22 28 14 8 28 9 21 5 15 5 27 23 4 7 4 7 24 1 1 21 1 1 19 1 1 0 1 1 0 1 1 12 1 1 22 1 1 20 1 1 14 1 1 24 26 1 18 1 1 29 1 1 27 23 1 25 1 15 26 2 1 28 1 1 11 8 26 24 2 7 25 2 29 28 9 3 16 27 17 6 2 8 17 9 29 3 9 11 29 13 3 15 13 25 23 13 25 21 13 26      90000      16800      13800 
