
0	10025000	4 5 23 7 26 1 15 1 1 17 1 1 28 1 1 29 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 20 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 18 1 1 21 2 1 22 2 1 27 9 1 9 9 1 9 9 1 16 9 1 25 9 1 13 9 1 6 9 1 8 9 1 14 9 1 19 9 1 19 13 11 19 13 12 19 13 24 19 13 10      20000       2500          0 
99	9979200	20 21 26 20 16 21 20 1 1 21 1 1 24 1 3 26 1 1 21 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 15 1 1 0 1 1 2 1 1 2 1 1 0 1 1 2 1 1 2 1 1 7 1 1 2 1 1 6 2 1 25 2 3 9 2 1 9 2 3 9 2 23 9 2 26 22 9 27 4 9 3 17 9 3 13 9 5 13 9 8 20 13 11 19 13 10 18 13 10 28 13 10 29 13 14      25000          0       2400 
297	9856000	4 29 5 8 11 5 12 1 1 17 1 1 15 1 1 5 27 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 23 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 20 1 1 23 1 1 0 1 1 28 1 1 22 1 1 2 1 1 2 1 1 2 1 1 2 1 1 21 1 1 9 2 1 9 1 1 9 9 27 8 1 3 16 18 16 23 9 3 6 9 22 26 9 1 24 9 10 13 9 1 25 9 1 13 13 21 19 13 19 19 13 10 26 13 14      45000          0       2000 
495	3850126	1 22 17 18 27 1 5 27 1 12 1 1 0 1 1 0 1 1 0 1 1 15 1 11 0 1 1 0 5 27 0 1 1 0 1 1 0 1 1 22 1 24 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 29 1 1 4 1 1 0 1 1 13 1 1 8 1 1 5 1 1 25 9 1 19 1 3 19 2 23 26 2 6 20 1 26 5 9 28 7 9 1 21 9 10 15 28 21 14 9 10 19 13 16 13 9 24 19 13 14     252000     102000     150000 
4356	3487000	4 3 17 11 3 24 6 22 22 10 2 9 21 21 21 18 5 6 11 1 12 29 7 28 26 7 14 19 5 27 25 24 13 1 15 20 20 1 9 8 22 20 0 1 1 0 1 1 0 1 1 24 1 1 23 1 1 29 1 1 0 1 1 0 1 1 0 1 1 29 1 1 29 1 1 0 18 1 12 20 18 5 1 1 2 1 1 28 9 27 24 1 3 26 27 23 26 17 24 13 9 27 25 12 15 25 9 1 28 9 25 29 26 23 28 21 10 25 9 16 10 16 24 19 13 14      64500      31500      58500 
4653	3380000	6 3 8 9 6 10 3 0 11 16 18 9 21 21 29 4 12 6 17 19 12 28 25 13 26 1 26 27 5 21 6 1 5 10 1 29 3 1 22 17 2 20 0 1 1 0 1 1 0 1 1 24 1 1 23 1 1 0 1 1 0 1 1 0 1 1 28 1 1 22 1 1 29 1 1 0 1 1 12 1 18 5 2 1 2 1 1 28 9 27 24 1 3 26 27 23 26 2 17 3 9 27 5 9 15 25 9 27 28 9 25 29 25 15 28 22 7 25 9 16 19 9 24 19 13 14      63000          0      90000 
4752	3222000	4 3 17 11 3 24 6 22 22 10 2 27 21 21 21 18 5 6 11 1 12 29 7 28 26 7 14 19 5 27 25 24 13 1 15 20 20 1 9 8 22 20 0 1 1 0 1 1 0 1 1 24 1 1 23 1 1 29 1 1 0 1 1 0 1 1 0 1 1 29 1 1 29 1 1 0 18 1 12 20 18 5 1 1 2 1 1 28 9 27 24 1 3 26 27 23 26 17 24 13 9 27 25 12 15 25 9 1 28 9 25 29 26 23 28 21 10 25 9 16 10 16 24 19 13 14      67500      31500      49500 
5346	3078000	6 3 17 4 26 24 6 20 24 16 27 21 6 17 11 18 3 5 7 11 16 25 7 28 25 27 28 15 5 21 11 22 13 21 26 14 2 1 22 8 23 21 0 1 1 0 1 1 0 1 1 24 1 1 23 1 1 29 1 1 20 1 1 0 1 1 0 1 1 29 12 1 29 1 1 0 22 1 7 1 18 12 1 1 18 1 1 28 8 27 24 1 3 26 27 23 26 2 14 18 9 26 25 9 28 25 9 27 28 7 25 29 26 3 28 15 10 25 9 10 19 9 24 19 13 14      63000      45000      36000 
5841	2748000	17 3 20 4 6 13 21 22 22 16 27 17 8 17 15 12 1 12 7 11 8 28 15 1 25 10 5 27 19 6 11 22 6 21 11 1 28 1 22 8 27 3 0 1 1 0 1 1 0 1 1 24 1 1 23 1 1 29 1 1 20 1 1 14 1 1 0 1 1 29 1 1 29 1 1 0 22 1 7 1 18 5 1 1 2 1 1 28 17 27 24 1 3 26 27 23 26 4 4 15 9 27 5 9 28 18 9 27 28 13 25 29 26 23 28 21 10 25 9 10 10 13 24 19 13 14      93500      20000      21500 
6831	2706000	15 3 26 11 3 3 6 16 24 26 12 17 21 19 22 18 11 10 17 21 17 16 7 28 26 8 8 23 24 27 5 25 1 21 8 14 3 2 26 12 22 15 10 1 1 0 1 1 0 1 7 24 1 1 23 1 1 29 1 1 20 1 1 4 1 1 0 1 1 22 1 1 29 1 1 0 18 1 7 20 18 25 1 1 2 1 1 28 8 27 24 1 14 29 27 23 26 2 27 13 9 26 25 12 15 25 9 27 28 7 25 29 26 3 28 21 10 25 9 16 19 9 24 19 13 14      70000      20000      46750 
