
0	25157000	21 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 2 3 1 1 2 4 1 1 2 4 1 5 5 4 1 5 5 4 4 43 5 5 4 6 5 17 4 6 6 16 4 6 42 40 4 45 7 46 6 11 7 10 6 11 7 28 8 11 11 14 8 11 11 18 10 11 11 22 10 11 11 22 10 11 11 22 10 11 11 38 10 11 15 25 10 11 39 25 11 11 23 25 14 23 23 34 14 23 23 27 14 29 23 27 22 26 26 30 25 26 26 12 25 26 26 19 25 26 26 13 25 26 26 49 25 26 26 36 25 26 20 35 25 31 31 44 32 24 31 44 32 41 33 48 36 33 33 47 36 37 33     137000          0          0      32500 
99	20955800	15 21 2 2 0 35 1 2 1 1 2 5 49 1 46 5 3 2 1 5 38 4 1 5 41 46 1 5 48 4 5 5 6 4 5 5 6 48 5 5 10 6 6 5 9 8 6 5 14 8 39 5 10 10 43 5 22 10 18 5 19 10 11 11 25 10 11 5 25 10 11 11 25 10 11 39 22 10 11 7 25 22 11 11 25 22 14 11 25 14 14 9 27 14 24 11 35 22 20 23 29 25 23 11 32 25 26 23 32 25 23 23 33 30 40 23 42 30 43 13 45 30 31 24 36 30 26 24 36 32 49 26 16 32 12 26 44 32 31 26 44 32 34 26 37 36 31 28 17 36 31 28 47 36 29 28 47 44 34 34     243000     135000     225000     126000 
594	19691800	15 16 1 13 0 46 20 21 31 0 1 31 1 46 46 25 48 1 9 2 49 3 1 2 35 4 49 3 27 38 28 5 20 4 5 5 43 48 18 18 28 6 5 6 5 8 6 7 10 8 39 7 10 10 43 5 22 6 7 17 19 10 24 7 10 10 7 5 10 10 11 11 40 10 11 11 43 10 12 12 25 10 11 14 10 14 12 11 25 22 14 11 25 22 11 11 42 22 20 39 42 16 22 11 32 25 15 23 32 22 23 23 41 30 40 26 42 25 26 26 45 25 31 26 36 30 28 23 36 30 33 26 44 33 12 16 46 30 26 30 47 32 30 39 38 37 17 18 36 32 33 33 29 36 29 28 47 36 37 34     265500      72000     153000     207000 
693	10293960	41 31 1 24 8 1 1 2 3 1 2 0 49 1 1 5 9 1 2 5 38 1 1 11 27 46 1 26 39 4 49 2 6 45 37 5 4 4 5 6 10 6 6 5 9 8 6 5 14 16 39 5 28 41 43 5 35 6 18 7 19 4 5 12 10 10 12 7 9 10 11 11 25 10 11 7 22 10 12 11 42 10 11 12 25 22 14 11 25 29 21 9 42 22 17 23 15 10 20 48 25 25 23 11 25 25 23 23 48 22 23 24 38 25 23 23 42 22 23 13 39 25 26 26 13 30 26 24 13 30 49 26 16 32 26 26 40 25 33 32 44 30 31 31 47 36 33 18 45 36 34 34 30 36 43 37 47 36 37 37     265000     243000     135000      72500 
2673	9652800	46 14 16 28 16 38 11 43 18 36 8 0 49 1 1 38 9 1 5 2 34 22 19 47 46 4 2 39 35 4 5 41 6 45 23 5 4 48 34 3 38 8 8 5 4 8 48 42 14 10 41 7 29 4 19 5 6 39 35 7 21 6 11 46 46 19 19 7 10 10 11 11 35 10 11 7 13 8 12 11 17 10 11 12 22 22 18 11 25 27 14 15 40 14 48 20 42 22 11 49 43 12 14 24 30 35 15 23 32 22 35 26 41 30 40 49 27 25 26 26 45 25 41 26 49 25 26 24 13 12 26 19 16 30 32 26 48 32 33 31 44 32 30 31 37 36 42 28 45 36 33 39 29 36 33 37 47 36 37 33     238500      45000      27000     135000 
3366	8557300	17 14 16 1 8 12 11 21 41 36 8 0 0 1 1 38 9 1 5 2 34 48 19 13 46 4 1 39 35 4 5 5 20 45 23 5 4 48 34 3 38 18 8 5 5 8 48 42 14 19 41 7 29 4 19 38 6 39 35 7 21 6 11 46 46 19 19 7 46 10 11 9 34 10 11 39 20 8 40 11 43 10 11 12 22 22 18 11 25 28 14 15 40 14 48 20 42 22 20 48 43 12 14 24 30 22 15 23 32 22 23 26 41 25 40 49 27 25 26 28 45 25 41 26 49 25 26 24 18 12 49 27 16 30 32 26 44 32 33 31 44 32 30 31 47 36 42 37 45 36 33 39 29 36 33 37 47 36 37 34     168750      50000      69000     130000 
3861	7493800	39 28 46 1 34 12 16 34 38 12 8 0 49 12 23 48 18 16 26 2 34 34 45 3 46 4 1 23 27 38 9 41 19 48 23 5 31 48 49 3 28 8 41 6 46 20 6 12 14 16 1 7 38 6 19 5 6 39 35 7 21 6 5 46 46 10 39 8 13 10 11 9 35 10 11 39 28 8 0 11 43 10 11 12 22 22 29 11 17 27 12 15 27 19 48 20 42 22 24 37 43 12 14 24 29 22 15 23 48 22 35 29 41 30 40 49 42 25 4 26 45 13 41 23 49 25 26 24 13 30 26 19 44 33 32 31 44 32 48 31 44 32 30 31 47 33 40 37 17 36 33 39 47 36 33 37 47 36 34 37     135000      87750     112500      56250 
4752	5093800	39 18 4 0 8 12 16 34 18 12 31 0 9 12 24 34 18 11 37 2 34 22 45 47 46 20 1 3 27 28 5 30 19 45 23 5 17 25 29 13 38 1 41 6 46 20 7 28 14 32 1 7 38 6 19 5 30 39 35 7 48 11 5 46 27 19 39 8 13 28 36 11 35 10 6 39 20 27 36 11 43 22 7 27 35 22 13 12 48 0 12 47 40 19 21 29 10 22 44 28 25 28 49 24 43 30 15 23 48 22 23 15 41 25 40 49 42 25 26 22 45 25 41 26 49 25 26 24 0 30 49 19 44 30 32 22 44 32 48 31 44 32 37 31 47 33 42 37 28 36 33 39 47 36 33 37 47 29 32 22     135000       9000     135000      54000 
6534	4038300	9 18 9 49 21 49 16 43 23 14 31 0 3 12 30 34 46 1 18 2 34 22 3 41 44 16 30 42 23 28 5 5 31 45 26 21 17 15 29 13 38 8 41 18 29 20 7 28 40 32 1 4 38 6 31 49 39 39 35 7 48 24 5 46 46 19 14 7 13 28 36 9 35 10 11 39 20 27 16 11 43 22 29 45 35 22 13 11 48 0 42 12 40 10 21 29 27 34 20 28 43 14 14 41 43 30 15 42 48 26 29 15 41 25 40 49 42 25 37 22 45 22 41 26 49 25 26 24 0 30 49 19 44 37 32 22 44 32 48 31 33 32 14 31 47 33 42 26 16 36 33 39 47 36 33 37 47 36 34 37     135000      94500       2250      76500 
7029	3297800	3 29 46 40 8 31 25 43 44 16 24 21 9 38 13 34 0 14 25 2 28 26 45 39 39 12 47 43 27 32 48 47 5 45 14 39 20 0 34 32 38 8 5 5 46 20 6 16 49 2 1 15 38 6 19 38 16 39 17 2 21 6 41 46 46 10 43 7 23 10 36 31 35 10 6 7 30 27 22 11 43 10 11 27 10 47 36 11 48 28 12 12 40 19 18 39 42 22 20 28 29 14 49 24 30 22 15 23 48 27 35 29 41 25 40 31 42 25 4 26 45 25 41 23 49 25 26 24 13 30 49 27 9 39 32 22 44 32 48 31 44 32 37 31 47 30 42 37 28 36 33 34 29 36 33 37 47 36 34 37      93000      15000     135000      45000 
9207	2818360	8 28 40 31 49 3 9 28 38 14 47 21 17 12 0 34 18 4 2 2 25 48 45 12 11 20 30 13 43 45 31 47 15 45 23 49 7 18 34 29 38 8 5 5 46 8 6 16 14 36 1 15 38 37 19 38 10 39 3 7 48 6 5 46 46 19 39 22 26 10 17 11 35 10 27 39 20 13 16 23 36 22 29 27 37 22 18 11 36 39 12 46 40 19 21 29 37 22 24 28 43 14 32 24 43 0 15 23 48 27 35 25 41 25 40 49 42 25 4 22 45 25 41 26 49 25 26 24 13 39 49 27 44 37 32 20 44 32 48 31 44 32 30 31 47 33 42 41 28 23 33 39 47 48 33 37 47 29 34 22     111480      18240     113520      32160 
12474	2279300	8 48 40 33 46 33 9 28 4 3 49 15 0 12 0 42 19 34 29 8 21 32 45 34 9 48 39 43 37 45 26 30 17 45 31 42 49 33 34 23 38 8 41 5 46 8 6 16 14 2 1 15 38 4 18 38 27 39 17 7 21 6 5 43 46 38 39 7 10 28 36 17 35 16 6 31 20 13 16 23 43 10 11 27 35 22 18 11 48 39 12 12 40 19 11 29 37 31 24 47 43 14 49 24 30 22 15 23 48 22 35 25 41 25 40 49 42 29 26 20 45 25 41 23 49 25 26 24 13 24 49 27 44 37 32 20 44 32 48 31 44 32 30 31 47 33 42 41 28 36 18 39 47 36 33 37 47 36 34 29      97500      54000      63750      45000 
12771	2158300	41 38 23 42 8 42 40 15 49 3 32 47 37 9 20 34 9 1 47 28 21 46 45 34 49 45 17 13 27 45 26 47 17 30 23 18 32 18 34 29 38 8 41 21 46 20 6 16 14 2 43 15 38 37 19 22 10 33 3 7 48 26 5 46 46 19 39 7 47 28 36 11 35 10 6 39 20 24 16 48 43 10 11 27 35 0 18 44 48 39 12 12 40 19 21 29 27 22 49 28 43 14 49 24 43 30 15 23 48 22 35 29 30 25 40 31 42 25 4 22 45 25 41 38 49 25 26 24 13 39 49 27 44 14 48 31 44 32 48 31 44 32 30 31 47 33 42 37 28 36 33 39 29 36 33 37 47 36 13 34      69750      49500      81000      54000 
13464	1938550	9 35 46 35 8 3 47 12 23 15 42 47 19 12 26 34 7 28 47 43 21 46 45 34 24 16 30 43 27 45 22 11 17 45 6 36 49 18 34 28 0 48 41 38 40 20 6 16 14 2 1 15 38 4 19 22 31 39 21 39 48 26 5 46 46 48 39 7 10 15 36 17 35 10 27 39 20 13 16 23 38 37 11 43 32 38 42 11 41 39 12 47 40 19 18 34 37 49 44 28 43 14 49 31 30 22 29 44 48 23 35 25 43 25 40 15 17 25 4 7 45 42 41 37 49 25 26 24 13 24 49 27 9 37 32 31 44 18 48 31 44 32 30 31 47 33 42 37 28 36 33 39 29 36 33 37 47 36 34 29      94500      54000      81000      23625 
14157	1875800	20 41 11 21 23 2 24 15 4 3 47 15 37 12 26 0 18 32 48 10 21 9 45 34 24 39 9 43 27 23 22 36 18 45 49 31 17 43 34 13 38 8 42 5 46 8 6 40 14 2 1 15 38 45 18 22 16 33 21 17 48 6 5 46 46 19 39 7 47 28 36 17 35 10 40 31 20 13 16 48 43 10 11 44 35 38 42 11 41 39 12 12 40 19 21 34 27 49 24 28 43 46 49 30 30 22 29 44 48 27 35 25 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 46 13 26 49 45 14 37 32 31 44 32 48 48 44 32 30 31 47 33 42 37 28 36 33 39 29 36 33 37 47 47 34 38      76500      55375      61750      52500 
20097	1839800	20 9 11 14 23 40 24 14 18 3 47 15 37 12 26 3 36 9 5 22 21 23 29 34 4 39 34 42 32 23 22 34 39 45 49 9 17 45 34 13 38 44 42 4 46 8 6 40 0 2 1 15 38 45 18 22 16 33 48 17 48 19 5 46 46 19 39 31 47 28 36 17 35 10 6 31 20 24 16 48 43 10 11 27 35 38 18 11 41 49 12 12 40 31 21 43 27 7 24 28 43 46 49 30 30 22 15 44 48 27 35 25 41 19 40 49 42 25 29 7 45 25 41 8 49 25 26 10 13 26 49 45 14 37 32 31 44 49 48 48 44 32 30 31 47 33 42 37 28 36 33 39 29 36 33 37 47 47 34 42      92750      55000      60250      39500 
20394	1731800	20 38 11 20 43 44 24 15 23 39 38 30 37 12 26 0 18 32 48 10 13 9 45 36 32 31 49 43 27 23 17 9 37 45 29 9 8 19 34 28 47 48 42 47 3 8 6 40 14 2 1 15 38 45 18 22 16 33 21 17 48 6 5 46 46 46 39 7 47 47 36 17 35 10 40 31 20 44 16 48 43 10 11 27 35 38 28 36 41 39 12 39 40 19 21 49 27 22 24 28 43 46 49 30 30 22 15 44 48 34 35 25 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 24 13 26 49 46 14 37 4 31 44 32 48 41 44 32 30 31 47 33 42 37 28 36 33 31 29 36 33 37 47 22 34 34      69000      50000      81000      45000 
21681	1730400	48 39 11 20 44 44 24 0 28 49 47 26 37 46 26 12 46 32 38 10 27 48 45 47 24 41 39 43 23 23 17 15 45 15 49 9 3 2 34 13 38 8 42 5 46 8 6 40 14 2 1 29 38 45 18 49 16 33 21 17 4 6 5 31 46 19 39 7 47 28 36 17 35 10 6 31 20 9 16 48 43 10 11 27 35 22 18 36 41 42 12 12 40 19 21 43 27 22 24 28 43 30 20 40 30 22 15 49 48 34 35 25 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 28 13 30 49 27 14 37 32 31 44 32 48 48 44 32 30 31 47 33 42 37 36 36 33 39 29 38 33 37 47 47 34 34      76500      50400      67500      49500 
26334	1606800	48 15 11 20 39 23 49 0 28 9 47 40 37 1 44 20 46 32 38 31 27 3 45 4 24 5 39 13 23 13 17 35 45 15 49 9 30 19 34 47 38 8 42 5 46 8 6 40 14 2 16 29 38 45 18 49 16 33 21 4 48 6 29 46 46 19 39 7 47 28 36 17 35 10 10 31 20 44 49 48 43 10 11 17 35 22 18 36 41 42 12 12 40 43 21 43 27 22 24 28 43 21 37 40 30 22 15 24 48 34 35 25 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 28 13 26 49 27 14 37 32 31 44 32 48 41 44 32 30 31 47 33 42 37 36 36 33 39 26 38 33 12 47 47 34 34      74250      54000      67500      47250 
28116	1563800	4 36 11 20 44 29 19 46 28 31 26 48 37 1 26 48 12 8 44 36 47 5 45 21 24 43 39 43 23 32 17 15 42 41 49 9 3 9 34 20 38 8 42 42 46 39 6 40 14 2 38 15 38 45 18 49 16 33 21 17 48 6 5 45 46 46 39 7 47 28 36 17 35 10 49 31 20 13 16 48 43 10 11 27 35 22 18 36 41 45 12 27 40 19 21 10 27 22 24 37 43 30 0 40 30 22 15 49 48 34 35 25 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 24 13 18 49 27 14 37 32 31 44 32 48 48 44 32 30 31 47 33 23 37 28 36 33 39 29 38 33 37 47 47 34 34      76500      54000      63000      45000 
41283	1546300	4 36 11 20 44 29 19 46 28 42 26 37 35 1 26 48 12 8 36 16 47 5 45 21 24 22 39 0 23 32 17 15 43 25 26 9 3 9 34 31 38 8 42 42 46 39 6 40 14 2 38 15 38 45 18 49 16 33 21 17 48 6 5 45 46 46 39 7 47 28 36 17 35 10 49 31 20 13 16 48 43 10 11 41 35 49 18 36 41 45 12 27 40 19 21 10 27 22 24 11 43 39 33 40 30 22 15 49 48 34 30 30 41 19 40 49 42 25 29 7 45 25 41 23 49 25 26 24 13 18 49 27 14 37 32 31 44 32 48 48 44 32 44 31 47 33 23 37 28 36 33 39 29 38 33 37 47 47 34 34      82000      51250      48750      58250 
43857	1534200	4 36 11 43 44 29 19 41 28 26 9 26 37 1 12 34 12 29 44 36 47 5 32 15 24 22 39 43 23 10 34 17 33 31 26 11 3 9 39 20 38 8 42 42 46 39 6 40 14 2 38 15 38 45 18 49 16 46 21 17 48 6 5 45 46 46 39 7 47 28 36 17 35 10 49 31 20 13 16 48 43 42 11 27 35 38 18 36 41 45 8 27 40 19 21 10 27 22 24 37 43 30 0 40 30 22 15 45 48 21 35 25 41 19 40 49 42 25 29 7 45 25 30 23 49 25 26 24 13 18 49 31 14 37 32 31 44 32 48 48 49 32 30 48 47 33 23 37 28 36 44 39 29 32 33 33 47 47 34 34      85650      50400      49800      53700 
62172	1501800	4 36 11 43 44 29 19 41 28 26 9 26 37 1 12 34 12 29 44 36 47 5 32 15 24 22 39 34 23 10 34 17 33 31 17 11 3 9 39 20 38 8 42 42 46 39 6 40 14 2 26 15 38 45 18 49 16 46 21 16 48 6 5 45 46 46 39 7 47 28 36 17 35 10 49 31 20 13 16 48 43 42 11 27 35 38 18 36 41 45 8 27 40 19 21 10 27 22 24 37 43 30 0 40 30 22 15 45 48 21 35 25 41 19 40 49 42 25 43 7 45 25 30 23 49 25 26 24 13 18 49 31 14 37 32 31 44 32 48 48 49 32 49 48 47 33 23 37 28 36 44 39 29 32 33 33 47 47 34 34      87500      53000      48500      50500 
71280	1497800	4 23 11 43 44 29 19 41 28 26 9 26 37 1 12 34 12 29 44 36 47 5 32 15 24 8 39 24 38 25 34 17 33 24 41 11 3 9 39 20 38 16 42 42 46 39 6 40 14 2 26 15 38 45 18 49 16 46 21 17 48 6 5 49 46 46 39 7 47 28 36 17 35 10 49 31 20 13 16 48 43 42 11 27 35 22 18 36 41 45 8 27 40 19 21 10 27 22 10 37 43 30 0 40 30 22 15 45 48 21 35 25 41 19 40 49 42 34 43 7 45 25 30 23 49 25 26 36 13 18 49 31 14 37 32 31 44 20 48 48 49 32 31 48 47 33 23 37 28 36 44 39 29 32 33 33 47 47 34 34      84000      56000      49000      50000 
0	24878000	29 37 1 1 0 1 1 1 2 1 1 3 38 1 1 3 5 3 3 5 39 4 3 5 49 4 3 17 6 4 3 18 10 4 3 19 10 4 3 7 10 5 5 7 10 20 7 7 13 9 7 7 41 10 7 7 14 10 7 8 22 10 7 9 22 10 7 21 22 10 8 40 22 10 8 12 22 10 9 12 23 14 9 12 23 14 9 12 34 14 12 12 25 14 12 46 25 22 12 15 25 22 12 24 42 25 24 24 43 25 24 24 32 25 24 24 32 25 24 24 16 35 26 26 36 27 26 26 36 30 26 26 36 32 26 26 44 32 26 26 44 48 27 26 45 36 31 28 47 36 31 31 47 36 33 33 47 36 33 33     100000          0          0      32500 
99	24700000	17 1 19 1 15 1 1 2 0 1 1 1 3 1 1 2 41 1 1 2 4 1 1 2 4 1 18 2 12 1 1 43 4 1 5 5 6 1 5 5 45 4 5 5 18 4 5 5 40 4 5 5 39 4 5 5 10 5 5 5 10 8 5 5 14 9 12 5 49 9 9 28 24 4 9 7 22 10 11 35 22 10 11 11 46 10 11 11 25 10 11 11 25 10 21 20 25 22 12 23 25 10 12 12 32 14 23 14 32 25 14 14 27 25 14 13 30 25 42 26 32 25 26 19 33 25 26 23 16 30 26 31 36 25 26 23 21 32 26 34 44 33 31 26 38 36 19 34 44 36 31 34 47 36 48 34 47 36 37 34     132500          0        500      46000 
297	21878000	42 6 1 1 33 1 1 1 41 17 1 35 49 30 1 28 35 3 1 29 0 1 1 3 21 1 5 2 9 4 2 5 4 25 5 24 48 4 27 5 26 33 5 7 46 33 7 7 8 4 32 7 19 5 6 5 31 6 11 11 10 29 23 29 49 4 11 49 13 6 6 32 14 22 18 48 16 6 11 11 15 23 38 35 22 10 11 11 20 46 11 11 39 22 26 43 25 22 29 23 34 23 8 23 29 22 15 32 49 22 14 15 12 22 23 23 41 25 26 23 30 25 26 2 17 22 35 34 32 25 19 26 48 25 30 31 47 32 33 31 36 32 31 48 46 32 34 26 36 23 32 34 45 36 34 33 40 44 36 6     140000       5000          0      35000 
396	18835800	0 16 41 1 13 1 1 1 0 1 1 2 29 13 6 2 46 3 1 24 4 4 39 2 4 4 43 2 5 4 1 5 48 5 5 3 40 4 5 3 44 4 21 5 10 5 7 7 49 4 8 7 35 8 46 5 10 18 5 11 10 14 7 7 14 10 7 11 38 10 13 11 22 10 10 11 22 22 42 11 16 11 11 11 38 24 11 11 20 18 23 11 22 22 48 12 20 25 24 11 25 22 15 15 9 39 22 24 25 14 26 23 12 48 23 17 27 25 26 23 45 30 49 23 41 23 49 23 8 32 28 26 36 32 19 27 47 30 39 26 36 30 31 31 21 33 32 33 42 20 34 34 42 36 17 34 47 36 37 34     243000     193250     225000      13750 
