
0	25157000	21 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 2 3 1 1 2 4 1 1 2 4 1 5 5 4 1 5 5 4 4 43 5 5 4 6 5 17 4 6 6 16 4 6 42 40 4 45 7 46 6 11 7 10 6 11 7 28 8 11 11 14 8 11 11 18 10 11 11 22 10 11 11 22 10 11 11 22 10 11 11 38 10 11 15 25 10 11 39 25 11 11 23 25 14 23 23 34 14 23 23 27 14 29 23 27 22 26 26 30 25 26 26 12 25 26 26 19 25 26 26 13 25 26 26 49 25 26 26 36 25 26 20 35 25 31 31 44 32 24 31 44 32 41 33 48 36 33 33 47 36 37 33     137000          0          0      32500 
99	20955800	15 21 2 2 0 35 1 2 1 1 2 5 49 1 46 5 3 2 1 5 38 4 1 5 41 46 1 5 48 4 5 5 6 4 5 5 6 48 5 5 10 6 6 5 9 8 6 5 14 8 39 5 10 10 43 5 22 10 18 5 19 10 11 11 25 10 11 5 25 10 11 11 25 10 11 39 22 10 11 7 25 22 11 11 25 22 14 11 25 14 14 9 27 14 24 11 35 22 20 23 29 25 23 11 32 25 26 23 32 25 23 23 33 30 40 23 42 30 43 13 45 30 31 24 36 30 26 24 36 32 49 26 16 32 12 26 44 32 31 26 44 32 34 26 37 36 31 28 17 36 31 28 47 36 29 28 47 44 34 34     243000     135000     225000     126000 
594	19691800	15 16 1 13 0 46 20 21 31 0 1 31 1 46 46 25 48 1 9 2 49 3 1 2 35 4 49 3 27 38 28 5 20 4 5 5 43 48 18 18 28 6 5 6 5 8 6 7 10 8 39 7 10 10 43 5 22 6 7 17 19 10 24 7 10 10 7 5 10 10 11 11 40 10 11 11 43 10 12 12 25 10 11 14 10 14 12 11 25 22 14 11 25 22 11 11 42 22 20 39 42 16 22 11 32 25 15 23 32 22 23 23 41 30 40 26 42 25 26 26 45 25 31 26 36 30 28 23 36 30 33 26 44 33 12 16 46 30 26 30 47 32 30 39 38 37 17 18 36 32 33 33 29 36 29 28 47 36 37 34     265500      72000     153000     207000 
693	10293960	41 31 1 24 8 1 1 2 3 1 2 0 49 1 1 5 9 1 2 5 38 1 1 11 27 46 1 26 39 4 49 2 6 45 37 5 4 4 5 6 10 6 6 5 9 8 6 5 14 16 39 5 28 41 43 5 35 6 18 7 19 4 5 12 10 10 12 7 9 10 11 11 25 10 11 7 22 10 12 11 42 10 11 12 25 22 14 11 25 29 21 9 42 22 17 23 15 10 20 48 25 25 23 11 25 25 23 23 48 22 23 24 38 25 23 23 42 22 23 13 39 25 26 26 13 30 26 24 13 30 49 26 16 32 26 26 40 25 33 32 44 30 31 31 47 36 33 18 45 36 34 34 30 36 43 37 47 36 37 37     265000     243000     135000      72500 
2772	9358800	20 10 34 13 3 31 34 45 38 42 19 11 24 1 49 0 31 11 1 2 18 1 2 44 46 1 1 24 20 4 49 34 17 14 44 42 16 3 13 4 27 28 7 5 5 6 0 7 0 6 39 49 21 18 19 38 38 6 9 7 48 8 18 46 35 10 12 27 10 8 11 11 14 10 11 11 16 10 0 11 11 43 11 41 40 22 11 11 48 29 12 29 27 22 17 40 42 22 17 24 15 14 49 20 25 22 23 23 32 40 35 35 27 25 23 37 43 25 23 26 45 27 0 41 36 15 26 28 24 12 49 26 49 36 26 31 32 32 31 48 44 30 30 39 47 37 40 44 38 32 35 39 47 36 34 33 47 36 33 37     135000      90000      99000     112500 
3069	9278800	20 30 34 48 34 31 41 45 38 42 47 2 24 1 49 28 31 14 1 2 18 20 2 22 44 19 27 3 20 4 49 34 43 46 7 42 16 48 13 4 27 28 6 5 5 6 17 7 6 6 39 49 21 41 20 21 38 6 9 7 48 8 17 46 46 16 12 27 10 8 11 12 14 10 11 11 16 10 0 11 11 43 11 41 40 22 11 11 41 29 12 29 27 22 48 24 42 22 17 24 15 14 49 20 25 19 15 24 32 25 35 35 38 25 23 37 43 25 23 26 45 25 0 41 36 15 26 28 13 12 49 26 49 33 26 26 32 25 31 48 44 32 30 39 47 36 40 44 38 32 35 28 47 33 33 33 47 36 33 37     135000      75000     114000     112500 
3267	7838800	19 42 47 19 16 48 34 8 30 48 47 31 46 34 19 0 31 4 44 16 3 1 1 39 21 1 1 24 11 43 19 14 9 30 5 42 17 17 6 34 27 28 7 5 20 6 7 37 0 4 7 49 21 18 38 38 49 5 9 7 48 6 5 46 35 42 12 49 21 8 11 40 25 20 7 39 22 10 12 0 48 10 7 41 22 22 12 11 25 14 12 29 27 10 48 11 42 22 15 15 43 14 22 41 25 25 15 23 13 25 16 35 27 25 40 37 43 25 23 28 45 27 26 26 15 15 26 28 13 32 49 47 49 30 26 26 2 25 26 48 44 30 30 39 47 18 40 44 45 32 35 45 47 36 34 33 47 36 33 34      63000     112500      36000     189000 
4455	6225300	19 42 47 22 3 9 2 8 31 48 47 31 46 34 19 22 31 4 16 29 17 29 1 44 21 19 1 24 18 43 19 14 9 46 5 42 31 17 13 38 17 28 7 5 20 6 17 37 5 6 39 49 21 18 32 38 22 5 9 7 48 8 5 46 9 42 12 27 0 8 2 40 14 20 7 39 16 10 12 29 48 43 11 41 28 22 14 11 48 14 14 29 27 10 48 24 42 22 17 15 43 23 49 41 25 25 23 35 13 40 16 13 38 25 40 37 42 25 14 28 45 25 18 24 15 15 26 26 13 30 49 26 49 30 26 31 32 25 30 48 44 30 38 39 47 36 40 44 45 32 35 45 47 36 43 33 47 36 33 34      67500      76500      83250     130500 
5148	5500800	19 2 6 42 16 9 1 27 31 13 41 43 25 34 46 16 19 4 0 9 3 34 1 17 46 19 22 24 18 43 19 34 6 30 44 42 31 17 13 39 28 23 7 5 4 20 7 5 0 6 7 49 21 18 32 38 13 5 45 7 48 8 5 46 35 10 12 49 0 8 11 40 14 20 12 39 32 10 12 11 48 43 11 35 28 22 12 11 48 14 12 29 27 10 48 11 18 22 17 24 15 14 49 20 25 25 23 43 45 15 16 21 38 30 40 37 42 25 23 26 45 27 26 41 36 15 26 28 24 32 49 47 44 35 45 31 36 37 30 48 44 30 34 39 47 37 40 44 45 32 35 39 47 36 34 33 47 36 33 34      54000      58500      47250     180000 
6435	5105800	6 45 6 22 19 5 8 36 31 13 47 7 25 16 46 24 10 2 47 16 25 1 1 4 18 2 27 2 24 32 23 45 39 30 44 42 31 17 0 3 28 23 7 21 20 6 3 38 42 6 44 49 13 18 32 38 13 5 9 7 48 3 5 46 46 42 12 49 0 8 2 40 31 20 12 39 16 10 12 12 48 43 11 41 39 19 14 11 48 14 12 29 27 10 48 11 18 22 17 15 43 14 49 20 25 25 23 43 13 40 16 35 38 0 40 37 43 25 29 28 45 35 26 41 27 30 26 28 24 32 49 26 44 19 45 31 46 25 30 48 44 30 34 19 47 33 40 28 45 32 35 45 47 36 34 33 47 36 33 37      45000      45000     103500     135000 
7524	3900200	9 34 37 18 0 39 31 46 31 15 47 43 6 16 46 16 27 1 47 4 4 1 18 17 39 44 27 47 47 40 2 29 9 30 44 42 23 17 13 3 28 9 7 21 20 6 33 5 5 6 7 49 21 1 32 38 49 5 9 7 48 8 5 46 35 42 24 49 0 8 11 40 43 20 12 39 16 10 12 29 48 43 11 41 39 22 14 11 48 14 12 29 21 10 48 11 42 22 17 24 15 5 49 41 28 25 23 43 13 40 16 35 38 38 40 37 42 25 23 26 45 35 18 41 27 25 26 28 24 32 49 47 45 19 26 31 36 37 30 48 44 30 34 19 47 37 40 44 45 32 35 45 47 36 34 33 47 36 33 37      61200      81900      64800      89100 
8217	3771800	38 2 47 18 21 19 31 25 31 15 24 43 48 16 36 19 45 2 24 8 4 3 18 17 30 2 28 14 40 43 4 14 9 46 1 42 23 35 13 9 28 23 6 21 20 18 33 37 42 6 44 49 21 18 32 38 49 5 9 7 48 8 18 46 35 42 24 49 0 8 2 40 43 20 12 39 16 10 12 29 48 47 11 41 39 22 12 11 48 14 12 29 27 10 48 24 49 22 17 24 15 23 49 41 25 25 23 35 13 15 23 35 38 30 23 37 42 36 23 26 45 27 26 41 27 15 26 28 13 32 49 47 40 35 45 31 46 37 30 48 44 30 34 39 44 29 40 44 45 32 35 45 47 36 34 33 47 36 33 34      63000      81000      54000      99000 
9306	3712800	38 2 47 18 21 19 31 25 31 15 24 43 48 16 36 19 45 2 24 8 4 3 18 17 30 20 28 33 40 43 4 14 9 46 1 42 23 35 13 9 28 23 6 21 20 18 33 37 42 6 44 49 21 18 32 38 49 5 9 7 48 8 18 46 35 42 24 49 0 8 2 40 43 20 12 39 16 10 12 29 48 47 11 41 39 22 12 11 48 14 12 29 27 10 48 24 49 22 17 24 15 23 49 41 25 25 23 35 13 15 23 35 38 30 23 37 42 36 23 26 45 27 26 41 27 15 26 28 13 32 49 47 40 35 45 31 46 37 30 48 44 30 34 39 44 29 40 44 45 32 35 45 47 36 34 33 47 36 33 34      62500      81000      53500     100000 
10296	3690800	38 1 3 19 16 16 31 25 36 15 47 43 24 18 45 19 45 2 4 44 13 31 38 44 30 43 2 14 27 43 3 17 9 46 5 40 21 39 8 9 28 23 22 21 20 6 33 37 42 6 39 49 21 18 32 38 49 5 9 7 48 8 5 46 35 10 32 49 0 42 2 40 43 20 12 39 16 10 12 29 48 47 21 41 39 22 12 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 43 13 15 23 35 38 30 23 37 42 36 23 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 29 40 44 45 32 35 45 47 36 34 33 47 36 33 34      57000      67500      40500     126000 
10791	3656800	38 1 3 19 16 16 31 25 36 15 47 43 24 18 45 19 45 2 4 44 13 31 38 44 30 43 2 14 27 28 3 17 9 46 5 40 21 39 8 9 28 23 22 21 20 6 33 37 42 6 39 49 21 18 32 38 49 5 9 7 48 8 5 46 35 10 32 49 0 42 2 40 43 20 12 39 16 10 12 29 48 47 21 41 39 22 12 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 43 13 15 23 35 38 30 23 37 42 36 23 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 29 40 44 45 32 35 45 47 36 34 33 47 36 33 34      57000      67500      40500     126000 
11187	3247800	38 2 3 19 16 16 31 25 36 15 1 43 1 32 45 19 49 27 4 44 13 31 18 17 30 44 26 14 27 43 10 17 44 46 5 40 21 35 8 9 28 23 22 21 20 6 33 37 5 6 7 49 21 18 32 38 49 42 9 7 48 47 18 46 46 42 1 49 0 8 2 40 43 20 12 39 16 10 12 29 48 47 21 41 39 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 45 47 36 34 33 47 36 33 34      54000      49500      54000     126000 
13464	3011800	38 19 3 31 16 16 31 25 31 15 1 43 24 43 45 19 3 27 4 44 4 31 47 48 1 21 26 44 11 43 10 17 6 46 1 10 23 35 8 9 28 23 3 21 28 6 33 37 5 6 39 49 21 18 32 38 49 49 13 7 48 8 18 46 38 42 1 49 0 42 2 40 43 20 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 46 45 47 36 34 33 47 36 33 34      45000      77500      57500      99000 
14850	2979800	38 19 3 31 16 16 31 25 31 15 15 43 24 43 45 19 3 27 4 44 4 33 47 48 1 21 26 44 11 43 10 17 6 46 12 10 23 35 8 9 28 23 3 21 28 6 33 37 5 6 39 49 21 18 32 38 49 49 13 7 48 8 18 46 38 42 1 49 0 42 2 40 43 20 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 46 45 47 36 34 33 47 36 33 34      45000      80000      55000      99000 
16533	2949800	38 19 3 31 16 16 31 25 31 15 15 43 24 43 45 19 3 27 48 18 4 33 47 48 1 21 26 44 11 43 10 17 6 46 35 10 23 35 8 9 28 23 3 21 28 6 33 37 5 6 39 49 21 18 32 38 49 49 13 7 48 8 18 46 38 42 1 49 0 42 2 40 43 20 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 26 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 46 45 47 36 34 33 47 36 33 34      45000      77500      57500      99000 
16830	2516600	14 19 10 15 16 20 31 44 43 16 34 43 24 3 0 23 13 27 49 45 4 31 38 48 1 28 26 42 19 43 38 17 6 46 47 45 23 35 8 9 28 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 9 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 25 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 47 36 34 33 47 36 33 34      42000      75600      58500      90000 
24156	2486000	14 19 10 15 16 20 31 44 43 16 34 43 24 3 0 32 13 27 49 45 4 31 38 48 1 28 26 42 19 43 38 17 6 46 47 45 23 35 8 9 28 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 9 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 25 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 47 36 34 33 47 36 33 34      42000      75600      58500      90000 
26730	2238800	25 19 46 31 16 20 31 44 43 45 22 43 24 4 0 46 13 27 1 45 6 36 38 40 32 28 26 47 19 43 38 17 22 46 47 14 27 28 8 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 9 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 16 17 24 15 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 25 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 15 36 34 33 47 36 33 34      42000      64500      60000      90000 
31878	2043300	40 19 15 31 16 20 31 44 43 15 22 43 38 4 49 13 48 27 27 45 6 25 38 43 32 28 26 47 19 16 8 17 22 9 23 28 35 35 10 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 9 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 14 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 25 41 27 20 26 28 13 32 49 47 30 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 15 36 34 33 47 36 33 34      47250      56250      58500      90000 
32175	1997300	40 19 15 31 16 20 31 44 43 15 22 43 38 4 49 13 48 27 27 45 6 25 38 43 32 28 26 47 19 16 8 17 22 34 23 28 35 35 10 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 9 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 14 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 25 41 27 20 26 28 13 32 49 47 30 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 15 36 34 33 47 36 33 34      47250      56250      58500      90000 
38808	1917800	40 19 25 31 16 20 31 44 43 32 19 43 38 4 49 13 48 27 27 45 6 25 38 43 49 36 26 47 16 31 8 17 22 34 46 28 35 33 10 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 30 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 14 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 15 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 15 36 34 33 47 36 33 34      45000      53100      54000      99000 
41085	1863800	40 19 25 31 16 20 31 44 43 32 19 43 38 4 49 13 48 27 27 45 6 25 38 43 49 36 26 47 16 31 8 17 22 34 46 28 45 33 10 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 30 7 48 8 18 46 46 2 1 49 0 42 11 40 43 48 12 39 16 10 12 29 48 47 21 41 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 14 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 15 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 32 35 46 15 36 34 33 47 36 33 34      45000      53100      54000      99000 
41679	1743800	12 19 25 31 16 16 31 44 43 10 43 43 38 4 23 43 32 27 34 45 6 25 38 49 32 36 26 47 23 16 27 17 22 8 14 28 25 9 36 9 42 23 3 21 20 18 33 37 5 6 39 49 21 18 32 38 29 49 30 7 48 8 18 46 46 2 1 49 0 42 11 40 43 20 12 39 47 10 12 29 48 47 21 41 40 22 14 11 48 14 13 29 4 10 48 24 42 22 17 24 19 5 49 41 25 25 23 35 13 15 23 35 38 30 42 37 42 36 47 26 45 27 15 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 34 39 44 36 40 44 45 48 35 46 15 36 34 33 47 33 33 34      49500      50850      54000      90000 
49203	1674800	41 19 25 31 16 16 31 44 43 4 43 43 38 36 26 43 32 33 34 45 6 25 38 49 15 36 22 47 23 16 34 17 47 8 14 28 25 9 31 9 42 22 3 21 20 18 27 37 5 6 39 49 21 18 32 38 29 49 30 7 48 8 18 46 46 2 1 49 0 42 11 40 43 20 12 39 27 10 12 29 48 47 21 32 40 22 14 11 48 14 12 29 4 10 48 24 42 22 17 24 19 5 49 41 25 28 23 35 13 13 23 35 38 30 42 37 42 36 47 26 45 27 15 41 27 20 26 28 13 32 49 47 40 19 45 31 46 37 30 48 44 30 10 39 44 36 40 44 45 48 35 46 15 36 34 33 47 33 33 34      49500      49500      54000      90000 
