
0	24124000	0 8 1 32 1 1 14 1 11 31 1 1 33 1 1 3 1 11 17 1 5 18 1 5 33 48 21 4 2 37 36 4 10 32 4 6 5 4 6 6 5 6 42 6 19 49 9 40 29 9 38 10 10 11 16 10 11 14 10 11 13 10 11 22 10 26 22 10 11 26 11 11 36 14 11 27 14 39 25 22 43 25 25 23 25 25 26 9 25 26 30 25 26 20 41 26 46 32 26 12 32 11 35 32 26 28 33 33 44 36 24 44 36 34 45 36 36 47 36 36     123000          0      14000 
99	23422800	18 24 43 0 1 0 3 1 2 38 1 2 4 0 1 42 1 1 4 2 2 46 4 1 6 4 1 4 4 21 38 4 7 17 3 7 19 4 35 12 4 5 16 6 7 29 4 5 10 8 5 14 8 20 45 9 28 18 11 11 22 10 8 49 22 11 25 13 11 25 25 23 25 25 23 17 25 23 32 27 11 32 23 26 32 25 15 32 39 22 48 25 22 36 34 28 36 40 37 36 33 49 36 36 31 44 36 41 45 30 31 45 33 33 47 36 33 47 36 33     337500     225000     225000 
198	20301800	38 18 29 13 0 1 0 0 1 0 49 1 0 1 4 49 0 1 3 4 6 4 2 21 34 3 41 4 4 8 5 4 5 16 11 48 31 4 28 4 5 39 10 45 43 42 10 9 10 10 19 11 10 11 11 10 15 11 41 11 22 14 23 17 14 12 22 22 14 22 22 24 7 25 25 27 22 25 35 25 24 25 25 20 41 40 26 25 25 30 30 25 46 30 25 26 36 32 26 44 32 33 33 32 26 36 33 33 47 33 48 44 36 36 36 36 36 47 44 37     225000     243000     243000 
297	18039800	38 41 12 0 1 1 29 1 24 0 0 1 40 1 1 49 1 19 48 4 2 4 3 6 6 4 5 4 1 29 4 4 7 4 5 5 11 9 15 19 6 7 20 10 7 10 10 34 10 8 6 10 8 8 41 16 21 42 9 35 22 14 11 28 14 11 14 10 11 14 22 42 19 22 46 25 22 35 46 25 39 25 25 24 33 25 23 33 25 26 17 27 27 30 34 41 43 16 31 45 30 31 32 30 13 44 32 34 45 33 18 44 36 37 47 36 37 47 36 36     364500      67500     225000 
396	17872800	49 46 0 43 0 17 0 0 33 37 30 1 41 8 1 35 0 1 3 16 39 42 1 14 20 18 42 16 6 37 8 4 12 41 8 19 10 39 7 10 4 15 13 4 11 10 10 40 7 10 5 11 10 23 14 10 21 14 48 23 10 10 15 37 14 15 28 22 11 31 44 11 25 14 22 27 22 24 2 22 15 29 25 49 48 25 9 3 27 26 30 27 19 32 27 26 32 30 28 36 32 33 2 33 18 44 33 46 47 32 30 45 45 33 45 36 38 34 36 36     337500      90000     225000 
594	15653800	45 33 35 0 44 2 0 1 19 0 1 2 28 7 1 29 43 1 0 0 6 48 4 5 4 1 41 4 2 21 24 5 6 4 3 6 19 8 43 10 6 9 30 6 5 18 39 20 10 8 11 10 10 11 11 11 11 46 10 11 48 14 11 49 10 38 12 12 46 22 22 23 22 22 17 22 10 46 25 39 47 25 25 15 25 25 42 40 25 14 16 25 31 39 13 26 32 32 26 27 33 34 49 32 29 36 36 26 49 33 48 48 36 36 44 36 32 47 44 37     243000     126000     225000 
792	15325800	38 18 37 39 0 1 0 8 33 0 0 19 0 35 1 4 4 1 48 7 5 0 4 6 6 2 43 4 4 29 4 40 5 5 47 35 47 4 15 22 4 7 26 6 35 41 10 34 10 8 28 10 10 24 46 10 15 42 48 9 10 9 21 49 14 10 25 9 15 12 22 16 45 22 11 2 26 35 16 25 39 25 25 24 27 40 23 7 25 26 30 22 31 42 25 29 43 30 49 38 20 8 44 32 13 38 32 28 47 3 31 17 40 36 47 36 12 47 36 37     243000     135000     207000 
1089	14803800	13 18 40 39 0 14 0 16 19 0 0 1 1 35 1 4 25 1 31 17 38 48 16 16 49 2 41 35 2 29 41 1 5 39 3 29 27 4 42 43 4 3 30 6 5 18 24 34 10 10 38 10 4 8 45 11 7 46 48 9 10 14 11 49 22 14 12 12 46 12 25 23 21 22 23 2 11 35 39 25 39 25 22 15 25 40 42 33 25 16 30 25 37 42 25 29 19 32 26 32 20 26 49 30 29 36 32 28 47 42 48 44 40 34 19 36 33 47 36 37     243000     153000     180000 
1188	11893800	45 12 0 29 44 14 26 13 17 34 0 1 0 3 28 20 0 43 48 46 38 48 4 16 49 43 41 35 35 21 41 26 31 39 3 37 40 4 2 43 27 3 30 4 5 18 6 34 29 8 15 34 10 11 45 11 21 41 10 15 10 14 42 17 22 14 22 12 15 49 25 21 21 10 11 49 11 35 25 25 47 41 25 24 25 25 7 33 25 23 30 22 28 32 25 28 9 39 26 38 27 31 49 34 31 46 36 35 44 42 37 44 36 34 19 36 36 47 36 37     225000     126000     153000 
1683	10819800	45 9 0 23 8 27 37 18 19 27 0 1 0 0 28 17 0 43 3 2 38 48 4 5 34 22 43 2 35 44 41 26 31 39 47 35 40 39 15 43 6 3 48 7 24 43 6 20 29 8 38 40 10 24 11 10 21 42 48 15 45 34 42 35 14 14 19 12 15 49 10 26 21 10 28 46 11 24 26 25 47 41 25 24 41 22 16 33 25 39 30 22 28 32 25 28 9 15 26 38 27 31 49 32 13 46 32 35 44 32 37 44 36 36 19 36 32 47 36 36     207000     135000     135000 
2079	10069800	9 29 41 15 0 1 29 5 33 8 17 1 28 8 24 7 13 28 11 17 38 48 4 19 49 4 37 17 4 32 11 49 21 39 46 37 48 39 43 15 40 3 26 26 5 6 10 46 10 4 10 18 10 3 21 11 38 42 9 11 29 10 42 47 14 12 19 20 38 34 11 11 45 16 47 35 22 24 16 44 49 41 22 24 27 25 23 33 27 9 13 25 48 2 13 21 43 30 31 40 32 28 49 30 13 2 32 35 49 42 30 44 45 34 19 36 32 47 36 36     135000     135000     189000 
2178	9031800	18 5 0 15 0 4 29 1 33 42 20 1 40 48 21 14 0 47 49 45 5 46 28 16 12 20 4 21 35 6 8 5 37 45 6 17 48 39 9 41 40 3 39 10 37 41 5 21 20 10 38 40 10 40 21 10 7 14 9 35 10 10 42 48 14 10 13 19 15 22 22 16 45 22 47 2 23 11 46 22 47 6 25 24 25 25 9 33 29 23 30 28 28 39 22 27 43 30 26 38 32 26 49 32 31 44 32 34 19 29 48 44 36 34 45 36 32 47 36 36     225000      18000     189000 
3267	9019800	18 5 0 15 0 16 29 1 27 42 20 1 40 48 21 14 0 47 49 45 5 46 28 16 12 20 4 21 35 6 8 5 37 45 6 17 48 39 9 41 40 3 39 10 37 41 5 21 20 10 38 40 10 40 21 10 7 14 9 35 10 10 42 48 14 10 13 19 15 22 22 16 45 22 47 2 23 11 46 22 47 6 25 24 25 25 9 33 29 23 30 28 28 39 22 27 43 30 26 38 32 26 49 32 31 44 32 34 19 29 48 44 36 34 45 36 32 47 36 36     225000      18000     189000 
4653	8705800	38 5 0 35 8 16 45 1 39 19 14 44 5 35 14 10 11 33 31 45 18 2 48 37 12 20 17 21 44 29 46 25 12 9 46 45 48 48 40 41 4 15 39 4 37 41 6 40 45 10 46 40 10 24 21 3 40 14 48 9 10 10 42 48 14 21 13 43 24 49 11 37 45 13 11 7 25 35 46 22 49 41 25 24 41 22 23 33 29 23 13 28 48 39 27 27 43 30 26 38 42 28 49 19 31 33 32 34 47 2 30 44 48 34 47 4 32 47 36 36     112500     135000     175500 
5148	7565400	38 5 0 35 0 6 26 47 1 42 0 44 5 48 14 17 11 33 31 33 5 2 28 30 12 20 17 21 44 29 46 25 11 17 15 45 48 48 40 41 16 15 39 4 37 41 6 40 46 18 46 40 10 24 21 3 7 14 48 9 10 10 31 48 10 21 13 43 24 49 11 37 45 13 11 2 25 11 46 8 39 41 25 49 41 22 23 33 35 23 13 28 48 39 27 27 43 30 26 38 42 28 49 19 31 33 32 34 19 29 30 44 48 34 47 4 32 47 36 36     126000     151200     117000 
5940	6167800	43 42 0 4 27 16 31 25 33 11 14 38 15 48 40 12 39 18 28 14 18 24 49 20 16 8 1 21 5 40 46 15 48 39 35 45 26 8 47 41 21 43 17 4 37 43 5 26 45 18 38 44 13 24 45 3 40 6 9 9 2 10 42 48 29 10 13 19 15 22 7 16 45 22 47 37 23 35 46 22 49 41 21 49 27 25 23 33 29 23 29 3 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 48 8 32 47 15 36     135000      90000     135000 
6336	6157800	35 42 0 4 27 19 31 25 33 11 14 38 15 48 40 12 39 18 28 14 18 24 49 20 16 8 1 21 5 40 46 15 48 39 35 45 26 8 47 41 21 43 17 4 37 43 5 26 45 18 38 44 13 24 45 3 40 6 9 9 2 10 42 48 29 10 13 19 15 22 7 16 45 22 47 37 23 35 46 22 49 41 21 49 27 25 23 33 29 23 29 3 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 48 8 32 47 15 36     135000      90000     135000 
8118	6030800	43 5 0 18 27 16 49 25 26 42 27 41 15 48 40 12 6 1 28 14 17 24 26 20 16 27 20 11 24 40 46 34 48 39 35 19 48 8 31 22 21 43 39 4 37 28 5 26 46 18 38 44 13 24 45 3 40 14 9 9 2 10 42 48 14 10 13 19 42 22 7 37 45 13 47 37 23 35 46 22 49 41 21 49 41 25 9 33 29 23 29 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 4 32 47 15 36     126000      94500     135000 
8514	6013800	35 17 0 18 27 16 31 25 26 42 14 20 15 4 24 40 3 32 28 14 43 24 49 20 16 12 1 21 5 40 46 15 48 39 35 45 48 24 0 41 21 43 39 3 37 29 5 26 46 18 38 44 10 24 45 11 40 14 8 9 2 10 42 47 0 28 13 19 15 3 7 37 45 22 47 37 23 35 46 22 49 41 21 49 27 25 23 33 29 23 29 25 48 39 27 37 43 1 30 38 42 26 49 32 31 33 6 34 19 17 30 44 48 34 47 36 32 47 36 36     126000     126000     103500 
8712	5670800	43 5 0 6 27 29 34 16 20 15 27 42 15 5 14 38 39 18 1 14 26 24 42 49 44 12 1 38 24 40 46 34 31 29 37 12 26 8 7 41 21 43 17 7 37 28 5 26 11 18 38 44 23 24 45 3 40 46 9 35 2 10 42 48 0 10 13 19 15 22 20 16 45 22 47 37 23 35 46 22 49 41 21 49 41 25 29 33 25 23 4 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 4 32 47 36 36     135000      99000     112500 
9603	5660800	43 11 0 6 27 45 34 16 20 15 27 42 15 5 14 38 39 18 1 14 26 24 42 49 44 12 1 38 24 40 46 34 31 29 37 12 26 8 7 41 21 43 17 7 37 28 5 26 11 18 38 44 23 24 45 3 40 46 9 35 2 10 42 48 0 10 13 19 15 22 20 16 45 22 47 37 23 35 46 22 49 41 21 49 41 25 29 33 25 23 4 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 4 32 47 36 36     135000      99000     112500 
10296	5333800	43 11 0 6 27 45 34 16 20 15 27 42 15 5 14 38 39 18 18 14 26 24 17 49 44 12 1 8 24 40 46 34 31 29 37 12 26 8 7 41 21 43 17 7 37 28 5 26 11 18 38 44 23 24 45 3 40 46 9 35 2 10 42 48 0 10 13 19 15 22 20 16 45 22 47 37 23 35 46 22 49 41 21 49 41 25 29 33 25 23 4 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 4 32 47 36 36     126000      99000     112500 
10494	4586800	35 41 0 1 1 45 41 16 48 42 27 22 4 48 14 12 39 1 46 14 26 24 49 11 44 47 20 18 24 40 4 15 26 37 37 12 17 8 31 41 21 43 39 6 7 28 5 26 46 18 38 44 23 24 45 3 40 46 17 9 2 19 42 48 0 10 13 19 15 13 20 16 45 22 47 37 23 35 46 22 49 41 21 49 27 25 29 33 29 23 29 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 8 32 47 36 36     103500      90000     126000 
14553	4341800	39 41 8 18 43 11 41 45 18 42 27 22 1 48 14 12 12 35 6 14 26 24 1 11 20 23 14 18 24 40 4 7 2 37 37 35 17 44 31 49 21 43 39 6 17 28 5 26 46 18 38 44 23 47 45 3 40 46 17 9 2 2 42 48 0 10 13 19 15 13 20 16 45 22 47 37 33 35 46 22 49 41 21 49 27 25 29 33 29 23 29 25 48 39 27 37 43 30 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 8 32 47 36 36      90000      90000     135000 
15444	4340800	35 41 8 7 15 45 41 16 1 20 37 22 45 33 14 12 13 12 0 14 26 24 1 11 44 30 14 18 20 40 42 15 11 7 26 21 27 47 31 49 39 43 39 6 17 28 5 26 46 18 38 44 4 24 45 3 40 46 17 9 25 2 42 48 48 10 46 19 15 13 20 16 45 22 47 37 11 35 46 22 49 41 21 49 27 25 6 33 29 23 29 25 48 39 27 37 43 29 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 8 32 47 36 36      79500      81000     153000 
18810	4309800	25 41 8 11 4 45 41 48 1 20 27 22 26 42 5 33 40 12 6 21 40 49 14 11 44 30 14 18 24 40 42 25 35 7 41 21 4 4 31 49 21 43 39 6 17 28 5 26 12 18 38 44 4 24 45 3 40 46 17 9 25 2 42 48 0 10 46 19 15 13 20 16 45 22 47 37 23 35 46 22 49 41 21 49 27 25 6 33 29 23 29 25 48 39 27 37 43 29 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 8 32 47 36 36     126000      54000     135000 
19107	4279800	25 41 8 14 4 45 41 48 1 20 27 22 26 42 5 33 40 12 32 21 11 49 14 11 44 30 14 18 24 40 42 15 35 7 41 21 4 4 31 49 21 43 39 6 17 28 5 26 12 18 38 44 4 24 45 3 40 46 17 9 25 2 42 48 0 10 46 19 15 13 20 16 45 22 47 37 23 35 46 22 49 41 21 49 27 25 6 33 29 23 29 25 48 39 27 37 43 29 30 38 42 28 49 32 31 33 32 34 19 36 30 44 48 34 47 8 32 47 36 36     126000      54000     135000 
